Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-04-15,47.94,47.94,40.208,43.302,1232
2008-04-16,44.848,44.848,41.756,44.848,106
2008-04-17,43.302,47.94,43.302,43.302,708
2008-04-18,43.302,43.302,41.756,41.756,303
2008-04-21,41.756,43.302,41.756,43.302,62
2008-04-22,43.302,43.302,41.756,41.756,23
2008-04-23,41.756,41.756,35.568,38.662,297
2008-04-24,37.116,40.208,37.116,40.208,2
2008-04-25,40.208,40.208,38.662,40.208,383
2008-04-28,43.302,43.302,43.302,43.302,21
2008-04-29,43.302,47.94,43.302,43.302,76
2008-04-30,43.302,44.848,43.302,44.848,32
2008-05-05,43.302,46.396,43.302,46.396,186
2008-05-06,46.396,46.396,46.396,46.396,1
2008-05-07,46.396,46.396,43.302,43.302,4
2008-05-08,43.302,43.302,41.756,41.756,88
2008-05-09,44.848,44.848,44.848,44.848,1
2008-05-12,43.302,43.302,43.302,43.302,14
2008-05-13,44.848,44.848,44.848,44.848,1
2008-05-14,44.848,44.848,44.848,44.848,1
2008-05-15,43.302,43.302,43.302,43.302,1
2008-05-16,40.208,43.302,40.208,43.302,22
2008-05-26,43.302,43.302,40.208,40.208,40
2008-05-28,38.662,43.302,38.662,43.302,12
2008-05-29,43.302,43.302,43.302,43.302,3
2008-05-30,43.302,43.302,43.302,43.302,1
2008-06-03,43.302,43.302,43.302,43.302,1
2008-06-06,38.662,41.756,38.662,41.756,56
2008-06-09,41.756,41.756,41.756,41.756,20
2008-06-10,37.116,40.208,37.116,40.208,157
2008-06-11,37.116,38.662,37.116,38.662,106
2008-06-18,38.662,38.662,37.116,37.116,13
2008-06-20,40.208,40.208,40.208,40.208,11
2008-06-23,38.662,38.662,38.662,38.662,21
2008-06-24,37.116,40.208,37.116,40.208,12
2008-06-25,40.208,40.208,40.208,40.208,29
2008-06-26,37.116,37.116,37.116,37.116,3
2008-06-30,40.208,40.208,40.208,40.208,20
2008-07-01,35.568,35.568,34.024,34.024,140
2008-07-02,34.024,41.756,34.024,41.756,315
2008-07-03,37.116,40.208,37.116,40.208,71
2008-07-04,40.208,43.302,37.116,37.116,191
2008-07-09,37.116,37.116,37.116,37.116,64
2008-07-15,34.024,37.116,34.024,37.116,22
2008-07-21,40.208,40.208,40.208,40.208,27
2008-07-22,41.756,41.756,35.568,35.568,181
2008-07-24,35.568,35.568,35.568,35.568,1
2008-07-28,35.568,43.302,35.568,43.302,114
2008-07-29,43.302,43.302,43.302,43.302,1
2008-07-30,37.116,37.116,37.116,37.116,104
2008-07-31,38.662,38.662,38.662,38.662,51
2008-08-05,40.208,46.396,40.208,46.396,198
2008-08-06,44.848,44.848,40.208,41.756,298
2008-08-07,41.756,41.756,37.116,37.116,94
2008-08-08,40.208,40.208,40.208,40.208,82
2008-08-11,40.208,40.208,37.116,37.116,85
2008-08-20,40.208,41.756,40.208,41.756,231
2008-08-21,40.208,40.208,38.662,40.208,251
2008-08-22,40.208,40.208,40.208,40.208,58
2008-08-25,40.208,40.208,40.208,40.208,4
2008-08-26,40.208,40.208,40.208,40.208,1
2008-08-27,40.208,40.208,37.116,38.662,119
2008-08-28,37.116,37.116,34.024,34.024,112
2008-08-29,34.024,34.024,34.024,34.024,18
2008-09-01,34.024,34.024,34.024,34.024,18
2008-09-02,32.476,32.476,29.384,32.476,266
2008-09-03,32.476,32.476,32.476,32.476,11
2008-09-04,32.476,32.476,32.476,32.476,67
2008-09-08,27.836,27.836,27.836,27.836,82
2008-09-09,26.29,27.836,26.29,27.836,248
2008-09-10,29.384,29.384,29.384,29.384,102
2008-09-15,29.384,32.476,27.836,32.476,264
2008-09-16,32.476,32.476,32.476,32.476
2008-09-18,32.476,34.024,32.476,34.024,112
2008-09-19,34.024,35.568,34.024,35.568,98
2008-09-22,32.476,32.476,32.476,32.476,77
2008-09-23,34.024,37.116,34.024,37.116,117
2008-09-24,35.568,37.116,34.024,37.116,154
2008-09-25,37.116,37.116,37.116,37.116,6
2008-09-26,37.116,37.116,37.116,37.116,2
2008-09-29,37.116,37.116,37.116,37.116,1
2008-09-30,37.116,37.116,37.116,37.116,1
2008-10-01,37.116,37.116,37.116,37.116,1
2008-10-02,37.116,38.662,37.116,38.662,31
2008-10-03,40.208,40.208,40.208,40.208,47
2008-10-07,38.662,40.208,38.662,40.208,36
2008-10-09,40.208,40.208,40.208,40.208,1
2008-10-10,40.208,40.208,40.208,40.208,1
2008-10-13,40.208,40.208,40.208,40.208,25
2008-10-14,40.208,40.208,40.208,40.208,1
2008-10-15,40.208,40.208,40.208,40.208,1
2008-10-16,40.208,40.208,40.208,40.208,23
2008-10-17,40.208,40.208,40.208,40.208,1
2008-10-20,40.208,40.208,40.208,40.208,1
2008-10-21,40.208,40.208,40.208,40.208,1
2008-10-22,40.208,40.208,35.568,37.116,161
2008-10-23,38.662,38.662,37.116,37.116,43
2008-10-24,37.116,37.116,37.116,37.116,1
2008-10-27,37.116,37.116,34.024,37.116,151
2008-10-28,37.116,37.116,37.116,37.116,30
2008-10-29,40.208,40.208,40.208,40.208
2008-10-30,40.208,40.208,35.568,38.662,77
2008-10-31,40.208,40.208,40.208,40.208
2008-11-05,37.116,37.116,37.116,37.116,1
2008-11-06,34.024,37.116,34.024,37.116,10
2008-11-13,35.568,35.568,35.568,35.568,5
2008-11-14,37.116,37.116,37.116,37.116
2008-11-17,37.116,37.116,37.116,37.116,17
2008-11-19,37.116,37.116,34.024,37.116,67
2008-11-21,37.116,37.116,37.116,37.116,1
2008-11-24,37.116,37.116,37.116,37.116
2008-11-25,37.116,40.208,37.116,40.208,71
2008-11-26,38.662,38.662,35.568,38.662,27
2008-11-27,38.662,38.662,35.568,37.116,142
2008-11-28,38.662,38.662,38.662,38.662
2008-12-01,38.662,38.662,38.662,38.662
2008-12-02,37.116,37.116,37.116,37.116,1
2008-12-03,37.116,37.116,37.116,37.116,1
2008-12-04,37.116,37.116,37.116,37.116,1
2008-12-05,37.116,37.116,37.116,37.116,1
2008-12-08,37.116,37.116,37.116,37.116,1
2008-12-09,37.116,37.116,37.116,37.116,8
2008-12-10,37.116,37.116,37.116,37.116,1
2008-12-11,37.116,37.116,37.116,37.116,1
2008-12-12,37.116,37.116,37.116,37.116,6
2008-12-15,37.116,37.116,37.116,37.116,17
2008-12-16,37.116,37.116,34.024,37.116,12
2008-12-17,34.024,37.116,34.024,37.116,5
2008-12-18,37.116,37.116,37.116,37.116,1
2008-12-19,37.116,37.116,37.116,37.116,1
2008-12-22,34.024,35.568,34.024,35.568
2008-12-23,34.024,35.568,32.476,35.568,68
2008-12-29,35.568,35.568,35.568,35.568
2008-12-30,35.568,35.568,35.568,35.568
2008-12-31,34.024,34.024,34.024,34.024,1
2009-01-05,34.024,34.024,34.024,34.024,1
2009-01-06,34.024,34.024,34.024,34.024,7
2009-01-07,34.024,34.024,34.024,34.024
2009-01-08,32.476,32.476,32.476,32.476
2009-01-09,32.476,32.476,29.384,32.476,88
2009-01-12,29.384,29.384,26.29,29.384,113
2009-01-15,27.836,29.384,27.836,29.384,51
2009-01-16,29.384,29.384,29.384,29.384
2009-01-21,29.384,29.384,24.744,29.384,12
2009-01-23,29.384,29.384,29.384,29.384,24
2009-01-26,29.384,29.384,29.384,29.384
2009-01-28,26.29,29.384,26.29,29.384,24
2009-01-29,30.93,30.93,30.93,30.93,4
2009-01-30,30.93,30.93,30.93,30.93,12
2009-02-03,29.384,30.93,29.384,30.93,18
2009-02-04,29.384,30.93,29.384,30.93
2009-02-05,29.384,30.93,29.384,30.93
