Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-06-15,13.4191,13.4191,13.1753,13.1753,71508.065931907
2015-06-16,13.1624,13.1753,12.9314,13.0765,66586.637360627
2015-06-17,13.0533,13.359,12.8087,13.2302,42881.076921782
2015-06-18,13.1753,13.2302,13.1143,13.2053,45528.747251373
2015-06-19,13.2302,13.2302,12.9915,13.0533,13632.065933654
2015-06-22,13.1504,13.1504,13.0654,13.0722,4380.9450548128
2015-06-23,13.0722,13.1452,12.9005,13.1143,42055.208789939
2015-06-24,13.1143,13.1143,12.2481,13.0345,26053.868131082
2015-06-25,13.0302,13.1074,12.8087,13.1074,5246.4175822592
2015-06-26,12.8087,13.0765,12.5108,13.0413,36525.736262634
2015-06-29,12.5348,12.8087,12.5348,12.8087,347.1208791104
2015-06-30,12.7477,12.7477,12.5048,12.7477,13639.054944643
2015-07-01,12.8087,13.0224,12.8087,13.0224,3279.010988912
2015-07-02,13.0104,13.0224,13.0104,13.0224,41151.296702054
2015-07-03,13.0302,13.1383,13.0224,13.0224,16626.857142355
2015-07-06,13.1014,13.1452,13.1014,13.1452,18162.109889562
2015-07-07,13.1452,13.5418,13.1452,13.1452,26752.769229962
2015-07-08,13.4191,13.4191,13.1452,13.4191,7425.8241756
2015-07-09,13.4191,13.45,13.4122,13.4122,654.6373626176
2015-07-10,13.4191,13.4191,13.1753,13.4122,1626.1098900608
2015-07-13,13.45,13.45,13.298,13.4122,979.6263735968
2015-07-14,13.3281,13.4122,13.1143,13.4122,4426.37362624
2015-07-15,13.4122,13.4122,12.9486,13.4122,19521.472526883
2015-07-16,13.4122,13.45,13.1753,13.4191,16588.417581917
2015-07-17,13.45,13.45,13.4062,13.4122,4633.7142855744
2015-07-20,13.4122,13.4191,13.359,13.359,16460.285713789
2015-07-21,13.359,13.4122,13.3521,13.4122,9650.659340368
2015-07-22,13.4191,13.4191,13.298,13.298,507.8681318528
2015-07-23,13.401,13.4191,13.401,13.4191,4773.4945053504
2015-07-24,13.1143,13.5899,13.1143,13.5899,287.7142857056
2015-07-27,13.4869,13.4869,13.4191,13.4191,471.758241744
2015-07-28,13.4191,13.4191,13.4191,13.4191,15.1428571424
2015-07-29,13.4062,13.4062,13.4062,13.4062,15.1428571424
2015-07-30,13.1753,13.4062,13.1753,13.4062,115.3186813152
2015-07-31,13.401,13.401,13.401,13.401,15.1428571424
2015-08-03,13.2053,13.2053,12.3211,13.0594,3051.868131776
2015-08-04,12.9915,12.9915,12.8696,12.9915,2985.4725273824
2015-08-05,13.0533,13.3341,13.0533,13.3341,2705.9120878304
2015-08-06,13.3341,13.3341,13.3341,13.3341,373.9120879008
2015-08-07,13.2362,13.3281,13.2362,13.2851,263.2527472448
2015-08-10,13.3341,13.3341,13.2851,13.2851,32.6153846144
2015-08-11,13.2362,13.3341,13.2362,13.298,861.978021952
2015-08-12,13.298,13.298,12.9314,13.2903,663.956043936
2015-08-13,13.2903,13.2903,13.1143,13.1143,172.3956043904
2015-08-14,13.1143,13.298,13.1143,13.298,8718.791208528
2015-08-17,13.3341,13.3341,13.3341,13.3341,6.9890109888
2015-08-18,13.3152,13.3152,12.358,13.2731,5882.41758224
2015-08-19,12.6499,13.2671,12.6499,13.2551,884.1098900832
2015-08-20,13.2482,13.2482,13.1452,13.1452,859.6483516224
2015-08-21,13.2482,13.2482,13.2482,13.2482,164.2417582368
2015-08-24,13.2482,13.2482,12.5048,13.2122,9742.6813183872
2015-08-25,13.0465,13.1753,13.0465,13.1692,4920.2637361152
2015-08-27,12.9915,13.1074,12.8087,13.1074,1217.252747216
2015-08-28,12.9915,13.1074,12.455,13.1074,6858.5494503424
2015-08-31,12.4421,13.1692,12.4421,13.1692,5908.0439558656
2015-09-01,13.1813,13.1813,12.5048,13.1692,11929.076922717
2015-09-02,13.1624,13.2302,12.8087,13.2302,17670.549450016
2015-09-03,13.2302,13.389,12.8696,13.389,314057.03295755
2015-09-07,13.3761,13.3761,13.3761,13.3761,99.010989008
2015-09-08,13.1143,13.2791,13.1143,13.2791,225.9780219712
2015-09-09,13.2903,13.2903,13.2851,13.2851,1975.5604395008
2015-09-10,13.0533,13.359,13.0533,13.359,3520.1318680256
2015-09-11,13.3392,13.3392,13.3281,13.3281,1493.3186812736
2015-09-14,13.3212,13.3212,13.298,13.31,472.9230769088
2015-09-15,13.2903,13.2903,12.5348,12.6258,2276.0879120192
2015-09-16,12.9366,12.9366,12.6868,12.6868,1361.6923076512
2015-09-17,12.8087,12.8087,12.8087,12.8087,164.2417582368
2015-09-18,12.9314,12.9314,12.8087,12.8087,13.9780219776
2015-09-21,12.8087,12.9314,12.8087,12.9314,28293.846152992
2015-09-22,12.9314,13.1323,12.9314,13.1074,66830.08791007
2015-09-23,13.1014,13.1014,13.1014,13.1014,81.538461536
2015-09-24,13.0722,13.0722,13.0722,13.0722,15.1428571424
2015-09-28,12.5649,12.9864,12.5649,12.9314,3778.7252746112
2015-09-29,12.9314,12.9314,12.9314,12.9314,649.9780219584
2015-09-30,12.4421,13.2731,12.4421,13.2731,12466.06593369
2015-10-01,13.2731,13.2731,13.2731,13.2731,1156.6813186464
2015-10-02,13.1143,13.1143,13.1143,13.1143,180.549450544
2015-10-05,13.1143,13.1143,12.8087,13.1143,4667.4945053536
2015-10-06,13.2362,13.2362,13.2302,13.2302,1280.1538461152
2015-10-07,13.2302,13.2302,12.8087,13.2302,56493.340657635
2015-10-08,13.2302,13.2302,12.8465,12.9915,23692.747252032
2015-10-09,13.2302,13.2302,13.1143,13.1143,910.9010988736
2015-10-12,13.1143,13.1143,12.8164,13.1143,32945.032966038
2015-10-13,13.1692,13.1692,13.1692,13.1692,335.4725274624
2015-10-14,12.8164,13.1753,12.8164,13.1753,556.7912087744
2015-10-15,13.1753,13.2362,13.1753,13.2362,14781.758241312
2015-10-16,13.1753,13.2551,13.1753,13.2551,491.5604395456
2015-10-19,13.2731,13.2731,13.2731,13.2731,6.9890109888
2015-10-20,13.2731,13.2731,13.2731,13.2731,133.956043952
2015-10-21,13.2671,13.2671,13.2671,13.2671,674.4395604192
2015-10-22,13.2671,13.2671,12.8087,13.2362,9944.1978018976
2015-10-23,13.2362,13.2362,13.2362,13.2362,766.4615384384
2015-10-26,13.2422,13.2671,13.1753,13.2671,3134.5714284768
2015-10-27,13.2362,13.298,13.1753,13.298,9778.791208496
2015-10-28,13.3281,13.3281,13.3281,13.3281,326.153846144
2015-10-29,13.2053,13.401,13.1143,13.401,5726.3296701568
2015-10-30,13.298,13.7238,13.298,13.7238,9300.0439557632
2015-11-02,13.7238,13.7238,13.7238,13.7238,87.36263736
2015-11-03,13.6929,13.717,13.4191,13.7049,1304.615384576
2015-11-04,13.6998,13.6998,13.4191,13.4191,841.0109889856
2015-11-05,13.4191,13.4191,13.1263,13.1813,3221.9340658368
2015-11-06,13.3521,13.3521,12.9314,13.0224,2521.868131792
2015-11-10,13.0302,13.0302,12.9915,12.9915,12364.725274352
2015-11-12,12.9915,12.9915,12.9915,12.9915,376.2417582304
2015-11-13,12.9915,13.0302,12.9915,13.0302,1737.9340658816
2015-11-16,12.9314,13.1143,11.7107,13.1143,16524.351647853
2015-11-17,13.0834,13.1143,13.0834,13.1143,1770.549450496
2015-11-18,13.3341,13.3341,13.3341,13.3341,37.2747252736
2015-11-19,13.1143,13.1143,13.1074,13.1143,790.9230768992
2015-11-20,13.1143,13.1143,12.6868,13.1143,9394.395604112
2015-11-23,13.1873,13.3341,13.1873,13.3341,1446.7252746816
2015-11-24,13.298,13.401,12.8087,13.401,10413.626373312
2015-11-25,13.4062,13.4191,13.0722,13.389,574.2637362464
2015-11-26,13.4191,13.4191,13.2362,13.4191,13335.03296663
2015-11-27,13.4191,13.48,13.298,13.48,30080.703295795
2015-11-30,13.474,13.48,13.2671,13.48,16572.10988961
2015-12-01,13.48,13.48,13.48,13.48,24607.1428564
2015-12-02,13.474,13.474,13.474,13.474,327.3186813088
2015-12-03,12.9915,13.4122,12.9915,13.4122,4895.8021976544
2015-12-04,13.4122,13.4122,12.9915,13.401,9444.4835161984
2015-12-07,13.401,13.401,13.401,13.401,15.1428571424
2015-12-08,13.401,13.401,13.1323,13.3813,1375.6703296288
2015-12-09,13.359,13.359,13.2053,13.298,43425.054943744
2015-12-10,13.298,13.298,12.9915,13.298,1684.3516483008
2015-12-11,13.0224,13.0533,12.8087,12.8585,17655.406592874
2015-12-14,12.6868,13.1074,12.6868,13.1074,901.5824175552
2015-12-15,13.2362,13.2602,12.5048,12.8696,14025.780219357
2015-12-16,12.9126,13.298,12.2601,13.298,16355.450548957
2015-12-17,12.7297,13.1143,12.6868,13.0345,19950.13186753
2015-12-18,12.9915,13.1143,12.7778,13.1143,5247.582417424
2015-12-21,12.7778,13.1143,12.7778,12.7967,20530.2197796
2015-12-22,12.7907,12.7967,12.6258,12.7967,6774.6813184768
2015-12-23,12.9314,13.2903,12.9314,13.2903,4920.2637361152
2015-12-28,13.2903,13.2903,12.6627,13.2903,41414.549449299
2015-12-29,12.8276,13.2791,12.8087,13.1753,29678.835163939
2015-12-30,13.1692,13.1692,13.1692,13.1692,99.010989008
2016-01-04,13.1692,13.1692,12.7477,12.7477,24129.560438832
2016-01-05,12.7477,12.7477,12.7477,12.7477,655.8021977824
2016-01-07,12.7726,12.8087,12.6026,12.6559,54626.109888461
2016-01-08,12.6559,12.8087,12.4249,12.6198,15875.538461059
2016-01-11,12.5408,12.5408,12.382,12.5048,7364.0879118656
2016-01-12,12.6258,12.6258,11.9545,12.291,9897.6043953056
