Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-05-12,4,5.95,3.5,3.5,9639
2016-05-13,3.25,3.77,2.66,3.08,1465
2016-05-16,3.01,3.36,2.61,3.18,634
2016-05-17,3.25,3.25,3.18,3.18,60
2016-05-18,3.18,3.18,3.18,3.18,49
2016-05-19,3.01,3.05,3,3,1355
2016-05-20,3,3,2.88,2.88,380
2016-05-23,2.85,3.1,2.77,3.1,290
2016-05-25,3.04,3.04,2.83,2.83,896
2016-05-27,2.84,2.84,2.83,2.83,250
2016-05-30,2.83,2.83,2.78,2.78,38
2016-06-10,2.88,2.9,2.88,2.9,16
2016-06-13,2.9,3,2.9,3,514
2016-06-14,3.03,3.13,3.03,3.13,95
2016-06-16,2.92,2.92,2.92,2.92,343
2016-06-28,2.92,2.92,2.8,2.8,33
2016-07-01,2.8,4,2.8,4,3436
2016-07-04,4.69,5.16,4.2,4.5,1546
2016-07-05,5.13,5.14,4.5,5.14,64
2016-07-06,5.14,5.95,5.13,5.95,758
2016-07-07,6,7,5,5.36,607
2016-07-08,6,6.9,5.55,6,79
2016-07-11,6.49,6.49,6.2,6.2,33
2016-07-12,6.05,6.05,4.9,4.9,417
2016-07-13,5.06,5.06,4.12,4.6,253
2016-07-14,4.65,4.7,3.72,3.72,1161
2016-07-15,4.45,4.45,3.56,3.56,1623
2016-07-18,3.75,4.45,3.75,4.4,924
2016-07-19,4.45,4.89,4.45,4.89,585
2016-07-20,5,5.4,5,5,228
2016-07-21,5.37,7,5.37,7,372
2016-07-22,7,9.7,6,9.5,337
2016-07-25,10,12,10,12,508
2016-07-26,14.4,17.28,14.4,16.9,441
2016-07-27,20.2,24.24,16.5,17.7,295
2016-07-28,23,23,23,23,137
2016-07-29,24.5,24.5,19.6,19.8,407
2016-08-01,20,20,17.5,17.5,907
2016-08-02,17.8,18.8,17.8,18.8,80
2016-08-04,19.1,19.35,19.1,19.35,15
2016-08-05,18.8,18.8,17.2,18,1003
2016-08-08,18.66,20.5,18.66,20.5,500
2016-08-09,20.31,20.51,20.31,20.5,1346
2016-08-10,21.1,23.5,21.1,23.5,225
2016-08-11,23.5,23.5,22.5,22.5,33
2016-08-17,22,23.5,21.5,23.5,362
2016-08-18,23.5,23.5,23.5,23.5,15
2016-08-19,23.4,23.4,22,23.4,4859
2016-08-22,23.4,23.4,23.4,23.4,5
2016-08-23,23.4,23.4,23.4,23.4,10
2016-08-24,23.4,23.4,22.5,22.5,55
2016-08-25,22.5,23.4,22.5,23.4,297
2016-08-26,23.4,23.41,22.5,22.5,283
2016-08-29,22.5,22.51,22.5,22.51,11
2016-08-30,22.5,22.55,22.5,22.55,15
2016-08-31,22.55,22.55,22.55,22.55,5
2016-09-01,22.55,22.55,22.55,22.55,5
2016-09-02,22.56,22.56,22.55,22.55,10
2016-09-05,22.55,22.56,22.55,22.56,10
2016-09-06,22.55,23.55,22.55,23.55,15
2016-09-07,23.55,23.55,23.55,23.55,5
2016-09-08,23.74,24.3,23.74,24.3,7
2016-09-09,24.51,29,24.5,25,91
2016-09-12,25,25,25,25,5
2016-09-13,23.6,23.6,23.6,23.6,10
2016-09-14,27.9,27.9,27.9,27.9,4
2016-09-15,26,26,26,26,10
2016-09-16,26,26,26,26,5
2016-09-19,26,26,23.9,23.9,85
2016-09-20,23.9,23.9,23.5,23.5,76
2016-09-21,23.5,25,23.5,25,20
2016-09-22,24.6,24.6,24.6,24.6,5
2016-09-23,25,25,25,25,5
2016-09-26,25.15,25.15,25.15,25.15,5
2016-09-27,25.14,25.15,25.14,25.15,50
2016-09-28,25.5,25.8,25.5,25.8,50
2016-09-29,26,27.9,26,27.9,166
2016-09-30,27.9,27.9,27.9,27.9,10
2016-10-03,27.9,32,27.89,32,199
2016-10-04,31.5,31.5,31.5,31.5,5
2016-10-05,31,31,30,30,10
2016-10-06,30.6,30.6,28.06,28.06,20
2016-10-07,27.5,27.5,27.5,27.5,5
2016-10-10,27,31.4,27,27.32,50
2016-10-11,26.6,26.6,26.6,26.6,5
2016-10-12,27.7,27.7,27.7,27.7,5
2016-10-13,27.95,29.7,27.95,29.7,50
2016-10-14,29.75,29.75,29.75,29.75,12
2016-10-17,30.3,30.3,30.3,30.3,5
2016-10-19,30.5,30.5,30.5,30.5,3
2016-10-20,30.49,35,30.49,35,112
2016-10-21,38,38,34.58,34.58,65
2016-10-24,35.8,35.8,35.8,35.8,5
2016-10-25,35.8,35.8,35.8,35.8,5
2016-10-26,35.79,35.79,35.79,35.79,5
2016-10-27,35.79,35.79,35.79,35.79,10
2016-10-28,35.9,35.9,35.9,35.9,5
2016-10-31,35.9,35.9,35.9,35.9,5
2016-11-02,35.9,35.9,35.9,35.9,5
2016-11-03,35.2,35.2,35.2,35.2,5
2016-11-04,35.3,35.3,35.3,35.3,5
2016-11-07,35.8,35.9,35.8,35.9,15
2016-11-08,36.1,36.5,36.1,36.5,34
2016-11-09,36.49,36.49,36.49,36.49,3
2016-11-10,36.49,36.49,36.48,36.49,12
2016-11-14,37,37,36,36,5
2016-11-15,36,36,34.5,34.5,16
2016-11-16,35.15,35.15,31.5,31.5,93
2016-11-17,31.8,35,31.75,35,99
2016-11-18,34.99,35,34.99,35,8
2016-11-21,32.7,35.7,32.7,35,63
2016-11-22,34.99,35.05,34.99,35.05,35
2016-11-23,35.9,35.9,35.9,35.9,7
2016-11-24,35.9,36,35.9,35.99,141
2016-11-25,35.15,35.15,32,32,56
2016-11-28,32.5,32.5,32.5,32.5,2
2016-11-29,31.2,33,30,33,83
2016-11-30,33,33,30.9,32,90
2016-12-01,31.3,31.3,31.29,31.3,7
2016-12-02,32.05,32.05,32.05,32.05,2
2016-12-05,32.15,34.3,32.1,32.1,111
2016-12-06,33,33.1,33,33.1,40
2016-12-07,33.9,33.9,33.9,33.9,2
2016-12-08,34.5,34.5,34.5,34.5,2
2016-12-09,34.55,34.55,34.55,34.55,2
2016-12-12,34.7,37,34.7,37,50
2016-12-13,37,37.73,37,37.73,16
2016-12-14,38.48,39,38.48,39,10
2016-12-15,39,39.77,39,39.77,5
2016-12-16,39.5,39.5,39.1,39.1,4
2016-12-19,38.5,38.5,35.8,36,6070
2016-12-21,36.2,36.2,36.2,36.2,2
2016-12-22,36.2,36.2,34.8,34.8,4
2016-12-23,36.19,36.19,36.19,36.19,2
2016-12-27,36.19,36.2,36.19,36.2,97
2016-12-30,35.9,35.9,35.9,35.9,2
2017-01-02,35.9,35.9,35.9,35.9,2
2017-01-03,34.55,34.55,34.55,34.55,7
2017-01-04,34.3,34.3,34.3,34.3,3
2017-01-05,34.05,34.05,34.05,34.05,2
2017-01-11,33.7,33.7,33.33,33.33,3
2017-01-13,33.77,33.77,33.77,33.77,2
2017-01-16,34,34,32.32,32.32,73
2017-01-17,32.5,32.5,32.5,32.5,1
2017-01-18,32.45,32.45,32.45,32.45,2
2017-01-19,32.45,32.45,32.45,32.45,1
2017-01-25,32.45,32.45,32.45,32.45,3
2017-01-26,32.5,32.5,32.5,32.5,2
2017-01-27,32.5,32.5,32.5,32.5,2
2017-01-30,32.5,32.5,32.5,32.5,2
2017-01-31,32.5,32.5,32.5,32.5,2
2017-02-01,31.7,31.7,31.7,31.7,2
