Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-06-04,2.8847,2.8847,2.34152,2.54743,848.3124999723
2012-06-05,3.03458,3.03458,1.94811,2.00424,1203.5624999607
2012-06-06,2.20095,2.20095,1.77953,1.77953,1053.4999999656
2012-06-08,1.68588,2.42576,1.68588,2.42576,3975.1249998702
2012-06-11,2.75353,3.29672,2.24777,3.2593,3412.6458332219
2012-06-12,3.88682,4.66413,3.13753,4.66413,4556.9999998512
2012-06-13,5.59141,6.64967,3.74635,5.3666,20194.124999341
2012-06-14,6.43435,6.43435,4.91706,6.43435,724.791666643
2012-06-15,7.67069,9.17809,6.18152,9.07543,4547.8124998515
2012-06-18,10.9587,11.0802,8.99118,11.0802,460.3958333183
2012-06-19,11.2389,12.1567,8.99118,11.0518,3191.1249998958
2012-06-20,10.5835,10.5835,8.46671,10.1153,1885.4791666051
2012-06-21,8.10142,8.33554,8.09211,8.09211,690.0833333108
2012-06-22,6.48118,7.4833,5.1887,6.55602,825.8541666397
2012-06-25,6.08787,7.8673,5.24493,7.1087,3659.6874998805
2012-06-26,5.69447,6.82776,4.56118,4.56118,3003.2916665686
2012-06-27,4.40199,5.15128,3.74635,3.74635,2737.8749999106
2012-06-28,3.74635,3.74635,3.74635,3.74635,6.1249999998
2012-06-29,3.74635,4.12095,3.74635,3.74635,667.6249999782
2012-07-02,3.74635,4.16787,3.74635,4.16787,3.0624999999
2012-07-03,3.74635,4.16787,3.74635,4.15847,1368.9374999553
2012-07-04,4.9826,5.97541,4.15847,4.15847,184.7708333273
2012-07-05,4.15847,4.96389,3.56846,3.79318,300.1249999902
2012-07-06,3.56846,4.16787,3.52163,4.16787,1527.1666666168
2012-07-09,3.52163,4.66413,3.52163,4.66413,28.5833333324
2012-07-10,5.24493,5.24493,5.24493,5.24493,2.0416666666
2012-07-11,4.67353,5.19811,4.67353,5.19811,378.7291666543
2012-07-12,5.22612,6.23765,5.22612,6.23765,80.6458333307
2012-07-13,5.61953,5.61953,5.61953,5.61953,2.0416666666
2012-07-16,5.61012,5.61012,5.61012,5.61012,5.1041666665
2012-07-17,5.51647,8.0546,5.51647,8.0546,3766.874999877
2012-07-18,9.35608,11.2202,7.4926,10.8176,5040.8749998354
2012-07-19,12.7847,15.3414,10.2279,15.3414,7228.5208330973
2012-07-20,12.6436,12.6436,11.3329,11.3329,21.4374999993
2012-07-23,9.36588,10.7236,9.06612,10.5365,1084.1249999646
2012-07-24,9.36588,10.1153,8.33554,10.1153,2162.1249999294
2012-07-25,8.42919,10.1153,8.42919,10.1153,65.3333333312
2012-07-26,7.50201,9.36588,7.4926,8.89753,2367.3124999227
2012-07-27,8.42919,8.88823,8.42919,8.88823,34.7083333322
2012-07-30,7.11801,8.41989,7.11801,8.41989,407.3124999867
2012-07-31,10.0967,10.0967,8.10142,8.67272,586.9791666475
2012-08-01,7.69871,8.61649,6.97753,8.61649,856.4791666387
2012-08-02,8.24189,8.61649,6.60284,6.60284,1408.749999954
2012-08-03,4.72976,6.55602,4.72976,6.36882,1969.1874999357
2012-08-06,5.09505,6.36882,5.09505,6.36882,41.8541666653
2012-08-07,5.09505,5.71318,5.09505,5.71318,10.208333333
2012-08-08,4.70165,5.61953,4.70165,5.61953,45.9374999985
2012-08-09,6.64967,6.64967,5.33858,5.33858,63.2916666646
2012-08-10,6.40624,6.40624,4.70165,4.77659,25.5208333325
2012-08-13,5.73189,6.87458,5.73189,6.87458,56.1458333315
2012-08-14,7.4833,8.31683,6.08787,6.08787,128.6249999958
2012-08-16,7.30531,7.4833,5.99422,6.08787,77.5833333308
2012-08-17,7.30531,7.4833,6.08787,6.08787,45.9374999985
2012-08-20,7.296,7.30531,6.08787,7.30531,1377.1041666217
2012-08-21,7.4926,7.4926,6.19082,6.27517,35.7291666655
2012-08-22,7.4926,7.4926,6.27517,6.27517,7.1458333331
2012-08-23,7.4926,8.99118,6.36882,6.36882,53.0833333316
2012-08-24,7.38024,7.38024,6.48118,7.38024,63.2916666646
2012-08-27,7.4926,7.4926,7.4926,7.4926,2.0416666666
2012-08-28,7.4926,7.4926,7.4926,7.4926,5.1041666665
2012-08-29,7.4926,7.4926,7.4926,7.4926,1.0208333333
2012-08-30,7.4926,7.4926,7.38965,7.38965,8.1666666664
2012-08-31,6.36882,7.4926,6.36882,6.54671,13.2708333329
2012-09-03,6.54671,7.84859,5.90978,7.84859,11.2291666663
2012-09-04,9.4129,9.4129,7.11801,9.35608,17.3541666661
2012-09-05,10.5179,10.5179,8.52284,8.52284,43.8958333319
2012-09-06,9.36588,9.36588,7.6799,7.6799,28.5833333324
2012-09-07,9.17809,9.36588,7.34282,8.04529,45.9374999985
2012-09-10,6.83696,7.96095,6.44366,6.44366,36.7499999988
2012-09-11,6.09708,7.4926,5.16049,6.44366,738.0624999759
2012-09-12,5.88176,5.88176,5.88176,5.88176,1.0208333333
2012-09-13,6.64967,7.05247,6.64967,7.05247,15.3124999995
2012-09-14,7.4926,7.4926,5.99422,5.99422,16.3333333328
2012-09-17,4.7953,7.05247,4.7953,6.9214,1087.1874999645
2012-09-25,4.7953,5.50707,4.43941,4.76718,827.8958333063
2012-09-26,5.15128,5.52588,3.82129,5.52588,3377.9374998897
2012-09-27,5.50707,5.50707,4.4113,4.87954,698.2499999772
2012-09-28,4.87024,4.87024,4.87024,4.87024,1.0208333333
2012-10-01,4.12095,4.87024,4.12095,4.68294,1114.7499999636
2012-10-02,4.68294,4.68294,3.75576,3.75576,16.3333333328
2012-10-03,3.27811,4.21469,3.27811,4.21469,9.1874999997
2012-10-04,4.19589,4.19589,3.6527,3.6527,6695.6458331147
2012-10-05,3.37176,3.60588,2.80976,3.36235,2466.3333332528
2012-10-08,3.32493,3.36235,2.80976,3.2687,11113.812499637
2012-10-09,2.80976,3.2687,2.62247,3.2687,4452.8749998546
2012-10-10,3.2687,3.69953,2.62247,3.2687,4961.249999838
2012-10-11,2.80976,3.6433,2.62247,3.2593,1182.1249999614
2012-10-12,2.71611,3.24989,2.52882,2.52882,6356.7291664591
2012-10-15,2.52882,2.99706,2.06047,2.34152,2733.7916665774
2012-10-16,2.20095,2.20095,1.85437,1.85437,3342.2083332242
2012-10-17,1.49858,1.90119,1.49858,1.90119,9605.0208330197
2012-10-18,2.23847,2.23847,2.23847,2.23847,1.0208333333
2012-10-19,1.87318,1.87318,1.87318,1.87318,105.1458333299
2012-10-22,1.87318,1.87318,1.60163,1.77953,10806.541666314
2012-10-24,1.59223,1.82635,1.59223,1.82635,791.1458333075
2012-10-25,1.82635,1.82635,1.68588,1.68588,402.2083333202
2012-10-26,1.68588,1.68588,1.68588,1.68588,9609.1041663529
2012-10-29,1.77012,2.15412,1.77012,2.15412,2228.4791665939
2012-10-30,2.17283,2.17283,1.87318,2.17283,856.4791666387
2012-11-05,2.14482,2.14482,1.74211,1.77953,585.9583333142
2012-11-06,1.94811,1.94811,1.94811,1.94811,3.0624999999
2012-11-07,1.60163,1.69528,1.60163,1.63905,1738.4791666099
2012-11-08,1.60163,1.85437,1.60163,1.85437,1436.3124999531
2012-11-09,1.85437,1.85437,1.85437,1.85437,66.3541666645
2012-11-12,2.13541,2.13541,1.69528,1.98553,25.5208333325
2012-11-14,1.64846,1.82635,1.64846,1.82635,1658.8541666125
2012-11-15,1.81695,1.81695,1.81695,1.81695,3.0624999999
2012-11-16,1.61084,1.61084,1.61084,1.61084,1.0208333333
2012-11-19,1.41424,1.81695,1.41424,1.81695,4.0833333332
2012-11-20,1.81695,1.86377,1.81695,1.86377,285.833333324
2012-11-21,1.58282,1.67647,1.51719,1.67647,367.499999988
2012-11-22,1.77012,1.82635,1.41424,1.41424,12.2499999996
2012-11-23,1.41424,1.41424,1.41424,1.41424,658.4374999785
2012-12-05,1.49858,1.68588,1.49858,1.68588,107.1874999965
2012-12-06,1.68588,1.68588,1.68588,1.68588,701.3124999771
2012-12-07,1.7327,2.02305,1.7327,2.02305,922.8333333032
2012-12-10,2.13541,2.23847,2.06047,2.23847,589.0208333141
2012-12-11,2.67869,3.21247,2.304,2.81917,2569.4374999161
2012-12-12,3.38106,3.74635,2.80976,2.98766,315.4374999897
2012-12-13,2.99706,2.99706,2.39765,2.62247,426.7083333194
2012-12-14,2.4914,2.97835,2.43517,2.97835,4.0833333332
2012-12-18,2.53822,2.80976,2.38834,2.80976,161.2916666614
2012-12-21,2.25718,2.72552,2.24777,2.43517,136.7916666622
2012-12-27,2.16353,2.16353,2.06047,2.06047,1357.708333289
2012-12-28,2.06047,2.06047,2.06047,2.06047,7.1458333331
2013-01-02,2.47259,2.47259,1.77953,1.77953,1030.0208332997
2013-01-03,2.13541,2.41636,1.7327,1.78893,836.0624999727
2013-01-04,2.03236,2.04176,1.62965,1.74211,3584.1458332163
2013-01-07,1.76072,1.87318,1.51719,1.87318,535.9374999825
2013-01-08,1.61084,1.85437,1.61084,1.85437,5.1041666665
2013-01-09,1.7327,1.85437,1.7327,1.7327,4.0833333332
2013-01-10,1.82635,1.85437,1.82635,1.85437,108.2083333298
2013-01-15,1.85437,1.85437,1.85437,1.85437,85.7499999972
2013-01-16,1.85437,1.94811,1.85437,1.93871,122.499999996
2013-01-18,1.74211,1.74211,1.74211,1.74211,111.2708333297
2013-01-21,1.74211,2.01365,1.74211,2.01365,219.4791666595
2013-01-22,2.15412,2.41636,2.15412,2.40696,1030.0208332997
2013-01-23,2.21035,2.21035,1.78893,1.80754,416.4999999864
2013-01-24,2.16353,2.16353,1.96682,1.96682,227.6458333259
2013-01-28,2.14482,2.14482,1.78893,1.78893,5.1041666665
2013-01-29,1.78893,2.13541,1.7327,1.86377,2246.8541665933
2013-01-30,1.7327,2.13541,1.49858,1.77012,2946.1249999038
2013-01-31,1.49858,1.77012,1.48918,1.76072,792.1666666408
2013-02-05,1.76072,1.92,1.49858,1.80754,5588.0416664842
2013-02-06,1.49858,1.78893,1.49858,1.7327,2772.5833332428
2013-02-07,1.5454,1.7327,1.48918,1.7327,1033.0833332996
2013-02-11,1.7327,1.7327,1.7327,1.7327,2.0416666666
2013-02-12,1.74211,1.74211,1.74211,1.74211,5.1041666665
2013-02-13,1.45176,1.74211,1.45176,1.74211,662.5208333117
2013-02-14,1.74211,1.86377,1.74211,1.86377,39.8124999987
2013-02-15,1.77012,1.77012,1.49858,1.77012,326.666666656
2013-02-18,1.86377,1.86377,1.46106,1.81695,752.3541666421
2013-02-19,1.70449,1.70449,1.70449,1.70449,2.0416666666
2013-02-20,1.7233,1.7233,1.7233,1.7233,2.0416666666
2013-02-21,1.70449,1.70449,1.70449,1.70449,2.0416666666
2013-02-22,1.70449,1.84506,1.50789,1.84506,4369.166666524
2013-02-25,1.51719,1.83576,1.49858,1.76072,1624.1458332803
2013-02-26,1.49858,1.7327,1.44235,1.7327,737.0416666426
