Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-06-05,80,87.8,70,74,7558
2018-06-06,71,74,65.02,69.79,2230
2018-06-07,71,71,67,70,381
2018-06-08,69.8,72.49,68.5,72.49,135
2018-06-11,72.5,72.5,65.02,66,498
2018-06-12,69.9,69.9,66,66,25
2018-06-13,67.4,67.4,54.4,60.4,631
2018-06-14,60.4,60.4,52.1,58.9,502
2018-06-15,58.79,58.79,55,55,57
2018-06-18,53.2,57.64,46,47,673
2018-06-19,48.9,50.99,48.9,49,124
2018-06-20,51,51,45,45.35,40
2018-06-21,47,47,47,47,1
2018-06-22,46,48,46,48,57
2018-06-25,50.99,50.99,49.99,49.99,13
2018-06-26,49.99,49.99,49.99,49.99,1
2018-06-27,49.99,49.99,47.61,47.61,2
2018-06-28,50.75,51,50.75,50.9,20
2018-06-29,50.8,50.8,50.8,50.8,1
2018-07-02,50.8,50.8,50.8,50.8,1
2018-07-03,50.4,50.4,50.4,50.4,1
2018-07-04,50.3,50.3,46,48,41
2018-07-05,50.3,50.3,41,43,105
2018-07-06,42.9,42.9,41,42.9,70
2018-07-09,46,46,42,43,36
2018-07-10,46,55.2,46,52.5,379
2018-07-11,51.8,51.8,46,48,61
2018-07-12,48.35,55,48.35,54.99,123
2018-07-13,57,57,45.65,52,306
2018-07-16,57,57,52.1,54,105
2018-07-17,53.99,53.99,45.11,48,101
2018-07-18,51.49,51.49,48,48,25
2018-07-20,48,54.8,41,41,106
2018-07-23,41,44,41,44,40
2018-07-24,47,55,41,43,118
2018-07-26,45.99,45.99,45.99,45.99,1
2018-07-27,47.99,47.99,45.99,45.99,50
2018-07-30,45.99,45.99,45.9,45.9,4
2018-07-31,49,49,46,46,26
2018-08-02,48.29,48.29,48.29,48.29,1
2018-08-06,49,49,44,44,191
2018-08-07,43.02,43.02,43.02,43.02,11
2018-08-08,42,43,42,42.3,109
2018-08-09,42,45,42,45,86
2018-08-10,44.9,44.9,42,42,20
2018-08-13,44.9,45.9,43,43,80
2018-08-14,44.5,44.5,43.5,43.5,33
2018-08-16,46,46,42.8,42.9,93
2018-08-17,42.8,44.8,42.8,44.8,69
2018-08-20,46,46,42,46,100
2018-08-21,46,47.4,43.5,47.3,232
2018-08-22,47.1,47.1,44,44,35
2018-08-24,42.1,45,42.1,45,6
2018-08-27,45,45,42,42,93
2018-08-28,45,45,45,45,1
2018-08-29,46,46,46,46,1
2018-08-30,45.5,45.5,45.5,45.5,1
2018-08-31,45.5,45.5,45.5,45.5,1
2018-09-03,45.5,45.5,45.5,45.5,2
2018-09-04,45.5,45.5,43.9,43.9,3
2018-09-05,45.5,45.5,40,43.5,72
2018-09-06,45.5,45.5,45.5,45.5,1
2018-09-07,45.5,45.5,41,41,31
2018-09-10,45.5,45.5,45.5,45.5,3
2018-09-11,45.5,45.5,45.5,45.5,1
2018-09-12,45.5,45.5,45.5,45.5,1
2018-09-13,45.5,45.5,45.5,45.5,1
2018-09-14,45,45,45,45,1
2018-09-17,45.5,45.5,45.5,45.5,1
2018-09-18,45,45,45,45,1
2018-09-19,45,45,39.1,43,116
2018-09-20,45,45,39,39,97
2018-09-21,40,40,40,40,1
2018-09-24,40,40,40,40,1
2018-09-25,40,40,40,40,1
2018-09-26,40,41,39.1,39.1,50
2018-09-27,42,42,42,42,1
2018-09-28,42,42,42,42,1
2018-10-01,40.9,40.9,40.9,40.9,16
2018-10-02,42,42,42,42,1
2018-10-03,42,42,42,42,1
2018-10-04,42,45,40.9,45,140
2018-10-05,46,46,46,46,1
2018-10-08,44.9,45,44,45,68
2018-10-09,45,45,44,44,9
2018-10-10,45,45,42,42,36
2018-10-12,45,45,45,45,1
2018-10-15,43,43,41,41,11
2018-10-16,43,43,43,43,1
2018-10-17,43,43,43,43,1
2018-10-18,43,43,43,43,1
2018-10-19,43,43,43,43,1
2018-10-22,43,43,43,43,1
2018-10-23,43,43,40,41.8,51
2018-10-24,43,43,41,41,11
2018-10-25,43,43,41.9,43,151
2018-10-26,45,45,42,43,61
2018-10-29,45,45,45,45,1
2018-10-30,45,45,45,45,1
2018-10-31,45,45,41.1,41.1,23
2018-11-02,45,45,45,45,1
2018-11-05,45,45,45,45,1
2018-11-06,45,45,45,45,1
2018-11-07,45,45,45,45,1
2018-11-08,45,45,45,45,1
2018-11-09,44.9,44.9,44.9,44.9,2
2018-11-13,44.9,44.9,44.9,44.9,1
2018-11-14,44.9,44.9,44.9,44.9,1
2018-11-15,44.9,44.9,44.9,44.9,1
2018-11-16,44.9,44.9,44.9,44.9,1
2018-11-19,44.9,44.9,42.9,42.9,21
2018-11-20,44.9,44.9,41,41,47
2018-11-21,39,39,39,39,1
2018-11-22,39.8,39.8,37.2,37.2,41
2018-11-26,35,35,35,35,50
2018-11-27,35,35,35,35,1
2018-11-28,34.9,37.5,34.9,36,2325
2018-11-29,36.9,36.9,36,36,4
2018-11-30,35,35,35,35,2
2018-12-03,35.8,35.8,26.2,26.2,296
2018-12-04,26.2,26.2,26.2,26.2,105
2018-12-07,25.4,25.4,20.5,24,154
2018-12-10,23.9,23.9,22.4,22.4,51
2018-12-11,22.5,22.5,20,22,262
2018-12-12,22.5,22.5,22.5,22.5,1
2018-12-13,22.5,22.5,21,22.5,30
2018-12-14,23,23,23,23,288
2018-12-18,23.9,23.9,23.9,23.9,1
2018-12-19,23.9,23.9,22.4,22.4,71
2018-12-20,22.4,22.4,22.4,22.4,11
2019-01-02,22.1,23.4,22.1,23.4,45
2019-01-03,23.7,23.7,23.4,23.4,2
2019-01-04,23.4,23.4,23.3,23.3,51
2019-01-07,23.4,23.4,23.4,23.4,1
2019-01-08,23.4,23.4,23.4,23.4,1
2019-01-09,23.4,23.4,23.4,23.4,1
2019-01-10,23.4,23.4,23.4,23.4,20
2019-01-11,23.4,23.4,23.4,23.4,1
2019-01-14,23.4,23.4,23.4,23.4,11
2019-01-15,23.4,23.4,22.1,22.1,264
2019-01-16,23.4,23.4,23.4,23.4,1
2019-01-21,23.6,23.6,23.6,23.6,1
2019-01-23,24.2,25.9,24.2,25.9,46
2019-01-24,25.9,31,25.9,31,97
2019-01-25,35,42,35,42,136
2019-01-28,50,50,40,40,120
2019-01-29,40,40,38,38,40
2019-01-30,38.7,38.7,38.7,38.7,2
