Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-09-21,10.1051,10.6748,10.071,10.2446,964493.5477004
2006-09-22,10.2368,10.2368,9.85245,10.1588,60558.271354379
2006-09-25,10.0622,10.3597,10.0622,10.3597,143428.40200436
2006-09-26,10.4212,10.5529,10.4212,10.5441,119850.51255806
2006-09-27,10.588,10.588,10.2446,10.4651,78861.889444105
2006-09-28,10.2446,10.509,10.2017,10.509,42782.592963125
2006-09-29,10.5343,10.5343,10.3334,10.509,40856.381907926
2006-10-02,10.509,10.509,10.2544,10.509,74732.683414118
2006-10-03,10.4299,10.509,10.4299,10.5012,24213.467335722
2006-10-04,10.4212,10.5265,10.4212,10.5265,75792.663313574
2006-10-05,10.509,10.5792,10.509,10.5529,122573.24622629
2006-10-06,10.588,10.9021,10.5529,10.9021,80187.376881238
2006-10-09,10.9021,10.9723,10.8582,10.9723,23090.954772953
2006-10-10,10.9908,10.9908,10.8582,10.9908,74820.844218135
2006-10-11,11.0347,11.1216,11.0084,11.0347,45600.663314772
2006-10-12,11.0786,11.341,11.0786,11.3069,18794.653265585
2006-10-13,11.3849,11.4288,11.2181,11.3147,129525.64823606
2006-10-16,11.3674,11.3674,11.2094,11.2972,26666.592963765
2006-10-17,10.946,11.0347,10.7977,10.8679,30528.241204818
2006-10-18,10.8162,11.2094,10.8162,10.9021,28846.010049106
2006-10-19,10.8582,11.0425,10.8582,10.9021,15301.025125021
2006-10-20,10.8679,10.9811,10.7284,10.7284,18595.778893734
2006-10-23,10.7714,10.8582,10.7714,10.8582,7497.7688439234
2006-10-24,10.946,10.946,10.8582,10.946,17660.864320907
2006-10-25,10.8582,10.9304,10.7372,10.8162,12422.472361316
2006-10-26,10.746,10.8582,10.6836,10.6836,17244.663315898
2006-10-27,10.6836,10.6836,10.5265,10.6406,9158.4723614454
2006-10-30,10.6836,10.6836,10.4212,10.5529,14587.537687863
2006-10-31,10.6836,10.8231,10.5012,10.5529,2292.1809044316
2006-11-02,10.8162,10.8162,10.509,10.5529,27747.075375783
2006-11-03,10.8065,10.8065,10.5177,10.5177,13941.70854216
2006-11-06,10.5529,10.6836,10.5529,10.6836,5064.120602814
2006-11-07,11.0425,11.8229,11.0425,11.8229,237342.21104585
2006-11-08,12.1819,12.6989,12.1292,12.1722,129841.38692952
2006-11-09,12.6111,12.6111,11.9107,12.0415,27528.723616997
2006-11-10,12.0853,12.0853,11.7956,11.8659,28627.658290321
2006-11-13,11.8922,11.901,11.5157,11.6474,11395.29648196
2006-11-14,11.3849,11.8659,11.2972,11.8659,33219.195978581
2006-11-15,11.9107,11.9107,11.5079,11.5079,25094.05025026
2006-11-16,11.6474,11.6474,11.3947,11.6298,2416.2211054317
2006-11-17,11.5586,11.5586,11.3947,11.3947,8773.0251252798
2006-11-20,11.6298,11.6298,11.4805,11.6025,1373.668341654
2006-11-21,11.5508,12.1546,11.5508,12.0853,52894.432158704
2006-11-22,12.1722,12.3039,11.9273,12.26,48518.170852345
2006-11-23,12.26,12.4521,12.26,12.4355,26470.793968798
2006-11-24,12.5233,12.6989,12.5233,12.6989,50260.884420115
2006-11-27,12.6989,12.8726,12.6989,12.8296,28229.909546618
2006-11-28,13.0404,13.0404,12.6989,12.7867,31752.241204769
2006-11-29,12.9165,13.2247,12.9165,13.1798,24723.979898516
2006-11-30,13.1798,13.4432,13.0657,13.1369,66713.125625492
2006-12-01,13.3554,13.3554,13.013,13.3554,40004.502510974
2006-12-04,13.3896,13.3896,13.0921,13.3291,12609.04522563
2006-12-05,13.7486,14.4499,13.7486,14.1856,92887.658287769
2006-12-06,14.4421,14.4421,13.968,14.0119,23975.638190003
2006-12-07,13.889,14.7123,13.889,14.7123,74622.994971911
2006-12-08,14.6694,16.0263,14.6694,15.3259,109212.78391526
2006-12-11,15.4127,16.9452,15.4127,16.8935,75447.195976904
2006-12-12,16.9013,16.9013,15.9385,16.5248,102030.75376479
2006-12-13,16.4458,16.4458,15.7551,15.8498,24391.839195011
2006-12-14,15.8498,15.8498,14.887,15.4127,48261.88944532
2006-12-15,15.3162,15.3259,14.0119,15.3259,52587.919595902
2006-12-18,14.887,15.3688,14.887,15.3259,13707.979898953
2006-12-19,15.719,15.7551,14.6694,14.887,43806.693465597
2006-12-20,14.4499,15.3162,14.4499,14.887,75263.698489474
2006-12-21,14.6333,14.887,14.2305,14.4148,4974.9346731693
2006-12-22,14.4499,14.8431,14.4499,14.8001,7060.0402007247
2006-12-27,14.8089,15.1503,14.8001,14.9748,6826.3115575179
2006-12-28,15.3074,15.3074,14.7123,14.9748,19151.396984164
2006-12-29,14.887,15.0625,14.4499,14.9748,5556.180904302
2007-01-02,14.887,14.887,14.8431,14.8431,2195.8190953902
2007-01-03,14.887,14.887,14.1953,14.8001,13731.5577884
2007-01-04,14.7123,14.8431,14.4499,14.8431,14946.331657698
2007-01-05,14.3621,14.8431,14.2743,14.4499,46949.728641352
2007-01-08,14.2051,14.5299,14.2051,14.4499,8104.6432157586
2007-01-09,14.4499,14.8265,14.4499,14.8265,29017.206028999
2007-01-10,14.8431,15.1074,14.8001,14.9748,19234.43216004
2007-01-11,14.9748,15.5874,14.887,15.5786,72497.90954486
2007-01-12,15.7893,15.7893,15.4566,15.4996,42198.271355108
2007-01-15,15.7454,15.7551,15.4996,15.6235,19065.286431404
2007-01-16,15.719,15.7454,15.1503,15.4996,12165.165828663
2007-01-17,15.2381,15.5874,15.2381,15.5874,17396.381908857
2007-01-18,15.1767,16.1931,15.1767,16.1141,23306.231154853
2007-01-19,16.2009,16.2009,15.7639,15.7639,6846.8140700799
