Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-10-14,2.23092,2.23092,1.4335,1.6269,144300.89285515
2010-10-15,1.61068,1.65113,1.53817,1.61068,12416.142856972
2010-10-18,1.55429,1.57852,1.52214,1.5624,10584.999999854
2010-10-19,1.52214,1.57852,1.52214,1.52214,6531.2142856242
2010-10-20,1.50611,1.53817,1.4981,1.53817,2508.4999999654
2010-10-21,1.53817,1.61068,1.53817,1.60276,6518.7857141958
2010-10-25,1.53817,1.57051,1.40946,1.57051,11566.857142698
2010-10-26,1.57051,1.57051,1.48979,1.4981,8329.2142855994
2010-10-27,1.48188,1.48188,1.48188,1.48188,1365.0714285526
2010-10-28,1.45774,1.45774,1.4335,1.4335,2172.9285713986
2010-10-29,1.48188,1.48188,1.48188,1.48188,372.857142852
2010-11-04,1.48979,1.48979,1.48979,1.48979,620.3928571343
2010-11-08,1.42539,1.46566,1.41748,1.46566,2394.5714285384
2010-11-12,1.46566,1.46566,1.45774,1.45774,1489.3571428366
2010-11-23,1.40946,1.40946,1.40946,1.40946,535.4642857069
2010-11-24,1.46566,1.46566,1.44171,1.44171,2105.6071428281
2010-11-29,1.40946,1.48979,1.40946,1.48979,10708.249999852
2010-11-30,1.53025,2.15841,1.53025,2.15841,184919.53571174
2010-12-01,2.13428,2.56103,1.90863,2.01349,197808.99999727
2010-12-02,2.01349,2.04554,1.6912,1.89261,53043.07142784
2010-12-03,1.90062,1.90062,1.69931,1.81208,16949.46428548
2010-12-06,1.73146,1.94098,1.73146,1.82821,17656.857142614
2010-12-07,1.74768,1.85234,1.65113,1.85234,22086.607142552
2010-12-08,1.85234,1.90863,1.79606,1.90863,10256.678571287
2010-12-09,1.90863,2.01349,1.8201,1.90863,17879.535714039
2010-12-10,1.84423,1.89261,1.73146,1.79606,8629.5714284524
2010-12-13,1.79606,1.79606,1.71543,1.78785,7990.5357141755
2010-12-14,1.78785,1.82821,1.73957,1.82821,6836.7499999057
2010-12-15,1.79606,1.84423,1.74768,1.81208,10118.928571289
2010-12-16,1.78785,1.84423,1.78785,1.83622,7893.1785713197
2010-12-17,1.83622,2.05366,1.83622,2.05366,29668.035713876
2010-12-20,2.06177,2.25506,2.06177,2.23894,41527.999999427
2010-12-21,2.2148,2.2148,1.90062,2.02141,19443.464285446
2010-12-22,1.95701,1.95701,1.82821,1.93287,12516.607142684
2010-12-23,1.84423,1.99717,1.78785,1.88459,33715.607142392
2010-12-27,1.82821,1.86847,1.73146,1.86046,9884.8571427208
2010-12-28,1.86046,1.86046,1.71543,1.74768,9282.0714284434
2010-12-29,1.7557,1.81208,1.73146,1.81208,4093.1428570864
