Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2007-11-19,4.52938,4.91882,4.52938,4.63989,166953.21349133
2007-11-20,4.64412,4.71371,4.59088,4.71371,19383.085476747
2007-11-21,4.7549,4.7549,4.67703,4.71371,35951.403075724
2007-11-22,4.71371,4.71371,4.50897,4.50897,2501.1509115385
2007-11-23,4.54998,4.7549,4.54998,4.7549,5870.8651231711
2007-11-26,4.91882,4.91882,4.7549,4.83682,16294.736841202
2007-11-28,4.85732,4.91882,4.85732,4.91882,2477.7964566064
2007-11-29,4.95983,4.95983,4.95983,4.95983,25.578688735165
2007-12-03,4.64412,4.91882,4.55411,4.91882,487.10720286966
2007-12-05,5.28775,5.28775,5.28775,5.28775,4.4484676061156
2007-12-06,4.95983,4.95983,4.95983,4.95983,1731.5660156805
2007-12-07,5.00073,5.00073,4.8779,4.8779,1400.1551790249
2007-12-10,4.91882,4.95983,4.91882,4.95983,2753.6014481856
2007-12-11,4.78349,4.95983,4.78349,4.95983,1390.1461269111
2007-12-12,4.91469,5.04165,4.8779,5.04165,15628.578817186
2007-12-13,5.06224,5.06224,5.06224,5.06224,2.2242338030578
2007-12-14,5.06224,5.06224,5.06224,5.06224,25.578688735165
2007-12-17,5.12374,5.12374,5.00073,5.08274,2835.8980988987
2007-12-19,5.12374,5.12374,5.00073,5.12374,316.95331693574
2007-12-20,4.91882,5.12374,4.91882,4.91882,732.88503810755
2007-12-21,5.10316,5.10316,4.91882,5.10316,25617.612826719
2007-12-27,4.968,4.968,4.95983,4.95983,1222.2164747803
2007-12-28,4.7549,5.20584,4.7549,5.12374,10975.481701189
2008-01-02,5.12374,5.12374,5.12374,5.12374,3805.6640370319
2008-01-03,5.12374,5.12374,4.96387,4.96387,1246.6830466139
2008-01-04,4.96387,4.96387,4.96387,4.96387,1219.9922409772
2008-01-07,4.91882,5.08274,4.91882,5.08274,172.37811973698
2008-01-08,5.08274,5.14406,5.00073,5.12779,388075.41702231
2008-01-09,4.92296,4.92296,4.91882,4.91882,13423.251001454
2008-01-10,5.0787,5.0787,5.0787,5.0787,64.502780288676
2008-01-14,4.9476,5.08274,4.83682,5.08274,62673.347985661
