Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-04-20,0.360596,0.400567,0.26041,0.27376,1084923.1034266
2011-04-21,0.287119,0.287119,0.253692,0.26041,190439.99999619
2011-04-26,0.26041,0.280391,0.26041,0.280391,67415.172412445
2011-04-27,0.26041,0.267042,0.253692,0.267042,93169.65517055
2011-04-28,0.26041,0.26041,0.253692,0.26041,100931.37930833
2011-04-29,0.267042,0.267042,0.253692,0.253692,13483.448275592
2011-05-02,0.253692,0.267042,0.253692,0.26041,18552.413792732
2011-05-04,0.26041,0.267042,0.253692,0.267042,12551.379310094
2011-05-05,0.26041,0.267042,0.253692,0.267042,65917.241377992
2011-05-06,0.267042,0.267042,0.253692,0.253692,16548.620689324
2011-05-09,0.253692,0.300469,0.253692,0.293751,291010.34482177
2011-05-10,0.293751,0.293751,0.253692,0.26041,113519.99999773
2011-05-11,0.267042,0.267042,0.253692,0.253692,13556.896551453
2011-05-12,0.253692,0.26041,0.253692,0.26041,9781.034482563
2011-05-13,0.26041,0.26041,0.253692,0.26041,974.4827586012
2011-05-16,0.26041,0.26041,0.26041,0.26041,10485.51724117
2011-05-17,0.26041,0.26041,0.233711,0.247061,181464.82758258
2011-05-18,0.240342,0.27376,0.240342,0.247061,154153.44827278
2011-05-19,0.247061,0.26041,0.233711,0.247061,53407.241378242
2011-05-20,0.247061,0.253692,0.240342,0.240342,17285.172413447
2011-05-23,0.240342,0.240342,0.233711,0.233711,14210.689654888
2011-05-24,0.233711,0.233711,0.233711,0.233711,149.999999997
2011-05-25,0.220352,0.240342,0.220352,0.226983,59248.965516056
2011-05-26,0.226983,0.233711,0.226983,0.233711,25844.482758104
2011-05-27,0.233711,0.233711,0.226983,0.226983,3444.827586138
2011-05-30,0.213633,0.220352,0.193652,0.220352,132629.99999735
2011-05-31,0.213633,0.240342,0.213633,0.240342,47503.448274912
2011-06-01,0.240342,0.247061,0.240342,0.247061,4566.2068964604
2011-06-02,0.247061,0.247061,0.233711,0.233711,4193.7931033644
2011-06-06,0.220352,0.226983,0.220352,0.226983,10216.551723934
2011-06-07,0.220352,0.220352,0.213633,0.213633,3743.7931033734
