Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-08-27,3,4,3,4,275176
2013-08-28,4.14,4.9,4.05,4.3,34234
2013-08-29,4.4,4.5,3.99,4.4,13930
2013-08-30,4.44,4.44,3.9,3.9,4071
2013-09-02,3.89,3.89,3.12,3.25,7336
2013-09-03,3.37,3.45,2.7,2.9,6102
2013-09-04,2.8,3.2,2.8,3.12,1857
2013-09-05,3.23,3.23,2.99,3.07,472
2013-09-06,2.83,2.83,2.83,2.83,200
2013-09-09,2.93,3.25,2.5,3.1,5539
2013-09-10,2.81,3.09,2.5,2.76,4212
2013-09-11,2.57,2.74,2.57,2.74,947
2013-09-13,2.79,3.11,2.72,2.72,6118
2013-09-16,2.7,2.7,2.57,2.58,4530
2013-09-17,2.68,2.68,2.68,2.68,2
2013-09-18,2.68,3.04,2.38,2.6,6047
2013-09-19,2.68,2.79,2.59,2.59,2584
2013-09-20,2.6,2.7,2.59,2.68,2664
2013-09-23,2.7,3.06,2.7,3,1716
2013-09-24,2.84,3.06,2.66,2.77,3560
2013-09-25,2.7,2.7,2.6,2.7,601
2013-09-26,2.79,2.79,2.55,2.55,2331
2013-09-27,2.6,2.79,2.6,2.75,1004
2013-09-30,2.75,3.05,2.6,2.65,3969
2013-10-01,2.65,2.85,2.5,2.7,13649
2013-10-02,2.7,2.94,2.5,2.5,4248
2013-10-03,2.64,2.94,2.5,2.53,4161
2013-10-04,2.64,2.81,2.61,2.81,3370
2013-10-07,2.82,2.82,2.66,2.69,1405
2013-10-08,2.68,2.73,2.63,2.63,245
2013-10-09,2.8,2.85,2.8,2.85,3880
2013-10-10,2.66,2.85,2.43,2.69,6547
2013-10-11,2.6,2.84,2.58,2.83,2922
2013-10-14,2.7,2.95,2.63,2.8,8918
2013-10-15,2.94,3.24,2.69,3.24,10670
2013-10-16,3.26,3.89,3.2,3.8,9531
2013-10-17,3.83,4.44,3.6,3.83,104097
2013-10-18,3.82,3.85,3.62,3.85,8745
2013-10-21,3.98,4.1,3.6,3.65,1957
2013-10-22,3.75,3.85,3.7,3.84,2748
2013-10-23,3.84,3.84,3.69,3.83,1398
2013-10-24,3.65,3.78,3.31,3.64,5607
2013-10-25,3.31,3.75,2.65,3.18,25443
2013-10-28,3.07,3.49,2.46,2.72,28572
2013-10-29,2.72,2.89,2.51,2.68,3383
2013-10-30,2.73,2.74,2.54,2.74,1244
2013-10-31,2.55,2.73,2.4,2.6,5526
2013-11-04,2.6,2.73,2.15,2.69,7855
2013-11-05,2.37,2.7,2.36,2.5,1735
2013-11-06,2.5,2.65,2.15,2.64,3275
2013-11-07,2.5,2.6,2.5,2.6,998
2013-11-08,2.54,2.73,2.44,2.66,3621
2013-11-12,2.55,2.75,2.42,2.75,2561
2013-11-13,2.74,2.75,2.5,2.74,4344
2013-11-14,2.73,2.73,2.6,2.73,568
2013-11-15,2.73,3,2.61,2.8,4851
2013-11-18,2.9,2.9,2.62,2.72,1221
2013-11-19,2.78,2.78,2.7,2.74,94
2013-11-20,2.93,2.93,2.6,2.82,2598
2013-11-21,2.81,2.89,2.25,2.6,27913
2013-11-22,2.69,2.69,2.45,2.56,1762
2013-11-25,2.6,2.6,2.42,2.6,1456
2013-11-26,2.45,2.6,2.13,2.13,9424
2013-11-27,1.99,2.38,1.6,2.19,138174
2013-11-28,2.22,2.49,2.1,2.49,3833
2013-11-29,2.54,2.54,2.04,2.52,22469
2013-12-02,2.5,2.5,2,2.41,11859
2013-12-03,2.3,2.3,1.94,1.98,21588
2013-12-04,2.07,2.19,1.9,2.11,2432
2013-12-05,2.01,2.12,2.01,2.12,211
2013-12-06,1.93,2.11,1.83,2.11,2404
2013-12-09,2.13,2.5,2.06,2.48,2741
2013-12-10,2.1,2.15,1.8,1.8,8159
2013-12-11,2.08,2.39,1.83,1.88,15513
2013-12-12,1.9,2.04,1.9,1.9,2984
