Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-08-22,27,32.4,27,32.4,1852
2011-08-23,38.88,46.65,38.88,46.65,152
2011-08-24,55.98,66.65,55.98,66.65,368
2011-08-25,79.98,95,79.98,94.2,706
2011-08-26,95,114,95,114,249
2011-08-29,120,144,100,135,644
2011-08-30,149.9,149.9,132,132,13
2011-08-31,131.95,140,130,140,150
2011-09-01,112.1,138,112.05,135.95,66
2011-09-02,130,130,87.01,104,2046
2011-09-05,106,106,83.19,102,2680
2011-09-06,82.5,90,65.99,65.99,3230
2011-09-07,54,63,34.56,34.6,5476
2011-09-08,30,36,24,26.2,26225
2011-09-09,21,25.2,16.8,17.7,39731
2011-09-12,17.7,17.7,11.31,11.31,47602
2011-09-13,11.2,11.5,7.15,7.15,33652
2011-09-14,6.15,8.85,5.92,8.85,4990
2011-09-15,13.02,13.02,13.02,13.02,1930
2011-09-16,15.6,17.5,12.48,12.48,6779
2011-09-19,10.06,10.06,8.3,8.85,6899
2011-09-20,9,9.95,8.3,8.93,4545
2011-09-21,8.99,12.6,7.91,11.99,7539
2011-09-22,11.7,12.5,9.7,9.97,3990
2011-09-23,9.95,11.45,8.3,11.45,1865
2011-09-26,11.46,11.46,9.4,10.59,992
2011-09-27,10.5,11.2,9.99,10.7,783
2011-09-28,9.01,10.9,8.56,8.56,2399
2011-09-29,8.57,9.49,8.2,8.21,2195
2011-09-30,8.3,9.14,7.52,8,2048
2011-10-03,7.36,8.74,7.36,8.74,69
2011-10-04,7.05,8.13,7,8.13,370
2011-10-05,7.97,8.55,7.1,8.2,1240
2011-10-06,7.8,7.8,6.56,7.3,1052
2011-10-07,7.1,7.3,6.6,6.6,725
2011-10-10,7.87,7.87,6.61,7.49,552
2011-10-11,7.29,7.43,6.6,7.43,444
2011-10-12,6.64,6.87,5.95,6.52,946
2011-10-13,6,6.69,6,6.67,280
2011-10-14,6.1,6.67,6.06,6.67,195
2011-10-17,6.54,7.8,6.02,7.73,1627
2011-10-18,6.77,8.3,6.74,7.4,1889
2011-10-19,7.95,7.95,6.81,7.67,1931
2011-10-20,7.89,7.89,6.14,6.8,1064
2011-10-21,6.8,6.8,6.06,6.5,582
2011-10-24,6.5,6.71,6.5,6.71,564
2011-10-25,6.06,6.74,6.06,6.35,882
2011-10-26,6,6.06,6,6.06,285
2011-10-27,6.12,6.48,5.5,6.47,460
2011-10-28,6.47,6.93,5.7,6.93,695
2011-10-31,6.9,6.9,6.9,6.9,30
2011-11-03,6,6.15,6,6.15,317
2011-11-04,5.61,6.15,5.61,6.02,993
2011-11-07,6.02,6.5,6.02,6.32,351
2011-11-08,6.39,6.39,5.5,6.35,636
2011-11-09,6.1,6.1,6,6,270
2011-11-10,6,6.08,5.55,6.07,221
2011-11-14,6.08,6.16,5.89,5.89,420
2011-11-15,6.08,6.92,6.08,6.9,2541
2011-11-16,5.56,6.77,5.55,5.75,2057
2011-11-17,5.75,6,5.75,6,350
2011-11-18,5.36,5.9,5.36,5.9,244
2011-11-21,6.26,6.26,5.27,5.3,639
2011-11-22,4.5,5.3,4.5,5.3,9
2011-11-23,5.3,5.49,5.3,5.49,17
2011-11-25,5.3,5.8,5.3,5.8,103
2011-11-28,5.16,5.9,5.15,5.89,578
2011-11-29,5.2,5.97,5.2,5.97,17
2011-11-30,5,5,5,5,135
2011-12-01,5,5.49,4.75,5.1,1204
2011-12-02,4.63,4.63,4,4.35,2258
2011-12-05,4.34,4.34,3.5,3.76,1125
2011-12-06,3.8,4.26,3.8,4.26,354
2011-12-07,4.46,4.69,4.46,4.69,657
2011-12-08,4.5,4.5,4.5,4.5,100
2011-12-09,4.96,4.99,4.96,4.99,689
2011-12-12,5.18,5.2,5.18,5.2,230
2011-12-15,4.5,4.5,3.5,3.5,1108
2011-12-16,3.79,4,3.79,4,212
2011-12-19,4,4,4,4,12
2011-12-20,4,4,4,4,100
2011-12-22,4.49,4.49,4.49,4.49,5
2011-12-23,4.49,6.45,4.49,6.25,1174
2011-12-27,6,6,5,5.2,665
2011-12-30,5.48,5.48,5.48,5.48,6
2012-01-02,4.5,5.2,4.5,5.18,1057
2012-01-04,4.15,4.5,4.15,4.5,489
2012-01-05,4.1,4.5,4.09,4.5,768
2012-01-09,4.5,4.5,4.5,4.5,21
2012-01-10,4.5,4.6,4.05,4.6,922
2012-01-11,4.92,5.18,4.92,5,685
2012-01-12,4.98,5.38,4.98,5,325
2012-01-16,5.19,5.29,4.99,5.2,549
2012-01-19,5.22,5.29,5,5.29,253
2012-01-20,5.3,5.3,5.3,5.3,415
2012-01-23,5.4,5.4,5.4,5.4,5
2012-01-24,5.4,6.45,5.4,6.45,998
2012-01-25,6.3,7,6,6.94,411
2012-01-26,6.95,6.95,6.95,6.95,5
2012-01-27,6.5,7.5,6.5,7.45,611
2012-01-30,6.5,6.5,6.3,6.3,200
2012-01-31,6.6,6.6,6.6,6.6,5
2012-02-01,6.2,6.2,6.2,6.2,66
2012-02-02,6.01,6.01,5.99,5.99,415
2012-02-06,5.99,6.9,5.99,6.45,847
2012-02-08,6.4,6.5,6.4,6.5,255
2012-02-14,6.5,6.5,6.5,6.5,1
2012-02-15,5.51,6.39,5.5,6.39,111
2012-02-16,6.49,6.49,6.49,6.49,1
2012-02-17,5.5,5.8,5.5,5.8,209
2012-02-20,5.8,6.38,5.8,6.38,91
2012-02-23,5.91,5.91,5.91,5.91,5
2012-02-24,5.1,5.91,5.1,5.91,13
2012-03-01,5.5,5.5,5.5,5.5,100
2012-03-06,5.1,5.49,5.01,5.49,255
2012-03-07,5.01,5.49,5,5.49,200
2012-03-08,5,5.3,4.51,5.3,1619
2012-03-09,5,5.3,5,5.3,103
2012-03-12,4.61,5.3,4.53,4.53,403
2012-03-13,5,5,5,5,2
2012-03-14,5.5,5.5,5.5,5.5,10
2012-03-20,5.5,5.5,5.5,5.5,21
2012-03-28,5.5,5.5,5,5,999
2012-04-02,5.05,5.5,5.05,5.5,30
2012-04-03,5,5.5,5,5.5,228
2012-04-04,5.92,6.3,5.92,6.3,7
2012-04-12,5.05,6,5.05,6,84
2012-04-16,5.05,5.05,5,5,396
2012-04-17,4.73,5.49,4.5,5.49,362
2012-04-18,4.5,5.4,4.5,5.4,155
2012-04-24,4.42,4.42,4.4,4.4,255
2012-04-25,4.99,4.99,4.99,4.99,1
2012-04-26,4.97,4.97,4.97,4.97,1
2012-04-30,4,4.2,4,4,601
2012-05-07,3.51,4.5,3.51,4.49,121
2012-05-08,4.2,4.2,4.2,4.2,200
2012-05-11,4.48,4.48,4.48,4.48,11
2012-05-16,3.6,4,3.6,4,324
2012-05-17,4.2,4.2,4.2,4.2,4
2012-05-21,4.5,4.5,4.49,4.49,46
2012-05-31,4.09,4.09,4.09,4.09,100
2012-06-04,4.49,4.5,4.49,4.5,19
2012-06-08,4,4.5,4,4.5,160
2012-06-14,3.6,3.6,3.6,3.6,1243
2012-06-15,3.7,4.2,3.7,3.75,259
2012-06-18,4.46,4.5,4.46,4.5,173
2012-06-19,3.63,4.2,3.63,4.2,96
2012-06-20,3.65,4.5,3.65,4.5,250
2012-06-21,3.65,4.5,3.65,4.5,173
2012-06-29,3.85,3.85,3.8,3.8,163
2012-07-02,3.8,4.44,3.8,4.44,29
2012-07-05,3.6,3.6,3.6,3.6,400
2012-07-06,3.6,3.8,3.6,3.8,258
2012-07-10,3.8,3.8,3.04,3.8,534
2012-07-13,3.99,4,3.99,4,256
2012-07-16,3.9,4.5,3.9,4.5,125
2012-07-18,4,4,4,4,87
2012-07-20,4.5,4.5,4.5,4.5,1
2012-07-26,3.6,5,3.51,5,4406
2012-07-27,4.9,5.8,4.9,5.2,1747
2012-08-03,4.16,4.16,4.1,4.1,100
2012-08-06,4.9,4.9,4.9,4.9,3
2012-08-08,4.1,4.1,4,4,280
2012-08-09,4,4,4,4,36
2012-08-14,4,4.8,4,4.8,147
2012-08-16,4.89,4.89,4.89,4.89,3
2012-08-17,4.84,5,4.11,4.11,349
2012-08-20,4.7,4.7,4.7,4.7,3
2012-08-21,3.76,4,3.76,4,203
2012-08-22,4,4.5,3.81,3.81,225
2012-08-23,3.81,4.4,3.8,4.4,396
2012-08-28,3.52,3.7,3.52,3.7,881
2012-08-29,3,3.9,3,3.9,2
2012-09-05,3,3.36,3,3.19,4606
2012-09-06,3,3.5,2.7,2.7,706
2012-09-07,3.24,3.24,2.49,2.49,1103
2012-09-10,2.89,2.89,2,2,8824
2012-09-11,2,2,1.6,1.94,2554
2012-09-18,2,2,2,2,9
