Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-02-02,2.1537,2.5126,1.9744,2.1537,118947
2011-02-03,2.0645,2.1537,1.9744,2.0645,10416
2011-02-04,1.9744,1.9744,1.7048,1.8851,21802
2011-02-07,1.795,1.795,1.795,1.795,2117
2011-02-08,1.795,1.8851,1.795,1.8851,614
2011-02-09,1.8851,1.8851,1.8851,1.8851,5215
2011-02-10,1.8851,1.9744,1.795,1.9744,1510
2011-02-11,1.8851,1.8851,1.795,1.8851,2598
2011-02-14,1.8851,1.8851,1.7048,1.795,16239
2011-02-15,1.8851,1.8851,1.795,1.795,106
2011-02-16,1.795,1.795,1.7048,1.795,4656
2011-02-17,1.8851,1.8851,1.795,1.8851,6762
2011-02-18,1.8851,2.0645,1.8851,2.0645,6240
2011-02-21,2.0645,2.1537,2.0645,2.1537,3388
2011-02-22,2.1537,2.1537,1.9744,2.0645,3042
2011-02-23,2.0645,2.1537,2.0645,2.1537,8742
2011-02-24,2.1537,2.1537,2.0645,2.0645,2017
2011-02-25,2.0645,2.1537,2.0645,2.1537,240
2011-02-28,2.045,2.045,2.045,2.045,6128
2011-03-01,2.0645,2.0645,2.0645,2.0645,1171
2011-03-02,2.0645,2.0645,1.9744,1.9744,3287
2011-03-03,1.9744,1.9744,1.9744,1.9744,1672
2011-03-04,1.9744,1.9744,1.8851,1.9744,1448
2011-03-07,1.9744,1.9744,1.8851,1.9744,8792
2011-03-08,1.9744,1.9744,1.8851,1.8851,891
2011-03-09,1.9744,1.9744,1.8851,1.8851,1159
2011-03-10,1.8851,2.0645,1.8851,1.9744,3923
2011-03-11,1.9744,1.9744,1.9744,1.9744,334
2011-03-14,1.9744,1.9744,1.8851,1.9744,11338
2011-03-15,1.9744,1.9744,1.795,1.8851,3287
2011-03-16,1.8851,1.9744,1.8851,1.8851,2250
2011-03-17,1.8851,1.9744,1.8851,1.9744,9132
2011-03-18,1.8851,1.9744,1.8851,1.9744,5497
2011-03-21,1.9744,1.9744,1.8851,1.9744,3788
2011-03-22,1.9744,2.0645,1.9744,2.0645,7075
2011-03-23,2.0645,2.0645,2.0645,2.0645,2383
2011-03-24,2.0645,2.1537,2.0645,2.0645,6012
2011-03-25,2.1537,2.3332,2.1537,2.2439,10632
2011-03-28,2.2439,2.2439,2.2439,2.2439,4589
2011-03-29,2.2439,2.3332,2.2439,2.3332,8384
2011-03-30,2.3332,2.4233,2.3332,2.3332,1002
2011-03-31,2.3238,2.3238,2.3238,2.3238,1192
2011-04-01,2.2439,2.2439,2.2439,2.2439,9394
2011-04-04,2.2439,2.3332,2.2439,2.3332,7431
2011-04-05,2.1537,2.3332,2.1537,2.2439,5460
2011-04-06,2.2439,2.2439,2.1537,2.1537,2086
2011-04-07,2.1537,2.2439,2.1537,2.2439,1600
2011-04-08,2.2439,2.3332,2.1537,2.3332,2936
2011-04-11,2.3332,2.4233,2.3332,2.4233,668
2011-04-12,2.4233,2.4233,2.3332,2.3332,345
2011-04-13,2.3332,2.3332,2.3332,2.3332,44
2011-04-14,2.3332,2.4233,2.1537,2.2439,14075
2011-04-15,2.3332,2.4233,2.2439,2.3332,1547
2011-04-18,2.2439,2.2439,2.2439,2.2439,2786
2011-04-19,2.2439,2.2439,2.2439,2.2439,112
2011-04-20,2.2439,2.2439,2.2439,2.2439,1059
2011-04-21,2.1537,2.2439,2.1537,2.2439,2789
2011-04-26,2.1537,2.3332,2.0645,2.2439,3020
2011-04-27,2.2439,2.2439,2.2439,2.2439,5
2011-04-28,2.2439,2.2439,2.2439,2.2439,112
2011-04-29,2.2309,2.2309,2.1379,2.1379,1282
2011-05-02,2.0645,2.0645,2.0645,2.0645,1147
2011-05-04,2.0645,2.0645,2.0645,2.0645,19
2011-05-05,2.0645,2.1537,2.0645,2.0645,6496
2011-05-06,2.0645,2.0645,2.0645,2.0645,1838
2011-05-09,2.0645,2.1537,2.0645,2.0645,4493
2011-05-10,2.0645,2.1537,1.9744,2.0645,3644
2011-05-11,2.0645,2.0645,1.9744,1.9744,637
2011-05-12,1.9744,2.0645,1.9744,2.0645,4224
2011-05-13,2.0645,2.1537,2.0645,2.1537,831
2011-05-16,2.1537,2.1537,2.0645,2.0645,15287
2011-05-17,2.1537,2.1537,2.1537,2.1537,1002
2011-05-18,2.1537,2.4233,2.1537,2.4233,8674
2011-05-19,2.4233,2.4233,2.0645,2.3332,7140
2011-05-20,2.3332,2.3332,2.3332,2.3332,112
2011-05-24,2.2439,2.3332,2.2439,2.3332,2863
2011-05-25,2.3332,2.3332,2.2439,2.2439,1135
2011-05-26,2.2439,2.3332,2.2439,2.3332,135
2011-05-27,2.2439,2.2439,2.2439,2.2439,112
2011-05-30,2.2439,2.2439,2.1537,2.1537,1674
2011-05-31,2.1379,2.2309,2.1379,2.2309,3508
2011-06-01,2.2439,2.2439,2.1537,2.2439,3113
2011-06-02,2.2439,2.2439,2.1537,2.1537,501
2011-06-03,2.1537,2.2439,2.1537,2.2439,440
2011-06-06,2.1537,2.2439,2.0645,2.2439,7621
2011-06-07,2.2309,2.2309,2.2309,2.2309,190
2011-06-08,2.2309,2.2309,2.045,2.2309,2240
2011-06-09,2.2309,2.2309,2.2309,2.2309,844
2011-06-10,2.2439,2.2439,2.2439,2.2439,133
2011-06-13,2.2439,2.2439,2.0645,2.2439,12553
2011-06-14,2.2439,2.3332,2.2439,2.2439,5603
2011-06-15,2.2439,2.3332,2.2439,2.3332,3877
2011-06-16,2.3238,2.4167,2.3238,2.4167,5460
2011-06-17,2.4167,2.5097,2.4167,2.5097,12591
2011-06-20,2.5126,2.5126,2.5126,2.5126,334
2011-06-21,2.5097,2.6026,2.5097,2.6026,5561
2011-06-22,2.6026,2.6026,2.6026,2.6026,1610
2011-06-24,2.5097,2.5097,2.3238,2.4167,2430
2011-06-27,2.5097,2.5097,2.4167,2.4167,680
2011-06-28,2.3238,2.5097,2.3238,2.5097,670
2011-06-29,2.6026,2.6026,2.4167,2.5097,1889
2011-06-30,2.5097,2.6026,2.5097,2.6026,1115
2011-07-01,2.6026,2.6026,2.6026,2.6026,211
2011-07-04,2.6026,2.6026,2.4167,2.6026,2231
2011-07-05,2.7886,3.1605,2.6026,2.8816,5013
2011-07-06,2.7886,2.8816,2.6956,2.8816,2165
2011-07-07,2.8816,2.9746,2.7886,2.7886,553
2011-07-08,2.6956,2.7886,2.6026,2.7886,1129
2011-07-11,2.7886,2.9746,2.6956,2.9746,1211
2011-07-12,2.9746,2.9746,2.9746,2.9746,1140
2011-07-13,2.9746,2.9746,2.9746,2.9746,54
2011-07-14,2.9746,2.9746,2.9746,2.9746,43
2011-07-15,2.9746,2.9746,2.9746,2.9746,54
2011-07-18,2.9746,2.9746,2.7886,2.7886,947
2011-07-19,2.7886,2.7886,2.6026,2.6026,2323
2011-07-20,2.6026,2.6956,2.6026,2.6956,491
2011-07-21,2.6956,2.6956,2.6956,2.6956,10
2011-07-22,2.6026,2.6956,2.5097,2.6956,1162
2011-07-25,2.5097,2.5097,2.5097,2.5097,3658
2011-07-26,2.5097,2.6956,2.5097,2.6956,2205
2011-07-27,2.5097,2.6956,2.5097,2.6956,1022
2011-08-01,2.6956,2.7886,2.6956,2.7886,310
2011-08-02,2.7886,2.7886,2.7886,2.7886,54
2011-08-03,2.7886,2.7886,2.6026,2.7886,1023
2011-08-04,2.7886,2.7886,2.6956,2.7886,1087
2011-08-05,2.6026,2.6956,2.6026,2.6026,4939
2011-08-08,2.6026,2.6026,2.6026,2.6026,108
2011-08-09,2.4167,2.6026,2.4167,2.6026,5698
2011-08-10,2.4167,2.5097,2.1379,2.5097,12639
2011-08-11,2.5097,2.5097,2.2309,2.5097,555
2011-08-12,2.4167,2.5097,2.3238,2.5097,636
2011-08-16,2.5097,2.5097,2.5097,2.5097,54
2011-08-17,2.5097,2.5097,2.4167,2.5097,692
2011-08-18,2.5097,2.5097,2.3238,2.4167,1162
2011-08-19,2.4167,2.5097,2.4167,2.5097,737
2011-08-22,2.5097,2.5097,2.5097,2.5097,75
2011-08-23,2.5097,2.7886,2.5097,2.7886,7142
2011-08-25,2.7886,2.7886,2.7886,2.7886,37
2011-08-26,2.7886,2.8816,2.7886,2.8816,18021
2011-08-29,2.8816,2.8816,2.8816,2.8816,38
2011-08-30,2.8816,2.8816,2.7886,2.8816,2387
2011-08-31,2.7886,2.9746,2.7886,2.9746,22158
2011-09-01,2.9746,2.9746,2.9746,2.9746,194
2011-09-02,2.9746,2.9746,2.7886,2.7886,4357
2011-09-05,2.7886,2.7886,2.6026,2.6026,1097
2011-09-06,2.6026,2.6026,2.6026,2.6026,191
2011-09-07,2.6026,2.7886,2.6026,2.7886,2475
2011-09-08,2.7886,2.9746,2.7886,2.7886,2449
2011-09-09,2.7886,2.9746,2.7886,2.9746,5583
2011-09-12,2.9746,2.9746,2.9746,2.9746,43
2011-09-13,2.9746,2.9746,2.7886,2.8816,1194
2011-09-14,2.7886,2.8816,2.7886,2.8816,2593
2011-09-15,2.7886,2.7886,2.7886,2.7886,258
2011-09-16,2.7886,2.7886,2.7886,2.7886,387
2011-09-19,2.7886,2.7886,2.7886,2.7886,43
2011-09-20,2.7886,2.7886,2.7886,2.7886,39
2011-09-21,2.7886,2.7886,2.7886,2.7886,43
2011-09-22,2.7886,3.3464,2.7886,2.9746,53950
2011-09-23,2.9746,3.2534,2.7886,2.9746,28552
2011-09-26,2.8816,2.9746,2.6026,2.9746,13943
2011-09-27,2.9746,3.1605,2.8816,3.0675,18040
2011-09-28,3.0675,3.6252,3.0675,3.5323,92689
2011-09-29,3.5323,4.5547,3.4393,4.4617,39136
2011-09-30,4.0899,4.4617,3.8111,3.997,40826
2011-10-03,4.0899,4.0899,3.2534,3.6252,15050
2011-10-04,3.3464,3.5323,2.8816,2.8816,14683
2011-10-05,2.8816,2.8816,2.3238,2.7886,7480
2011-10-06,2.6956,2.8816,2.6956,2.8816,2642
2011-10-07,2.8816,2.8816,2.6956,2.7886,6267
2011-10-10,2.7886,2.7886,2.4167,2.6956,2535
2011-10-11,2.6956,2.6956,2.6026,2.6026,376
2011-10-12,2.6026,2.6956,2.6026,2.6956,861
2011-10-13,2.6956,2.6956,2.3238,2.6956,4439
2011-10-14,2.6956,2.7886,2.6956,2.7886,576
2011-10-17,2.7886,2.7886,2.7886,2.7886,22
2011-10-18,2.7886,2.7886,2.7886,2.7886,22
2011-10-19,2.7886,2.7886,2.7886,2.7886,10
2011-10-20,2.7886,2.7886,2.3238,2.6026,6471
2011-10-21,2.6026,2.6956,2.6026,2.6956,1559
2011-10-24,2.6956,2.6956,2.3238,2.3238,5260
2011-10-25,2.3238,2.5097,2.3238,2.5097,614
2011-10-26,2.4167,2.6026,2.4167,2.5097,3948
2011-10-27,2.5097,2.6026,2.5097,2.6026,1161
2011-10-28,2.6026,2.6026,2.6026,2.6026,43
2011-10-31,2.6026,2.6026,2.6026,2.6026,43
2011-11-02,2.6026,2.6026,2.4167,2.6026,434
2011-11-03,2.6026,2.6026,2.3238,2.6026,721
2011-11-04,2.6026,2.6026,2.3238,2.5097,485
2011-11-07,2.5097,2.5097,2.5097,2.5097,34
2011-11-09,2.4167,2.5097,2.4167,2.5097,613
2011-11-10,2.5097,2.5097,2.5097,2.5097,43
2011-11-14,2.5097,2.5097,2.1379,2.5097,1311
2011-11-15,2.5097,2.5097,2.5097,2.5097,43
2011-11-16,2.5097,2.5097,2.5097,2.5097,3979
2011-11-17,2.4167,2.5097,2.4167,2.5097,226
2011-11-18,2.5097,2.5097,2.5097,2.5097,10
2011-11-21,2.5097,2.5097,2.5097,2.5097,43
2011-11-22,2.5097,2.5097,2.5097,2.5097,43
2011-11-23,2.5097,2.5097,2.1379,2.4167,1605
2011-11-24,2.4167,2.5097,2.4167,2.5097,312
2011-11-25,2.5097,2.5097,2.5097,2.5097,151
2011-11-28,2.5097,2.5097,2.5097,2.5097,54
2011-11-29,2.5097,2.5097,2.5097,2.5097,161
2011-11-30,2.5097,2.5097,2.5097,2.5097,43
2011-12-01,2.5097,2.6026,2.5097,2.6026,1007
2011-12-02,2.6026,2.6956,2.6026,2.6956,789
2011-12-05,2.6956,2.7886,2.6956,2.7886,1103
2011-12-06,2.7886,2.7886,2.7886,2.7886,242
2011-12-07,2.7886,2.8816,2.7886,2.8816,323
2011-12-08,2.8816,2.8816,2.8816,2.8816,10
2011-12-09,2.8816,2.8816,2.7886,2.8816,683
2011-12-12,2.8816,2.8816,2.8816,2.8816,38
2011-12-13,2.8816,2.8816,2.8816,2.8816,119
2011-12-14,2.8816,2.8816,2.8816,2.8816,43
2011-12-15,2.8816,2.8816,2.8816,2.8816,38
2011-12-16,2.8816,2.8816,2.8816,2.8816,38
2011-12-19,2.8816,2.8816,2.5097,2.6956,1221
2011-12-23,2.5097,2.7886,2.5097,2.7886,646
2011-12-30,2.7886,2.8816,2.7886,2.7886,981
2012-01-02,2.6956,2.6956,2.6956,2.6956,581
2012-01-03,2.6956,2.6956,2.6026,2.6956,646
2012-01-04,2.6956,2.6956,2.6956,2.6956,22
2012-01-05,2.6956,2.6956,2.6956,2.6956,22
2012-01-09,2.6956,2.6956,2.6956,2.6956,22
2012-01-10,2.6956,2.6956,2.6956,2.6956,38
2012-01-11,2.6956,2.6956,2.6956,2.6956,10
2012-01-12,2.6956,2.6956,2.6956,2.6956,38
2012-01-13,2.6026,2.6956,2.6026,2.6956,325
2012-01-16,2.6956,2.6956,2.6956,2.6956,22
2012-01-17,2.6956,2.6956,2.6026,2.6956,8993
2012-01-18,2.6956,2.6956,2.6956,2.6956,22
2012-01-19,2.6956,2.6956,2.6956,2.6956,22
2012-01-20,2.6026,2.6026,2.6026,2.6026,378
2012-01-23,2.6026,2.6026,2.6026,2.6026,54
2012-01-24,2.6026,2.6026,2.6026,2.6026,22
2012-01-25,2.6026,2.6956,2.6026,2.6956,538
2012-01-26,2.6956,2.6956,2.5097,2.5097,323
2012-01-27,2.5097,2.5097,2.5097,2.5097,460
2012-01-30,2.5097,2.5097,2.5097,2.5097,15
2012-01-31,2.4167,2.4167,2.4167,2.4167,323
2012-02-01,2.5097,2.6026,2.5097,2.6026,441
2012-02-02,2.6026,2.6026,2.6026,2.6026,10
2012-02-03,2.5097,2.6956,2.5097,2.6956,543
2012-02-06,2.6956,2.6956,2.6956,2.6956,10
2012-02-07,2.6956,2.6956,2.6956,2.6956,10
2012-02-08,2.6956,2.6956,2.6956,2.6956,10
2012-02-09,2.6956,3.1605,2.5097,3.1605,7327
2012-02-10,2.9746,3.1605,2.6956,2.7886,12651
2012-02-13,2.7886,2.9746,2.7886,2.9746,49117
2012-02-14,2.9746,2.9746,2.8816,2.8816,8186
2012-02-15,2.8816,2.8816,2.7886,2.7886,15104
2012-02-16,2.6956,2.7886,2.6956,2.7886,538
2012-02-17,2.7886,2.8816,2.6956,2.8816,1313
2012-02-20,2.8816,2.8816,2.8816,2.8816,38
