Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-10-12,3.09239,3.09239,2.63177,2.89492,143366.16514043
2011-10-13,2.93259,2.93259,2.77278,2.90436,8546.9357799844
2011-10-14,2.84801,2.86689,2.72578,2.86689,7121.7614680298
2011-10-17,2.77278,2.84801,2.63177,2.63177,9995.7431194624
2011-10-18,2.61298,2.72578,2.52841,2.67887,3580.917431263
2011-10-19,2.81979,2.81979,2.67887,2.72578,4532.4036698138
2011-10-20,2.62242,2.81045,2.62242,2.81045,4681.3944955048
2011-10-21,2.67887,2.81045,2.66943,2.77278,1837.2110092104
2011-10-24,2.81045,3.10183,2.81045,3.10183,7161.834862526
2011-10-25,2.96081,3.24275,2.81979,3.24275,17335.339449882
2011-10-26,3.06417,3.57179,3.05472,3.52479,5779.816513875
2011-10-27,3.40255,3.59058,3.39321,3.59058,11509.284403896
2011-10-28,3.60926,3.91952,3.47768,3.88196,27942.458716145
2011-10-31,3.85373,3.85373,3.71281,3.78794,623.7064220306
2011-11-02,3.66571,3.74094,3.66571,3.74094,638.0917431318
2011-11-03,3.74094,3.74094,3.74094,3.74094,586.7155963418
2011-11-04,3.75038,3.75038,3.71281,3.72216,720.2935779958
2011-11-07,3.7316,3.7316,3.71281,3.71281,5747.9633028652
2011-11-08,3.72216,3.78794,3.66571,3.66571,2043.7431193062
2011-11-09,3.57179,3.71281,3.47768,3.65637,2287.2660550908
2011-11-10,3.65637,3.66571,3.60002,3.60002,9510.7522937648
2011-11-14,3.70337,3.86317,3.10183,3.68459,8860.3302754034
2011-11-15,3.68459,3.68459,3.6187,3.68459,1182.6788991058
2011-11-17,3.68459,3.68459,3.53413,3.68459,6412.7706423278
2011-11-18,3.68459,3.68459,3.68459,3.68459,10.275229358
2011-11-21,3.68459,3.68459,3.47768,3.47768,1701.5779816848
2011-11-22,3.50591,3.62814,3.50591,3.62814,962.7889908446
2011-11-23,3.51535,3.59058,3.47768,3.57179,1510.458715626
2011-11-24,3.52479,3.52479,3.52479,3.52479,1064.5137614888
2011-11-25,3.43077,3.51535,3.10183,3.51535,6238.0917432418
2011-11-28,3.36499,3.51535,3.36499,3.51535,2447.5596330756
2011-11-29,3.51535,3.51535,3.43077,3.48712,1377.9082569078
2011-11-30,3.51535,3.51535,3.38377,3.38377,1809.4678899438
2011-12-01,3.36499,3.36499,3.36499,3.36499,10.275229358
2011-12-02,3.51535,3.51535,3.28985,3.34611,1393.3211009448
2011-12-05,3.51535,3.51535,3.36499,3.36499,786.055045887
2011-12-06,3.38377,3.51535,3.38377,3.51535,7447.4862386784
2011-12-07,3.51535,3.56235,3.38377,3.56235,11571.96330298
2011-12-08,3.62814,3.62814,3.62814,3.62814,5.137614679
2011-12-09,3.57179,3.57179,3.57179,3.57179,2.0550458716
2011-12-12,3.60926,3.60926,3.52479,3.52479,1703.6330275564
2011-12-13,3.57179,3.57179,3.48712,3.54357,2767.1192661094
2011-12-14,3.57179,3.57179,3.49656,3.57179,7768.073394648
2011-12-15,3.57179,3.57179,3.57179,3.57179,1.0275229358
2011-12-16,3.57179,3.57179,3.48712,3.57179,1076.8440367184
2011-12-19,3.57179,3.57179,3.57179,3.57179,328.807339456
2011-12-20,3.57179,3.57179,3.57179,3.57179,460.3302752384
