Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-09-08,43.044,43.044,43.044,43.044,191968.66207465
1997-09-09,44.3881,44.3881,44.3881,44.3881,115707.64138274
1997-09-10,45.7322,45.7322,45.7322,45.7322,56501.020691328
1997-09-11,44.7268,44.7268,44.7268,44.7268,77999.062071275
1997-09-12,44.0533,44.0533,44.0533,44.0533,49799.393104923
1997-09-15,44.0533,44.0533,44.0533,44.0533,188009.3241435
1997-09-16,46.0699,46.0699,46.0699,46.0699,47412.468966921
1997-09-17,46.0699,46.0699,46.0699,46.0699,65646.179312288
1997-09-18,46.4067,46.4067,46.4067,46.4067,66660.910346801
1997-09-19,46.4067,46.4067,46.4067,46.4067,211740.19310972
1997-09-22,47.0792,47.0792,47.0792,47.0792,52795.365518804
1997-09-23,47.0792,47.0792,47.0792,47.0792,20019.972414386
1997-09-24,45.7322,45.7322,45.7322,45.7322,16735.724138426
1997-09-25,45.7322,45.7322,45.7322,45.7322,54989.40689818
1997-09-26,46.0699,46.0699,46.0699,46.0699,123882.09655539
1997-09-29,45.7322,45.7322,45.7322,45.7322,11346.53793137
1997-09-30,46.4067,46.4067,46.4067,46.4067,42206.731035732
1997-10-01,46.4067,46.4067,46.4067,46.4067,29001.600000859
1997-10-02,47.0792,47.0792,47.0792,47.0792,14264.937931457
1997-10-03,44.7268,44.7268,44.7268,44.7268,7792.8827588514
1997-10-06,45.0607,45.0607,45.0607,45.0607,39512.662070135
1997-10-07,45.7322,45.7322,45.7322,45.7322,40799.944828794
1997-10-08,46.7415,46.7415,46.7415,46.7415,35511.3931045
1997-10-09,47.0792,47.0792,47.0792,47.0792,69143.227588254
1997-10-10,47.415,47.415,47.415,47.415,74647.724140141
1997-10-13,48.7601,48.7601,48.7601,48.7601,41408.993104674
1997-10-14,51.1144,51.1144,51.1144,51.1144,44994.096553056
1997-10-15,51.7879,51.7879,51.7879,51.7879,39426.703449443
1997-10-16,51.7879,51.7879,51.7879,51.7879,91624.55172685
1997-10-17,50.7786,50.7786,50.7786,50.7786,29872.717242264
1997-10-20,51.1144,51.1144,51.1144,51.1144,94926.620692465
1997-10-21,51.1144,51.1144,51.1144,51.1144,75209.600002227
1997-10-22,51.7879,51.7879,51.7879,51.7879,35114.096552764
1997-10-23,51.1144,51.1144,51.1144,51.1144,12685.186207272
1997-10-24,49.0959,49.0959,49.0959,49.0959,17488.386207414
1997-10-27,46.7415,46.7415,46.7415,46.7415,18757.848276417
1997-10-28,42.3724,42.3724,42.3724,42.3724
1997-10-29,46.4067,46.4067,46.4067,46.4067,70160.055174491
1997-10-30,45.0607,45.0607,45.0607,45.0607,64986.813795027
1997-10-31,44.0533,44.0533,44.0533,44.0533,16050.151724613
1997-11-03,45.3974,45.3974,45.3974,45.3974,7389.2965519429
1997-11-04,46.4067,46.4067,46.4067,46.4067,25187.972414539
1997-11-05,47.0792,47.0792,47.0792,47.0792,14333.075862493
1997-11-06,46.0699,46.0699,46.0699,46.0699,11603.365517585
1997-11-07,46.4067,46.4067,46.4067,46.4067,33298.482759606
1997-11-12,45.7322,45.7322,45.7322,45.7322,101121.93103748
1997-11-13,45.0607,45.0607,45.0607,45.0607,28731.144828437
1997-11-14,44.3881,44.3881,44.3881,44.3881,23189.958621376
1997-11-17,45.3974,45.3974,45.3974,45.3974,27645.131035301
1997-11-18,46.0699,46.0699,46.0699,46.0699,36234.703449349
1997-11-19,45.7322,45.7322,45.7322,45.7322,76917.241381587
1997-11-20,45.7322,45.7322,45.7322,45.7322,36096.331035551
1997-11-21,45.3974,45.3974,45.3974,45.3974,34899.200001033
1997-11-24,44.3881,44.3881,44.3881,44.3881,13042.648276248
1997-11-25,43.044,43.044,43.044,43.044,19830.234483346
1997-11-26,43.3779,43.3779,43.3779,43.3779,8393.5448278347
1997-11-27,42.3724,42.3724,42.3724,42.3724,7754.0965519537
1997-11-28,41.6989,41.6989,41.6989,41.6989,6540.1931036419
1997-12-01,42.7063,42.7063,42.7063,42.7063,3375.448275962
1997-12-02,42.7063,42.7063,42.7063,42.7063,54257.710346434
1997-12-03,42.7063,42.7063,42.7063,42.7063,13737.65517282
1997-12-04,41.3641,41.3641,41.3641,41.3641,32307.862069922
1997-12-05,42.3724,42.3724,42.3724,42.3724,24940.579311083
1997-12-08,42.0347,42.0347,42.0347,42.0347,28132.579311178
1997-12-09,41.6989,41.6989,41.6989,41.6989,24648.110345557
1997-12-10,41.3641,41.3641,41.3641,41.3641,4926.89655187
1997-12-11,40.6897,40.6897,40.6897,40.6897,37925.572414916
1997-12-12,40.6897,40.6897,40.6897,40.6897,15323.696552178
1997-12-15,41.6989,41.6989,41.6989,41.6989,21198.234483386
1997-12-16,42.0347,42.0347,42.0347,42.0347,32291.089656128
1997-12-17,41.3641,41.3641,41.3641,41.3641,44568.496553044
1997-12-18,41.3641,41.3641,41.3641,41.3641,52782.786208459
1997-12-19,40.0181,40.0181,40.0181,40.0181,39091.255173571
1997-12-22,38.3372,38.3372,38.3372,38.3372,8920.827586471
1997-12-23,38.3372,38.3372,38.3372,38.3372,12344.49655209
1997-12-29,37.6647,37.6647,37.6647,37.6647,3830.4000001134
1997-12-30,38.6721,38.6721,38.6721,38.6721,38261.020690788
1997-12-31,40.352,40.352,40.352,40.352,4349.2965518529
1998-01-05,42.3724,42.3724,42.3724,42.3724,11732.303448623
1998-01-06,42.3724,42.3724,42.3724,42.3724,31034.20689747
1998-01-07,42.3724,42.3724,42.3724,42.3724,38517.848277002
1998-01-08,42.0347,42.0347,42.0347,42.0347,39644.74482876
1998-01-09,41.0245,41.0245,41.0245,41.0245,2528.4413793852
1998-01-12,37.9995,37.9995,37.9995,37.9995,12308.855172778
1998-01-13,39.6804,39.6804,39.6804,39.6804,8435.4758623187
1998-01-14,39.3427,39.3427,39.3427,39.3427,18166.620690193
1998-01-15,39.0088,39.0088,39.0088,39.0088,3424.7172414807
1998-01-16,39.0088,39.3427,38.3372,38.3372,18655.117241932
1998-01-19,38.6721,38.6721,38.3372,38.3372,7244.6344829731
1998-01-20,39.3427,39.3427,38.3372,38.3372,15479.889655631
1998-01-21,38.3372,38.3372,38.3372,38.3372,3384.8827587209
1998-01-22,37.6647,37.9995,37.6647,37.9995,4323.0896553004
1998-01-23,36.9893,38.3372,36.9893,38.3372,13030.068965903
1998-01-26,38.6721,38.6721,37.3261,37.3261,3345.0482759611
1998-01-27,38.6721,38.6721,38.6721,38.6721,4843.034482902
1998-01-28,39.0088,40.352,39.0088,40.352,13714.593103854
1998-01-29,38.6721,39.6804,38.3372,39.0088,10102.234483058
1998-01-30,39.3427,39.3427,39.3427,39.3427,14463.062069394
1998-02-02,40.352,42.0347,40.352,41.6989,8002.5379312714
1998-02-03,42.3724,42.3724,41.6989,41.6989,27361.048276672
1998-02-04,42.3724,42.3724,41.6989,41.6989,17214.786207406
1998-02-05,41.6989,43.3779,41.6989,43.3779,3566.2344828642
1998-02-06,43.3779,45.0607,43.3779,44.3881,44305.379311656
1998-02-09,44.7268,45.0607,44.7268,45.0607,8267.7517243827
1998-02-10,44.7268,45.0607,44.7268,44.7268,22804.193104123
1998-02-11,45.0607,45.3974,44.7268,44.7268,11936.717241733
1998-02-12,45.0607,45.0607,43.044,43.044,6941.6827588262
1998-02-13,43.3779,43.3779,43.3779,43.3779,9788.8000002898
1998-02-16,43.7156,43.7156,43.3779,43.3779,4414.2896553031
1998-02-17,43.7156,43.7156,43.7156,43.7156,10087.558620988
1998-02-18,43.3779,43.7156,43.3779,43.7156,11477.572414133
1998-02-19,44.0533,44.7268,43.7156,44.7268,19168.772414361
1998-02-20,43.3779,43.3779,39.3427,42.3724,17452.744828103
1998-02-23,41.0245,42.3724,41.0245,42.3724,35447.448276911
1998-02-24,40.352,40.352,39.3427,39.3427,25422.786207649
1998-02-25,41.0245,41.0245,40.352,40.352,30198.731035377
1998-02-26,41.6989,41.6989,40.6897,40.6897,31183.062069889
1998-02-27,42.0347,42.0347,41.3641,41.6989,29787.806897434
1998-03-02,42.3724,44.0533,42.0347,43.3779,46323.310346199
1998-03-03,42.3724,42.3724,41.0245,41.0245,42587.255173675
1998-03-04,41.6989,41.6989,40.352,40.352,22590.344828255
1998-03-05,41.6989,41.6989,41.3641,41.3641,40215.006897742
1998-03-06,41.0245,42.0347,41.0245,41.6989,32731.36551821
1998-03-09,42.3724,44.0533,42.3724,43.3779,30077.131035373
1998-03-10,43.044,45.7322,43.044,45.3974,46914.537932423
1998-03-11,47.0792,47.7527,45.7322,46.7415,89386.482761267
1998-03-12,46.7415,48.4233,46.7415,48.4233,50636.96551874
1998-03-13,49.7684,49.7684,48.4233,49.0959,55366.786208536
1998-03-16,49.7684,49.7684,48.4233,48.7601,37475.862070075
1998-03-17,49.7684,49.7684,47.0792,47.0792,17411.862069481
1998-03-18,48.7601,48.7601,47.7527,48.0866,30342.344828484
1998-03-19,47.7527,47.7527,46.4067,46.4067,14260.744828008
1998-03-20,47.0792,47.0792,46.0699,46.4067,42231.889656423
1998-03-23,46.0699,46.0699,45.0607,45.0607,10628.468965832
1998-03-24,45.0607,45.0607,44.3881,44.3881,22790.565517916
1998-03-25,44.3881,45.0607,44.3881,44.3881,27123.089655975
1998-03-26,44.0533,44.0533,43.3779,43.7156,26697.489655963
1998-03-27,43.3779,43.3779,42.7063,43.044,20849.158621307
1998-03-30,43.044,43.044,43.044,43.044,21169.931035109
1998-03-31,43.3779,43.7156,43.3779,43.3779,27297.103449084
1998-04-01,44.3881,44.3881,43.7156,43.7156,17821.737931562
1998-04-02,43.3779,43.7156,43.3779,43.7156,5027.5310346316
1998-04-06,43.7156,44.0533,43.044,44.0533,22628.082759291
1998-04-07,43.7156,43.7156,42.7063,42.7063,10983.834483084
1998-04-08,43.3779,43.3779,42.3724,42.3724,10776.275862388
1998-04-09,41.6989,42.0347,41.6989,42.0347,11340.248276198
1998-04-14,41.6989,42.0347,41.6989,42.0347,6045.4068967307
1998-04-15,41.6989,41.6989,41.0245,41.6989,10284.634483063
1998-04-16,41.3641,43.044,41.0245,41.0245,3527.4482759665
1998-04-17,44.3881,44.3881,42.0347,42.0347,9681.8758623556
1998-04-20,41.6989,41.6989,41.0245,41.3641,13268.0275866
1998-04-21,41.0245,41.0245,40.352,40.352,2252.7448276529
1998-04-22,41.0245,41.3641,41.0245,41.3641,11892.689655524
1998-04-23,41.0245,41.3641,41.0245,41.3641,20044.082759214
1998-04-24,41.6989,42.7063,41.6989,42.3724,10319.227586512
1998-04-27,42.3724,42.3724,41.6989,41.6989,31895.889656117
1998-04-28,42.3724,42.3724,42.3724,42.3724,15197.903448726
1998-04-29,41.0245,41.0245,40.6897,40.6897,7109.4068967622
1998-04-30,41.0245,41.0245,40.352,40.6897,2503.2827586948
1998-05-04,41.0245,41.0245,40.352,40.6897,18403.531035028
1998-05-05,41.0245,41.0245,40.6897,40.6897,20782.068966132
1998-05-06,41.0245,41.0245,40.352,40.352,2633.2689655952
1998-05-07,41.6989,41.6989,41.6989,41.6989,38124.744828715
1998-05-08,41.0245,41.6989,41.0245,41.3641,78350.234485078
1998-05-11,42.3724,42.3724,41.0245,41.0245,25471.006897306
1998-05-12,40.6897,40.6897,39.6804,39.6804,7481.5448278077
1998-05-13,39.3427,39.3427,38.3372,38.3372,7659.7517243647
1998-05-14,37.9995,37.9995,36.9893,37.6647,8036.0827588586
1998-05-15,36.9893,37.3261,35.9819,36.9893,10015.227586503
1998-05-18,34.9736,34.9736,33.9643,33.9643,7110.4551726243
1998-05-19,33.0237,33.0237,32.6193,32.6193,3660.5793104532
1998-05-20,31.8781,31.8781,29.9282,30.4672,3921.6000001161
1998-05-21,34.9736,34.9736,33.6286,33.6286,50571.97241529
1998-05-22,34.3011,34.3011,32.9551,32.9551,20677.241379922
1998-05-25,31.2742,31.611,30.5339,30.6007,4917.4620691111
1998-05-26,30.2649,30.2649,29.5924,29.7279,4674.2620691039
1998-05-27,27.239,27.239,25.4237,25.4237,8411.3655174904
1998-05-28,25.5572,25.624,25.2195,25.2195,28472.220690498
1998-05-29,24.2112,24.2112,23.5387,23.8086,17727.393103973
1998-06-01,23.2029,23.2029,22.7993,22.8661,25979.420690424
1998-06-02,21.8587,22.1268,21.522,21.9255,35206.344828628
1998-06-03,22.1945,23.8754,22.1945,23.4719,57317.627587904
1998-06-04,23.2029,24.5489,23.2029,24.0776,92941.186209648
1998-06-05,25.4885,27.3058,25.4885,27.3058,29662.013793982
1998-06-08,27.9774,28.9199,27.7084,28.1128,34299.586207912
1998-06-09,28.3141,28.5831,27.9106,28.0461,54476.800001613
1998-06-10,27.5738,28.5163,27.1713,28.3141,104440.77241689
1998-06-15,26.2297,26.2297,24.8856,25.1537,27715.365518062
1998-06-16,25.5572,27.1045,25.5572,27.1045,44298.041380622
