Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-12-06,2.72,2.72,1.96,1.99,226867
2021-12-07,2,2.08,1.9,1.938,60146
2021-12-08,1.93,2,1.82,1.878,48939
2021-12-09,1.878,1.878,1.66,1.749,95974
2021-12-10,1.65,1.75,1.6,1.68,30655
2021-12-13,1.6798,1.6798,1.512,1.549,28267
2021-12-14,1.592,1.676,1.55,1.634,16409
2021-12-15,1.62,1.8,1.57,1.7798,49885
2021-12-16,1.655,1.8,1.655,1.779,10956
2021-12-17,1.77,1.8,1.6,1.688,125193
2021-12-20,1.63,1.79,1.5,1.56,13483
2021-12-21,1.63,1.8,1.55,1.78,30124
2021-12-22,1.71,1.78,1.65,1.78,31968
2021-12-23,1.576,1.76,1.576,1.73,9350
2021-12-27,1.611,1.73,1.57,1.7,16423
2021-12-28,1.63,1.7,1.52,1.685,46645
2021-12-29,1.65,1.74,1.64,1.73,10016
2021-12-30,1.73,1.73,1.725,1.725,154
2022-01-03,1.745,1.85,1.74,1.839,9716
2022-01-04,1.84,1.85,1.84,1.85,1603
2022-01-05,1.85,1.85,1.72,1.848,4262
2022-01-07,1.8,1.9,1.8,1.9,3721
2022-01-10,1.93,1.95,1.82,1.94,6834
2022-01-11,1.95,1.97,1.84,1.97,12020
2022-01-12,1.98,2.04,1.97,2.03,4047
2022-01-13,2.04,2.09,2.02,2.09,4193
2022-01-14,2.09,2.1,2.09,2.1,3901
2022-01-17,2.1,2.1,2.1,2.1,2798
2022-01-18,2.11,2.11,2.106,2.11,267
2022-01-19,2.1,2.1,2.02,2.07,455
2022-01-20,2.02,2.02,1.87,1.97,9028
2022-01-21,1.97,2,1.85,1.96,9082
2022-01-24,1.96,1.96,1.8,1.9178,20923
2022-01-25,1.9,1.9,1.8,1.9,1153
2022-01-26,1.91,1.91,1.85,1.85,11
2022-01-27,1.9178,1.918,1.82,1.918,5661
2022-01-28,1.94,2,1.94,2,4804
2022-01-31,2,2,1.99,1.99,450
2022-02-01,1.99,2.2,1.99,2.11,7142
2022-02-02,2.11,2.17,2.1,2.17,4793
2022-02-03,2.02,2.16,2.02,2.15,1050
2022-02-04,2.16,2.16,1.9,2.15,9492
2022-02-07,2.15,2.18,2.1,2.18,2450
2022-02-08,2.06,2.15,2,2.15,1639
2022-02-09,1.98,2.12,1.925,2,13730
2022-02-10,2,2.149,2,2.059,3551
2022-02-11,2.13,2.175,2.03,2.1,5966
2022-02-14,2.03,2.099,1.97,2.01,2008
2022-02-15,1.94,2.02,1.94,1.94,2251
2022-02-16,2.029,2.07,1.85,1.999,7067
2022-02-17,1.999,1.999,1.9,1.9988,3106
2022-02-18,1.999,1.999,1.87,1.997,152
2022-02-21,1.99,1.99,1.99,1.99,100
2022-02-22,1.98,1.99,1.95,1.99,3864
2022-02-23,1.99,2,1.99,2,946
2022-02-24,1.8,1.95,1.71,1.87,11109
2022-02-25,1.86,1.93,1.66,1.93,513
2022-02-28,1.84,1.93,1.8,1.92,1522
2022-03-01,1.93,1.93,1.79,1.9,777
2022-03-02,1.89,1.89,1.88,1.88,63
2022-03-04,1.89,1.89,1.89,1.89,10
2022-03-07,1.89,1.89,1.77,1.88,2712
2022-03-08,1.89,1.89,1.89,1.89,10
2022-03-09,1.89,1.89,1.89,1.89,10
2022-03-10,1.89,1.89,1.7702,1.88,511
2022-03-11,1.88,1.89,1.88,1.89,2699
2022-03-14,1.89,1.92,1.88,1.92,5917
2022-03-15,1.92,1.98,1.92,1.98,602
2022-03-16,1.99,1.99,1.99,1.99,10
2022-03-17,1.95,1.95,1.95,1.95,10
2022-03-18,1.97,1.97,1.97,1.97,10
2022-03-22,1.98,1.99,1.95,1.99,5010
2022-03-23,1.99,1.99,1.99,1.99,10
2022-03-24,2,2,1.9,1.96,1536
2022-03-25,1.96,1.96,1.91,1.958,212
2022-03-28,1.958,1.972,1.89,1.972,3996
2022-03-29,1.99,1.99,1.9,1.988,312
2022-03-30,2,2,1.9,1.988,2054
2022-03-31,1.99,2.12,1.86,2.12,8196
2022-04-01,2.12,2.12,2.02,2.12,523
2022-04-04,2.05,2.06,2.005,2.06,301
2022-04-05,2.04,2.04,1.96,2.04,276
2022-04-06,1.94,2.04,1.94,2.04,2
2022-04-07,1.945,1.945,1.945,1.945,1
2022-04-08,2,2.01,2,2.01,8449
2022-04-11,2,2.02,1.751,1.9498,27077
2022-04-12,1.9,1.9,1.77,1.9,6935
2022-04-13,1.76,1.86,1.73,1.85,7447
2022-04-14,1.83,1.88,1.68,1.838,7752
2022-04-19,1.79,1.79,1.79,1.79,10
2022-04-20,1.79,1.81,1.68,1.8,7315
2022-04-21,1.7,1.76,1.7,1.76,2540
2022-04-22,1.76,1.76,1.74,1.74,110
2022-04-25,1.74,1.75,1.66,1.75,880
2022-04-26,1.75,1.75,1.6,1.72,1903
2022-04-27,1.7,1.7,1.66,1.68,210
2022-04-28,1.71,1.71,1.7,1.7,110
2022-04-29,1.71,1.75,1.56,1.7,6552
2022-05-02,1.68,1.7,1.68,1.7,1005
2022-05-05,1.7,1.75,1.7,1.72,1443
2022-05-06,1.72,1.75,1.69,1.75,618
2022-05-09,1.75,1.75,1.64,1.67,515
2022-05-10,1.6,1.62,1.6,1.62,200
2022-05-11,1.68,1.7,1.6,1.6,2100
2022-05-12,1.6,1.63,1.51,1.63,6100
2022-05-13,1.64,1.64,1.6,1.6,2510
2022-05-16,1.61,1.75,1.6,1.75,5015
2022-05-17,1.75,1.8,1.75,1.8,1250
2022-05-18,1.8,1.8,1.8,1.8,10
2022-05-19,1.78,1.78,1.68,1.78,211
2022-05-20,1.78,1.78,1.63,1.74,210
2022-05-23,1.76,1.76,1.6,1.7,660
2022-05-25,1.69,1.69,1.69,1.69,10
2022-05-26,1.69,1.69,1.56,1.67,950
2022-05-27,1.67,1.67,1.67,1.67,10
2022-05-30,1.66,1.66,1.66,1.66,10
2022-05-31,1.59,1.64,1.58,1.64,1300
2022-06-01,1.65,1.65,1.34,1.51,21323
2022-06-02,1.42,1.44,1.34,1.34,6546
2022-06-03,1.44,1.44,1.3,1.3,220
2022-06-06,1.32,1.45,1.32,1.45,1500
2022-06-07,1.44,1.44,1.28,1.36,4340
2022-06-08,1.4,1.4,1.4,1.4,200
2022-06-09,1.44,1.44,1.44,1.44,100
2022-06-10,1.45,1.6,1.16,1.5398,13902
2022-06-13,1.38,1.4,1.38,1.4,7100
2022-06-14,1.42,1.42,1.36,1.36,110
2022-06-15,1.39,1.39,1.39,1.39,30
2022-06-17,1.28,1.28,1.28,1.28,100
2022-06-20,1.37,1.37,1.21,1.21,2190
2022-06-22,1.34,1.34,1.34,1.34,10
2022-06-24,1.24,1.42,1.2,1.42,9842
2022-06-27,1.4878,1.78,1.4878,1.78,26043
2022-06-28,1.78,1.78,1.78,1.78,10
2022-06-29,1.7,1.7,1.7,1.7,1100
2022-06-30,1.7,1.7,1.7,1.7,15
2022-07-01,1.7,1.7,1.7,1.7,10
2022-07-04,1.64,1.64,1.6,1.6,1830
2022-07-05,1.64,1.64,1.64,1.64,200
2022-07-07,1.65,1.67,1.64,1.67,1915
2022-07-08,1.6798,1.6798,1.6,1.65,2289
2022-07-11,1.65,1.65,1.65,1.65,100
2022-07-12,1.65,1.65,1.65,1.65,15
2022-07-13,1.65,1.65,1.52,1.52,765
2022-07-14,1.6,1.6,1.55,1.55,1555
2022-07-19,1.55,1.55,1.55,1.55,1
2022-07-20,1.6,1.6,1.6,1.6,1000
2022-07-21,1.64,1.6898,1.64,1.6898,445
2022-07-22,1.6898,1.6898,1.6898,1.6898,10
2022-07-25,1.689,1.6896,1.689,1.6896,1500
2022-07-26,1.6896,1.6896,1.6896,1.6896,10
2022-07-27,1.6896,1.6896,1.6896,1.6896,1010
2022-07-28,1.6896,1.6896,1.6896,1.6896,10
2022-07-29,1.6896,1.69,1.6896,1.69,1010
2022-08-01,1.65,1.65,1.65,1.65,850
2022-08-02,1.61,1.65,1.55,1.56,900
2022-08-03,1.65,1.836,1.5,1.55,16680
2022-08-04,1.69,1.69,1.502,1.502,4002
2022-08-05,1.56,1.75,1.56,1.65,10896
2022-08-08,1.67,1.67,1.5302,1.54,13816
2022-08-09,1.6,1.6,1.52,1.58,5454
2022-08-11,1.58,1.62,1.58,1.62,1539
2022-08-12,1.63,1.65,1.63,1.63,1100
2022-08-16,1.6794,1.68,1.6792,1.68,5061
2022-08-17,1.68,1.68,1.68,1.68,339
2022-08-18,1.6794,1.6794,1.6042,1.6042,3061
2022-08-19,1.6794,1.6794,1.58,1.58,5444
2022-08-22,1.62,1.62,1.62,1.62,845
2022-08-23,1.62,1.62,1.62,1.62,500
2022-08-30,1.62,1.62,1.58,1.58,515
2022-08-31,1.58,1.58,1.58,1.58,15
2022-09-01,1.58,1.58,1.58,1.58,10
2022-09-02,1.58,1.62,1.58,1.62,910
2022-09-05,1.62,1.62,1.618,1.62,285
2022-09-06,1.62,1.6794,1.584,1.584,2718
2022-09-08,1.59,1.59,1.59,1.59,10
2022-09-09,1.59,1.668,1.59,1.668,11
2022-09-12,1.67,1.67,1.67,1.67,10
2022-09-13,1.67,1.67,1.67,1.67,10
2022-09-14,1.67,1.67,1.67,1.67,10
2022-09-15,1.67,1.67,1.67,1.67,10
2022-09-16,1.67,1.7,1.668,1.7,5860
2022-09-19,1.75,1.75,1.75,1.75,10
2022-09-20,1.74,1.74,1.7,1.7,1010
2022-09-21,1.74,1.74,1.74,1.74,10
2022-09-22,1.72,1.74,1.67,1.67,2110
2022-09-23,1.7,1.7,1.63,1.69,66
2022-09-26,1.69,1.7396,1.65,1.7396,2054
2022-09-27,1.65,1.65,1.65,1.65,2307
2022-09-28,1.7,1.7,1.7,1.7,1170
2022-09-29,1.71,1.74,1.7,1.74,3004
2022-09-30,1.74,1.74,1.64,1.64,511
2022-10-03,1.735,1.74,1.735,1.74,1155
2022-10-04,1.7,1.7,1.7,1.7,10
2022-10-05,1.7,1.7,1.5,1.7,3936
2022-10-06,1.69,1.73,1.6,1.73,4973
2022-10-07,1.72,1.72,1.5,1.5,1295
2022-10-10,1.5,1.6,1.38,1.5,7765
2022-10-11,1.39,1.46,1.23,1.4,7460
2022-10-12,1.41,1.41,1.41,1.41,10
2022-10-13,1.25,1.29,1.2,1.29,10785
2022-10-14,1.27,1.31,1.27,1.31,3600
