Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-01-08,29.9,37.995,29,32.46,541406
2021-01-11,33.5,34.08,32,32.5,82546
2021-01-12,32.6,33,32.02,32.5,23713
2021-01-13,32.6,32.795,31.7,32.4,14875
2021-01-14,31.5,31.98,30.5,31.005,25737
2021-01-15,31.38,31.9,31.15,31.15,3964
2021-01-18,31,31,29.5,29.805,14024
2021-01-19,29.8,29.8,28.4,28.85,26561
2021-01-20,28.5,28.99,28.2,28.5,5100
2021-01-21,28.59,29.99,28.59,29.26,8002
2021-01-22,29.7,29.9,28.9,29.73,2493
2021-01-25,29.99,30.3,29.005,29.19,9803
2021-01-26,29.98,29.98,29.015,29.51,4780
2021-01-27,29.99,30.9,28.035,28.6,10607
2021-01-28,30.2,30.2,28.4,29.42,9089
2021-01-29,29.42,29.84,28,28.6,10264
2021-02-01,28.5,28.85,28.285,28.6,1668
2021-02-02,29,29,28.5,28.6,1996
2021-02-03,28.6,28.9,28.495,28.51,2146
2021-02-04,28.51,30.2,28.51,29.25,14316
2021-02-05,29.9,29.9,29.245,29.89,3041
2021-02-08,29.9,30.305,29.2,30.305,9871
2021-02-09,31.46,33.3,31.33,33.3,52229
2021-02-10,34.4,35.96,33.5,35.9,59007
2021-02-11,36.1,39.03,35.4,37.7,84960
2021-02-12,37.7,39.1,36.66,37,35619
2021-02-15,38.795,38.795,36.9,37.4,20413
2021-02-16,37.4,37.4,36.6,36.6,20057
2021-02-17,37,37,36.2,36.2,33112
2021-02-18,36.6,36.6,35.4,35.51,17072
2021-02-19,36.3,36.55,35.5,36.2,11224
2021-02-22,37.3,37.3,36.3,36.85,8797
2021-02-23,37,37,36.3,36.8,14080
2021-02-24,36.805,36.805,34,34.98,20931
2021-02-25,35,35,34,34.445,10840
2021-02-26,33.4,33.495,32.1,33.375,21444
2021-03-01,34,34.565,33.03,33.7,12195
2021-03-02,34.28,34.44,33.7,34.2,19083
2021-03-03,34.5,35.5,34.5,34.76,28856
2021-03-04,34.85,35.2,34.75,35.07,32671
2021-03-05,35.07,35.07,34.72,35,11827
2021-03-08,35.1,35.1,34.4,34.5,6709
2021-03-09,34.5,34.505,33,33.1,36984
2021-03-10,33.3,33.695,32.13,33.045,10247
2021-03-11,33.05,33.05,32.655,32.85,7269
2021-03-12,32.8,33.25,32.7,32.8,14127
2021-03-15,33,33.74,33,33.2,14627
2021-03-16,33.24,33.24,32.7,33,8764
2021-03-17,33,33.25,32.1,32.8,9778
2021-03-18,32.85,33.005,32.455,32.7,2571
