Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-10-05,13.1852,15.8207,13.1852,15.8207,12129.55882346
2010-10-06,18.8467,18.8467,14.8094,14.8094,23239.999999867
2010-10-07,13.7904,13.7904,12.2497,12.2497,11721.911764639
2010-10-08,12.5654,12.8705,11.1093,11.799,2451.0294117507
2010-10-11,11.8747,11.8747,11.0704,11.0704,1030.4411764647
2010-10-12,11.0704,13.2853,10.3428,11.8825,6676.7647058442
2010-10-13,12.9394,13.4077,11.492,11.5299,3051.1764705708
2010-10-14,12.0671,12.0671,11.492,11.8747,574.4117647026
2010-10-15,11.492,11.8747,11.4153,11.8747,363.3823529391
2010-10-18,11.9894,12.4032,11.8747,12.1739,1286.764705875
2010-10-19,12.1739,13.6903,12.1739,12.7179,3242.647058805
2010-10-20,12.4877,15.2456,12.4877,13.5602,4365.7352940927
2010-10-21,13.599,14.9396,13.1395,14.1343,4488.235294092
2010-10-22,13.8662,13.8662,13.0249,13.7904,1765.4411764605
2010-10-25,13.5602,13.5602,12.6412,13.0249,1900.2941176362
2010-10-26,13.0249,13.4077,12.7179,13.4077,941.9117647005
2010-10-27,13.3999,13.5602,13.2542,13.4844,323.2352941158
2010-10-28,13.1774,13.1774,13.1774,13.1774,39.1176470586
2010-10-29,13.1774,13.7904,13.1774,13.7904,2247.2058823401
2010-11-02,13.9439,13.9439,13.7904,13.7904,142.0588235286
2010-11-03,13.7904,13.7904,13.4077,13.4077,2010.4411764591
2010-11-04,13.5602,13.5602,13.5602,13.5602,5.1470588235
2010-11-05,13.3299,13.3299,13.3299,13.3299,12.3529411764
2010-11-08,13.2542,13.2542,13.2542,13.2542,208.9705882341
2010-11-09,13.1774,13.1774,12.2585,12.8015,354.1176470568
2010-11-10,12.7179,13.0249,12.7179,12.7179,104.9999999994
2010-11-12,12.6412,12.6567,12.2585,12.2585,563.0882352909
2010-11-15,12.411,12.411,12.411,12.411,39.1176470586
2010-11-16,12.6412,12.6412,12.5654,12.5654,36.0294117645
2010-11-17,12.7179,12.7179,12.2585,12.5654,76.1764705878
2010-11-18,12.2585,12.2585,11.8747,12.2585,344.8529411745
2010-11-19,12.0282,12.6956,12.0282,12.6956,118.3823529405
2010-11-22,12.5654,12.5654,12.5654,12.5654,12.3529411764
