Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-11-16,18.94,23.68,17.59,22.32,86847
2010-11-17,23.68,27.06,22.32,26.38,49279
2010-11-18,27.74,29.09,25.03,25.71,21867
2010-11-19,26.38,27.06,23,27.06,24028
2010-11-22,27.06,27.06,24.35,25.03,6145
2010-11-23,26.38,27.06,23.68,25.03,6772
2010-11-24,25.03,25.71,24.35,25.71,5120
2010-11-25,24.35,25.71,23.68,25.03,8626
2010-11-26,25.03,25.03,24.35,25.03,1907
2010-11-29,25.03,25.03,24.35,25.03,1077
2010-11-30,24,24,24,24,3024
2010-12-01,25.03,25.03,23.68,24.35,1400
2010-12-02,24,26,24,26,4600
2010-12-03,25.71,25.71,24.35,25.03,1530
2010-12-06,25.71,25.71,24.35,25.03,4039
2010-12-07,25,29,25,26,41014
2010-12-08,26.38,27.74,25.71,26.38,3835
2010-12-09,26,26,24,26,1722
2010-12-10,25.03,27.06,24.35,26.38,4927
2010-12-13,25.71,26.38,25.03,25.71,405
2010-12-14,26.38,26.38,25.03,25.71,770
2010-12-15,25.03,25.71,25.03,25.71,402
2010-12-16,25,26,25,26,966
2010-12-17,26,26,24,26,929
2010-12-20,25.71,26.38,25.03,25.03,1011
2010-12-21,25.71,25.71,23.68,25.71,2622
2010-12-22,25,26,24,24,905
2010-12-23,24.35,25.03,23.68,25.03,1021
2010-12-27,24.35,24.35,23,23.68,825
2010-12-28,23.68,24.35,23,24.35,421
2010-12-29,24,24,24,24,62
2010-12-30,24,26,24,25,792
2010-12-31,26,26,25,26,207
2011-01-03,25.71,25.71,24.35,25.03,1038
2011-01-04,25,26,24,24,2016
2011-01-05,24,24,23,24,1563
2011-01-07,24,24,22,24,1277
2011-01-10,24,24,22,22,2528
2011-01-11,22,24,22,23,1442
2011-01-12,25,25,23,25,947
2011-01-13,25,25,23,25,877
2011-01-14,24,24,23,24,347
2011-01-17,24,24,20,23,2066
2011-01-18,22,22,20,22,924
2011-01-19,22,22,20,21,1466
2011-01-20,21,21,19,21,5315
2011-01-21,21,22,21,22,2460
2011-01-24,22,22,19,21,3098
2011-01-25,21,21,19,19,1530
2011-01-26,19,20,19,19,1571
2011-01-27,19,19,19,19,1676
2011-01-28,19,19,19,19,605
2011-01-31,19,19,18,19,4710
2011-02-01,19,20,18,20,880
2011-02-02,19,20,18,20,874
2011-02-03,19,20,18,20,254
2011-02-04,20,20,18,18,301
2011-02-07,18,20,18,20,76
2011-02-08,19,20,18,19,414
2011-02-09,19,19,18,18,335
2011-02-10,19,20,18,18,352
2011-02-11,18,19,18,19,62
2011-02-14,19,19,18,19,1066
2011-02-15,18,19,17,18,1601
2011-02-16,15,18,15,17,4048
2011-02-17,17,17,16,16,3492
2011-02-18,17,17,17,17,2427
2011-02-21,17,19,17,18,3172
2011-02-22,17,19,17,18,1244
2011-02-23,18,18,18,18,55
2011-02-24,17,17,17,17,345
2011-02-25,18,18,17,18,92
2011-02-28,17,17,17,17,881
2011-03-01,17,17,17,17,802
2011-03-02,17,18,17,18,151
2011-03-03,17,17,17,17,175
2011-03-04,17,18,17,17,243
2011-03-07,16,17,16,17,714
2011-03-08,16,17,15,17,699
2011-03-09,15,17,15,17,116
2011-03-11,14,17,14,17,722
2011-03-14,17,18,17,18,111
2011-03-15,17,17,15,16,267
2011-03-17,16,16,16,16,7
2011-03-18,16,16,15,16,1792
2011-03-21,16,17,15,17,162
2011-03-23,17,20,17,20,2828
2011-03-24,20,20,18,20,586
2011-03-25,19,20,18,20,1393
2011-03-28,18,20,18,20,685
2011-03-29,18,19,17,19,2367
2011-03-31,18,19,18,18,2342
2011-04-01,19,20,17,18,1408
2011-04-04,17,18,17,18,1113
2011-04-05,18,18,17,18,232
2011-04-06,18,18,17,18,179
2011-04-11,17,18,17,17,1240
2011-04-12,17,17,17,17,1000
2011-04-13,18,19,18,19,3476
2011-04-14,19,19,18,18,542
2011-04-15,18,19,18,19,592
2011-04-18,20,20,18,19,3935
2011-04-19,19,19,19,19
2011-04-20,19,19,18,18,1932
2011-04-21,17,18,17,18,355
2011-04-26,17,18,16,18,1791
2011-04-27,17,17,16,17,2628
2011-04-28,17,17,16,16,1295
2011-04-29,16,18,16,18,1886
2011-05-02,17,18,17,18,194
2011-05-04,17,18,17,18,59
2011-05-05,18,18,17,18,261
2011-05-06,17,17,17,17,3809
2011-05-09,17,18,17,18,1319
2011-05-10,17,18,17,18,237
2011-05-11,18,18,18,18
2011-05-12,17,17,17,17,1990
2011-05-13,17,17,16,17,100
2011-05-16,17,17,17,17,85
2011-05-17,16,17,16,17,13749
2011-05-18,16,17,16,17,493
2011-05-19,17,17,17,17,3089
2011-05-20,17,18,17,18,4243
2011-05-23,19,19,18,19,2104
2011-05-24,18,19,18,19,101
2011-05-25,18,18,18,18,690
2011-05-26,18,19,18,19,1023
2011-05-27,20,29,19,27,18390
2011-05-30,28,28,24,28,6877
2011-05-31,27,27,25,26,2498
2011-06-01,26,27,25,26,1220
2011-06-02,26,27,25,27,1761
2011-06-03,27,28,25,26,1943
2011-06-06,26,29,26,29,10397
2011-06-07,28,40,28,40,35803
2011-06-08,39,39,33,33,8537
2011-06-09,33,38,33,37,3298
2011-06-10,35,37,34,36,2297
2011-06-13,37,37,33,34,1343
2011-06-14,35,35,30,31,3976
2011-06-15,30,30,29,30,967
2011-06-16,29,30,29,30,371
2011-06-17,28,28,27,28,3961
2011-06-20,25,26,24,25,791
2011-06-21,24,27,24,25,533
2011-06-22,24,25,23,25,547
2011-06-24,24,24,23,24,708
2011-06-27,24,28,23,28,942
2011-06-28,27,27,24,25,636
2011-06-29,24,24,23,23,1446
2011-06-30,24,27,24,26,8111
2011-07-01,26,27,25,26,5941
2011-07-04,27,29,27,28,9184
2011-07-05,26,27,25,25,986
