Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-05-25,5.41621,5.41621,4.94778,5.0233,291811.82609547
2009-05-26,5.21209,5.21209,4.7059,4.81927,56987.478262532
2009-05-27,4.82684,4.82684,4.45682,4.53225,46382.608697005
2009-05-28,4.53991,4.53991,4.37364,4.41897,24319.304348535
2009-05-29,4.38112,4.68337,4.26775,4.55505,42965.217392557
2009-06-01,4.71366,4.71366,4.53225,4.623,10478.608695958
2009-06-02,4.53225,4.6758,4.47177,4.66066,29385.391305205
2009-06-03,4.64552,4.64552,4.53225,4.60029,4508.8695653489
2009-06-04,4.60029,4.7059,4.57757,4.57757,8269.5652176325
2009-06-05,4.57757,4.623,4.55505,4.623,1756.1739130947
2009-06-08,4.61533,4.64552,4.53225,4.623,7629.9130437008
2009-06-09,4.623,4.623,4.54739,4.60776,2420.869565288
2009-06-10,4.60776,4.69852,4.60776,4.64552,9185.7391307027
2009-06-12,4.63795,4.69095,4.63047,4.63047,3148.1739131353
2009-06-15,4.59262,4.72113,4.59262,4.72113,1274.0869565589
2009-06-16,4.59262,4.68337,4.5702,4.68337,2330.0869565897
2009-06-17,4.66833,4.69095,4.64552,4.64552,9043.8260872203
2009-06-18,4.59262,4.66066,4.59262,4.66066,387.1304347939
2009-06-19,4.59262,4.68337,4.58515,4.60776,3918.2608696795
2009-06-22,4.56243,4.64552,4.47177,4.53225,13282.434782996
2009-06-23,4.53225,4.58515,4.47177,4.58515,473.7391304486
2009-06-24,4.64552,4.64552,4.63795,4.64552,5296.6956523284
2009-06-25,4.66066,4.66066,4.53225,4.53225,2484.5217392029
2009-06-26,4.623,4.623,4.53225,4.53225,232.6956521807
2009-06-29,4.58515,4.58515,4.58515,4.58515,267.1304347904
2009-06-30,4.54739,4.54739,4.54739,4.54739,927.6521739401
2009-07-01,4.47944,4.57757,4.39635,4.53225,5569.0434784233
2009-07-02,4.57757,4.60776,4.45682,4.45682,14143.304348239
2009-07-03,4.5173,4.5173,4.5173,4.5173,396.521739142
2009-07-06,4.53225,4.53225,4.53225,4.53225,1985.7391304927
2009-07-07,4.49458,4.53225,4.49458,4.53225,872.3478261124
2009-07-09,4.44168,4.52477,4.38112,4.38112,11588.869565555
2009-07-10,4.38112,4.52477,4.38112,4.52477,3022.9565218273
2009-07-13,4.52477,4.52477,4.38112,4.52477,1674.7826087445
2009-07-15,4.52477,4.52477,4.32084,4.45682,2360.3478261558
2009-07-16,4.48711,4.48711,4.41897,4.48711,4605.9130436126
2009-07-17,4.42664,4.52477,4.42664,4.52477,552.0000000161
2009-07-20,4.38878,4.38878,4.38878,4.38878,1729.0434783113
2009-07-21,4.44168,4.52477,4.44168,4.44906,3340.1739131409
2009-07-22,4.44906,4.60029,4.44906,4.60029,552.0000000161
2009-07-23,4.5702,4.58515,4.5702,4.5702,2648.3478261642
2009-07-24,4.60029,4.653,4.5702,4.5702,4853.2173914459
2009-07-27,4.60029,4.60029,4.50215,4.50215,2417.7391305053
2009-07-28,4.50215,4.53991,4.50215,4.53991,247.3043478333
2009-07-29,4.50215,4.53225,4.49458,4.50215,2219.4782609343
2009-07-30,4.56243,4.59262,4.50215,4.50972,8814.2608698223
2009-07-31,4.5702,4.5702,4.5173,4.53225,4004.8695653342
2009-08-03,4.53225,4.5702,4.5173,4.56243,1509.9130435223
2009-08-04,4.53991,4.55505,4.53225,4.53991,6676.1739132382
2009-08-05,4.53991,4.5702,4.50972,4.55505,11863.304348172
2009-08-06,4.55505,4.55505,4.4643,4.53225,1082.0869565533
2009-08-07,4.57757,4.57757,4.38112,4.53991,8723.478261124
2009-08-10,4.52477,4.52477,4.41897,4.41897,1288.6956522115
2009-08-11,4.43402,4.43402,4.41897,4.41897,859.8260869816
2009-08-12,4.38878,4.79675,4.38112,4.76637,45262.956523059
2009-08-13,4.81189,4.94011,4.76637,4.88721,26322.782609463
2009-08-14,4.88721,4.97797,4.84198,4.96302,9380.869565491
2009-08-17,4.87217,4.97797,4.653,4.96302,18488.347826626
2009-08-18,4.97797,5.19714,4.97797,5.17433,27972.521739946
2009-08-19,5.182,5.43873,5.03087,5.43873,28756.173913882
2009-08-20,5.29517,5.8466,5.29517,5.8466,18763.826087504
2009-08-21,5.62005,5.98268,5.36322,5.98268,16233.391304821
2009-08-24,6.03549,6.58691,5.93726,6.49635,32421.913044424
2009-08-25,6.45102,6.5643,6.04306,6.42074,30570.782609587
2009-08-26,6.38298,6.38298,5.85427,6.34532,19732.173913619
2009-08-27,6.32251,6.38298,6.12615,6.34532,10302.260869866
2009-08-28,6.34532,6.64719,6.34532,6.42074,19670.608696226
2009-08-31,5.96754,6.11857,5.77885,6.04306,22419.130435436
2009-09-01,5.78622,6.04306,5.62005,6.01287,10324.173913345
2009-09-02,5.62752,5.62752,5.45397,5.45397,3240.0000000945
2009-09-03,5.40107,5.65781,5.0233,5.0233,17477.217391814
2009-09-04,5.03087,5.55191,5.03087,5.54453,1527.6521739576
2009-09-07,5.58977,5.58977,5.30284,5.58977,466.4347826223
2009-09-08,5.51435,5.51435,5.13676,5.36322,826.4347826328
2009-09-09,5.18957,5.42359,5.06105,5.41621,12525.913043844
2009-09-10,5.24994,5.24994,5.03834,5.24994,2688.0000000784
2009-09-14,5.38593,5.38593,5.38593,5.38593,10.434782609
2009-09-15,5.03087,5.43116,4.98544,5.43116,260.869565225
2009-09-16,5.13676,5.38593,5.0761,5.28013,10217.739130733
2009-09-17,5.2877,5.2877,5.2877,5.2877,186.7826087011
2009-09-18,5.0233,5.13676,4.79675,5.09872,1537.0434783057
