Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-04-24,1.44952,1.44952,1.44952,1.44952,2187354.479239
1997-04-25,1.38997,1.38997,1.38997,1.38997,1027752.0213622
1997-04-28,1.26387,1.26387,1.26387,1.26387,494496.95005408
1997-04-29,1.16202,1.16202,1.16202,1.16202,2040817.4806706
1997-04-30,1.22788,1.22788,1.22788,1.22788,865787.03278007
1997-05-05,1.21595,1.21595,1.21595,1.21595,1683449.2039356
1997-05-06,1.29404,1.29404,1.29404,1.29404,2049131.4136232
1997-05-07,1.28803,1.28803,1.28803,1.28803,1018672.3180814
1997-05-08,1.32993,1.32993,1.32993,1.32993,905697.35945486
1997-05-09,1.40161,1.40161,1.40161,1.40161,881733.31238009
1997-05-12,1.43769,1.43769,1.43769,1.43769,1219767.6632955
1997-05-13,1.44371,1.44371,1.44371,1.44371,828908.3451922
1997-05-14,1.35389,1.35389,1.35389,1.35389,433262.70897205
1997-05-15,1.40161,1.40161,1.40161,1.40161,398884.18543544
1997-05-16,1.38997,1.38997,1.38997,1.38997,326035.59200004
1997-05-19,1.41383,1.41383,1.41383,1.41383,266716.28387087
1997-05-20,1.41383,1.41383,1.41383,1.41383,160798.5834466
1997-05-21,1.37173,1.37173,1.37173,1.37173,468167.63621762
1997-05-22,1.35389,1.35389,1.35389,1.35389,517805.78172231
1997-05-23,1.21595,1.21595,1.21595,1.21595,442830.27387899
1997-05-26,1.22788,1.22788,1.22788,1.22788,380907.34663436
1997-05-27,1.19811,1.19811,1.19811,1.19811,459835.44648895
1997-05-28,1.19811,1.19811,1.19811,1.19811,367824.33807562
1997-05-30,1.25786,1.25786,1.25786,1.25786,274467.29956247
1997-06-02,1.21595,1.21595,1.21595,1.21595,146530.91297634
1997-06-03,1.24001,1.24001,1.24001,1.24001,306623.56774965
1997-06-04,1.21595,1.21595,1.21595,1.21595,427644.69328038
1997-06-05,1.20393,1.20393,1.20393,1.20393,273952.05277218
1997-06-06,1.22788,1.22788,1.22788,1.22788,119892.24821265
1997-06-09,1.25204,1.25204,1.25204,1.25204,156392.61483049
1997-06-10,1.22207,1.22207,1.22207,1.22207,347852.43936019
1997-06-11,1.20393,1.20393,1.20393,1.20393,165740.0841597
1997-06-12,1.30577,1.30577,1.30577,1.30577,497910.96717236
1997-06-13,1.33584,1.33584,1.33584,1.33584,528546.85162208
1997-06-16,1.31179,1.31179,1.31179,1.31179,181479.45363133
1997-06-17,1.29404,1.29404,1.29404,1.29404,162542.10555781
1997-06-18,1.29404,1.29404,1.29404,1.29404,616003.90868037
1997-06-19,1.31179,1.31179,1.31179,1.31179,1049796.0641574
1997-06-20,1.35389,1.35389,1.35389,1.35389,482379.52209444
1997-06-23,1.31179,1.31179,1.31179,1.31179,304574.75177254
1997-06-24,1.31179,1.31179,1.31179,1.31179,583656.95861017
1997-06-25,1.37173,1.37173,1.37173,1.37173,579755.07986566
1997-06-26,1.35389,1.35389,1.35389,1.35389,1219056.6632956
1997-06-27,1.37173,1.37173,1.37173,1.37173,483944.53350666
1997-06-30,1.37173,1.37173,1.37173,1.37173,340763.73893248
1997-07-01,1.34777,1.34777,1.34777,1.34777,241226.78173196
1997-07-02,1.34777,1.34777,1.34777,1.34777,185995.97716898
1997-07-03,1.3599,1.3599,1.3599,1.3599,255705.41939194
1997-07-04,1.41383,1.41383,1.41383,1.41383,371899.65619245
1997-07-07,1.41383,1.41383,1.41383,1.41383,290076.84307119
1997-07-08,1.41975,1.41975,1.41975,1.41975,94063.981451783
1997-07-09,1.47358,1.47358,1.47358,1.47358,263631.90298652
1997-07-10,1.47358,1.47358,1.47358,1.47358,1091559.4535996
1997-07-11,1.46766,1.46766,1.46766,1.46766,914122.86159436
1997-07-14,1.41383,1.41383,1.41383,1.41383,246495.89014832
1997-07-15,1.30577,1.30577,1.30577,1.30577,299610.93722207
1997-07-16,1.34777,1.34777,1.34777,1.34777,314281.27103041
1997-07-17,1.35389,1.35389,1.35389,1.35389,218650.24963574
1997-07-18,1.38997,1.38997,1.38997,1.38997,476171.20397768
1997-07-21,1.37173,1.37173,1.37173,1.37173,241036.09984894
1997-07-22,1.37173,1.37173,1.37173,1.37173,91020.171180848
1997-07-23,1.37775,1.37775,1.37775,1.37775,188830.84878086
1997-07-24,1.37775,1.37775,1.37775,1.37775,248027.43080447
1997-07-25,1.37775,1.37775,1.37775,1.37775,290881.15548201
1997-07-28,1.34777,1.34777,1.34777,1.34777,146360.51640003
