Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-08-16,17.177,18.6603,16.1722,18.6603,15323.88
2010-08-17,18.5646,18.6507,17.3206,18.6507,2904.055
2010-08-18,18.6507,19.8947,18.6507,19.8947,2821.5
2010-08-19,19.9043,20,17.7033,19.9522,592.515
2010-08-20,19.1388,21.7703,19.1388,21.4833,6669.19
2010-08-23,22.0096,22.9665,20.9569,22.9665,1058.585
2010-08-24,22.0096,22.9474,22.0096,22.5837,429.495
2010-08-25,22.0096,22.0096,22.0096,22.0096,2.09
2010-08-26,21.9809,22.9665,21.4354,22.9665,1660.505
2010-08-27,22.8708,22.8708,22.8708,22.8708,198.55
2010-08-30,22.8708,22.8708,22.8708,22.8708,2.09
2010-08-31,22.8517,22.8517,22.8517,22.8517,1.045
2010-09-01,22.8517,22.8517,22.8517,22.8517,1.045
2010-09-02,22.8517,22.8517,21.8182,21.8182,6.27
2010-09-03,22.488,22.488,22.488,22.488,20.9
2010-09-06,22.8517,22.8517,22.7751,22.7751,16.72
2010-09-07,22.8708,22.8708,22.7751,22.8708,174.515
2010-09-08,22.8708,25.311,21.0526,25.311,3601.07
2010-09-09,25.311,25.311,23.445,23.445,545.49
2010-09-10,23.9234,25.1675,23.9234,25.1675,11.495
2010-09-13,25.1675,25.1675,25.1675,25.1675,1.045
2010-09-14,25.1675,25.1675,25.1675,25.1675,1.045
2010-09-15,25.1675,25.1675,22.0096,23.445,695.97
2010-09-16,23.9234,23.9234,23.9234,23.9234,26.125
2010-09-17,25.1675,25.1675,22.6794,24.4019,270.655
2010-09-20,25.1675,25.1675,22.0096,22.9665,422.18
2010-09-21,22.9665,22.9665,22.9665,22.9665,1.045
2010-09-22,22.9665,22.9665,22.3923,22.9665,629.09
2010-09-23,22.9665,22.9665,22.0096,22.9665,390.83
2010-09-24,22.9665,22.9665,22.9665,22.9665,2.09
2010-09-27,22.9665,22.9665,21.8182,22.488,175.56
2010-09-28,22.9569,23.0622,22.0096,22.9665,6612.76
2010-09-29,22.9665,22.9665,22.9665,22.9665,1.045
2010-09-30,22.9665,23.9234,21.3397,23.9234,14270.52
2010-10-01,24.5933,24.5933,24.5933,24.5933,2.09
2010-10-04,24.5933,24.5933,22.0096,23.7321,6281.495
2010-10-05,24.0191,24.3062,21.5311,24.3062,3222.78
2010-10-06,24.5933,24.5933,21.3397,24.4976,6524.98
2010-10-07,23.9234,24.8804,23.9234,24.8804,104.5
2010-10-08,23.9234,25.1675,23.9234,25.1675,78.375
2010-10-11,24.8804,24.8804,24.8804,24.8804,2.09
2010-10-12,24.689,24.689,24.5933,24.5933,101.365
2010-10-13,24.689,24.8804,21.5311,24.8804,4570.83
2010-10-14,24.4019,26.3158,24.4019,26.3158,221.54
2010-10-15,25.8373,25.8373,25.8373,25.8373,2.09
2010-10-18,24.689,25.8373,24.689,25.8373,224.675
2010-10-19,26.0287,26.0287,24.2584,25.3589,341.715
2010-10-20,26.0287,26.0287,23.9139,23.9139,318.725
2010-10-21,24.689,26.0287,24.689,25.8373,690.745
2010-10-22,26.0287,26.0287,24.6411,25.5981,187.055
2010-10-25,26.0287,26.0287,26.0287,26.0287,2.09
2010-10-26,26.0287,26.0287,26.0287,26.0287,2.09
2010-10-27,26.0287,26.0287,26.0287,26.0287,2.09
2010-10-28,25.9809,25.9809,25.9809,25.9809,2.09
2010-11-02,25.9809,25.9809,25.9809,25.9809,2.09
2010-11-03,25.9809,25.9809,25.9809,25.9809,2.09
2010-11-04,25.9809,25.9809,25.9809,25.9809,2.09
2010-11-05,25.9809,25.9809,25.9809,25.9809,2.09
2010-11-08,25.9809,25.9809,25.9809,25.9809,2.09
2010-11-15,25.3589,25.3589,25.3589,25.3589,4.18
2010-11-16,22.9665,28.6603,22.9665,28.6603,1197.57
2010-11-17,28.6603,28.6603,28.134,28.6124,559.075
2010-11-18,28.6124,28.6124,28.6124,28.6124,2.09
2010-11-19,28.6124,30.5263,28.2297,28.7081,3905.165
2010-11-22,28.7081,29.6651,28.7081,29.6651,115.995
2010-11-23,29.6651,29.6651,29.6364,29.6555,1256.09
2010-11-24,29.7321,29.7321,28.3254,29.5694,90.915
2010-11-25,29.5311,32.5167,28.8038,31.1962,755.535
2010-11-26,30.622,33.2057,29.6651,31.5311,1605.12
2010-11-29,30.1435,33.4928,30.1435,31.7512,1120.24
2010-11-30,30.622,31.0526,26.89,30.622,5152.895
2010-12-01,29.1866,29.7416,27.7512,27.7512,4352.425
2010-12-02,29.0431,29.0431,27.3684,28.0383,144.21
2010-12-03,27.7512,28.4211,27.7512,28.3254,578.93
2010-12-06,29.2823,29.2823,28.2775,28.2775,331.265
2010-12-07,28.5167,28.6411,28.5167,28.6411,632.225
2010-12-08,28.6507,28.7177,26.7943,27.7512,890.34
2010-12-09,28.3254,28.3254,28.3254,28.3254,2.09
2010-12-10,28.3254,28.3254,26.7943,27.8373,7.315
2010-12-13,28.3158,28.3158,26.9761,28.0383,200.64
2010-12-14,28.2775,28.3158,28.2584,28.3158,1577.95
2010-12-15,28.3158,28.3158,25.8373,26.6794,2240.48
2010-12-16,26.6794,28.3254,24.8804,28.2775,2865.39
2010-12-17,28.2297,28.2297,28.2297,28.2297,2.09
2010-12-20,28.7081,28.7177,27.7512,28.6124,5153.94
2010-12-21,28.8995,29.0526,27.3876,29.0335,3938.605
2010-12-22,29.0431,36.1722,29.0431,34.4498,5363.985
2010-12-23,35.4067,42.3923,35.4067,39.7225,2454.705
2010-12-27,38.2775,40.1914,35.7895,38.756,1441.055
2010-12-28,35.9809,38.6603,35.7895,38.6603,77.33
2010-12-29,35.8852,39.2344,35.8852,39.2344,796.29
2010-12-30,40.1914,40.6699,38.2775,40.1435,633.27
2010-12-31,38.4689,41.1483,38.4689,40.1818,183.92
2011-01-03,37.5598,39.4258,32.1531,33.6842,323.95
2011-01-04,33.7321,37.799,32.1531,37.799,1144.275
2011-01-05,36.3636,38.6603,36.3636,38.6603,62.7
2011-01-07,39.4258,41.1483,35.4067,41.0526,4168.505
2011-01-10,39.9809,39.9904,39.9809,39.9904,836
2011-01-11,40.0957,42.0096,39.2344,41.6268,7202.14
2011-01-12,41.1483,41.1483,39.9043,40.9091,122.265
2011-01-13,40.89,41.1866,39.2057,40.9569,385.605
2011-01-14,38.6699,40.5742,38.6603,40.1914,526.68
2011-01-17,39.6172,39.6172,39.6172,39.6172,2.09
2011-01-18,39.2823,40.1627,38.2775,40.134,2278.1
2011-01-19,40,40,38.2775,40,169.29
2011-01-20,39.9904,39.9904,38.2775,39.8947,728.365
2011-01-21,39.8947,39.8947,39.8947,39.8947,292.6
2011-01-24,39.8852,39.8852,39.8852,39.8852,2.09
2011-01-25,38.3445,39.8469,38.3445,39.8469,54.34
2011-01-26,39.8086,39.8086,39.8086,39.8086,2.09
2011-01-27,39.8086,39.8086,39.8086,39.8086,2.09
2011-01-28,39.8086,39.8086,39.244,39.244,1047.09
2011-01-31,38.2584,39.2057,38.2584,39.2057,102.41
2011-02-01,39.2057,39.4641,39.2057,39.4641,399.19
2011-02-02,39.4258,39.4641,38.5167,39.4641,1492.26
2011-02-03,39.3301,39.3301,39.3301,39.3301,2.09
2011-02-04,39.4545,47.1962,39.4545,46.7847,2993.925
2011-02-07,45.9426,46.89,44.4976,45.933,686.565
2011-02-08,45.7129,46.89,44.689,45.933,215.27
2011-02-09,45.7033,45.7033,45.7033,45.7033,2.09
2011-02-10,45.7033,45.7033,43.445,45.6938,486.97
2011-02-11,43.5407,45.6938,43.5407,45.6938,114.95
2011-02-14,45.7033,45.7033,42.5837,44.4976,947.815
2011-02-15,45.5502,45.5502,45.5502,45.5502,2.09
2011-02-16,45.5502,45.5502,45.5502,45.5502,2.09
2011-02-17,43.3493,44.9761,42.201,44.9761,6815.49
2011-02-18,45.3589,46.3158,39.7129,45.9234,5440.27
2011-02-21,42.0957,45.9234,39.2344,43.0622,6642.02
2011-02-22,44.0096,44.0096,44.0096,44.0096,10.45
2011-02-23,44.8804,44.8804,44.8804,44.8804,2.09
2011-02-24,44.8804,44.8804,44.8804,44.8804,2.09
2011-02-25,44.5933,44.8804,42.7751,43.8278,248.71
2011-02-28,44.4019,44.4019,44.4019,44.4019,2.09
2011-03-01,44.4019,44.4019,44.4019,44.4019,2.09
2011-03-02,44.4019,44.4019,38.2775,42.488,2325.125
2011-03-03,41.1483,42.2488,41.1483,42.2488,31.35
2011-03-04,42.3923,42.3923,42.3923,42.3923,2.09
2011-03-07,42.3349,42.3349,38.2775,42.1053,2369.015
2011-03-08,42.3349,42.3349,42.3349,42.3349,2.09
2011-03-09,42.3349,42.3349,42.3349,42.3349,2.09
2011-03-10,42.3349,42.3349,42.3349,42.3349,2.09
2011-03-11,42.3254,42.3349,38.2775,42.3062,2024.165
2011-03-14,40.2871,42.2967,40.2871,42.0957,271.7
2011-03-15,39.2344,41.1483,38.2775,41.1483,900.79
2011-03-16,42.0957,42.0957,42.0957,42.0957,2.09
2011-03-17,38.2775,42.0957,38.2775,42.0957,205.865
2011-03-21,42.3158,42.3158,42.3158,42.3158,2.09
2011-03-25,40.1722,42.1053,38.2775,41.6268,318.725
2011-03-29,42.2871,42.2871,39.2344,41.6268,300.96
2011-03-30,42.2871,42.2967,41.6268,42.2967,2938.54
2011-03-31,42.2871,42.2871,42.2871,42.2871,2.09
2011-04-04,40.1914,42.0096,38.756,41.9139,242.44
2011-04-06,38.756,41.9043,38.756,41.9043,347.985
2011-04-07,39.1388,41.9043,36.3636,41.9043,2250.93
2011-04-08,41.8947,41.8947,36.5072,41.5024,418
2011-04-11,38.4689,41.9043,38.4689,41.9043,302.005
2011-04-12,40.0957,41.8947,39.1388,41.0526,148.39
2011-04-13,41.8947,41.8947,38.9474,41.8947,97.185
2011-04-14,41.8565,41.8565,39.9043,41.8469,9.405
2011-04-15,41.1483,41.1483,36.4689,40.7656,366.795
2011-04-18,39.2344,41.1483,38.3254,39.2344,83.6
2011-04-21,38.2871,39.7129,36.3636,39.7129,2682.515
2011-04-26,37.3684,39.7033,37.3684,39.7033,175.56
2011-04-27,36.5072,40.6603,36.3636,40.6603,3044.085
2011-04-28,40.8612,41.5502,38.2775,41.5502,211.09
2011-04-29,41.4641,41.4641,39.5694,41.4641,75.24
2011-05-02,39.0622,41.5598,38.067,39.2344,133.76
2011-05-04,39.2536,39.2536,35.4067,39.2344,86.735
2011-05-05,37.0335,39.2344,35.4067,39.1292,1192.345
2011-05-06,35.4067,38.9665,35.4067,38.9665,486.97
2011-05-09,37.1292,39.2344,36.2775,39.2344,330.22
2011-05-10,37.3684,39.1292,37.3684,39.1292,279.015
2011-05-11,37.4163,38.5072,34.6794,38.5072,980.21
2011-05-12,36.2201,37.9904,34.9282,37.9904,209
2011-05-13,36.3636,38.1627,36.3636,38.1627,145.255
2011-05-16,36.3636,38.1627,36.3636,38.1627,206.91
