Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-08-25,9.63,14.444,9.63,14.444,312
2017-08-28,15.407,16.37,15.407,16.37
2017-08-29,16.37,18.489,16.37,18.489
2017-08-30,20.704,24.844,20.704,24.844,208
2017-08-31,27.637,29.756,22.148,24.074,312
2017-09-04,20.222,20.222,20.222,20.222
2017-09-05,17.333,17.333,13.867,13.867,104
2017-09-06,15.311,17.815,15.311,17.815,104
2017-09-07,16.37,20.126,14.541,20.126,312
2017-09-08,20.319,25.037,20.319,23.111,312
2017-09-11,21.185,22.341,16.948,19.259,415
2017-09-14,20.222,22.341,18.296,18.296,415
2017-09-15,18.296,18.296,11.748,15.407,727
2017-09-20,14.444,14.444,13,13,104
2017-09-21,13.963,14.541,13.963,14.541
2017-09-25,14.926,16.852,14.926,16.659,312
2017-09-27,17.184,17.184,17.184,17.184
2017-09-28,16.37,16.37,16.37,16.37
2017-10-03,16.37,16.37,16.081,16.081,104
2017-10-05,16.274,16.274,15.793,15.793,104
2017-10-09,15.504,15.504,15.504,15.504
2017-10-10,15.311,15.311,15.311,15.311
2017-10-13,15.696,15.696,15.696,15.696
2017-10-16,15.889,16.048,15.889,16.048
2017-10-18,16.178,16.178,16.178,16.178
2017-10-19,15.407,15.407,15.407,15.407
2017-10-27,15.215,15.215,15.119,15.119
2017-10-31,14.733,14.733,14.733,14.733
2017-11-02,15.407,15.407,14.541,14.541
2017-11-07,15.215,15.215,14.444,14.444
2017-11-15,14.926,16.876,14.926,16.876,208
2017-11-17,16.852,16.852,16.852,16.852
2017-11-20,16.852,16.852,16.852,16.852
2017-11-21,16.852,16.852,16.852,16.852
2017-11-22,16.852,16.852,16.852,16.852
2017-11-23,16.852,16.852,16.852,16.852
2017-11-30,16.467,16.467,16.37,16.37
2017-12-01,16.37,16.37,16.37,16.37
2017-12-06,16.37,16.37,16.37,16.37
2017-12-07,16.37,16.37,16.274,16.274,104
2017-12-21,15.889,15.889,14.926,14.926,104
2017-12-27,14.926,14.926,14.444,14.444
2018-02-26,14.252,14.252,13.963,13.963
2018-04-16,13.963,13.963,13.963,13.963
2018-04-19,13.963,13.963,13.963,13.963
2018-04-25,13.963,13.963,13.963,13.963
2018-04-30,13.963,13.963,13.963,13.963
2018-05-16,13.963,13.963,13.963,13.963
2018-05-18,13.578,13.578,13.578,13.578
2018-05-22,13.385,13.385,13.385,13.385
2018-05-30,13.385,13.385,13.385,13.385
2018-06-04,13.385,13.385,13.385,13.385
2018-06-12,13.385,13.385,13.385,13.385
2018-06-15,13.385,13.385,13.385,13.385
2018-07-31,13.193,13.481,13.193,13.481,104
2018-08-01,13.481,13.867,13.481,13.867
2018-08-10,13.096,13.096,13.096,13.096
2018-08-29,13.096,13.096,13.096,13.096
2018-09-11,13.289,13.385,13.289,13.385
2018-09-25,13,13,13,13
2018-09-27,12.615,12.615,12.615,12.615,104
2018-10-23,12.422,12.422,12.422,12.422
2018-10-24,12.037,12.037,11.941,11.941,312
2018-10-25,11.556,11.556,11.17,11.17,104
2018-10-26,11.17,11.17,11.17,11.17,104
2018-10-31,10.593,10.593,10.496,10.496,104
2018-11-07,11.074,11.074,11.074,11.074,104
2018-11-13,10.207,10.207,9.919,9.919,104
2019-01-04,9.63,9.63,9.63,9.63
2019-01-07,9.63,9.63,9.63,9.63
2019-01-09,9.3407,9.3407,9.3407,9.3407,208
2019-01-14,8.9556,8.9556,8.9556,8.9556,208
2019-01-21,8.9556,8.9556,8.9556,8.9556,104
