Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-01-21,10.551,11.154,10.551,11.154,331
1998-01-23,10.848,10.848,10.848,10.848,166
1998-01-27,10.848,10.848,10.848,10.848,331
1998-01-30,10.848,10.848,10.848,10.848,663
1998-02-04,10.848,10.848,10.848,10.848,496
1998-03-10,10.973,10.973,10.973,10.973,17
1998-03-16,10.128,10.128,10.128,10.128,166
1998-03-18,10.009,10.009,10.009,10.009,82
1998-03-23,10.009,10.009,10.009,10.009,66
1998-03-25,10.732,10.732,10.732,10.732,82
1998-04-01,9.886,9.886,9.886,9.886,331
1998-04-29,10.489,10.489,10.489,10.489,82
1998-04-30,10.489,10.489,10.489,10.489,82
1998-06-02,9.65,9.65,9.65,9.65,166
1998-06-15,9.524,9.524,9.524,9.524,66
1998-06-17,9.406,9.406,9.3438,9.3438,331
1998-06-18,9.3438,9.3438,9.3438,9.3438,166
1998-06-24,9.1011,9.1011,9.045,9.045,322
1998-07-09,9.3438,9.3438,9.3438,9.3438,331
1998-08-28,9.65,9.65,9.3438,9.3438,619
1998-08-31,9.3438,9.3438,9.3438,9.3438,117
1998-09-01,8.4413,8.4413,8.4413,8.4413,16
1998-09-14,8.4413,8.4413,8.4413,8.4413,166
1998-10-22,6.028,6.028,6.028,6.028,331
1998-11-26,7.2349,7.2349,7.2349,7.2349,166
1998-11-27,7.2349,7.2349,7.2349,7.2349,166
1998-11-30,7.2349,7.2349,7.2349,7.2349,166
1998-12-17,7.2349,7.2349,7.2349,7.2349,166
1998-12-18,7.2349,7.2349,7.2349,7.2349,166
1998-12-30,7.2349,7.2349,7.2349,7.2349,166
1999-01-20,6.6313,6.6313,6.6313,6.6313,82
1999-01-25,6.0903,6.0903,6.0903,6.0903,82
1999-01-26,6.0903,6.0903,6.0903,6.0903,82
1999-02-01,6.028,6.028,6.028,6.028,331
1999-02-04,5.3623,5.4246,5.3623,5.4246,91
1999-02-05,5.3623,5.4246,5.3623,5.4246,91
1999-05-24,6.7499,7.1724,6.7499,7.1724,331
1999-05-26,7.4767,7.4767,7.4767,7.4767,166
1999-06-21,6.028,6.028,6.028,6.028,125
1999-06-22,5.7295,5.7295,5.7295,5.7295,114
1999-08-05,6.028,6.028,6.028,6.028,1656
1999-09-06,6.3328,6.3328,6.3328,6.3328,82
1999-10-29,4.8212,4.8212,4.8212,4.8212,82
1999-11-05,4.8212,4.8212,4.8212,4.8212,166
1999-11-09,4.8212,4.8212,4.8212,4.8212,166
1999-11-23,5.0015,5.0015,5.0015,5.0015,82
1999-11-25,6.6313,6.6313,6.6313,6.6313,114
1999-11-26,6.028,6.028,6.028,6.028,166
1999-12-01,5.7295,5.7295,5.7295,5.7295,166
1999-12-16,4.8212,4.8212,4.8212,4.8212,62
1999-12-17,7.2349,7.2349,7.2349,7.2349,62
2000-01-05,4.8212,4.8212,4.8212,4.8212,13
2000-01-14,5.4246,5.4246,5.4246,5.4246,877
2000-01-17,5.4246,5.4246,5.4246,5.4246,97
2000-01-24,5.4246,5.4246,5.4246,5.4246,1503
