Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-10-08,5,7,4,4.2,29457
2008-10-09,4.3,4.3,3.4,4.1,7681
2008-10-10,4,4.2,3.7,3.7,1255
2008-10-13,3.9,3.9,3.9,3.9,100
2008-10-14,3.9,4.1,3.9,3.9,375
2008-10-15,4,4.3,4,4.3,1043
2008-10-16,4.3,4.3,3.6,4.3,152
2008-10-17,4.7,4.7,4,4.7,310
2008-10-20,4.2,4.6,4.1,4.2,1005
2008-10-21,4.2,4.2,4.2,4.2,1148
2008-10-23,3.7,4.2,3.7,4.2,1010
2008-10-27,3.3,3.5,2.8,3.3,850
2008-10-28,3.1,3.1,3.1,3.1,50
2008-10-29,3.3,3.7,3.3,3.7,126
2008-10-30,3.7,4.3,3.7,4.3,1915
2008-10-31,3.9,4.8,3.9,4.8,2805
2008-11-03,4.4,4.4,4.2,4.2,880
2008-11-04,4.5,4.5,4.5,4.5,240
2008-11-05,4.2,4.7,3.7,4.7,882
2008-11-12,4.6,4.6,3.8,4.6,226
2008-11-17,4.6,4.6,4.6,4.6
2008-11-18,3.8,4,3.7,4,877
2008-11-24,4,4,4,4,106
2008-12-02,4,4,4,4,10
2008-12-05,3.2,3.9,3.2,3.9,330
2008-12-10,3.9,3.9,3.9,3.9,10
2008-12-11,3.2,3.2,3.2,3.2,1447
2008-12-12,2.9,3.5,2.8,3.5,274
2008-12-15,3.4,3.4,3.4,3.4,225
2008-12-16,2.8,2.8,2.8,2.8,1000
2008-12-17,2.3,2.9,2.3,2.9,2750
2008-12-18,2.5,2.9,2.4,2.9,1239
2008-12-19,2.4,2.4,2.4,2.4,112
2008-12-23,2.8,2.8,2.1,2.8,1344
2009-01-05,2.8,2.8,2.8,2.8,71
2009-01-06,2.3,2.5,2.3,2.5,336
2009-01-07,2.8,3,2.8,2.9,1961
2009-01-08,3.4,3.4,3.4,3.4,5
2009-01-09,3.7,3.7,2.8,3,2435
2009-01-14,3.4,3.5,3.4,3.5,200
2009-01-22,2.9,2.9,2.8,2.8,1374
2009-01-23,3.3,3.3,3.3,3.3,500
2009-01-26,3.3,3.3,2.8,3.3,310
2009-02-02,2.8,3.3,2.8,3.3,310
2009-02-10,3.3,3.3,3.3,3.3,100
2009-02-16,3.3,3.3,2.7,2.7,205
2009-02-18,2.4,2.4,2.2,2.3,1001
2009-02-20,2.3,2.3,2.3,2.3,53
2009-02-23,2.3,2.3,2.3,2.3,50
2009-02-25,2.1,2.1,2.1,2.1,477
2009-03-10,2,2,2,2,1000
2009-03-11,2,2,2,2,1
2009-03-12,1.9,1.9,1.7,1.7,235
2009-03-19,1.9,1.9,1.9,1.9,59
2009-03-20,2.2,2.2,2.2,2.2,62
2009-03-23,2.3,2.3,2.3,2.3,100
2009-03-25,2.3,2.3,2.1,2.1,135
2009-03-26,2.1,2.3,2.1,2.3,1421
2009-03-27,2.4,2.4,2.4,2.4,50
2009-03-30,2.2,2.2,2.2,2.2,443
2009-03-31,2.4,2.4,2.4,2.4,100
2009-04-06,2.4,2.4,2.4,2.4,25
2009-04-07,2.4,2.4,2.4,2.4,342
2009-04-08,2.5,2.8,2.5,2.8,1200
2009-04-09,2.9,3,2.9,3,2529
2009-04-14,3,3,3,3,78
2009-04-16,2.8,3.2,2.8,3.2,47
2009-04-20,2.8,2.8,2.8,2.8,102
2009-04-21,2.8,2.8,2.8,2.8,785
2009-05-07,3.2,3.2,2.8,2.8,240
2009-05-08,2.6,2.6,2.6,2.6,300
2009-05-21,2.8,2.8,2.8,2.8,50
2009-05-27,2.9,2.9,2.9,2.9,198
2009-05-28,2.9,2.9,2.9,2.9,238
2009-05-29,2.9,2.9,2.9,2.9,103
2009-06-01,2.9,4.4,2.9,4.4,3423
2009-06-02,4.3,4.3,3.5,3.5,1867
2009-06-03,3.3,4,3.3,3.3,1110
2009-06-05,3.7,3.8,3.5,3.8,1197
