Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-12-05,0.7,0.9,0.7,0.9,181767
2012-12-06,0.95,1.05,0.58,0.59,802898
2012-12-07,0.6,0.63,0.53,0.57,274224
2012-12-10,0.6,0.78,0.57,0.66,833925
2012-12-11,0.68,0.69,0.44,0.46,790858
2012-12-12,0.45,0.54,0.45,0.52,320356
2012-12-13,0.51,0.62,0.48,0.59,214096
2012-12-14,0.59,0.65,0.48,0.53,236539
2012-12-17,0.5,0.55,0.46,0.49,157148
2012-12-18,0.47,0.48,0.41,0.44,182136
2012-12-19,0.4,0.42,0.37,0.42,55417
2012-12-20,0.41,0.43,0.37,0.4,26779
2012-12-21,0.4,0.41,0.37,0.38,24695
2012-12-27,0.39,0.41,0.35,0.37,22473
2012-12-28,0.35,0.38,0.33,0.36,69143
2013-01-02,0.36,0.36,0.29,0.31,46509
2013-01-03,0.31,0.42,0.31,0.38,157983
2013-01-04,0.38,0.39,0.34,0.36,41895
2013-01-07,0.37,0.37,0.29,0.31,38062
2013-01-08,0.3,0.32,0.28,0.32,43163
2013-01-09,0.33,0.33,0.28,0.28,64166
2013-01-10,0.29,0.31,0.27,0.3,84373
2013-01-11,0.29,0.3,0.27,0.29,7561
2013-01-14,0.28,0.29,0.26,0.29,38284
2013-01-15,0.29,0.32,0.28,0.31,52281
2013-01-16,0.3,0.31,0.25,0.3,97636
2013-01-17,0.3,0.3,0.28,0.29,9798
2013-01-18,0.28,0.28,0.24,0.25,48912
2013-01-21,0.26,0.29,0.22,0.25,37080
2013-01-22,0.25,0.26,0.23,0.25,13833
2013-01-23,0.24,0.24,0.21,0.23,67232
2013-01-24,0.23,0.24,0.22,0.22,40461
2013-01-25,0.22,0.3,0.22,0.3,279564
2013-01-28,0.32,0.37,0.3,0.32,198433
2013-01-29,0.34,0.34,0.28,0.3,36790
2013-01-30,0.31,0.33,0.26,0.27,68077
2013-01-31,0.3,0.3,0.25,0.28,87939
2013-02-01,0.27,0.28,0.26,0.28,20138
2013-02-04,0.26,0.27,0.25,0.26,19680
2013-02-05,0.26,0.26,0.22,0.24,44158
2013-02-06,0.24,0.26,0.24,0.26,18553
2013-02-07,0.24,0.24,0.24,0.24,15306
2013-02-08,0.25,0.28,0.25,0.28,64784
2013-02-11,0.29,0.29,0.25,0.27,21355
2013-02-12,0.26,0.29,0.25,0.29,24545
2013-02-13,0.29,0.29,0.26,0.29,2094
2013-02-14,0.26,0.28,0.24,0.25,20187
2013-02-15,0.25,0.27,0.25,0.27,22820
2013-02-18,0.27,0.28,0.24,0.28,16780
2013-02-19,0.27,0.27,0.23,0.25,54101
2013-02-20,0.25,0.25,0.25,0.25,100
2013-02-21,0.25,0.27,0.25,0.25,22200
2013-02-22,0.25,0.25,0.21,0.24,66679
2013-02-25,0.24,0.24,0.22,0.22,7622
2013-02-26,0.23,0.23,0.22,0.23,13175
