Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-04-09,0.7529,0.8941,0.7529,0.8941,725257
2010-04-12,0.9412,0.9412,0.7059,0.7059,963125
2010-04-13,0.7059,0.7529,0.6588,0.7059,508626
2010-04-14,0.7059,0.7059,0.6588,0.7059,160091
2010-04-15,0.7059,0.7059,0.5647,0.5647,640188
2010-04-16,0.5176,0.5647,0.4235,0.4706,1036728
2010-04-19,0.4706,0.4706,0.4235,0.4706,45805
2010-04-20,0.4706,0.5176,0.3765,0.4706,357275
2010-04-21,0.4706,0.4706,0.3765,0.4235,265436
2010-04-22,0.4706,0.4706,0.3765,0.4235,353367
2010-04-23,0.42,0.42,0.42,0.42,9775
2010-04-26,0.4235,0.4235,0.3765,0.4235,276499
2010-04-27,0.3765,0.4235,0.3294,0.3765,668094
2010-04-28,0.3765,0.3765,0.3294,0.3765,25232
2010-04-29,0.3294,0.3765,0.3294,0.3294,304034
2010-04-30,0.3765,0.3765,0.3294,0.3294,62826
2010-05-04,0.2824,0.3765,0.2824,0.3765,34422
2010-05-05,0.3294,0.3294,0.2824,0.2824,27827
2010-05-06,0.3294,0.3765,0.2824,0.3294,235793
2010-05-07,0.3294,0.3294,0.2824,0.3294,31657
2010-05-10,0.3294,0.3294,0.2824,0.2824,17383
2010-05-11,0.3294,0.3765,0.2824,0.3294,99144
2010-05-12,0.3294,0.3765,0.3294,0.3294,194333
2010-05-13,0.3765,0.3765,0.3294,0.3294,33869
2010-05-14,0.3294,0.3294,0.2824,0.3294,283360
2010-05-17,0.2824,0.3294,0.2824,0.2824,196119
2010-05-18,0.2824,0.3294,0.2353,0.2353,166657
2010-05-19,0.2353,0.2824,0.2353,0.2353,272311
2010-05-20,0.2824,0.2824,0.2353,0.2824,17374
2010-05-21,0.2824,0.2824,0.2353,0.2353,236656
2010-05-24,0.2353,0.2824,0.1882,0.2824,36238
2010-05-25,0.2353,0.2353,0.1882,0.2353,127413
2010-05-26,0.2353,0.2353,0.1882,0.1882,46154
2010-05-27,0.2353,0.2353,0.2353,0.2353,28201
2010-05-28,0.2353,0.2824,0.2353,0.2353,236105
2010-05-31,0.24,0.24,0.19,0.24,51506
2010-06-01,0.2353,0.2353,0.2353,0.2353,6588
2010-06-02,0.2353,0.2353,0.2353,0.2353,12963
2010-06-07,0.2353,0.2353,0.1882,0.1882,24956
2010-06-08,0.1882,0.2353,0.1882,0.2353,268193
2010-06-09,0.2353,0.2824,0.1882,0.2353,69376
2010-06-10,0.2353,0.2353,0.1882,0.2353,213
2010-06-11,0.2353,0.2353,0.1882,0.1882,41984
2010-06-14,0.1882,0.1882,0.1882,0.1882,304288
2010-06-15,0.1882,0.1882,0.1882,0.1882,216096
2010-06-16,0.1882,0.1882,0.1882,0.1882,67044
2010-06-17,0.1882,0.1882,0.1882,0.1882,11032
2010-06-18,0.1882,0.1882,0.1882,0.1882,268423
2010-06-21,0.1882,0.1882,0.1882,0.1882,127462
2010-06-22,0.1882,0.1882,0.1882,0.1882,136477
2010-06-23,0.1882,0.2353,0.1882,0.2353,260914
