Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-10-28,9.86065,11.8636,9.86065,10.5344,11141.883249185
2009-10-29,10.4124,11.637,10.4124,10.6274,9094.4873100156
2009-10-30,11.3311,11.3311,10.7183,10.7745,11253.446700967
2009-11-02,10.7987,10.8403,10.4057,10.5286,3258.0659899806
2009-11-03,10.4057,10.5344,10.0756,10.4057,1529.8654822959
2009-11-04,10.0756,10.7183,10.0756,10.7183,142.5532994982
2009-11-05,10.7183,10.7183,10.7183,10.7183,196.269035541
2009-11-06,10.7183,11.637,10.7183,10.7183,2998.7842640817
2009-11-09,10.7183,10.9633,10.7183,10.7183,1810.8401015967
2009-11-10,10.7183,10.8403,10.7183,10.7183,763.3832487621
2009-11-12,10.7183,10.7183,10.6583,10.6583,364.6472081367
2009-11-16,10.6583,10.6583,10.6583,10.6583,524.7614213412
2009-11-18,10.5964,10.6583,10.5964,10.5964,55.7817258906
2009-11-19,10.548,10.548,10.4183,10.4183,213.8299492473
2009-11-23,10.7183,10.7183,10.7183,10.7183,324.3604061046
2009-11-24,10.7183,10.7183,10.7183,10.7183,164.2461929001
2009-11-25,10.7183,10.7183,10.6883,10.6883,4.1319796956
2009-11-26,9.62251,10.5964,9.62251,10.5964,11952.784264447
2009-12-03,9.55571,10.4057,9.55571,10.4057,3754.9365483765
2009-12-04,9.75029,10.4057,9.75029,10.4057,312.9974619417
2009-12-17,10.1685,10.4124,10.1685,10.4124,310.9314720939
2009-12-18,9.58572,10.4124,9.58572,10.4124,1562.9213198607
2009-12-21,10.4124,10.4124,10.4124,10.4124,708.6345177954
2009-12-28,10.4124,10.4124,10.4124,10.4124,719.9974619583
2009-12-29,10.4124,10.4124,10.4124,10.4124,50.6167512711
2009-12-31,10.4124,10.4124,10.4124,10.4124,2175.4873097334
2010-01-04,9.5015,10.4057,9.5015,10.4057,127.0583756397
2010-01-05,9.80644,9.9226,9.79966,9.9226,1535.0304569154
2010-01-06,9.9226,9.9226,9.9226,9.9226,410.0989847883
2010-01-07,10.1065,10.1065,9.9226,10.1007,365.6802030606
2010-01-08,9.79966,9.89163,9.79966,9.89163,490.6725888525
2010-01-12,9.5015,9.79288,9.49375,9.78224,17099.164975317
2010-01-13,9.9168,9.9168,9.91002,9.91002,106.3984771617
2010-01-14,9.49375,9.90421,9.49375,9.90421,16376.068528587
2010-01-15,9.79966,9.79966,9.79966,9.79966,161.1472081284
2010-01-22,9.16248,9.79966,9.16248,9.79966,197.3020304649
2010-01-26,9.79288,9.79288,9.79288,9.79288,79.5406091403
2010-02-02,9.07003,9.78708,9.07003,9.78708,244.8197969643
2010-02-05,9.08978,9.08978,9.08223,9.08223,414.2309644839
2010-02-16,9.07003,9.07003,9.07003,9.07003,133.2563451831
2010-02-22,8.5739,8.7588,8.5739,8.7588,243.7868020404
2010-02-26,9.06432,9.07759,9.06432,9.07759,321.2614213329
2010-03-02,9.12667,9.12667,9.12667,9.12667,115.6954314768
2010-03-04,9.18794,9.18794,9.18794,9.18794,65.0786802057
2010-03-10,9.18794,9.18794,9.18794,9.18794,1403.8401015801
2010-03-11,8.88117,8.88117,8.88117,8.88117,65.0786802057
2010-03-12,9.18794,9.73286,9.18794,9.73286,6925.1979698256
2010-03-15,9.79966,9.79966,9.79966,9.79966,663.1827411438
2010-03-17,10.2914,10.4057,10.2285,10.2285,576.4111675362
2010-03-18,10.4057,10.4124,10.3815,10.3815,4475.9670052587
2010-03-29,9.49375,10.3815,9.49375,10.3815,327.4593908763
2010-03-30,10.3815,10.4057,10.3815,10.4057,268.578680214
2010-03-31,10.4134,10.4134,10.3205,10.3205,1600.1091371211
2010-04-01,10.3456,10.3505,10.3456,10.3505,2.0659898478
2010-04-06,10.3205,10.3205,10.0446,10.1065,834.6598985112
2010-04-12,9.79966,10.0756,9.7077,9.9226,1049.5228426824
2010-04-13,9.19453,9.55571,9.18794,9.26045,968.9492386182
2010-04-14,10.1065,10.1065,10.1065,10.1065,164.2461929001
2010-04-15,9.77546,9.79966,9.19453,9.73286,2156.8934011032
2010-04-16,9.36984,9.9226,9.36984,9.49375,1801.5431472816
2010-04-19,9.6409,9.6409,9.49375,9.49375,7.2309644673
2010-04-20,9.49375,9.73286,9.49375,9.5228,819.1649746527
2010-04-21,9.52957,9.67188,9.49375,9.49375,831.5609137395
2010-04-23,9.49763,9.49763,8.90808,9.31079,1210.6700508108
2010-04-26,9.31079,9.31079,9.31079,9.31079,204.5329949322
2010-04-27,9.31079,9.31079,9.18794,9.18794,607.4010152532
2010-04-28,9.13228,9.13228,9.12667,9.12667,889.4086294779
2010-04-29,9.18794,9.18794,9.12667,9.12667,167.3451776718
2010-04-30,9.24787,9.24787,9.12376,9.12376,94.0025380749
2010-05-04,9.12667,9.12667,9.06432,9.06432,200.4010152366
2010-05-05,9.27304,9.27304,9.27304,9.27304,4.1319796956
2010-05-06,9.27304,9.27304,9.27304,9.27304,2.0659898478
2010-05-07,8.97371,9.18136,8.97371,9.18136,172.5101522913
2010-05-10,9.24109,9.24109,8.94235,9.03509,1144.5583756812
2010-05-11,8.94235,8.94235,8.45164,8.45164,5127.7868022396
2010-05-12,8.32899,8.32899,7.96258,7.96258,11757.54822383
2010-05-13,7.96258,7.96258,7.22704,7.65696,105019.42893829
2010-05-14,8.08465,8.08465,7.27632,7.27632,33908.058377017
2010-05-17,7.38058,7.38058,7.04369,7.25212,2171.3553300378
2010-05-18,7.40536,7.40536,6.71291,6.76189,27360.936549339
2010-05-19,6.76189,6.76189,6.16779,6.16779,10784.467005516
2010-05-20,6.24737,6.24737,6.03314,6.12501,6621.497462199
2010-05-21,6.12501,6.23517,6.12501,6.23517,3386.1573605442
2010-05-24,6.23517,6.23517,6.05773,6.22917,2502.9467006097
2010-05-25,6.18009,6.18009,5.75753,6.08212,10826.819797396
2010-05-26,6.11891,6.29045,6.00245,6.29045,2196.1472082114
2010-05-27,6.30255,6.30255,6.1617,6.29645,4400.558375814
2010-05-28,6.30255,6.30255,6.16779,6.24737,8736.0380714223
2010-05-31,6.24795,6.57651,6.24795,6.47109,4842.6802032432
2010-06-01,6.51707,6.51707,6.30865,6.4313,2091.8147208975
2010-06-02,6.4313,6.4313,6.40061,6.40061,4295.1928935762
