Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-04-15,0.44,0.44,0.44,0.44,16200
2010-04-28,0.87,1.02,0.87,1.02,121295
2010-04-29,0.91,0.91,0.9,0.9,13758
2010-04-30,0.7,0.99,0.7,0.99,16288
2010-05-04,0.97,0.97,0.97,0.97,5232
2010-05-05,0.9,0.9,0.81,0.81,6761
2010-05-06,0.8,0.8,0.73,0.73,5049
2010-05-07,0.7,0.7,0.7,0.7,2463
2010-05-10,0.78,0.78,0.75,0.75,1125
2010-05-11,0.69,0.69,0.69,0.69,7407
2010-05-12,0.69,0.69,0.69,0.69,200
2010-05-13,0.65,0.69,0.65,0.69,5954
2010-05-14,0.67,0.67,0.67,0.67,1678
2010-05-17,0.7,0.7,0.6,0.6,10403
2010-05-18,0.6,0.6,0.6,0.6,7750
2010-05-19,0.69,0.69,0.69,0.69,600
2010-05-20,0.57,0.63,0.57,0.63,28330
2010-05-21,0.63,0.63,0.51,0.51,5425
2010-05-24,0.55,0.55,0.55,0.55,7000
2010-05-25,0.6,0.6,0.6,0.6,100
2010-05-26,0.59,0.59,0.59,0.59,100
2010-05-27,0.52,0.57,0.52,0.57,29751
2010-05-28,0.59,0.59,0.52,0.52,20
2010-05-31,0.53,0.54,0.53,0.54,10300
2010-06-01,0.56,0.56,0.56,0.56,11587
2010-06-02,0.6,0.6,0.6,0.6,50
2010-06-07,0.57,0.57,0.57,0.57,412
2010-06-08,0.52,0.52,0.52,0.52,7000
2010-06-09,0.55,0.55,0.55,0.55,4440
2010-06-11,0.5,0.5,0.5,0.5,6175
2010-06-14,0.54,0.54,0.54,0.54,3498
2010-06-15,0.51,0.51,0.5,0.5,200
2010-06-16,0.45,0.45,0.45,0.45,2000
2010-06-17,0.51,0.51,0.51,0.51,1100
2010-06-21,0.46,0.46,0.46,0.46,2000
2010-06-29,0.47,0.47,0.47,0.47,10
2010-07-01,0.47,0.47,0.47,0.47,500
2010-07-02,0.48,0.48,0.48,0.48,1190
2010-07-06,0.48,0.48,0.48,0.48,7774
2010-07-07,0.45,0.45,0.45,0.45,1000
2010-07-08,0.45,0.45,0.45,0.45,36
2010-07-09,0.43,0.43,0.43,0.43,1000
2010-07-12,0.46,0.46,0.46,0.46,52
2010-07-13,0.42,0.42,0.42,0.42,2000
2010-07-14,0.45,0.45,0.45,0.45,1500
2010-07-15,0.45,0.45,0.45,0.45,1423
2010-07-21,0.48,0.48,0.48,0.48,5770
2010-07-22,0.5,0.52,0.5,0.52,1526
2010-07-23,0.51,0.51,0.51,0.51,696
2010-07-26,0.53,0.53,0.53,0.53,179
2010-07-28,0.56,0.56,0.56,0.56,11460
2010-07-29,0.64,0.67,0.64,0.67,3770
2010-07-30,0.72,0.74,0.72,0.74,9358
2010-08-02,0.8,0.8,0.8,0.8,2490
2010-08-03,0.79,0.79,0.69,0.69,8050
2010-08-04,0.69,0.69,0.54,0.54,1062
2010-08-05,0.62,0.62,0.58,0.58,4196
2010-08-06,0.63,0.63,0.63,0.63,1563
2010-08-09,0.68,0.68,0.68,0.68,3928
2010-08-10,0.58,0.58,0.58,0.58,5464
2010-08-11,0.6,0.6,0.6,0.6,40
2010-08-13,0.6,0.6,0.6,0.6,500
2010-08-16,0.6,0.6,0.54,0.54,4000
2010-08-17,0.6,0.6,0.6,0.6,120
2010-08-20,0.55,0.55,0.55,0.55,10000
2010-08-23,0.6,0.6,0.6,0.6,2179
2010-08-24,0.6,0.6,0.54,0.54,2106
2010-08-25,0.54,0.54,0.54,0.54,564
2010-08-27,0.59,0.59,0.53,0.53,2156
2010-08-30,0.53,0.53,0.53,0.53,100
2010-08-31,0.5,0.5,0.5,0.5,3000
2010-09-01,0.61,0.61,0.61,0.61,4811
2010-09-02,0.6,0.72,0.6,0.72,10373
2010-09-03,0.75,0.75,0.75,0.75,1363
2010-09-06,0.74,0.74,0.74,0.74,40
2010-09-07,0.7,0.7,0.63,0.63,2600
2010-09-08,0.72,0.72,0.72,0.72,30
2010-09-09,0.73,0.73,0.72,0.72,8095
2010-09-10,0.75,0.75,0.75,0.75,12618
2010-09-13,0.82,0.82,0.82,0.82,300
2010-09-14,0.69,0.69,0.69,0.69,2165
2010-09-15,0.69,0.7,0.69,0.7,3000
2010-09-16,0.75,0.75,0.75,0.75,7425
2010-09-17,0.8,0.87,0.8,0.87,8942
2010-09-20,0.99,1.01,0.99,1.01,14826
2010-09-21,1.2,1.21,1.2,1.21,3520
2010-09-22,1.69,1.69,1.69,1.69,1500
2010-09-24,2.8,2.8,2.78,2.78,335
2010-09-27,2.23,2.23,2.23,2.23,410
2010-09-28,2.67,2.67,2.67,2.67,6
2010-09-29,2.55,2.55,2.14,2.14,1161
2010-09-30,1.4,1.4,1.4,1.4,3945
2010-10-01,1.21,1.21,1.21,1.21,2530
2010-10-04,1.66,1.66,1.66,1.66,1674
2010-10-05,1.52,1.55,1.52,1.55,5239
2010-10-06,1.86,1.86,1.86,1.86,100
2010-10-07,1.99,2.38,1.99,2.38,2279
2010-10-08,2.38,2.38,2.38,2.38,1023
2010-10-11,2.33,2.33,2.33,2.33,403
2010-10-12,2.3,2.3,2.3,2.3,210
2010-10-13,2.09,2.09,1.92,1.92,3232
2010-10-14,2.04,2.21,2.04,2.21,3766
