Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-08-17,16.9989,17.0883,16.7754,16.9542,398604.94580696
2006-08-18,16.9542,17.0436,16.8648,16.9989,77380.334974234
2006-08-21,17.0436,17.0436,16.0621,16.5082,7081.2413792064
2006-08-22,16.0621,16.1506,15.794,15.794,4697.2019703744
2006-08-23,16.0621,16.5082,15.9727,16.4188,6124.4039407968
2006-08-24,16.5976,16.5976,16.0621,16.24,3486.9261083232
2006-08-25,15.9727,16.24,15.9727,16.0621,6042.7881772512
2006-08-28,15.7046,16.24,15.7046,15.8834,1585.0640393856
2006-08-29,16.0621,16.24,15.9727,16.24,2241.2118226272
2006-08-30,15.9727,16.1506,15.794,16.1506,6037.4187191232
2006-08-31,16.1506,16.4188,16.0621,16.0621,8105.7339900288
2006-09-01,16.0174,16.1953,15.9727,16.1953,6776.256157536
2006-09-04,16.1506,16.7754,16.0621,16.0705,5018.2955664288
2006-09-05,16.1953,16.5082,16.0705,16.24,3788.6896551168
2006-09-06,16.24,16.5082,15.8033,16.0621,7870.5517240224
2006-09-07,16.4095,16.4188,16.1953,16.3294,2690.098522128
2006-09-08,16.3294,16.3294,16.1506,16.24,6748.3349752704
2006-09-11,16.2577,16.3201,15.7046,16.3201,3091.7339901024
2006-09-12,16.3201,16.4188,16.1059,16.1506,11338.147783085
2006-09-13,15.9727,16.5082,15.9727,16.3294,26535.862068576
2006-09-14,16.3741,16.3741,16.2493,16.2493,2364.7093595712
2006-09-15,16.1059,16.2316,16.0174,16.1059,5098.8374383488
2006-09-18,16.1059,16.1059,15.9727,15.9727,2747.0147782848
2006-09-19,15.9811,15.9811,15.7139,15.8387,4626.3251230848
2006-09-20,15.7046,16.3294,15.7046,16.0621,29429.999999568
2006-09-21,16.0621,16.3294,16.0621,16.1506,6836.3940885696
2006-09-22,16.3294,16.3294,16.1422,16.1506,4733.7142856448
2006-09-25,16.24,16.3201,15.9457,16.24,20565.02463024
2006-09-26,16.2223,16.686,16.2223,16.6777,46196.669950061
2006-09-27,16.7754,17.0436,16.5436,16.7754,39135.832511741
2006-09-28,16.9095,17.3109,16.7931,17.0436,60883.211821766
2006-09-29,17.1321,17.1414,16.9542,16.9542,2352.8965516896
2006-10-02,16.8648,17.1321,16.8648,16.9542,35942.078817206
2006-10-03,16.9542,16.9542,16.5976,16.9542,69717.044333952
2006-10-04,16.9542,16.9542,16.6153,16.6153,12595.674876662
2006-10-05,16.9002,16.9002,16.5082,16.7401,731.3201970336
2006-10-06,16.9449,17.1144,16.9365,17.1144,83038.66994952
2006-10-09,17.1321,17.1321,16.6954,16.9542,33858.729063542
2006-10-10,16.9542,17.052,16.7847,16.7847,2161.7438423328
2006-10-11,16.9542,16.9542,16.0621,16.0621,24506.206896192
2006-10-12,16.24,16.9449,16.0705,16.2847,3128.2463053728
2006-10-13,16.1152,16.8555,16.1059,16.686,3543.84236448
2006-10-16,16.686,16.8648,16.3918,16.7671,51685.330048502
2006-10-17,16.9272,16.9812,16.7671,16.9542,95522.66009712
2006-10-18,16.9989,17.2662,16.9542,17.1684,151406.90640172
2006-10-19,17.3109,19.0066,17.3025,18.6136,109616.41379149
2006-10-20,18.5866,19.1844,18.5866,19.0066,118667.17241205
2006-10-23,19.0773,19.0773,18.6583,18.7384,28926.344827162
2006-10-24,18.8371,18.9619,18.7384,18.9079,125264.08866811
2006-10-25,18.9703,18.9703,18.2923,18.6052,12856.630541683
2006-10-26,18.7384,18.7384,18.5428,18.7207,33404.472905914
2006-10-27,18.6406,18.6499,18.5428,18.6499,852.6699507264
2006-10-30,17.891,18.31,17.8379,17.8463,6010.5714284832
2006-10-31,17.8379,17.8463,17.052,17.8463,20430.78817704
2006-11-02,17.0697,17.8016,17.0697,17.7569,4512.4926107712
2006-11-03,17.1768,17.5791,16.9719,17.391,7327.1625614688
2006-11-06,17.3556,17.3556,16.8648,16.8648,3693.1133004384
2006-11-07,16.9449,17.391,16.606,17.2662,21145.99999969
2006-11-08,17.2215,17.2215,15.9364,16.3024,31418.847290179
2006-11-09,16.3294,16.9542,16.3294,16.5529,13223.901477638
2006-11-10,16.1599,16.9095,16.1059,16.8918,13274.374384042
2006-11-13,16.8648,16.9989,16.606,16.6954,48262.837437715
2006-11-14,16.5976,16.8378,16.1059,16.1059,119431.78324948
2006-11-15,16.1599,16.1776,15.5267,15.5975,14700.502462838
2006-11-16,15.8834,16.5082,15.3479,15.6152,9768.1182264576
2006-11-17,15.8834,15.8834,15.4373,15.6152,6366.0295565568
2006-11-20,15.8834,15.9551,15.6152,15.6152,3799.4285713728
2006-11-21,15.9551,16.2847,15.5351,15.5351,2515.0541871552
2006-11-22,15.4727,15.7046,15.4727,15.6152,18044.600984957
2006-11-23,16.0621,16.0621,15.7046,15.7493,37697.891625062
2006-11-24,16.0081,16.0081,15.6245,15.9551,1115.7733989984
2006-11-27,15.9727,15.9727,15.6068,15.8834,3056.2955664576
2006-11-28,15.6869,15.6869,15.4373,15.4373,1965.221674848
2006-11-29,15.4103,15.4373,14.277,15.3479,7926.3940885536
2006-11-30,15.1691,15.9457,15.1691,15.8387,38334.709359043
2006-12-01,15.9457,15.9457,15.6152,15.9457,19077.684728784
2006-12-04,16.0528,16.3294,15.9811,16.0621,38086.64039353
2006-12-05,16.1506,17.5344,16.0621,16.9542,90328.246304093
2006-12-06,17.2932,17.6238,17.2932,17.6051,110222.08866833
2006-12-07,17.418,17.8016,16.1152,16.4188,101606.25615614
2006-12-08,16.9542,16.9542,16.4188,16.4188,9997.931034336
2006-12-11,16.9095,16.9365,16.2847,16.2847,12843.743842176
2006-12-12,16.294,16.8648,15.794,16.7671,6864.3152708352
2006-12-13,16.8648,16.8648,15.9727,16.713,8608.3152708096
2006-12-14,16.6954,16.7307,16.0621,16.5082,8787.6551722848
2006-12-15,16.686,16.686,15.794,16.2316,30034.600984781
2006-12-18,16.4812,16.4812,15.9811,16.2223,2207.9211822336
2006-12-19,16.24,16.3648,15.6245,15.9988,4529.6748767808
2006-12-20,15.9634,15.9727,14.8125,15.5081,9923.8325121696
2006-12-21,15.4373,15.4373,14.8218,15.1607,25710.03940849
2006-12-22,15.3479,15.3479,14.8218,15.1691,10716.364531862
2006-12-27,15.6152,15.6152,15.0797,15.1691,7709.4679801824
2006-12-28,15.2939,15.2939,15.0797,15.1691,9463.1330047872
2006-12-29,15.3479,15.3479,15.036,15.2501,14136.709359398
2007-01-02,15.3032,15.5174,15.1691,15.3032,63557.20196951
2007-01-03,15.5714,15.5714,15.2315,15.2315,17516.246305162
2007-01-04,15.2585,15.2585,15.0797,15.1244,34131.497536445
2007-01-05,15.1691,15.1691,14.7231,14.8572,4916.2758619968
2007-01-08,14.8572,14.8572,14.7231,14.8125,4221.4679802336
2007-01-09,14.8572,14.8572,14.7147,14.8125,4812.1083743136
2007-01-10,14.8572,14.8572,14.7231,14.8572,3300.0689654688
2007-01-11,14.8125,15.1244,14.7231,14.8125,3812.31527088
2007-01-12,14.7231,14.8572,14.3217,14.5983,5367.3103447488
2007-01-15,14.6253,14.9289,14.5983,14.7147,20586.502462752
2007-01-16,14.7147,15.0797,14.5452,14.6337,17113.536945562
2007-01-17,14.7231,15.3302,14.7231,15.3032,8891.822659968
2007-01-18,15.3032,15.8563,15.0797,15.0797,22690.256157302
2007-01-19,15.3032,15.3032,14.5629,14.9913,5330.7980294784
2007-01-22,14.9736,14.9736,14.5452,14.7231,42037.487684112
2007-01-23,14.7231,14.7678,13.831,14.6337,61433.044334074
2007-01-24,15.1691,15.1691,14.4558,14.4558,6360.6600984288
2007-01-25,14.4558,14.4558,13.9735,14.1877,10557.428571274
2007-01-26,13.831,14.1877,13.831,14.0983,48027.655171709
2007-01-29,14.1877,14.3664,13.8757,14.2323,5774.3152708512
2007-01-30,14.5452,14.5452,14.0983,14.2677,12175.783251053
2007-01-31,14.4465,14.4465,14.0098,14.1877,12971.536945622
2007-02-01,14.277,14.277,13.9651,13.9651,14371.891625405
