Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-05-28,1.4069,1.4069,1.099,1.1521,182942
2012-05-29,1.1521,1.1946,0.9345,1.0619,31568
2012-05-30,1.0087,1.03,0.9823,1.03,203306
2012-05-31,0.9897,1.0064,0.8506,0.9285,515761
2012-06-01,0.9504,0.9504,0.9079,0.9079,92678
2012-06-04,0.8973,0.8973,0.8177,0.8812,352918
2012-06-05,0.8506,0.9007,0.7951,0.8062,111374
2012-06-06,0.7895,0.8506,0.7895,0.8229,51580
2012-06-08,0.8017,0.8017,0.7433,0.7433,45768
2012-06-11,0.7485,0.7485,0.7169,0.7433,601637
2012-06-12,0.7433,0.7539,0.7169,0.7433,656962
2012-06-13,0.7539,0.7539,0.7221,0.7379,98508
2012-06-14,0.7433,0.7433,0.7221,0.7221,203988
2012-06-15,0.7451,0.7561,0.7284,0.7561,177856
2012-06-18,0.7699,0.7856,0.7592,0.7646,418983
2012-06-19,0.7804,0.7804,0.7751,0.7751,44641
2012-06-20,0.7964,0.8229,0.7964,0.7964,19367
2012-06-21,0.8229,0.8441,0.8229,0.8335,243055
2012-06-22,0.8506,0.8506,0.7951,0.8451,601581
2012-06-25,0.8706,0.8706,0.8017,0.8017,175374
2012-06-26,0.791,0.8601,0.791,0.7964,89534
2012-06-27,0.784,0.7951,0.7673,0.7673,351469
2012-06-28,0.7951,0.8173,0.7673,0.8173,17901
2012-06-29,0.8395,0.8395,0.8395,0.8395,68787
2012-07-03,0.7895,0.8451,0.7895,0.7951,4238
2012-07-04,0.7951,0.8229,0.7951,0.8229,133017
2012-07-05,0.8005,0.8506,0.784,0.834,658047
2012-07-06,0.8284,0.834,0.8229,0.8229,41084
2012-07-09,0.834,0.834,0.8284,0.834,5186
2012-07-10,0.8284,0.8284,0.7783,0.7783,3743
2012-07-11,0.784,0.8062,0.7783,0.8005,12405
2012-07-12,0.8005,0.8005,0.784,0.784,2162
2012-07-13,0.784,0.784,0.784,0.784,3954
2012-07-16,0.784,0.784,0.784,0.784,1617
2012-07-17,0.784,0.784,0.7451,0.7451,567484
2012-07-18,0.7561,0.7561,0.7561,0.7561,2878
2012-07-19,0.734,0.734,0.734,0.734,1
2012-07-20,0.7506,0.7506,0.7395,0.7395,46831
2012-07-23,0.734,0.734,0.734,0.734,10379
2012-07-24,0.7228,0.7617,0.7228,0.7617,261529
2012-07-25,0.734,0.7506,0.734,0.7506,359702
2012-07-26,0.7673,0.7673,0.7228,0.7506,15056
2012-07-27,0.7561,0.7673,0.7561,0.7673,11150
2012-07-30,0.7673,0.7673,0.7673,0.7673,29370
2012-07-31,0.7506,0.7783,0.7506,0.7783,16464
2012-08-01,0.7561,0.7895,0.7561,0.7895,350092
2012-08-02,0.7951,0.8674,0.7951,0.8674,140938
2012-08-03,0.884,0.884,0.8619,0.8729,2159
2012-08-08,0.8562,0.8562,0.8062,0.834,42593
2012-08-09,0.8674,0.8674,0.834,0.834,197
2012-08-10,0.8284,0.8284,0.8284,0.8284,1
2012-08-13,0.7728,0.7728,0.7728,0.7728,398
2012-08-14,0.7673,0.8284,0.7673,0.8284,719
2012-08-16,0.7673,0.8229,0.7673,0.8229,10230
2012-08-17,0.7783,0.8173,0.7783,0.8173,812
