Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-01-09,1.06157,1.12635,1.05646,1.10134,11736869.452516
2004-01-12,1.09651,1.09651,1.03145,1.06157,925754.77468878
2004-01-13,1.05646,1.08137,1.03657,1.07635,1474966.0036955
2004-01-14,1.05646,1.06157,1.04661,1.04661,134910.14432721
2004-01-15,1.03657,1.05144,1.03657,1.05144,193441.21590821
2004-01-16,1.05144,1.05144,1.01658,1.0217,281862.41724381
2004-01-19,1.0217,1.0217,0.981548,0.981548,486805.63052699
2004-01-20,0.986753,1.00664,0.986753,0.986753,245669.32204276
2004-01-21,0.986753,1.01175,0.986753,1.00664,459145.96293874
2004-01-22,0.996605,1.01658,0.996605,1.01658,87713.220580433
2004-01-23,1.0217,1.07151,1.01658,1.03657,301690.18222285
2004-01-26,1.05646,1.05646,1.04661,1.05144,89117.346546226
2004-01-27,1.0664,1.07151,1.02653,1.02653,588906.56943277
2004-01-28,1.03145,1.03145,1.00664,1.01175,65457.017053657
2004-01-29,0.996605,1.00664,0.996605,1.00153,231699.07565206
2004-01-30,0.996605,1.01175,0.996605,1.01175,238869.26372566
2004-02-02,1.01658,1.0217,1.01175,1.0217,129760.60649403
2004-02-03,1.0217,1.03145,1.01175,1.01175,84047.429649047
2004-02-04,1.01175,1.02653,1.00664,1.02653,104988.81177337
2004-02-05,1.03657,1.03657,0.996605,1.00664,152677.44859782
2004-02-06,0.996605,1.01175,0.996605,0.996605,64260.551096598
2004-02-09,1.03145,1.03145,1.01175,1.02653,155522.28312162
2004-02-10,1.02653,1.03657,1.02653,1.03657,176215.11881062
2004-02-11,1.0217,1.03657,1.0217,1.03145,131571.44480854
2004-02-12,1.03657,1.03657,1.02653,1.03145,18588.2606782
2004-02-13,1.03145,1.04661,1.0217,1.02653,121347.68624381
2004-02-16,1.01175,1.02653,1.01175,1.02653,9894.5152348187
2004-02-17,1.03145,1.05646,1.03145,1.05646,128028.31315692
2004-02-18,1.05646,1.07151,1.05646,1.07151,217432.94064788
2004-02-19,1.05646,1.0664,1.04661,1.05646,154904.68288838
2004-02-20,1.03657,1.08137,1.03657,1.08137,143856.74004029
2004-02-23,1.0664,1.09651,1.0664,1.08137,97940.207020945
2004-02-24,1.08638,1.09651,1.07151,1.0914,413473.67252035
2004-02-25,1.0914,1.1362,1.0914,1.1362,200244.50210109
2004-02-26,1.13118,1.23583,1.13118,1.22096,630908.76508541
2004-02-27,1.2309,1.2309,1.18118,1.2309,432846.30701392
2004-03-01,1.2507,1.26083,1.17607,1.24587,538370.94616734
2004-03-02,1.24587,1.24587,1.22096,1.24075,462443.77603081
2004-03-03,1.2309,1.23583,1.22096,1.22096,106512.36914315
2004-03-04,1.21101,1.21101,1.19104,1.20098,203007.56377172
2004-03-05,1.18602,1.20098,1.18602,1.19614,289444.6974591
2004-03-08,1.19614,1.20599,1.15107,1.20599,459105.07651216
2004-03-09,1.18602,1.19614,1.17607,1.17607,30169.87898916
2004-03-10,1.15107,1.17607,1.15107,1.16603,182190.99284435
2004-03-11,1.16101,1.16101,1.16101,1.16101,148759.88335533
2004-03-12,1.14624,1.17607,1.14624,1.17607,37714.500653639
2004-03-15,1.17607,1.17607,1.08638,1.13118,89489.628219916
2004-03-16,1.10134,1.15609,1.10134,1.15107,17065.779267014
2004-03-17,1.15609,1.17607,1.15609,1.17607,69290.657525782
2004-03-18,1.18602,1.18602,1.16101,1.16101,15169.940223544
2004-03-19,1.16101,1.16101,1.12635,1.14112,55933.707533934
2004-03-22,1.15107,1.15609,1.14112,1.14112,57294.795155948
2004-03-23,1.1362,1.14112,1.1362,1.14112,123247.82912166
2004-03-24,1.14112,1.14112,1.11138,1.12635,22092.657820415
2004-03-25,1.11138,1.15107,1.11138,1.15107,22258.355443964
2004-03-26,1.16101,1.16101,1.11621,1.16101,25305.470183526
2004-03-29,1.16101,1.16101,1.12635,1.15107,98434.07201581
2004-03-30,1.12635,1.15107,1.12635,1.14112,36314.678522224
2004-03-31,1.14112,1.14112,1.11621,1.12635,65292.395388703
2004-04-01,1.12635,1.1362,1.12635,1.1362,10429.266656275
2004-04-02,1.14112,1.15107,1.14112,1.15107,25762.752586179
2004-04-05,1.13118,1.14112,1.12635,1.12635,82892.926077172
2004-04-06,1.13118,1.14624,1.13118,1.14624,63725.799675142
2004-04-07,1.12635,1.14112,1.12635,1.14112,1816.2181074787
2004-04-08,1.14624,1.14624,1.12635,1.14112,129882.18981521
