Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-12-18,6.23226,6.23226,5.46549,5.46549,14343.853659079
2008-12-19,5.45731,5.94672,5.44912,5.94672,15262.185366431
2008-12-22,5.94672,5.94672,5.66946,5.73466,13809.804878571
2008-12-23,5.7021,5.7021,5.7021,5.7021,251.9317073266
2008-12-29,5.7102,5.84069,5.7102,5.83259,4588.1756099296
2008-12-30,5.84069,5.93053,5.7102,5.83259,9117.1414637594
2008-12-31,5.91408,5.94672,5.86524,5.86524,5700.390244118
2009-01-05,6.44441,6.44441,5.73466,5.87334,2880.3804879138
2009-01-06,5.74284,6.24044,5.7102,6.24044,16262.946342078
2009-01-07,6.11804,6.52589,5.95499,5.95499,53399.073172751
2009-01-08,5.75094,5.84069,5.73466,5.84069,5006.1268294576
2009-01-12,5.79995,6.21598,5.79995,5.86524,2254.6146342316
2009-01-13,5.72648,6.19152,5.72648,6.19152,4019.2975611276
2009-01-14,6.19152,6.35466,5.91408,6.27309,20480.770732482
2009-01-15,6.03647,6.03647,6.03647,6.03647,794.1073171032
2009-01-16,5.8897,6.18333,5.8897,5.95499,1468.634146397
2009-01-19,6.31383,6.31383,6.31383,6.31383,1.1609756098
2009-01-20,5.87334,6.06912,5.75912,6.06912,1077.3853658944
2009-01-21,6.07722,6.07722,5.83259,5.83259,368.0292683066
2009-01-22,5.79168,5.95499,5.79168,5.95499,444.6536585534
2009-01-23,6.06094,6.06094,5.71829,6.03647,431.8829268456
2009-01-26,6.06094,6.06094,5.61235,5.69383,3903.2000001476
2009-01-27,5.69383,5.69383,5.57152,5.66119,1401.2975610286
2009-01-28,5.69383,5.69383,5.69383,5.69383,11.609756098
2009-01-29,5.62854,5.62854,5.62854,5.62854,1295.6487805368
2009-01-30,5.56334,5.56334,5.49813,5.54706,2367.2292683822
2009-02-02,5.62854,5.62854,4.82103,5.13103,8646.9463417904
2009-02-03,5.13913,5.13913,4.89442,4.89442,1265.463414682
2009-02-04,4.89442,4.89442,4.64971,4.74764,3302.975609881
2009-02-05,4.405,4.81285,4.16021,4.68236,17298.53658602
2009-02-06,4.68236,5.62045,4.68236,5.00054,4656.6731709078
2009-02-09,4.73128,5.03318,4.73128,5.03318,4670.6048782254
2009-02-10,5.15558,5.32681,4.89442,5.32681,12860.126829755
2009-02-11,5.44912,5.62045,5.30226,5.33491,9018.4585369264
2009-02-12,5.46549,5.46549,5.46549,5.46549,394.731707332
2009-02-13,5.46549,5.5226,5.46549,5.5226,536.3707317276
2009-02-16,5.38392,5.46549,4.89442,4.89442,4046.000000153
2009-02-17,4.73128,4.73128,4.42137,4.42137,6387.6878051196
2009-02-18,4.31525,4.31525,4.2255,4.30707,5794.4292685118
2009-02-19,4.4131,4.4131,4.39691,4.39691,1143.560975653
2009-02-20,4.39691,4.39691,4.39691,4.39691,11.609756098
