Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-01-22,8.772,12.856,8.7028,10.463,21733
2016-01-25,10.463,10.463,8.505,9.593,1103
2016-01-26,9.1972,10.977,9.1972,10.681,1378
2016-01-27,10.928,11.452,10.928,11.422,62
2016-01-28,9.89,11.076,9.593,11.076,1684
2016-01-29,11.027,11.867,9.89,11.867,1317
2016-02-01,11.373,13.529,11.373,11.966,5675
2016-02-02,11.867,13.45,11.175,13.45,994
2016-02-03,13.44,13.44,11.966,13.44,137
2016-02-04,13.44,13.44,11.719,11.937,960
2016-02-05,11.373,12.56,9.89,10.681,1309
2016-02-08,10.681,11.323,10.681,11.323,661
2016-02-09,10.681,13.42,10.384,13.42,9357
2016-02-10,13.104,13.104,13.104,13.104,40
2016-02-11,12.807,13.499,11.551,13.45,2019
2016-02-12,13.45,13.45,12.659,13.45,54
2016-02-15,13.45,13.45,12.164,12.856,2880
2016-02-16,13.153,13.351,13.153,13.351,35
2016-02-17,13.351,13.351,13.351,13.351,22
2016-02-18,13.351,13.45,12.461,12.757,326
2016-02-19,12.856,13.45,12.273,13.45,1019
2016-02-22,13.45,13.45,12.461,12.906,272
2016-02-24,13.104,13.222,13.104,13.222,35
2016-02-25,13.222,13.222,13.222,13.222,5
2016-02-26,13.222,13.222,13.222,13.222,2
2016-02-29,13.222,13.222,13.222,13.222,2
2016-03-01,13.222,13.222,13.222,13.222,2
2016-03-02,13.222,13.222,13.222,13.222,2
2016-03-03,13.222,13.222,13.222,13.222,7
2016-03-04,12.955,12.955,12.955,12.955,5
2016-03-08,12.906,12.906,12.659,12.659,11
2016-03-09,12.639,12.639,12.56,12.56,20
2016-03-10,12.56,12.856,12.312,12.856,61
2016-03-11,12.955,13.301,12.856,12.856,61
2016-03-14,13.351,13.351,13.351,13.351,10
2016-03-24,12.856,12.856,12.579,12.579,101
2016-03-29,12.362,12.362,12.362,12.362,10
2016-03-30,12.856,13.301,11.551,13.301,2772
2016-03-31,13.153,13.153,13.153,13.153,10
2016-04-01,13.153,13.153,13.153,13.153,5
2016-04-04,13.153,13.153,13.153,13.153,2
2016-04-05,13.153,13.153,13.153,13.153,2
2016-04-06,13.153,13.153,13.153,13.153,3
2016-04-07,13.153,13.153,13.153,13.153,2
2016-04-08,13.153,13.153,13.153,13.153,2
2016-04-11,13.153,13.153,12.856,12.856,151
2016-04-12,12.856,12.856,12.065,12.065,27
2016-04-13,12.065,12.065,11.966,11.966,40
2016-04-14,11.867,11.867,11.867,11.867,10
2016-04-15,11.769,11.769,11.769,11.769,10
2016-04-18,11.472,12.856,11.145,12.757,555
2016-04-25,13.44,13.44,13.44,13.44,75
2016-04-28,13.45,13.45,13.45,13.45,2
2016-04-29,13.45,13.944,13.45,13.944,674
2016-05-02,13.746,13.746,13.598,13.598,152
2016-05-04,13.598,13.598,13.598,13.598,5
2016-05-05,13.598,13.598,13.598,13.598,2
2016-05-06,13.598,13.598,13.598,13.598,5
2016-05-09,13.598,13.598,13.598,13.598,12
2016-05-10,13.598,13.598,13.598,13.598,1
2016-05-11,13.598,15.823,13.598,14.389,254
2016-05-17,14.389,14.389,14.389,14.389,51
2016-05-25,14.389,14.389,14.34,14.34,81
2016-06-06,14.538,15.329,14.538,15.329,73
2016-06-07,15.803,16.318,15.803,16.318,75
2016-06-09,16.318,17.603,16.318,16.812,55
2016-06-15,16.812,17.801,16.812,17.801,26
2016-06-17,17.801,17.801,16.812,16.812,78
2016-06-20,17.307,17.406,17.307,17.406,15
2016-06-21,17.406,17.406,16.525,16.525,110
2016-06-24,17.307,17.307,17.307,17.307,10
2016-06-27,17.504,17.504,17.504,17.504,10
2016-06-30,16.318,16.318,16.318,16.318,15
2016-07-04,16.318,16.614,15.823,16.614,170
2016-07-05,16.614,17.603,15.833,17.158,1021
2016-07-06,17.593,19.285,17.593,18.296,1381
2016-07-07,19.235,20.867,18.889,20.867,951
2016-07-08,20.867,21.065,20.867,21.065,125
2016-07-11,20.867,21.707,20.867,21.707,335
2016-07-12,21.707,23.586,20.966,20.966,642
2016-07-13,22.499,24.229,22.499,24.229,228
2016-07-14,24.229,28.68,24.229,24.625,119
2016-07-15,24.724,24.724,24.724,24.724,11
2016-07-18,26.207,26.207,26.207,26.207,2
2016-07-19,26.207,28.383,26.207,28.383,59
2016-07-20,25.713,25.713,25.317,25.317,13
2016-07-21,25.317,25.317,25.317,25.317,30
2016-07-25,24.823,24.823,24.823,24.823,51
2016-07-26,24.724,24.724,24.724,24.724,24
2016-07-27,24.724,24.724,24.724,24.724,2
2016-07-28,24.724,24.724,24.724,24.724,49
2016-08-01,24.724,24.724,24.724,24.724,2
2016-08-11,25.713,27.196,25.713,26.009,929
2016-08-17,25.713,25.713,25.713,25.713,101
2016-08-19,26.702,26.702,26.702,26.702,25
2016-08-22,27.394,27.404,27.394,27.394,48
2016-08-23,27.493,27.493,27.493,27.493,1
2016-08-24,27.394,27.394,27.394,27.394,2
2016-08-25,27.196,27.196,25.901,25.901,27
2016-08-26,26.504,26.603,26.504,26.603,20
2016-08-29,26.207,26.207,26,26.009,58
2016-08-30,26.207,26.207,26.207,26.207,2
2016-08-31,26.504,26.504,26.504,26.504,1
2016-09-01,26.504,26.504,23.339,25.416,123
2016-09-02,24.674,24.674,24.674,24.674,2
2016-09-06,24.674,24.674,23.3,23.3,32
2016-09-07,23.735,23.735,23.735,23.735,1
2016-09-15,23.685,23.685,22.281,22.281,4
2016-09-20,21.757,24.031,21.757,24.031,70
2016-09-21,24.229,25.218,24.229,25.218,20
2016-09-28,25.218,25.663,25.218,25.663,10
2016-09-29,25.812,25.96,25.812,25.96,10
2016-10-03,25.812,25.812,25.812,25.812,1
2016-10-04,25.812,25.812,25.812,25.812,2
2016-10-05,25.812,25.812,25.812,25.812,1
2016-10-06,25.812,25.812,25.812,25.812,2
2016-10-07,25.812,25.812,25.812,25.812,1
2016-10-10,25.812,25.812,24.031,25.812,54
2016-10-11,24.031,24.031,23.043,23.043,52
2016-10-12,23.735,25.713,23.735,25.713,30
2016-10-13,24.229,24.229,22.548,24.229,93
2016-10-14,23.24,23.735,22.746,23.735,56
2016-10-17,23.735,23.735,22.746,23.735,3
2016-10-19,22.548,22.548,22.103,22.103,51
2016-10-20,21.757,22.321,21.253,22.321,35
2016-10-24,22.726,22.726,22.726,22.726,5
2016-11-04,22.746,22.835,22.746,22.835,11
2016-11-09,23.458,23.458,23.458,23.458,1
2016-11-10,22.449,23.497,20.768,23.141,337
2016-11-14,23.141,23.418,23.141,23.418,53
2016-11-15,23.428,23.428,20.768,22.746,122
2016-11-16,22.746,23.339,22.746,23.339,10
