Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-07-27,4.15156,4.98184,4.15156,4.98184,254909.57806854
2010-07-28,5.96901,7.15904,5.54464,7.15904,97758.101269454
2010-07-29,7.8418,8.29384,7.16833,8.29384,116804.00844316
2010-07-30,8.01708,8.01708,6.99305,7.0299,50312.869200181
2010-08-02,7.28828,7.6757,7.0299,7.4359,12957.088608076
2010-08-03,7.47276,7.47276,6.91924,7.18681,12698.649789501
2010-08-04,7.14985,7.16833,6.82695,7.14985,7352.0675108216
2010-08-05,7.14985,7.21447,6.73467,7.21447,7937.1729960754
2010-08-06,7.21447,8.10937,7.21447,7.93408,20997.637131582
2010-08-09,7.91561,7.91561,7.38047,7.82332,6672.8902956065
2010-08-10,7.81413,7.81413,7.42661,7.56504,5574.0084390256
2010-08-11,7.66651,7.66651,7.47276,7.54656,6885.8438821123
2010-08-12,7.6019,7.6019,7.28828,7.45428,6725.6118145958
2010-08-13,7.44509,7.5189,7.38047,7.50961,2776.6666667698
2010-08-16,7.10371,7.10371,5.99668,6.27344,2881.0759494741
2010-08-17,6.82695,6.82695,6.2273,6.2273,3171.5611815524
2010-08-18,6.2273,6.2273,5.99668,5.99668,1735.6751055497
2010-08-19,5.99668,6.04282,5.99668,6.04282,705.0210970726
2010-08-20,6.04282,6.42106,6.04282,6.42106,325.6329114045
2010-08-23,6.04282,6.13501,6.04282,6.13501,264.6413502208
2010-08-24,6.04282,6.04282,5.99668,5.99668,1040.9915612201
2010-08-26,6.31958,7.196,6.17196,7.10371,20097.236287666
2010-08-27,7.10371,8.71821,7.10371,8.71821,31773.502110885
2010-08-30,8.71821,10.0101,8.30303,9.77891,8826.2025319734
2010-08-31,9.96367,10.2868,8.85664,10.1484,11340.295359071
2010-09-01,10.102,10.102,8.32151,9.21688,8474.7257387114
2010-09-02,9.19753,9.19753,8.39531,8.41379,2722.9113925062
2010-09-03,8.8105,9.22559,7.62037,9.22559,3280.1054853539
2010-09-06,9.58544,9.68701,9.54868,9.68701,3149.8523207921
2010-09-07,9.68701,9.68701,9.59511,9.64058,2227.7426161165
2010-09-08,9.64058,10.1484,8.94883,10.1484,4131.9198313771
2010-09-09,10.1484,10.1484,10.1388,10.1484,1759.4514768586
2010-09-10,10.1939,11.3479,8.76436,11.3479,30495.78059185
2010-09-13,11.3479,11.9845,11.3479,11.9845,4967.1940930115
2010-09-14,11.9932,11.9932,11.7165,11.9932,3339.029535989
2010-09-15,11.9932,12.4546,11.9932,12.4362,4936.1814347825
2010-09-16,12.4546,12.916,12.1779,12.916,2738.4177216207
2010-09-17,12.916,14.1155,12.916,14.1155,6238.7130804005
2010-09-20,14.2074,14.2074,13.2846,14.2074,6065.0421943181
2010-09-21,14.2074,14.8536,14.2074,14.8536,4426.5400845526
2010-09-22,14.8991,16.6064,14.7607,16.4217,5913.080168996
2010-09-23,16.4681,16.5784,14.9639,16.5784,2147.1097047211
2010-09-24,16.5784,17.418,16.2369,17.418,8807.594937036
2010-09-27,17.2517,18.0826,17.2517,18.0826,6153.9451479079
2010-09-28,18.0826,18.1745,16.7448,17.805,4368.6497891918
2010-09-29,18.1281,18.1281,14.6688,15.7755,4712.8902955337
2010-09-30,17.5283,17.7131,17.3445,17.7131,1175.3797468791
2010-10-01,16.4217,17.5196,15.2222,16.5968,2883.1434600227
2010-10-04,15.2406,15.2406,13.2846,13.8389,2399.3459916503
2010-10-05,14.0691,14.4841,14.0691,14.4841,563.3966244935
2010-10-06,14.7056,14.7056,13.8389,14.577,135.4219409333
2010-10-07,14.4841,14.4841,12.473,13.2846,623.3544304029
2010-10-08,13.1008,13.746,13.1008,13.746,945.8860759845
2010-10-11,13.3774,14.6592,12.6577,14.6592,981.0337553107
