Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-30,57,57,45.1,47.8,43098
2018-01-31,48.4,54,48,48,13266
2018-02-01,48.6,48.6,43.3,44,3970
2018-02-02,44.9,44.9,40.02,42.58,5592
2018-02-05,42.58,43,39.01,39.77,2555
2018-02-06,36.02,38.64,35,36.49,7478
2018-02-07,39,44,37,42.5,3893
2018-02-08,42.5,44.4,40.1,43.89,2417
2018-02-09,42,43.85,40.5,43.85,1022
2018-02-12,43.85,45.7,43,44,3072
2018-02-13,44.1,44.1,41.01,44,803
2018-02-14,44,44,43,43,380
2018-02-15,43.5,44.5,43.5,44,181
2018-02-16,44,44,42,42.05,473
2018-02-19,40.6,43.4,40.6,43.4,2922
2018-02-20,43,43.49,43,43.49,127
2018-02-21,43.4,43.49,43,43.49,297
2018-02-22,43.5,44,43.5,44,105
2018-02-23,44.5,46.5,43.96,43.96,593
2018-02-26,44.7,47,44.7,47,63
2018-02-27,46,46,45,46,169
2018-02-28,45.5,45.5,44.1,44.1,302
2018-03-01,45.5,45.5,43.5,43.5,227
2018-03-02,44.6,45,44,44,34
2018-03-05,44.5,46,44.5,45,997
2018-03-06,44,47.9,44,47,854
2018-03-07,47,47.5,46.5,46.5,213
2018-03-08,47.9,50.5,47.6,50.5,1068
2018-03-09,49,50.5,48,48,1121
2018-03-12,49.9,49.9,47,49.8,488
2018-03-13,49,49,49,49,63
2018-03-14,49,49,48.5,48.5,240
2018-03-15,48.5,49,48.5,48.5,495
2018-03-16,49,49,47.3,48.5,1833
2018-03-19,48.5,53,48,50.5,1582
2018-03-20,50.5,52,50.5,51,209
2018-03-21,51,52.25,51,52,616
2018-03-22,52,58,52,54.95,2286
2018-03-23,53,54.5,52,52,451
2018-03-26,51.75,54.45,51.75,51.8,775
2018-03-27,52,54,52,53.5,278
2018-03-28,52.3,52.3,49,49,2999
2018-03-29,49,52.8,49,49,637
2018-04-03,50.01,52.5,50,52.5,1383
2018-04-04,52.8,52.8,51.5,52.8,141
2018-04-05,52.8,52.99,51.7,52.99,570
2018-04-06,52.99,53,52,52,381
2018-04-09,51.5,53,51.5,53,22
2018-04-10,53,53.5,52.5,52.5,443
2018-04-11,53.9,53.9,51.4,51.4,1042
2018-04-12,51.1,51.1,51,51,606
2018-04-13,52.44,52.99,52.44,52.8,385
2018-04-16,52.8,52.8,49,49,577
2018-04-17,51.2,51.2,51.2,51.2,69
2018-04-18,50.1,52.95,50.1,52.94,753
2018-04-19,51,51.1,51,51,99
2018-04-20,51.1,51.1,51,51,98
2018-04-23,51,51,50,51,412
2018-04-24,50,50.5,49.1,50.4,227
2018-04-25,49,49.15,48.96,49.15,886
2018-04-26,49,49,48.7,48.7,202
2018-04-27,49,49.95,48.8,49.95,39
2018-04-30,50,50,48.95,48.95,293
2018-05-02,47,47,37.6,45,1265
2018-05-04,45.9,48.5,45.9,48.5,19
2018-05-07,48.7,49,47.5,47.5,191
2018-05-08,47,50,46,48,1299
2018-05-09,47.5,47.5,44,47,120
2018-05-10,46.5,46.5,45,45,28
2018-05-11,44.5,49,41,46,1705
2018-05-14,48.75,48.75,45,45,1877
2018-05-15,46,46,43,43,1293
2018-05-16,43.76,43.76,42,42.2,421
2018-05-17,45,45,44,44,143
2018-05-18,45,45,43,44.5,586
2018-05-21,46,48.5,46,48,236
2018-05-22,48,48,44,47.5,271
2018-05-23,48,48,48,48,34
2018-05-24,48,48,44.9,44.9,66
2018-05-25,46,48,46,46,150
2018-05-28,46,46.5,45,45,377
2018-05-29,45,47.5,45,47.5,84
2018-05-30,47.4,47.4,47.4,47.4,25
2018-06-01,47,47.5,44,44,595
2018-06-04,45,46,42,45,1116
2018-06-05,45,46,45,46,61
2018-06-06,45,45,40.1,45,2123
2018-06-07,43,44,41,43.5,357
2018-06-08,43.5,44.8,41,41,1730
2018-06-11,43,43,40.1,42.9,521
2018-06-12,42,42.9,40,42,223
2018-06-13,41.8,42,40,40,175
2018-06-14,40,41.8,40,41.8,473
2018-06-15,41.4,41.4,39.5,40.1,797
2018-06-18,40.5,41,40.4,41,96
2018-06-19,41,41,39.5,40.5,380
2018-06-20,40.5,41.4,40.5,41,493
2018-06-21,40,40.6,40,40.6,110
2018-06-22,40,40,37.6,38.5,393
2018-06-25,37.5,38.85,37.5,38.85,332
2018-06-26,38.85,38.95,38.85,38.95,99
2018-06-27,39.5,39.5,38.95,38.95,159
2018-06-28,39,39,38,38,105
2018-06-29,38.01,39,38.01,39,124
2018-07-02,37.6,41.2,37.6,41,938
2018-07-03,39.2,41,39.2,40.1,85
2018-07-04,40.1,40.1,40.1,40.1,41
2018-07-05,40.5,40.5,40.48,40.5,65
2018-07-06,39,40.5,38.5,39.5,58
2018-07-09,41,41,39.5,39.5,22
2018-07-10,39.7,39.7,39.7,39.7,44
2018-07-11,41,41,39,39,156
2018-07-12,39,39.39,39,39.39,30
2018-07-13,35.5,38.4,35.13,37.5,1010
2018-07-16,38,38,38,38,50
2018-07-17,38,38,37.5,37.5,166
2018-07-18,38.7,38.7,38,38,986
2018-07-19,38.7,38.9,38,38,30
2018-07-20,38.9,38.9,38.9,38.9,54
2018-07-23,39,39,39,39,57
2018-07-24,39,39,38,38.95,268
2018-07-25,38.95,38.95,38.01,38.95,146
2018-07-26,38.95,38.95,38,38.95,428
2018-07-27,38.95,38.98,38,38,339
2018-07-30,38,39,38,39,854
2018-07-31,38.95,39.2,38,39.2,410
