Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-05-14,20.7241,20.9118,19.3586,19.9072,417336.8985561
2019-05-15,20.181,24.9296,20.181,24.9296,356090.48893087
2019-05-16,26.1164,27.0295,22.3726,22.8287,379211.25448398
2019-05-17,22.8287,23.9249,21.2125,23.1941,161650.78512833
2019-05-20,23.5595,23.5595,21.2764,21.3865,53600.742471217
2019-05-21,21.4596,22.1895,20.1995,20.9118,66401.53286254
2019-05-22,20.6196,20.6196,18.3133,18.8748,179602.374896
2019-05-23,18.5372,19.7518,18.2818,19.2217,34732.494178653
2019-05-24,19.3586,22.5548,19.1856,22.5548,134386.67980406
2019-05-27,22.0988,22.528,20.7334,21.3679,78524.558047365
2019-05-28,21.5502,22.3726,21.021,21.1857,38120.239245905
2019-05-29,21.441,21.5502,19.9803,20.6371,25253.509974844
2019-05-30,19.9072,21.7334,18.811,20.1903,108784.01805618
2019-05-31,20.1903,20.6288,19.3956,19.9072,27812.15470177
2019-06-03,20.0894,20.4002,19.5418,19.5418,11787.92595992
2019-06-04,19.6334,20.354,19.6334,19.8609,15387.540214531
2019-06-05,19.8156,20.3633,19.5511,19.9072,11325.272836505
2019-06-06,19.7241,19.7241,17.8063,18.8933,77948.403573579
2019-06-07,18.7111,19.1763,18.304,18.5372,33968.251752824
2019-06-10,18.7111,18.7111,17.8063,18.2633,25519.427424283
2019-06-11,17.7156,18.2633,17.3595,17.4418,22686.217525984
2019-06-12,17.3595,17.8886,15.7794,16.0718,48129.977383353
2019-06-13,16.0718,17.3502,15.8886,15.8886,24261.183883032
2019-06-14,16.3641,16.8026,15.7794,16.6546,11666.857852859
2019-06-17,16.8932,16.8932,15.9802,16.5278,3031.0265375165
2019-06-18,16.8026,16.8026,15.7063,16.0718,8871.4817380164
2019-06-19,16.0718,16.0718,14.7933,14.9024,32592.183000236
2019-06-21,14.9755,15.9348,14.9755,15.5296,21665.78633789
2019-06-24,15.5241,15.5241,14.7202,15.1402,6505.2488240993
2019-06-25,15.1402,16.154,13.7978,15.7063,38061.867122858
2019-06-26,15.451,15.9255,14.9866,15.7517,4250.3553300695
2019-06-27,16.0265,16.6194,15.575,15.7517,14938.939639258
2019-06-28,15.9802,16.3179,15.4325,16.1633,9533.0324658909
2019-07-01,16.7951,17.341,16.1633,16.8932,24410.357086376
2019-07-02,16.8479,19.0672,16.8479,18.4455,58900.715050905
2019-07-03,18.4455,18.4455,17.6444,18.1717,17881.327026961
2019-07-04,18.2088,18.2633,16.8932,17.3502,22764.047023381
2019-07-05,17.167,17.3502,16.5278,16.8479,24249.293265374
2019-07-08,17.2133,17.3502,16.6194,16.9849,6652.2600969603
2019-07-09,17.167,17.6241,16.9849,17.3502,5375.6401466011
2019-07-10,17.613,17.7156,17.167,17.4234,4800.5666380566
