Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-12-07,30.3833,33.0419,29.9086,32.757,51962.172245519
2021-12-08,32.757,32.757,31.6177,32.2728,26794.690072324
2021-12-09,31.4467,32.2823,29.5478,32.2348,20297.443774766
2021-12-10,31.5227,32.2823,31.048,31.9974,6174.9643447206
2021-12-13,30.6872,32.0449,30.0415,32.0449,6036.9939662184
2021-12-14,32.0449,32.0449,30.3359,31.7126,5749.4679102558
2021-12-15,30.8106,31.7126,30.4023,31.7126,5141.7663194484
2021-12-16,30.5922,31.7126,30.5922,31.7126,2359.188151488
2021-12-17,31.6129,32.1873,30.6112,32.1873,3539.8354362282
2021-12-20,30.9055,31.855,30.8581,31.8503,3291.278113125
2021-12-21,30.915,32.2823,30.9055,32.2823,4594.0976414244
2021-12-22,32.2633,32.2823,31.5227,32.1826,1428.1513988472
2021-12-23,31.8076,31.8076,31.1429,31.8076,5275.5238619658
2021-12-27,31.3328,32.0354,31.1809,32.0354,3798.9248492934
2021-12-28,31.5227,32.1826,31.2948,32.1826,4881.623697387
2021-12-29,31.6936,33.5166,31.4562,33.5166,6059.1113551386
2021-12-30,33.2318,34.1623,32.6004,34.1623,8537.3121231972
2022-01-03,34.1623,34.656,33.7825,34.3711,9307.2078994194
2022-01-04,34.3806,37.7608,34.3806,37.5994,14199.363686768
2022-01-05,37.6468,39.4034,37.0344,38.3115,11201.930883583
2022-01-07,38.4492,38.4492,37.343,37.5804,4559.3417445498
2022-01-10,37.9792,38.3495,37.4095,37.6468,1753.592978673
2022-01-11,37.7893,37.9792,36.5929,37.1246,2019.0016457154
2022-01-12,37.5044,37.6943,36.9347,37.5044,4553.0224905726
2022-01-13,37.5044,37.5044,36.5549,37.0297,2043.225452628
2022-01-14,36.5549,37.4095,36.0802,37.4095,4895.3154143376
2022-01-17,37.5044,39.5933,37.5044,39.4034,13385.233132706
2022-01-18,39.4034,39.7357,38.1691,38.264,4882.6769063832
2022-01-19,38.264,38.264,36.3651,37.0297,3058.5189249648
2022-01-20,37.8842,39.7499,37.0297,38.8147,11912.846956018
2022-01-21,38.8812,38.8812,37.1246,37.8842,4477.1914428462
2022-01-24,37.0297,37.0297,34.2952,35.9805,8723.7301155246
2022-01-25,34.7509,35.6624,34.7035,34.9408,2732.0241361428
2022-01-26,34.9883,35.6957,34.1812,35.6957,4248.6450906708
2022-01-27,34.4234,36.3461,34.4234,36.3461,1740.9544707186
2022-01-28,36.0802,36.6499,35.0358,36.6499,1881.0312672132
2022-01-31,36.6499,36.6499,35.4725,36.5549,1808.3598464754
2022-02-01,36.1752,36.5549,35.7954,36.5549,2247.5479978908
2022-02-02,36.5549,36.5549,35.7194,36.46,2389.7312123778
2022-02-03,36.46,36.5549,36.0802,36.5075,1415.5128908928
2022-02-04,36.5075,36.5075,35.8903,36.0802,767.7893582298
2022-02-07,36.2701,36.2701,35.6434,35.8903,285.4196379702
2022-02-08,35.8903,35.8903,34.9931,35.8856,2703.5874932454
2022-02-09,35.4156,37.0154,35.4156,36.3651,2303.3680746894
2022-02-10,36.2749,36.6499,36.0802,36.1799,3658.8480527988
2022-02-11,36.2701,36.5549,36.0802,36.5549,1555.5896873874
2022-02-14,36.5502,36.5502,34.2762,35.539,1270.1700494172
2022-02-15,35.1307,36.3651,35.1307,36.3366,1445.0027427864
2022-02-16,36.0802,36.7448,35.2779,36.7401,470.7844213014
2022-02-17,36.6024,36.6024,35.1355,35.9853,1637.739989091
2022-02-18,35.7004,35.7004,35.1307,35.6719,774.108612207
2022-02-21,34.3522,35.5105,33.5166,33.5166,1376.5441580334
2022-02-22,32.3867,35.5105,32.3867,34.1812,2825.7597368046
2022-02-23,33.9439,34.656,33.2318,34.1623,847.833241941
2022-02-24,30.7631,33.2128,28.8927,30.953,1953.702687951
2022-02-25,29.7187,33.7018,29.7187,33.5593,3886.341195978
2022-02-28,30.953,33.6068,30.953,32.757,2912.122874493
2022-03-01,32.757,32.757,31.366,31.9452,3609.3472299774
2022-03-02,31.4278,32.1873,29.4339,31.3281,5195.4799782546
2022-03-03,31.3328,31.3328,30.3833,31.3328,1336.5222161778
2022-03-04,29.9086,31.2284,29.9086,31.2284,2042.1722436318
2022-03-07,29.9086,32.6621,29.4339,32.6621,3355.5238618932
2022-03-08,30.4973,32.9469,30.4973,31.3376,1548.217224414
2022-03-09,30.3928,32.5671,30.3928,32.2823,584.530992891
2022-03-10,31.3328,33.2128,31.3328,33.1083,736.1930883438
2022-03-11,31.3328,33.2318,30.8581,33.2318,2641.4481624696
2022-03-14,33.659,33.7065,33.2318,33.7065,522.3916621152
2022-03-15,32.3772,33.5166,32.1873,33.5166,577.1585299176
2022-03-16,33.5166,33.9866,32.382,33.8489,1528.2062534862
2022-03-17,34.0863,34.3711,33.7065,34.3711,2394.9972573588
2022-03-18,34.1812,34.7699,33.6116,34.7319,714.0756994236
2022-03-21,34.7509,34.7509,33.2318,33.3457,1183.8069117288
2022-03-22,33.4217,34.6512,33.4217,34.6512,159.0345584262
2022-03-23,34.656,34.656,33.7065,34.656,797.2792101234
2022-03-24,33.8015,34.6465,33.8015,34.6465,907.8661547244
2022-03-25,33.9914,34.656,33.6021,34.561,510.806363157
2022-03-28,34.1812,34.1812,33.7065,34.1812,537.136588062
2022-03-29,33.8679,35.126,33.5261,35.126,1637.739989091
2022-03-30,35.0738,35.1212,34.186,35.1212,847.833241941
2022-03-31,34.186,34.6465,33.8015,34.6465,291.7388919474
2022-04-01,33.8062,34.5421,33.8062,34.5421,2541.3933078306
2022-04-04,33.8062,34.4186,33.8062,34.4186,1369.17169506
2022-04-05,33.9296,35.6909,33.9296,35.6909,1688.2940209086
2022-04-06,34.656,35.1307,34.656,35.0358,168.513439392
2022-04-07,35.6055,36.0802,35.0358,36.0802,2630.9160725076
2022-04-08,37.9792,38.9286,37.0297,38.9192,10186.637411246
2022-04-11,37.9792,38.9192,37.0772,38.7198,3796.818431301
2022-04-12,37.8842,39.1945,37.3145,38.5489,3041.6675810256
2022-04-13,38.9286,38.9286,37.9792,38.9286,2037.959407647
2022-04-14,38.9286,38.9286,38.0361,38.4444,273.834339012
2022-04-19,38.0646,38.4397,37.5092,37.9839,1667.2298409846
2022-04-20,38.4349,38.7482,37.6326,38.5489,921.557871675
2022-04-21,38.5536,38.753,37.9839,37.9839,1357.5863961018
2022-04-22,37.9792,37.9792,35.6055,36.0802,2501.371365975
2022-04-25,36.9347,36.9347,36.0802,36.0802,224.3335161906
2022-04-26,36.8873,37.9792,35.7479,37.9459,1145.8913878656
2022-04-27,36.8398,37.5044,35.615,37.5044,1709.3582008326
2022-04-28,37.4902,37.4997,36.8398,37.4,101.1080636352
2022-04-29,36.8398,37.4095,36.8398,37.3145,207.4821722514
2022-05-02,37.3145,38.9002,36.0802,38.9002,2822.600109816
2022-05-04,38.8527,38.8812,37.9792,38.8812,2787.8442129414
2022-05-05,38.8337,38.8337,37.0962,37.3145,2576.1492047052
2022-05-06,37.0297,37.8842,36.1799,37.8652,1114.2951179796
2022-05-09,37.8652,38.2593,37.6943,37.6943,111.6401535972
2022-05-10,37.9744,37.9744,36.5217,37.4095,1056.3686231886
2022-05-11,37.3715,37.4095,36.46,37.3525,632.9786067162
2022-05-12,36.46,37.3383,35.7004,36.5929,378.1020296358
2022-05-13,36.0802,36.5217,35.4203,36.2891,382.3148656206
2022-05-16,36.2891,37.9602,36.2891,37.8747,856.2589139106
