Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-11-08,35.8,37.94,33,35,45604
2021-11-09,35.7,39.9,35,36.6,21531
2021-11-10,36.6,36.695,33.6,35,3264
2021-11-12,35.89,35.9,34.1,34.15,2361
2021-11-15,34.15,34.15,32.1,32.3,1833
2021-11-16,31.9,31.9,30.1,31.25,1717
2021-11-17,31.4,35.9,31.4,35.9,1756
2021-11-18,35.88,35.9,33.5,34.5,858
2021-11-19,34.4,36.9,33.01,36.3,1435
2021-11-22,36.3,36.3,34.21,35.5,172
2021-11-23,35.5,36.3,33.49,36.3,996
2021-11-24,36.295,36.5,35.5,36,1673
2021-11-25,35.5,36.295,35,36.295,1619
2021-11-26,34.7,36.3,34.41,36.27,752
2021-11-29,35.83,35.83,35,35.83,219
2021-11-30,36,36.49,35,36.49,248
2021-12-01,35.31,37,35.31,37,3327
2021-12-02,37.2,37.95,37,37.94,642
2021-12-03,37.21,38,37.21,38,353
2021-12-06,37.735,38,37.7,37.7,354
2021-12-07,37.21,37.21,36.21,36.52,289
2021-12-08,37,37,36,36.88,1402
2021-12-09,36.88,36.88,36,36.6,353
2021-12-10,36.1,36.1,36.1,36.1,164
2021-12-13,36.5,36.8,35.9,36.7,229
2021-12-14,36,38,35.75,38,898
2021-12-15,37.995,42.8,37.9,42.795,5057
2021-12-16,42.825,49,42.825,46.885,4188
2021-12-17,46.6,46.6,45.31,46.2,324
2021-12-20,46,46.4,43.8,45.2,673
2021-12-21,43.01,44.9,43,44.63,190
2021-12-22,43.52,44,43.05,44,240
2021-12-23,44.62,45.99,44.4,45.895,1027
2021-12-27,45.895,45.895,44,45.87,499
2021-12-28,45.02,46,45.02,46,207
2021-12-29,46,50.99,45.11,50.99,3763
2021-12-30,50.8,53.48,50.5,52.2,2006
2022-01-03,52.3,55.9,52.3,55.9,1696
2022-01-04,58.54,69,58.1,66,5518
2022-01-05,66.5,66.5,60.31,64.6,1324
2022-01-07,64,64.1,62.8,64.1,573
2022-01-10,63.5,64.5,62,63.88,982
2022-01-11,61.12,63.74,61.1,63.65,497
2022-01-12,62,63.2,58.32,61.09,1634
2022-01-13,61.2,61.22,60,60.8,170
2022-01-14,60,60.99,59.6,60.99,209
2022-01-17,60.6,63.02,60.6,61.2,375
2022-01-18,61.3,62.8,61.2,62.8,80
2022-01-19,61.2,61.5,60.6,60.6,156
2022-01-20,61,62,60.22,61.99,220
2022-01-21,60.2,61.8,58.01,61.55,491
2022-01-24,59.11,59.11,56.6,59,1520
2022-01-25,56.6,61.5,56.58,61.47,624
2022-01-26,61.47,61.89,60,61.89,314
2022-01-27,61.98,62.5,61.97,62,311
2022-01-28,62,62,61,61,27
2022-01-31,61,61.1,60,60.95,172
2022-02-01,61,61,56.5,60.28,1438
2022-02-02,57.46,60.2,57,60.16,494
2022-02-03,60.2,62.4,50,54.71,7277
2022-02-04,55.1,56,48,49.98,13833
2022-02-07,50.05,53.4,49,50,1423
2022-02-08,47.2,47.2,42,44,8231
2022-02-09,44.4,52.4,44.1,47,5222
2022-02-10,48.78,48.78,45,45.7,1031
2022-02-11,45.7,45.7,43.6,44.99,3953
2022-02-14,43.81,43.81,41.05,42.88,2946
2022-02-15,42.88,44,39.41,42.8,3504
2022-02-16,42.8,43.9,39.4,41.495,2887
2022-02-17,40.1,41.45,39.23,40,879
2022-02-18,39.99,41,39.99,41,319
2022-02-21,41,41,39.3,41,101
2022-02-22,39.5,41.3,38.2,40.9,1831
2022-02-23,40.9,41.1,38.51,41.05,460
2022-02-24,38,39,34.5,37.88,5948
2022-02-25,36.06,40.99,36.06,40,1210
2022-02-28,40,40.8,38,40.8,644
2022-03-01,40,40.4,40,40.4,85
2022-03-02,38.51,39.9,33,39.9,4393
2022-03-03,37,39.2,36.68,39.2,640
2022-03-04,39.2,39.2,36.7,37.66,592
2022-03-07,36.7,38.9,35.2,38.9,1684
2022-03-08,38.9,39.9,38.9,39.8,721
2022-03-09,39,39.4,37,39.395,544
2022-03-10,40.5,42,39.8,42,853
2022-03-11,44.995,44.995,37.8,43,1065
2022-03-14,43,43.55,40.2,43.55,814
2022-03-15,41.7,42.7,34.9,36.6,12791
2022-03-16,37,38.49,37,38.3,537
2022-03-17,36.91,38,36,38,642
2022-03-18,36,37.995,36,37.5,1569
2022-03-21,37.4,37.49,36.2,37.49,470
2022-03-22,37.5,37.5,37.4,37.4,21
2022-03-23,37,37.495,36.4,37.495,651
2022-03-24,37.495,37.9,37.495,37.885,180
2022-03-25,37.5,37.8,37.5,37.8,316
2022-03-28,37.8,39.305,37.01,39.305,416
2022-03-29,39.45,40.485,39.445,40.485,243
2022-03-30,40.885,40.885,39,40.65,228
2022-03-31,40.65,41.5,39.5,41.4,324
2022-04-01,41.4,41.4,40,41.2,442
2022-04-04,41.1,41.1,38.4,40.995,1294
2022-04-05,40.2,40.485,40.2,40.485,53
2022-04-07,38.7,40,37.9,39.95,741
2022-04-08,39.55,39.6,39.55,39.6,55
2022-04-11,38.105,38.9,37,38.8,644
2022-04-12,38.8,39.49,35,38,2950
2022-04-13,37,38,37,38,92
2022-04-14,38,38,35.1,37.6,1983
2022-04-19,37.6,37.9,34.5,37,1330
2022-04-20,37,37.3,37,37.3,238
2022-04-21,37.2,38,33.2,37.8,2506
2022-04-22,37.8,37.8,37,37,65
2022-04-25,36.2,36.8,36.1,36.8,527
2022-04-27,36,37,34,37,1281
2022-04-28,35.1,36.7,35.1,36.7,65
2022-04-29,36.7,36.7,36.7,36.7,144
2022-05-02,35.8,36.7,35.6,36.7,177
2022-05-05,36.6,37.5,35.5,37.2,1568
2022-05-06,37.2,37.2,36.5,37,326
2022-05-09,36.1,37,35,35,713
2022-05-10,36.2,36.4,35,36.3,577
2022-05-11,35.2,36.2,35,36.2,175
2022-05-12,35.1,36,35,36,65
2022-05-13,36,37.3,35,37.3,268
2022-05-16,36.2,37.5,35.2,37.5,241
2022-05-17,37.4,37.4,37.4,37.4,15
2022-05-18,37.4,37.4,37.4,37.4,3
2022-05-19,35.8,36.9,35.8,36.9,20
2022-05-20,35.7,36.4,34,36.4,238
2022-05-23,36.4,36.4,34,36.2,278
2022-05-25,36,36.2,36,36.2,80
2022-05-26,36,36,34.6,35.5,59
2022-05-27,36,36.4,36,36.4,219
2022-05-30,36.4,36.4,36.4,36.4,7
2022-05-31,36.4,37,36.4,36.4,31118
2022-06-01,36.4,36.4,35.8,36,5765
2022-06-02,36,36,36,36,63
2022-06-03,36,36,34.7,35.5,463
2022-06-06,35.4,35.4,35,35,57
2022-06-07,35.1,39.4,34,39.4,1496
2022-06-08,39.6,39.6,35.6,37.8,680
2022-06-09,35.8,37.6,35.8,37.4,138
2022-06-10,37,37.3,37,37.3,205
2022-06-13,36.1,37.4,34.6,37.4,1034
2022-06-15,36.9,36.9,36,36,136
2022-06-17,35.7,35.9,35.6,35.6,145
2022-06-20,35.5,36.4,34.4,36.4,284
2022-06-21,34.6,35.4,34.5,35.4,68
2022-06-22,34.4,36.1,34,35.4,892
2022-06-23,34.1,34.1,34,34,456
2022-06-24,34,36.6,33,36.3,99225
2022-06-27,36.3,36.5,31.5,35,1820
2022-06-28,33.8,35.2,33.8,34.8,327
2022-06-29,34.8,35,32,34.5,527
2022-06-30,32,34.8,31.1,34.4,770
2022-07-01,34,34.8,31.9,34.8,492
2022-07-04,34.2,35,33,35,620
2022-07-05,34.5,34.5,33.2,34.5,45724
2022-07-06,33.1,34.8,32.4,34.8,745
2022-07-07,34.4,35,33,33.7,17688
2022-07-08,34,34.3,32.8,33.6,2202
2022-07-11,33.6,35.7,31,35.5,6636
2022-07-12,33.7,34.9,33,33.2,1576
2022-07-13,33.5,33.5,32.3,33.2,110
2022-07-14,32.4,33.1,30.9,30.9,32815
2022-07-15,31,31.6,30.1,30.9,1508
2022-07-18,31.5,31.9,30.5,31.9,207
2022-07-19,30.5,31.8,30.4,31.8,220
2022-07-20,30.9,31.9,30.8,31.9,125
2022-07-21,30.9,31.5,30.6,31.5,470
2022-07-22,31.6,31.6,31.6,31.6,7
2022-07-25,31.7,31.7,31.7,31.7,1
2022-07-26,31.7,31.7,31,31.4,104
2022-07-27,31,31,29.9,30.8,1392
2022-07-28,30,30.7,29,30.7,4959
2022-07-29,30.8,31.5,30,31.3,775
2022-08-01,31.5,32.3,31.5,32.3,188
2022-08-02,32.2,32.9,31.2,32.8,232
2022-08-03,32.8,35.3,32.8,35.3,977
2022-08-04,35.4,35.4,34.4,35.4,263
2022-08-05,35.4,36,34,36,889
2022-08-08,36.3,44.9,36.3,44.9,3386
2022-08-09,44.8,44.9,41.9,44.4,682
2022-08-10,44.3,46,44,46,2918
2022-08-11,47,47,44,46.8,1947
2022-08-12,47,52,46,52,1692
2022-08-16,53,53,48,48,573
2022-08-17,48.7,51.4,46.7,49.5,866
2022-08-18,49.5,51,49.5,51,605
2022-08-19,49.5,50,49.2,50,240
2022-08-22,50,50,47.4,49.7,214
2022-08-23,49.5,49.5,48,49.5,224
2022-08-24,49.6,49.6,48.5,48.5,166
2022-08-25,47.7,49,47,49,158
2022-08-26,49.5,50.8,49,50.6,569
2022-08-29,50.6,51,49,50,468
2022-08-30,50,55,50,54.6,4181
2022-08-31,52.4,54.6,52,54.2,284
2022-09-01,54.2,54.2,52,53.4,759
2022-09-02,53.4,53.4,51,52.8,1776
2022-09-05,52.8,56.6,52,52,1591
2022-09-06,53.2,53.2,43.5,51,2401
2022-09-07,50.2,51,47,51,335
2022-09-08,49.2,51,47,47.6,1634
2022-09-09,49.5,49.5,47.5,48.8,429
2022-09-12,47.9,48,44,46.7,2509
2022-09-13,46.6,46.6,42.4,43.5,1489
2022-09-14,43,44.8,43,44.1,469
2022-09-15,45.1,45.4,39.9,42.8,5148
2022-09-16,41.2,41.9,38.5,41.3,4592
