Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1995-05-25,3.13901,3.13901,3.13901,3.13901,1011456.3210574
1995-05-26,3.13901,3.13901,3.13901,3.13901,792124.51434631
1995-05-29,3.20519,3.20519,3.20519,3.20519,647082.66480343
1995-05-30,2.89135,2.89135,2.89135,2.89135,494081.93263048
1995-05-31,2.92445,2.92445,2.92445,2.92445,309651.19563617
1995-06-01,2.67646,2.67646,2.67646,2.67646,124418.81073848
1995-06-02,2.70946,2.70946,2.70946,2.70946,194503.05500599
1995-06-05,2.87467,2.87467,2.87467,2.87467,95833.362993591
1995-06-06,2.87467,2.87467,2.87467,2.87467,230631.28075076
1995-06-07,2.92445,2.92445,2.92445,2.92445,242453.82417023
1995-06-08,2.92445,2.92445,2.92445,2.92445,196802.20940334
1995-06-09,2.90777,2.90777,2.90777,2.90777,133950.42781827
1995-06-12,2.82516,2.82516,2.82516,2.82516,126540.47417775
1995-06-13,2.84158,2.84158,2.84158,2.84158,117886.90839388
1995-06-14,2.90777,2.90777,2.90777,2.90777,82021.980494208
1995-06-16,2.84158,2.84158,2.84158,2.84158,81817.454489536
1995-06-19,2.74256,2.74256,2.74256,2.74256,58158.262408892
1995-06-20,2.80874,2.80874,2.80874,2.80874,88833.636799224
1995-06-21,2.80874,2.80874,2.80874,2.80874,106811.94278459
1995-06-22,2.80874,2.80874,2.80874,2.80874,145982.19898965
1995-06-23,2.84158,2.84158,2.84158,2.84158,73196.800936304
1995-06-26,2.97387,2.97387,2.97387,2.97387,334753.8241176
1995-06-27,3.07298,3.07298,3.07298,3.07298,335998.61169776
1995-06-28,2.97387,2.97387,2.97387,2.97387,159054.23173652
1995-06-29,3.03989,3.03989,3.03989,3.03989,271552.93780043
1995-06-30,3.05648,3.05648,3.05648,3.05648,165715.43213004
1995-07-03,3.13901,3.13901,3.13901,3.13901,369221.15765201
1995-07-04,3.10591,3.10591,3.10591,3.10591,288476.8769686
1995-07-05,3.07298,3.07298,3.07298,3.07298,136190.8103752
1995-07-06,3.08932,3.08932,3.08932,3.08932,109080.53582491
1995-07-07,3.05648,3.05648,3.05648,3.05648,85558.869850858
1995-07-10,3.05648,3.05648,3.05648,3.05648,41389.480899427
1995-07-11,3.03989,3.03989,3.03989,3.03989,108557.46644515
1995-07-12,3.00688,3.00688,3.00688,3.00688,82813.0494663
1995-07-13,3.07298,3.07298,3.07298,3.07298,198500.71559155
1995-07-14,3.10591,3.10591,3.10591,3.10591,76947.619792094
1995-07-17,3.17218,3.17218,3.17218,3.17218,496993.48960503
1995-07-18,3.37041,3.37041,3.37041,3.37041,708238.29107389
1995-07-19,3.70075,3.70075,3.70075,3.70075
1995-07-20,4.06419,4.06419,4.06419,4.06419,961928.11569617
1995-07-21,4.26258,4.26258,4.26258,4.26258,1017364.0664567
1995-07-24,4.2956,4.2956,4.2956,4.2956,1005928.2417472
1995-07-25,4.72522,4.72522,4.72522,4.72522,647074.43674578
1995-07-26,5.18769,5.18769,5.18769,5.18769,1173259.8994889
1995-07-27,5.61698,5.61698,5.61698,5.61698,820600.64646802
1995-07-28,5.31981,5.31981,5.31981,5.31981,576425.9828102
1995-07-31,4.79115,4.79115,4.79115,4.79115,574914.37107453
1995-08-01,4.79115,4.79115,4.79115,4.79115,415244.21045038
1995-08-02,4.79115,4.79115,4.79115,4.79115,425992.40462692
1995-08-03,4.69196,4.69196,4.69196,4.69196,510440.4866938
1995-08-04,4.79115,4.79115,4.79115,4.79115,314017.94337958
1995-08-07,4.82433,4.82433,4.82433,4.82433,319950.37295188
1995-08-08,4.72522,4.72522,4.72522,4.72522,225599.23577375
1995-08-09,4.65904,4.65904,4.65904,4.65904,218610.08851066
1995-08-10,4.89035,4.89035,4.89035,4.89035,330550.46209056
1995-08-11,5.18769,5.18769,5.18769,5.18769,451165.55931686
1995-08-16,5.28689,5.28689,5.28689,5.28689,489611.74644791
1995-08-17,5.28689,5.28689,5.28689,5.28689,473347.22732928
1995-08-18,5.0884,5.0884,5.0884,5.0884,343126.46050424
1995-08-22,5.45218,5.45218,5.45218,5.45218,762101.50738468
1995-08-23,5.48545,5.48545,5.48545,5.48545,490969.37596169
1995-08-24,5.65033,5.65033,5.65033,5.65033,519620.64816785
1995-08-25,6.21182,6.21182,6.21182,6.21182,584675.19833197
1995-08-28,6.50941,6.50941,6.50941,6.50941,607354.07611436
1995-08-29,6.44347,6.44347,6.44347,6.44347,577964.62959248
1995-08-30,6.27775,6.27775,6.27775,6.27775,565695.4201858
1995-08-31,6.24492,6.24492,6.24492,6.24492,530736.75406544
1995-09-01,6.83933,6.83933,6.83933,6.83933
1995-09-04,7.50036,7.50036,7.50036,7.50036,352038.62238598
1995-09-05,8.22758,8.22758,8.22758,8.22758,1298436.8669688
1995-09-06,7.92863,7.92863,7.92863,7.92863,760318.36974624
1995-09-07,8.42751,8.42751,8.42751,8.42751,491706.37484059
