Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-04-11,17,17,14.12,15.77,57259
2022-04-12,15.94,16,14,14.15,17336
2022-04-13,14.6,14.66,13.102,13.7,10397
2022-04-14,13.2,13.8,13.14,13.8,3101
2022-04-19,13.6,14.23,12.8,13.4,3778
2022-04-20,13.4,13.4,12,12.77,8831
2022-04-21,12.04,12.5,12,12.5,948
2022-04-22,12.44,13.2,11.5,12.85,4122
2022-04-25,12.85,13.25,11.9,12.7,1963
2022-04-26,12.65,12.65,12,12.58,1029
2022-04-27,12,12.6,11.91,12.45,931
2022-04-28,12.45,12.45,11.6,11.99,808
2022-04-29,12,12.68,11.9,12.68,3132
2022-05-02,12,12.68,12,12.68,247
2022-05-04,12,13.6,11.92,13.39,3556
2022-05-05,13.3,13.6,13,13.59,389
2022-05-06,13.3,14.42,13.3,14.18,5258
2022-05-09,14.28,15.49,14,15.49,1739
2022-05-10,15.38,15.49,14.7,15,819
2022-05-11,15,15,14.7,14.9,164
2022-05-12,14.44,14.44,12.01,14.35,1220
2022-05-13,14.35,14.4,13,14.4,614
2022-05-16,13.8,14.98,12.4,14.98,666
2022-05-17,14.5,14.5,13.8,14.05,85
2022-05-18,14,14,12.6,13.8,1915
2022-05-19,13,13.89,12.7,13.6,120
2022-05-20,13,13.8,12.9,13.8,342
2022-05-23,13.9,13.99,11.33,12.28,5626
2022-05-24,12.28,13.78,10,13.75,16083
2022-05-25,13.5,13.5,12.7,13.4,515
2022-05-26,13.4,13.4,12,13.2,866
2022-05-27,13,13,11,11.65,2079
2022-05-30,11.65,11.98,9.6,11.98,4139
2022-05-31,11.66,11.66,10.26,10.5,3777
2022-06-01,10.7,11.398,9.71,11.188,6025
2022-06-02,10.44,10.8,10.44,10.77,455
2022-06-03,10.36,11.24,10.354,11.17,901
2022-06-06,11.18,11.63,10.4,10.9,2089
2022-06-07,11.1,11.55,10.4,11.28,433
2022-06-08,11.496,11.548,11,11.5,1327
2022-06-09,11.548,12.5,11.1,11.8,8235
2022-06-10,11.8,11.8,11.6,11.796,847
2022-06-13,11.2,11.928,10.94,11.928,1986
2022-06-14,11.898,11.898,11.1,11.8,1068
2022-06-15,11.7,11.928,11.7,11.9,408
2022-06-17,11.85,12.1,11,11.7,2173
2022-06-20,11.9,17,11.9,16.34,15539
2022-06-21,16.6,16.6,14.202,15.5,7120
2022-06-22,15.4,15.4,13.21,14,6894
2022-06-23,14.6,15,14,15,2063
2022-06-24,15.3,16.9,14.22,16.1,4100
2022-06-27,16.7,23.5,16.7,22.45,23600
2022-06-28,21.995,23.4,18.5,22.34,17820
2022-06-29,22,28.2,22,25.8,35507
2022-06-30,26.8,28,23.5,25,13585
2022-07-01,24.9,24.9,23.2,23.2,4235
2022-07-04,23.5,24.79,20.8,20.8,7622
2022-07-05,20.65,21.9,17.96,19.49,11159
2022-07-06,19.69,21.48,18,21.4,6489
2022-07-07,21.44,21.44,19.42,21,1942
2022-07-08,20,20.8,19,20.8,5894
2022-07-11,18.55,19.92,17.6,18.5,13999
2022-07-12,19.3,19.3,16.5,17.2,3288
2022-07-13,17.2,17.288,15.01,16,5278
2022-07-14,16,16,14,14.86,5609
2022-07-15,15.39,15.39,14.67,15.26,239
