Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-12-13,0.315,0.315,0.315,0.315,137143
2012-12-17,0.43313,0.43313,0.38938,0.38938,245872
2012-12-18,0.38938,0.38938,0.385,0.385,21879
2012-12-19,0.37188,0.37188,0.35,0.35,17269
2012-12-20,0.35,0.35,0.35,0.35,8482
2012-12-21,0.37188,0.4375,0.37188,0.4375,22487
2012-12-27,0.525,0.525,0.525,0.525,17579
2012-12-28,0.525,0.525,0.48125,0.48125,15621
2013-01-02,0.47688,0.47688,0.385,0.385,10576
2013-01-03,0.385,0.385,0.25813,0.25813,24560
2013-01-04,0.34125,0.34125,0.34125,0.34125,25195
2013-01-07,0.34125,0.34563,0.34125,0.34563,23312
2013-01-08,0.37188,0.39375,0.37188,0.39375,9600
2013-01-09,0.39375,0.4725,0.39375,0.4725,6249
2013-01-10,0.46813,0.46813,0.45938,0.45938,3657
2013-01-11,0.39375,0.4375,0.39375,0.4375,15246
2013-01-14,0.45938,0.45938,0.41563,0.41563,6592
2013-01-15,0.455,0.455,0.4375,0.4375,1371
2013-01-16,0.4375,0.4375,0.4375,0.4375,1029
2013-01-17,0.42875,0.43313,0.42875,0.43313,1829
2013-01-18,0.42438,0.42438,0.42438,0.42438,914
2013-01-21,0.42438,0.42438,0.42438,0.42438,914
2013-01-22,0.39375,0.39375,0.39375,0.39375,3200
2013-01-23,0.41125,0.41125,0.3325,0.3325,5486
2013-01-24,0.37188,0.41563,0.37188,0.41563,4880
2013-01-25,0.4025,0.4025,0.4025,0.4025,14400
2013-01-28,0.4025,0.4025,0.39375,0.39375,2171
2013-01-29,0.39375,0.39375,0.39375,0.39375,5646
2013-01-30,0.38938,0.41563,0.38938,0.41563,6857
2013-01-31,0.41125,0.41125,0.41125,0.41125,5029
2013-02-01,0.41125,0.41125,0.41125,0.41125,8571
2013-02-04,0.40688,0.40688,0.40688,0.40688,1371
2013-02-05,0.30625,0.30625,0.30625,0.30625,26057
2013-02-06,0.30625,0.30625,0.30625,0.30625,5198
2013-02-07,0.30625,0.30625,0.30625,0.30625,457
2013-02-08,0.30625,0.30625,0.30625,0.30625,12133
2013-02-11,0.30625,0.30625,0.30625,0.30625,457
2013-02-12,0.28438,0.28438,0.28438,0.28438,8229
2013-02-13,0.30625,0.30625,0.30625,0.30625,229
