Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-03-22,0.25714,0.30857,0.21429,0.3,2547116
2011-03-23,0.29143,0.34286,0.28286,0.28714,1684226
2011-03-24,0.28714,0.30857,0.24,0.24429,484521
2011-03-25,0.23143,0.24857,0.21429,0.21857,402306
2011-03-28,0.22714,0.24,0.22286,0.23143,192197
2011-03-29,0.23143,0.24429,0.22714,0.24429,102475
2011-03-30,0.24429,0.34286,0.24429,0.34286,700000
2011-03-31,0.37286,0.5143,0.37286,0.5143,768999
2011-04-01,0.7543,0.81,0.6171,0.6471,2160382
2011-04-04,0.7029,0.7843,0.6,0.6429,1034537
2011-04-05,0.6471,0.7286,0.6386,0.7029,662984
2011-04-06,0.7071,0.75,0.6686,0.69,460651
2011-04-07,0.7071,0.8229,0.6086,0.7757,815978
2011-04-08,0.8143,0.84,0.75,0.81,913486
2011-04-11,0.8186,0.8186,0.7243,0.7757,188137
2011-04-12,0.7629,0.7971,0.7071,0.75,243049
2011-04-13,0.7371,0.7371,0.6771,0.6814,193438
2011-04-14,0.6943,0.7029,0.6257,0.6729,124266
2011-04-15,0.6686,0.75,0.6471,0.7114,199192
2011-04-18,0.7029,0.7457,0.6986,0.7071,58357
2011-04-19,0.7157,0.7457,0.69,0.7329,49933
2011-04-20,0.7371,1.02,0.7029,1.02,1130206
2011-04-21,1.02,1.0714,0.8786,0.9386,499968
2011-04-26,0.9343,0.9814,0.8786,0.9086,150834
2011-04-27,0.9129,0.9214,0.8829,0.8829,66663
2011-04-28,0.8871,1.0586,0.8871,1.0586,150652
2011-04-29,1.0757,1.2557,1.0714,1.2214,467588
2011-05-02,1.1786,1.3243,1.0929,1.2,355157
2011-05-04,1.2257,1.2557,1.0714,1.0757,265984
2011-05-05,1.0757,1.1314,0.99,1.0457,256611
2011-05-06,1.0457,1.1571,1.0071,1.0971,210721
2011-05-09,1.0843,1.0843,1.0286,1.0457,149865
2011-05-10,1.0843,1.1143,0.9686,1.0114,121415
2011-05-11,0.99,1.0029,0.9514,0.96,81727
2011-05-12,0.9686,1.0286,0.9514,1.0243,77261
2011-05-13,1.0371,1.11,1.0286,1.0671,101892
2011-05-16,1.0757,1.1571,1.0286,1.11,55769
2011-05-17,1.11,1.11,1.0414,1.0714,42621
2011-05-18,1.0714,1.0714,1.0286,1.0671,33175
2011-05-19,1.0071,1.0414,0.9643,1.0071,49679
2011-05-20,1.0286,1.11,0.9771,1.0886,70469
2011-05-23,1.0929,1.1357,1.0714,1.0714,110003
2011-05-24,1.0714,1.11,1.0457,1.0457,34361
2011-05-25,1.0457,1.1186,1.0457,1.11,45876
2011-05-26,1.11,1.1271,1.0757,1.0757,18515
2011-05-27,1.0671,1.0886,1.0629,1.0757,36654
2011-05-30,1.0757,1.08,1.0629,1.0629,22097
2011-05-31,1.0629,1.1014,1.0414,1.0714,49128
2011-06-01,1.05,1.0543,0.9557,1.0071,21091
2011-06-02,1.02,1.02,0.9557,1.0071,22930
2011-06-03,0.9857,1.0329,0.9771,0.9857,10862
2011-06-06,0.9643,0.9643,0.8614,0.9429,52409
2011-06-07,0.96,0.96,0.9386,0.9557,17691
2011-06-08,0.9429,0.9471,0.93,0.9429,19143
2011-06-09,0.9429,0.9857,0.9214,0.9814,48034
2011-06-10,0.9429,0.9643,0.9,0.9643,63378
2011-06-13,0.96,0.96,0.8571,0.9171,137300
2011-06-14,0.9,1.08,0.9,1.0286,140247
2011-06-15,1.0243,1.0243,0.9857,0.9986,8402
2011-06-16,0.9771,1.0071,0.9214,0.9429,17988
2011-06-17,0.9386,1.0157,0.9386,1.0157,2569
2011-06-20,0.9857,0.9857,0.9043,0.9257,38379
2011-06-21,0.9429,0.9429,0.8571,0.9043,29710
2011-06-22,0.9043,0.9043,0.8743,0.8743,8918
2011-06-24,0.8571,0.8571,0.7714,0.7757,57568
2011-06-27,0.7757,0.7971,0.66,0.7629,55925
2011-06-28,0.7286,0.7286,0.7114,0.7286,12367
2011-06-29,0.7114,0.7114,0.69,0.6943,18858
2011-06-30,0.7029,0.7671,0.6986,0.7329,10164
2011-07-01,0.7157,0.7329,0.6643,0.7243,28233
2011-07-04,0.7243,0.7243,0.7071,0.7243,6685
2011-07-05,0.7243,0.7457,0.7243,0.7457,15678
2011-07-06,0.7414,0.7457,0.6857,0.72,9616
2011-07-07,0.7071,0.7371,0.6686,0.72,26976
2011-07-08,0.7286,0.7371,0.7157,0.7157,13886
2011-07-11,0.72,0.8571,0.72,0.8443,66834
2011-07-12,0.8271,1.1143,0.8057,1.0457,266492
2011-07-13,1.05,1.05,0.8657,0.8786,151559
2011-07-14,0.84,0.9643,0.84,0.9386,61861
2011-07-15,0.9086,0.9986,0.8914,0.96,41097
2011-07-18,0.96,0.99,0.8614,0.9171,62858
2011-07-19,0.8786,0.8786,0.8057,0.8314,64629
2011-07-20,0.8143,0.8529,0.7929,0.8229,21408
2011-07-21,0.8186,0.8186,0.7629,0.7843,57701
2011-07-22,0.7543,0.7714,0.6943,0.7371,37147
2011-07-25,0.7457,0.7457,0.7071,0.7329,15904
2011-07-26,0.7414,0.7714,0.72,0.75,24456
2011-07-27,0.7671,0.7671,0.72,0.7586,2548
2011-07-28,0.7671,0.7671,0.7114,0.7157,8720
2011-07-29,0.7157,0.7157,0.6943,0.7157,24897
2011-08-01,0.7114,0.7586,0.7114,0.75,19000
2011-08-02,0.7457,0.75,0.7071,0.7286,11116
2011-08-03,0.7286,0.75,0.69,0.69,22916
2011-08-04,0.6857,0.6986,0.6043,0.66,24395
2011-08-05,0.6214,0.6429,0.5871,0.6429,34466
2011-08-08,0.6214,0.6214,0.5571,0.5743,15785
2011-08-09,0.5743,0.5786,0.47143,0.51,93401
2011-08-10,0.5057,0.5443,0.5057,0.5271,95256
2011-08-11,0.5357,0.5486,0.5057,0.5229,6232
2011-08-12,0.5271,0.6343,0.5271,0.6,93163
2011-08-16,0.5914,0.6343,0.5914,0.6214,8916
2011-08-17,0.6,0.6,0.5657,0.5914,36281
2011-08-18,0.6,0.6,0.5443,0.5486,10764
2011-08-19,0.5443,0.5443,0.5057,0.5186,12754
2011-08-22,0.5014,0.5743,0.5014,0.5529,47215
2011-08-23,0.5529,0.5657,0.5271,0.5271,10934
2011-08-24,0.5143,0.5443,0.5143,0.5143,9042
2011-08-25,0.5143,0.5571,0.5143,0.5443,41424
2011-08-26,0.5571,0.5571,0.51,0.5314,19458
2011-08-29,0.5271,0.5786,0.5186,0.5486,33171
2011-08-30,0.5529,0.5571,0.5443,0.5486,8878
2011-08-31,0.5486,0.5871,0.5229,0.5871,30130
2011-09-01,0.5614,0.5871,0.5571,0.5571,6620
2011-09-02,0.5443,0.5443,0.51,0.51,5698
2011-09-05,0.5143,0.5271,0.49286,0.5271,26794
2011-09-06,0.5314,0.54,0.5143,0.5143,22113
2011-09-07,0.5357,0.5871,0.5357,0.5743,42840
2011-09-08,0.5743,0.5743,0.5486,0.57,1330
2011-09-09,0.57,0.57,0.5186,0.5357,1598
2011-09-12,0.5186,0.5614,0.5143,0.5143,4688
2011-09-13,0.5143,0.5314,0.5057,0.5057,12761
2011-09-14,0.51,0.5314,0.5014,0.5143,7142
2011-09-15,0.5229,0.5443,0.5143,0.5314,13088
2011-09-16,0.5143,0.6171,0.5057,0.6171,54042
2011-09-19,0.6129,0.6729,0.5529,0.6557,159567
2011-09-20,0.66,0.66,0.57,0.5786,39569
2011-09-21,0.5871,0.6086,0.5529,0.6086,13109
2011-09-22,0.6,0.6,0.54,0.54,9198
2011-09-23,0.5314,0.5314,0.48429,0.49286,23123
2011-09-26,0.49286,0.5143,0.46714,0.49286,8423
2011-09-27,0.5014,0.5014,0.47571,0.47571,8195
2011-09-28,0.48857,0.5014,0.47143,0.49286,1759
2011-09-29,0.48429,0.5314,0.39429,0.47571,46669
2011-09-30,0.47143,0.48429,0.42429,0.45857,19392
2011-10-03,0.45429,0.45429,0.43286,0.44571,537
2011-10-04,0.44143,0.44143,0.39,0.40714,12215
2011-10-05,0.40714,0.45,0.40714,0.43286,6746
2011-10-06,0.43286,0.46714,0.43286,0.45429,18555
2011-10-07,0.48,0.48,0.38571,0.42,45680
2011-10-10,0.42429,0.42429,0.39,0.42429,18352
2011-10-11,0.39857,0.42429,0.39857,0.42429,7016
2011-10-12,0.39,0.41571,0.35571,0.41571,79847
2011-10-13,0.42,0.42,0.38571,0.38571,31897
2011-10-14,0.39857,0.40714,0.37714,0.40714,19749
2011-10-17,0.39,0.40286,0.38143,0.38143,8246
2011-10-18,0.39,0.39857,0.37714,0.37714,3120
2011-10-19,0.37714,0.39857,0.37714,0.39,11751
2011-10-20,0.39,0.39,0.37714,0.37714,8379
2011-10-21,0.37714,0.39,0.37714,0.39,23317
2011-10-24,0.39,0.39429,0.38143,0.39429,6141
2011-10-25,0.39429,0.39857,0.36857,0.39857,20673
2011-10-26,0.39857,0.40286,0.37286,0.40286,10173
2011-10-27,0.40286,0.40714,0.39429,0.40714,6046
2011-10-28,0.38143,0.40286,0.38143,0.39857,2975
2011-10-31,0.40286,0.40286,0.40286,0.40286,4018
2011-11-02,0.38571,0.39429,0.36,0.39,19159
2011-11-03,0.38571,0.51,0.38571,0.49714,97106
2011-11-04,0.49286,0.7071,0.49286,0.6386,144270
2011-11-07,0.66,0.6643,0.5229,0.6429,226907
2011-11-08,0.66,0.66,0.5229,0.5529,45992
2011-11-09,0.5443,0.5443,0.47143,0.5229,82367
2011-11-10,0.49286,0.5571,0.47143,0.5186,87885
2011-11-14,0.5143,0.5143,0.48429,0.51,9483
2011-11-15,0.48,0.48857,0.46714,0.48857,10897
2011-11-16,0.48,0.5143,0.47143,0.5143,30357
2011-11-17,0.49286,0.5057,0.47143,0.48,13095
2011-11-18,0.49286,0.49286,0.48,0.48,2415
2011-11-21,0.47571,0.47571,0.42857,0.42857,33941
2011-11-22,0.42857,0.42857,0.41571,0.42857,9037
2011-11-23,0.42857,0.43714,0.42857,0.43714,4867
2011-11-24,0.43714,0.43714,0.43714,0.43714,280
2011-11-25,0.43286,0.43286,0.43286,0.43286,117
2011-11-28,0.43286,0.43286,0.41571,0.41571,1050
2011-11-29,0.41571,0.41571,0.37714,0.37714,18342
2011-11-30,0.38571,0.39,0.37714,0.39,7035
2011-12-01,0.39,0.39,0.39,0.39,1265
2011-12-02,0.39,0.39,0.39,0.39,1925
2011-12-05,0.38571,0.41571,0.38571,0.41571,11202
2011-12-06,0.40714,0.40714,0.38143,0.38143,4076
2011-12-07,0.38143,0.39429,0.38143,0.39429,2613
2011-12-08,0.40286,0.40286,0.37286,0.37714,5971
2011-12-09,0.37714,0.37714,0.37714,0.37714,583
2011-12-12,0.37286,0.37714,0.37286,0.37714,2471
2011-12-13,0.37714,0.39429,0.37714,0.39429,821
2011-12-14,0.37714,0.39429,0.37286,0.39429,7677
2011-12-15,0.36429,0.39429,0.33857,0.39429,14700
2011-12-19,0.37714,0.38571,0.35143,0.38571,3351
2011-12-20,0.36857,0.37286,0.36857,0.36857,8181
2011-12-21,0.38143,0.38143,0.38143,0.38143,163
2011-12-23,0.36857,0.38143,0.35571,0.36429,11445
2011-12-27,0.35571,0.36429,0.34286,0.35143,21973
2011-12-28,0.34714,0.35571,0.34286,0.35571,1400
2011-12-29,0.35571,0.35571,0.34714,0.35143,1988
2011-12-30,0.35143,0.35143,0.34714,0.35143,3262
2012-01-02,0.34286,0.36857,0.34286,0.35571,5903
2012-01-03,0.35571,0.36,0.34286,0.36,2417
2012-01-05,0.35143,0.38571,0.35143,0.38143,30142
2012-01-09,0.36857,0.38143,0.36857,0.38143,10967
2012-01-10,0.38143,0.38143,0.35571,0.37286,7786
2012-01-12,0.36429,0.36857,0.36429,0.36857,2312
2012-01-13,0.37286,0.37286,0.35143,0.35143,16217
2012-01-16,0.35143,0.35143,0.33857,0.34714,22150
2012-01-17,0.34286,0.36857,0.33857,0.35143,15638
2012-01-18,0.33857,0.36429,0.33,0.33857,12798
2012-01-19,0.33857,0.38571,0.33,0.35571,199701
2012-01-20,0.35571,0.37714,0.34714,0.37714,25550
2012-01-23,0.36429,0.36429,0.33857,0.34714,43491
2012-01-24,0.34286,0.36857,0.34286,0.36857,20365
2012-01-25,0.36429,0.36429,0.34714,0.36,4303
2012-01-26,0.35571,0.36,0.34286,0.36,20053
2012-01-27,0.36,0.36,0.34714,0.35571,26012
2012-01-30,0.35571,0.46714,0.35143,0.42857,379668
2012-01-31,0.42857,0.44143,0.40714,0.42,31449
2012-02-01,0.41571,0.41571,0.39,0.39,60408
2012-02-02,0.38571,0.43286,0.37714,0.39429,189273
2012-02-03,0.39429,0.42857,0.39429,0.41143,111232
2012-02-06,0.42429,0.42429,0.38571,0.39429,32508
2012-02-07,0.38571,0.39429,0.37714,0.38571,46552
2012-02-08,0.38143,0.41143,0.38143,0.41143,41022
