Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-08-31,32.5327,37.7191,32.4015,37.7191,833.2394366496
2011-09-01,39.6043,39.6043,34.8899,37.7191,91.901408454
2011-09-02,37.7191,37.7191,37.7191,37.7191,31.6549295786
2011-09-05,37.7191,37.7191,33.5228,36.776,123.5563380326
2011-09-06,34.8899,37.6251,34.8899,37.6251,23.4859154938
2011-09-07,36.54,36.54,33.9478,36.305,16.3380281696
2011-09-08,36.21,36.21,33.9478,33.9478,17.3591549302
2011-09-09,33.9478,33.9478,33.8528,33.9478,147.0422535264
2011-09-12,33.9478,33.9478,33.9478,33.9478,5.105633803
2011-09-13,33.9478,33.9478,33.9478,33.9478,1.0211267606
2011-09-14,33.9478,33.9478,33.9478,33.9478,2.0422535212
2011-09-15,33.9478,33.9478,33.9478,33.9478,2.0422535212
2011-09-16,33.9478,33.9478,33.9478,33.9478,1.0211267606
2011-09-19,33.9478,33.9478,33.9478,33.9478,1.0211267606
2011-09-20,33.9478,33.9478,33.9478,33.9478,2.0422535212
2011-09-21,33.9478,33.9478,33.9478,33.9478,1.0211267606
2011-09-22,33.9478,37.7191,33.9478,37.7191,216.4788732472
2011-09-23,37.7191,37.7191,30.1745,35.2209,320.6338028284
2011-09-26,33.9478,33.9478,29.8827,32.0616,122.535211272
2011-09-27,29.2324,33.1359,29.2324,33.0037,354.3309859282
2011-09-28,37.7191,37.7191,33.0037,33.0037,109.2605633842
2011-09-29,33.1359,33.1359,33.1359,33.1359,14.2957746484
2011-09-30,33.9478,33.9478,33.9478,33.9478,2.0422535212
2011-10-03,33.9478,33.9478,32.5327,32.5327,12.2535211272
2011-10-04,32.5327,32.5327,32.4387,32.4387,11.2323943666
2011-10-05,31.1186,34.8899,31.1186,34.8899,59.2253521148
2011-10-06,32.0616,37.7191,32.0616,37.7191,194.014084514
2011-10-07,37.7191,37.7191,34.8899,37.7191,181.7605633868
2011-10-10,38.3792,38.3792,38.3792,38.3792,160.3169014142
2011-10-11,38.3792,38.3978,38.3792,38.3978,108.2394366236
2011-10-12,38.3978,38.3978,38.3978,38.3978,1.0211267606
2011-10-13,39.3222,39.3222,39.3222,39.3222,107.218309863
2011-10-14,39.3222,39.3222,39.3222,39.3222,107.218309863
2011-10-17,39.3222,39.3222,39.3222,39.3222,1.0211267606
2011-10-18,39.3222,39.3222,39.3222,39.3222,1.0211267606
2011-10-19,39.3222,39.3222,39.3222,39.3222,11.2323943666
2011-10-20,39.3222,39.3222,39.3222,39.3222,1.0211267606
2011-10-21,39.3222,39.3222,39.3222,39.3222,1.0211267606
2011-10-24,39.3222,39.3222,39.3222,39.3222,1.0211267606
2011-10-25,39.3222,39.3222,39.3222,39.3222,2.0422535212
2011-10-26,39.3222,39.3222,39.3222,39.3222,2.0422535212
2011-10-27,39.3222,39.3222,39.3222,39.3222,1.0211267606
2011-10-28,39.3222,39.3222,39.3222,39.3222,1.0211267606
2011-10-31,39.3222,39.3222,39.3222,39.3222,2.0422535212
2011-11-02,46.2058,46.2058,46.2058,46.2058,1.0211267606
