Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-06-30,11.9998,11.9998,11.9998,11.9998,2326424.153757
1997-07-01,12.1918,12.1918,12.1918,12.1918,4342281.2515543
1997-07-02,12.6677,12.6677,12.6677,12.6677,3983425.2962768
1997-07-03,12.822,12.822,12.822,12.822,2190642.1698569
1997-07-04,13.0763,13.0763,13.0763,13.0763,839925.3243506
1997-07-07,13.2978,13.617,13.2978,13.425,1317528.5106
1997-07-08,13.7409,13.7409,13.4562,13.6457,1380755.8778752
1997-07-09,13.4562,13.6786,13.4562,13.617,637134.12883565
1997-07-10,13.2978,13.5514,13.2978,13.3307,886306.84809913
1997-07-11,13.1427,13.1707,12.8876,12.95,851975.30662151
1997-07-14,12.9819,12.9819,12.6012,12.7284,1596870.6706578
1997-07-15,12.6677,12.822,12.6677,12.7948,1924651.6387844
1997-07-16,12.7612,12.8876,12.7612,12.822,998545.84549899
1997-07-17,12.9819,13.2372,12.9819,13.2372,1216241.383402
1997-07-18,13.1427,13.1707,12.9819,12.9819,1189622.2205843
1997-07-21,12.822,12.95,12.7948,12.8556,151824.65777805
1997-07-22,12.822,12.8556,12.7948,12.8556,1104283.9219488
1997-07-23,12.8556,12.8556,12.822,12.822,413299.64477113
1997-07-24,12.9819,12.9819,12.822,12.822,704771.00717147
1997-07-25,12.9819,12.9819,12.5077,12.6677,824985.6376229
1997-07-28,12.6677,12.822,12.6677,12.6956,475001.11159089
1997-07-29,12.822,12.95,12.822,12.9171,775654.68967132
1997-07-30,12.8556,12.95,12.8556,12.95,258592.59515828
1997-07-31,12.9819,13.0147,12.822,12.8876,635572.88404056
1997-08-01,12.822,12.9819,12.822,12.822,288284.27798258
1997-08-04,12.8556,12.8556,12.3477,12.3477,805755.87932712
1997-08-05,12.7284,12.8876,12.7284,12.8876,537009.70853428
1997-08-06,12.822,12.9171,12.822,12.8876,536155.35053166
1997-08-07,12.9819,13.9329,12.9819,13.9329,1373082.4998659
1997-08-08,14.28,15.3572,14.28,15.1037,1610565.9928767
1997-08-11,14.5622,14.5622,14.1536,14.2479,597340.05873072
1997-08-12,14.2479,14.723,14.2479,14.4063,871882.7012218
1997-08-13,13.617,13.617,13.617,13.617,425926.105409
1997-08-14,13.5194,13.5194,13.3635,13.3635,435722.58133633
1997-08-18,13.2978,13.2978,12.9819,13.2372,261045.97983627
1997-08-19,13.3307,13.5514,13.3307,13.5514,227071.53806589
1997-08-20,13.5194,13.6786,13.4898,13.4898,129022.68363964
1997-08-21,13.617,13.617,13.4898,13.5194,377150.91672874
1997-08-22,13.617,13.617,13.617,13.617,210429.2291846
1997-08-25,13.617,13.617,13.5514,13.5514,92579.013176944
1997-08-26,13.6786,13.8378,13.6786,13.7114,182956.92713458
1997-08-27,13.9329,14.2479,13.8378,13.8672,196174.49138339
1997-08-28,13.9009,13.9649,13.7729,13.7729,143984.30823332
1997-08-29,13.8672,13.8672,13.617,13.6786,157283.53009436
1997-09-01,13.617,13.6457,13.5514,13.5514,106228.02212323
1997-09-02,13.9329,14.28,13.9329,14.12,654332.19698825
1997-09-03,14.3136,14.723,14.3136,14.6885,777749.75587176
1997-09-04,14.28,14.4392,14.2479,14.4063,441160.73455701
1997-09-05,14.5007,14.723,14.5007,14.723,613247.4491019
1997-09-08,14.6607,14.9757,14.5622,14.9438,507549.59207303
1997-09-09,14.915,15.5452,14.915,15.514,614511.31393602
1997-09-10,15.514,15.706,15.3572,15.514,1071832.9430932
1997-09-11,15.1645,15.3572,15.1645,15.2301,330654.82856902
1997-09-12,14.9438,14.9438,14.7879,14.7879,229570.01724616
1997-09-15,15.1964,15.4844,15.1964,15.3572,279748.01057837
1997-09-16,15.3572,15.3572,15.2301,15.2925,283557.8866357
1997-09-17,15.514,15.514,15.2925,15.2925,519492.32255473
1997-09-18,15.706,16.3074,15.706,16.3074,324540.25781417
1997-09-19,15.9874,16.3074,15.9874,16.1482,479063.27310692
1997-09-22,16.3074,16.4633,16.1482,16.4633,494121.18055681
1997-09-23,15.9874,16.1482,15.9874,16.1482,393690.84890215
1997-09-24,15.8324,15.8324,15.6395,15.6395,238847.29701213
1997-09-25,15.514,15.6732,15.3572,15.514,246860.71194398
1997-09-26,15.5452,15.5452,15.4188,15.514,246752.24138445
1997-09-29,15.514,15.8324,15.514,15.6395,80572.906637982
1997-09-30,15.514,15.706,15.514,15.6732,640744.12655856
1997-10-01,15.738,15.9874,15.738,15.9874,159616.2565095
1997-10-02,15.8324,15.8324,15.514,15.6732,401801.76546054
1997-10-03,15.706,15.706,15.6732,15.706,383121.67258442
1997-10-06,14.1536,15.2629,14.1536,15.1357,157366.40647693
1997-10-07,15.1964,15.3572,15.1357,15.1357,432848.72089385
1997-10-08,15.0373,15.2629,15.0373,15.1645,186330.48341312
1997-10-09,14.9438,15.0086,14.8822,14.915,471629.99285302
1997-10-10,14.9438,15.1645,14.9438,15.0086,299358.02521768
1997-10-13,15.3572,15.9874,15.3572,15.8324,219543.19372611
1997-10-14,15.9874,16.3074,15.9874,16.3074,386166.16087336
1997-10-15,16.3074,16.3074,16.1482,16.1482,472868.26351017
1997-10-16,16.3074,16.3074,16.1482,16.1482,608134.70755983
1997-10-17,16.3074,16.6225,16.3074,16.4633,386213.6929163
1997-10-20,16.3074,16.6225,16.3074,16.4633,198475.52976991
1997-10-21,16.4633,16.7833,16.4633,16.4633,274166.04245854
1997-10-22,16.7833,16.7833,16.6225,16.6225,264209.90761773
1997-10-23,16.3074,16.3074,15.8324,15.8324,175972.1543628
1997-10-24,15.8324,16.4633,15.8324,16.4633,305121.59011696
1997-10-27,15.7996,15.7996,14.9438,15.4188,249454.25521014
1997-10-28,14.2479,14.2479,12.9819,13.2978,141802.70933932
1997-10-29,15.6732,15.8324,15.3909,15.514,480534.32889745
1997-10-30,14.4063,15.1964,14.4063,14.5622,495328.98195566
1997-10-31,14.8166,15.3245,14.8166,15.3245,431811.54734146
1997-11-03,14.8822,15.3572,14.8822,15.3245,375518.9832544
1997-11-04,15.3572,15.3572,15.0373,15.1037,135721.04538344
1997-11-05,15.1964,15.1964,14.8822,14.8822,103911.1397224
