Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-11-21,9.28,11.13,8.3,11.13,6748
2011-11-22,16.04,16.04,16.04,16.04,871
2011-11-23,17.88,17.88,11.45,11.45,4690
2011-11-24,10.9,10.9,8.72,8.72,5428
2011-11-25,7.01,8.41,6,8.41,4700
2011-11-28,8.2,10,7,8.01,4779
2011-11-29,8.01,9,7.5,7.5,1674
2011-11-30,6.71,7.1,6.4,6.9,278
2011-12-01,7,8.5,7,8,1804
2011-12-02,8.1,11.52,7,11.5,6641
2011-12-05,11.5,16.56,11.3,13,2611
2011-12-06,13,13.66,11.01,12.39,756
2011-12-07,12.37,12.37,10,10,557
2011-12-08,10,10.9,8,8,739
2011-12-09,7.8,7.8,6.5,6.5,624
2011-12-12,6.5,7,6.1,7,816
2011-12-13,7.05,7.05,7.05,7.05,10
2011-12-14,6.7,8,6.5,8,785
2011-12-15,7.79,7.79,6.7,6.7,32
2011-12-16,6.4,7,6.4,7,67
2011-12-19,6.4,8.12,6.3,7.95,1192
2011-12-20,7.88,7.88,7,7,98
2011-12-21,7.2,7.2,7,7,20
2011-12-22,6.95,6.95,6.95,6.95,5
2011-12-23,6.8,6.8,6.6,6.6,250
2011-12-27,5.36,5.36,4.29,4.29,2071
2011-12-28,4.51,4.51,4.51,4.51,5
2011-12-29,4.51,5.38,4.49,5.38,1320
2012-01-02,5.3,5.3,5.3,5.3,5
2012-01-03,5.3,5.3,5.3,5.3,105
2012-01-04,5.25,5.25,5.25,5.25,94
2012-01-05,5.25,5.25,4.5,4.5,1831
2012-01-09,4.5,4.5,4.19,4.19,336
2012-01-10,4.12,4.2,4.12,4.2,99
2012-01-11,4.2,4.2,4,4,136
2012-01-12,4,4,4,4,64
2012-01-13,4,4,4,4,487
2012-01-16,4,4,4,4,5
2012-01-17,4,4,4,4,4
2012-01-18,4,4,4,4,265
2012-01-19,4,4,4,4,10
2012-01-20,4,4,4,4,10
2012-01-23,4,4,4,4,10
