Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-06-08,5.36328,6.25876,4.656,5.98995,77310.490719302
2010-06-09,6.402,7.68244,5.66763,7.68244,34464.903091737
2010-06-10,7.96892,8.84644,7.19881,7.19881,19981.026803517
2010-06-11,7.16298,7.20785,6.74219,6.89436,17739.183504616
2010-06-14,6.44667,7.87045,6.44667,7.20785,6435.241236918
2010-06-15,6.9033,7.25252,6.9033,6.9839,870.865979355
2010-06-16,6.9839,7.11821,6.9033,7.11821,2881.496907129
2010-06-17,7.02867,7.14511,6.9839,7.14511,880.032989664
2010-06-18,7.14511,7.14511,6.9033,6.9033,952.350515435
2010-06-21,6.9033,6.93913,6.53621,6.71529,1986.18556695
2010-06-22,6.67052,7.78081,6.3213,7.18988,6750.993814228
2010-06-23,7.25252,7.25252,6.89436,6.9839,3100.486597844
2010-06-24,7.02867,7.02867,6.80482,6.9839,970.684536053
2010-06-25,6.9839,7.20785,6.89436,7.07344,279.084536074
2010-06-28,6.89436,6.89436,6.71529,6.71529,1072.540206153
2010-06-29,6.80482,6.80482,6.62585,6.80482,234.26804123
2010-06-30,6.62585,6.80482,6.62585,6.62585,848.457731933
2010-07-01,6.62585,6.84959,6.62585,6.84959,234.26804123
2010-07-02,7.0646,7.0646,6.84959,6.84959,100.837113399
2010-07-05,6.62585,6.62585,6.61681,6.61681,167.043298964
2010-07-06,6.62585,6.89436,6.62585,6.62585,415.571134008
2010-07-07,6.62585,6.62585,6.62585,6.62585,78.428865977
2010-07-08,6.80482,6.80482,6.71529,6.71529,190.470103087
2010-07-09,6.80482,6.9839,6.80482,6.84959,260.750515456
2010-07-12,6.80482,6.93913,6.80482,6.93913,139.542268037
2010-07-13,6.93913,7.0646,6.93913,7.0646,1117.356700997
2010-07-14,7.0646,7.15404,7.0646,7.13618,1012.445360794
2010-07-15,7.10928,7.10928,7.10928,7.10928,56.020618555
2010-07-16,7.14511,7.14511,7.02867,7.02867,229.175257725
2010-07-19,7.02867,7.14511,7.02867,7.14511,949.294845332
2010-07-20,7.19881,7.19881,7.04664,7.04664,1791.641237059
2010-07-21,7.20785,7.25252,7.07344,7.07344,904.478350488
2010-07-22,7.07344,7.07344,7.07344,7.07344,279.084536074
2010-07-23,7.14511,7.14511,7.11821,7.11821,123.245360821
2010-07-26,7.14511,7.14511,7.14511,7.14511,413.534020606
2010-07-27,7.12705,7.12705,7.07344,7.12705,190.470103087
2010-07-28,7.12705,7.12705,7.02867,7.07344,1910.812371076
2010-07-29,7.02867,7.14511,6.93913,7.07344,12489.542267662
2010-07-30,7.07344,7.14511,6.9839,7.14511,3244.103092685
2010-08-02,7.15404,7.15404,6.9572,6.9572,3612.820618447
2010-08-03,6.9572,7.02867,6.93913,7.02867,883.088659767
2010-08-04,6.9572,6.9839,6.9572,6.9839,22.408247422
2010-08-05,6.9839,6.9839,6.9839,6.9839,26.482474226
2010-08-06,6.93913,6.9839,6.80482,6.9839,1061.336082442
2010-08-09,6.93913,6.93913,6.93913,6.93913,558.169072148
2010-08-10,6.9033,7.78985,6.9033,7.78985,10983.096906883
2010-08-11,7.43169,7.96892,7.29729,7.96892,692.61855668
2010-08-12,7.87929,7.87929,7.87929,7.87929,681.414432969
2010-08-13,7.61067,7.61067,7.26145,7.52113,3376.515463815
2010-08-16,7.34206,7.70021,7.27952,7.27952,1675.525773145
2010-08-17,7.25252,7.25252,7.20785,7.20785,3868.478350398
2010-08-18,7.16298,7.29729,7.16298,7.29729,1133.653608213
2010-08-19,7.32419,7.5659,7.29729,7.29729,6601.265979181
2010-08-20,7.29729,7.29729,7.29729,7.29729,24.445360824
2010-08-23,7.34206,7.45859,7.34206,7.45859,531.686597922
2010-08-24,7.46743,7.46743,7.38682,7.38682,2970.111340116
2010-08-25,7.34206,7.45859,7.34206,7.34206,1497.27835047
2010-08-26,7.45859,7.95096,7.36896,7.95096,6611.451546191
2010-08-27,7.95096,8.41652,7.92406,8.23754,5993.187628684
2010-08-30,8.27328,8.27328,8.05836,8.05836,2993.538144239
2010-08-31,8.26434,8.26434,8.1479,8.1479,804.65979379
2010-09-01,8.23754,8.26434,8.23754,8.26434,323.901030918
2010-09-02,8.23754,8.23754,8.23754,8.23754,10.18556701
2010-09-03,8.1479,8.1479,7.96892,8.1479,837.253608222
2010-09-06,8.1479,8.19267,8.1479,8.1479,272.973195868
2010-09-07,8.1479,8.1479,8.05836,8.05836,267.880412363
2010-09-08,8.1479,8.19267,8.05836,8.19267,757.806185544
2010-09-09,8.21054,8.30911,8.1479,8.28221,1965.81443293
2010-09-10,8.28221,8.32698,8.1479,8.1479,2490.371133945
2010-09-13,8.11207,8.1211,8.11207,8.1211,279.084536074
2010-09-14,8.11207,8.30008,8.11207,8.30008,123.245360821
2010-09-15,8.30911,8.30911,8.15684,8.15684,1211.063917489
2010-09-16,8.11207,8.11207,8.11207,8.11207,10.18556701
2010-09-17,8.15684,8.23754,8.1479,8.1479,1205.971133984
2010-09-20,8.2017,8.23754,8.16577,8.21947,490.944329882
2010-09-21,8.21947,8.21947,8.01369,8.19267,391.125773184
2010-09-22,8.23754,8.23754,8.21947,8.21947,18.334020618
2010-09-23,8.21947,8.21947,8.21947,8.21947,5.092783505
2010-09-24,8.21947,8.23754,8.1479,8.21947,2778.622680328
2010-09-27,8.21947,8.21947,7.96892,8.05836,277.047422672
2010-09-28,8.05836,8.05836,7.61067,8.04049,670.210309258
2010-09-29,7.87929,8.1479,7.87929,8.1479,357.513402051
2010-09-30,8.19267,8.21947,8.1479,8.21947,470.573195862
2010-10-01,8.21947,8.21947,8.05836,8.19267,191.488659788
2010-10-04,8.2017,8.2017,8.05836,8.10313,647.802061836
2010-10-05,8.2017,8.2017,8.08526,8.08526,436.960824729
2010-10-06,8.2017,8.2017,8.10313,8.10313,68.243298967
2010-10-07,8.19267,8.19267,8.10313,8.10313,68.243298967
2010-10-08,8.10313,8.10313,7.83452,7.83452,234.26804123
2010-10-11,7.65544,8.12994,7.65544,7.83452,3048.540206093
2010-10-12,7.84345,8.12994,7.84345,8.12994,984.944329867
2010-10-13,8.12994,8.12994,8.01369,8.01369,1808.956700976
2010-10-14,8.05836,8.05836,8.04943,8.05836,1006.334020588
2010-10-15,8.12994,8.12994,8.10313,8.12994,257.694845353
2010-10-18,8.12994,8.12994,8.01369,8.01369,434.923711327
2010-10-19,8.12994,8.12994,8.12994,8.12994,22.408247422
2010-10-20,8.10313,8.10313,7.78985,7.78985,2803.068041152
2010-10-21,7.78985,7.92406,7.61067,7.83452,2296.845360755
2010-10-22,7.99573,8.01369,7.99573,8.01369,308.622680403
2010-10-25,7.92406,7.92406,7.83452,7.92406,4268.771133891
2010-10-26,7.87929,7.87929,7.87929,7.87929,68.243298967
2010-10-27,8.01369,8.05836,7.87929,7.87929,915.682474199
2010-10-28,7.84345,7.84345,7.57484,7.57484,4011.076288538
2010-10-29,7.49423,7.70021,7.49423,7.70021,1260.973195838
2010-11-02,7.58377,7.74498,7.58377,7.61067,190.470103087
2010-11-03,7.63757,7.63757,7.34206,7.34206,584.651546374
2010-11-04,7.18988,7.18988,6.93913,6.93913,855.58762884
2010-11-05,7.07344,7.20785,7.07344,7.20785,17.315463917
2010-11-08,7.20785,7.20785,7.02867,7.02867,1117.356700997
2010-11-09,6.9839,6.9839,6.9839,6.9839,89.632989688
2010-11-10,6.9839,6.9839,6.9839,6.9839,424.738144317
2010-11-12,6.9839,7.09141,6.84959,6.89436,4040.614432867
2010-11-15,6.89436,6.91233,6.89436,6.89436,1117.356700997
2010-11-16,6.89436,6.9839,6.89436,6.9839,1463.665979337
2010-11-17,6.9839,6.9839,6.9839,6.9839,452.239175244
2010-11-18,6.9839,7.10928,6.9839,6.9839,815.863917501
2010-11-19,7.10928,7.10928,6.89436,7.10928,4576.375257593
2010-11-22,7.09141,7.14511,6.9839,7.11821,2740.936082391
2010-11-23,7.13618,7.34206,7.13618,7.34206,4758.696907072
2010-11-24,7.34206,7.34206,7.25252,7.25252,436.960824729
2010-11-25,7.25252,7.33312,7.25252,7.25252,1385.23711336
2010-11-26,7.25252,7.38682,7.25252,7.38682,167.043298964
2010-11-29,7.39586,7.39586,7.16298,7.16298,1161.15463914
2010-11-30,7.16298,7.39586,7.16298,7.39586,614.189690703
2010-12-01,7.38682,7.38682,7.38682,7.38682,56.020618555
2010-12-02,7.46743,7.46743,7.46743,7.46743,10.18556701
2010-12-03,7.46743,7.46743,7.20785,7.20785,915.682474199
2010-12-06,7.16298,7.25252,6.93913,7.16298,2699.17525765
2010-12-07,7.27952,7.27952,7.27952,7.27952,22.408247422
2010-12-08,7.27952,7.27952,7.16298,7.16298,256.676288652
2010-12-09,7.16298,7.16298,7.16298,7.16298,1339.402061815
2010-12-13,7.09141,7.17201,7.09141,7.16298,636.597938125
2010-12-14,7.11821,7.11821,7.11821,7.11821,10.18556701
2010-12-15,7.11821,7.12705,7.11821,7.12705,117.134020615
2010-12-16,7.12705,7.20785,7.12705,7.12705,2317.216494775
2010-12-17,7.12705,7.14511,7.09141,7.13618,9375.814432705
2010-12-20,7.16298,7.24358,7.07344,7.08237,3260.399999901
2010-12-21,7.08237,7.10928,7.08237,7.09141,2120.635051482
2010-12-22,7.09141,7.09141,7.08237,7.08237,310.659793805
2010-12-23,7.00187,7.00187,7.00187,7.00187,10.18556701
2010-12-27,7.02867,7.02867,7.02867,7.02867,56.020618555
2010-12-28,7.02867,7.11821,7.02867,7.11821,179.265979376
2010-12-29,7.02867,7.02867,7.02867,7.02867,10.18556701
2010-12-30,7.07344,7.07344,7.02867,7.02867,230.193814426
2010-12-31,7.16298,7.16298,7.16298,7.16298,10.18556701
2011-01-03,7.23465,7.23465,7.23465,7.23465,10.18556701
2011-01-04,7.16298,7.16298,7.16298,7.16298,10.18556701
2011-01-05,7.23465,7.23465,7.23465,7.23465,10.18556701
2011-01-07,7.20785,7.20785,7.20785,7.20785,10.18556701
2011-01-10,7.16298,7.16298,6.9839,7.16298,265.843298961
2011-01-11,7.20785,7.20785,7.20785,7.20785,5.092783505
2011-01-12,7.20785,7.20785,7.20785,7.20785,5.092783505
2011-01-13,7.20785,7.20785,6.93913,7.11821,2072.762886535
2011-01-14,7.11821,7.20785,7.11821,7.11821,864.754639149
2011-01-17,7.11821,7.11821,7.11821,7.11821,5.092783505
2011-01-18,7.11821,7.11821,7.03761,7.03761,65.187628864
2011-01-19,7.11821,7.11821,7.11821,7.11821,5.092783505
2011-01-20,7.11821,7.11821,6.9839,6.9839,79.447422678
2011-01-21,7.11821,7.11821,7.0108,7.0108,731.323711318
2011-01-24,7.11821,7.11821,7.07344,7.07344,68.243298967
2011-01-25,7.11821,7.11821,7.11821,7.11821,5.092783505
2011-01-26,7.11821,7.11821,7.11821,7.11821,5.092783505
2011-01-27,6.9839,7.05557,6.9839,7.05557,1182.544329861
2011-01-28,7.05557,7.05557,6.93913,6.93913,815.863917501
2011-01-31,6.91233,6.91233,6.78696,6.80482,1982.111340146
2011-02-01,6.87659,6.87659,6.87659,6.87659,117.134020615
2011-02-02,6.87659,6.87659,6.69742,6.69742,960.498969043
2011-02-03,6.71529,6.71529,6.54505,6.67052,346.30927834
2011-02-04,6.71529,6.71529,6.71529,6.71529,133.430927831
2011-02-07,6.80482,6.81376,6.80482,6.80482,681.414432969
2011-02-08,6.9839,6.9839,6.62585,6.89436,924.849484508
2011-02-09,6.89436,6.9572,6.89436,6.9572,201.674226798
2011-02-10,6.89436,7.00187,6.89436,7.00187,123.245360821
2011-02-11,6.9572,7.05557,6.9572,7.05557,1234.490721612
2011-02-14,6.93913,6.93913,6.89436,6.89436,432.886597925
2011-02-15,6.9033,6.9033,6.9033,6.9033,5.092783505
2011-02-16,6.9572,6.96603,6.93913,6.93913,737.435051524
2011-02-17,6.93913,6.93913,6.93913,6.93913,5.092783505
2011-02-18,6.93913,7.10034,6.93913,7.10034,117.134020615
2011-02-21,6.93913,7.05557,6.93913,6.94816,401.311340194
2011-02-22,6.94816,6.94816,6.94816,6.94816,5.092783505
2011-02-23,6.94816,6.94816,6.84959,6.93913,4902.313401913
2011-02-24,6.93913,6.93913,6.93913,6.93913,10.18556701
