Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-03-31,0.62,0.62,0.41,0.42,5929100
2010-04-01,0.44,0.55,0.43,0.5,3824500
2010-04-06,0.51,0.54,0.47,0.49,989500
2010-04-07,0.48,0.49,0.46,0.49,445400
2010-04-08,0.49,0.49,0.46,0.46,299000
2010-04-09,0.47,0.47,0.45,0.46,323700
2010-04-12,0.46,0.46,0.45,0.46,127100
2010-04-13,0.46,0.48,0.46,0.48,206900
2010-04-14,0.47,0.47,0.46,0.46,196300
2010-04-15,0.46,0.47,0.45,0.46,401900
2010-04-16,0.46,0.47,0.45,0.47,73200
2010-04-19,0.46,0.47,0.46,0.46,64900
2010-04-20,0.46,0.48,0.46,0.47,74800
2010-04-21,0.46,0.47,0.45,0.47,191900
2010-04-22,0.46,0.46,0.45,0.46,82800
2010-04-23,0.46,0.47,0.42,0.46,188200
2010-04-26,0.45,0.45,0.43,0.45,78200
2010-04-27,0.43,0.43,0.42,0.43,443800
2010-04-28,0.43,0.43,0.41,0.41,45800
2010-04-29,0.41,0.41,0.33,0.4,1505700
2010-04-30,0.41,0.41,0.37,0.4,378600
2010-05-04,0.39,0.42,0.38,0.39,678600
2010-05-05,0.38,0.39,0.37,0.38,127000
2010-05-06,0.38,0.38,0.35,0.35,208500
2010-05-07,0.34,0.35,0.31,0.34,505300
2010-05-10,0.35,0.36,0.34,0.35,29700
2010-05-11,0.36,0.36,0.33,0.33,59900
2010-05-12,0.35,0.35,0.32,0.35,120200
2010-05-13,0.35,0.36,0.34,0.36,44900
2010-05-14,0.36,0.36,0.34,0.35,41500
2010-05-17,0.34,0.35,0.34,0.35,87300
2010-05-18,0.34,0.35,0.33,0.35,418900
2010-05-19,0.33,0.34,0.32,0.34,82200
2010-05-20,0.33,0.33,0.32,0.33,131100
2010-05-21,0.33,0.33,0.33,0.33,11400
2010-05-24,0.33,0.33,0.31,0.33,55200
2010-05-25,0.31,0.31,0.29,0.31,424000
2010-05-26,0.3,0.32,0.3,0.31,144900
2010-05-27,0.3,0.32,0.3,0.32,46800
2010-05-28,0.32,0.32,0.29,0.31,137200
2010-05-31,0.3,0.32,0.3,0.32,46100
2010-06-01,0.31,0.32,0.3,0.32,35900
2010-06-02,0.31,0.32,0.31,0.32,60400
2010-06-04,0.31,0.31,0.31,0.31,111300
2010-06-07,0.31,0.31,0.31,0.31,15600
2010-06-08,0.31,0.31,0.3,0.31,49700
2010-06-09,0.3,0.31,0.3,0.31,67000
2010-06-10,0.3,0.31,0.3,0.31,49300
2010-06-11,0.3,0.31,0.3,0.31,29400
2010-06-14,0.3,0.3,0.3,0.3,39800
2010-06-15,0.3,0.31,0.3,0.31,52800
2010-06-16,0.29,0.31,0.27,0.3,98500
2010-06-17,0.3,0.33,0.3,0.32,165400
2010-06-18,0.32,0.33,0.29,0.31,106700
2010-06-21,0.31,0.31,0.3,0.31,13000
2010-06-22,0.31,0.31,0.3,0.31,7600
2010-06-23,0.31,0.32,0.3,0.31,28800
2010-06-24,0.32,0.32,0.27,0.31,11400
2010-06-25,0.32,0.32,0.29,0.31,4400
2010-06-28,0.3,0.3,0.29,0.3,900
2010-06-29,0.3,0.3,0.3,0.3,100
2010-06-30,0.3,0.3,0.28,0.29,9200
2010-07-01,0.3,0.3,0.28,0.28,10900
2010-07-02,0.3,0.3,0.29,0.29,19000
2010-07-05,0.3,0.3,0.27,0.28,38400
2010-07-06,0.29,0.29,0.28,0.28,6900
2010-07-07,0.28,0.29,0.27,0.29,53900
2010-07-08,0.29,0.29,0.25,0.28,1180500
2010-07-09,0.28,0.28,0.26,0.27,57400
2010-07-12,0.27,0.28,0.27,0.28,66100
2010-07-13,0.29,0.29,0.28,0.29,37000
2010-07-14,0.28,0.28,0.28,0.28,43900
2010-07-15,0.29,0.29,0.28,0.29,71100
2010-07-16,0.29,0.29,0.29,0.29,20400
2010-07-19,0.29,0.29,0.27,0.29,16000
2010-07-20,0.29,0.29,0.28,0.28,14700
2010-07-21,0.28,0.29,0.28,0.29,29100
