Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-05-14,1.56141,1.64096,1.26618,1.36551,703057.29347658
2010-05-17,1.38259,1.43933,1.32293,1.40529,148493.8586953
2010-05-18,1.41377,1.5472,1.40529,1.43366,115229.99999972
2010-05-19,1.43366,1.43366,1.39113,1.43366,64302.260869411
2010-05-20,1.44782,1.44782,1.35135,1.3627,71942.510869393
2010-05-21,1.39956,1.39956,1.29456,1.37972,11334.217391277
2010-05-24,1.37405,1.40242,1.34849,1.40242,2205.4891304295
2010-05-25,1.33714,1.33714,1.33714,1.33714,19548.07608691
2010-05-26,1.39956,1.39956,1.34,1.34,5875.8586956381
2010-05-27,1.36551,1.36551,1.31158,1.36551,12652.065217361
2010-05-28,1.36551,1.37972,1.33141,1.37972,30682.619565144
2010-05-31,1.37873,1.37873,1.28045,1.35273,21303.391304297
2010-06-01,1.37686,1.3854,1.33714,1.3854,20423.010869516
2010-06-02,1.37972,1.37972,1.36551,1.36551,2239.9782608642
2010-06-04,1.39388,1.40529,1.37119,1.39388,28170.358695585
2010-06-07,1.39956,1.39956,1.37119,1.37119,8947.2065217177
2010-06-08,1.37119,1.37119,1.37119,1.37119,6814.3260869402
2010-06-09,1.40529,1.4081,1.3854,1.39388,27509.619565152
2010-06-10,1.40529,1.44782,1.40529,1.44782,53908.326086827
2010-06-11,1.45922,1.45922,1.42231,1.42231,6198.9673912895
2010-06-14,1.44782,1.45068,1.44506,1.45068,14450.945652139
2010-06-15,1.44782,1.46208,1.44782,1.44782,3646.7717391217
2010-06-16,1.46208,1.46208,1.45068,1.45635,24924.74999994
2010-06-17,1.44782,1.49046,1.44782,1.49046,17805.467391262
2010-06-18,1.53298,1.53298,1.46484,1.46484,5676.1847825951
2010-06-21,1.48759,1.49046,1.48192,1.49046,17496.880434741
2010-06-22,1.49046,1.49046,1.43933,1.46208,12042.152173884
2010-06-23,1.49613,1.49613,1.42231,1.43366,3893.6413043385
2010-06-24,1.49613,1.49613,1.45922,1.45922,383.0108695643
2010-06-25,1.45922,1.49613,1.43366,1.49613,8143.0652173718
2010-06-28,1.49613,1.49613,1.44782,1.44782,1435.8369565183
2010-06-29,1.45922,1.45922,1.43366,1.43366,4973.695652162
2010-06-30,1.46192,1.46192,1.40611,1.40611,14930.163043443
2010-07-01,1.49613,1.49613,1.41663,1.41663,1444.9130434748
2010-07-02,1.49613,1.49613,1.44214,1.44214,2111.0978260819
2010-07-05,1.49613,1.5018,1.46208,1.48478,16812.543478221
2010-07-06,1.51883,1.5472,1.50467,1.5472,25872.293478199
2010-07-07,1.5472,1.56141,1.50467,1.50467,8014.1847825895
2010-07-08,1.55855,1.55855,1.51883,1.51883,1617.3586956483
2010-07-09,1.56141,1.56141,1.51883,1.5472,15022.739130399
2010-07-12,1.56141,1.58697,1.53298,1.58697,25950.347826025
2010-07-13,1.58978,1.67495,1.58978,1.66933,70120.032608528
2010-07-14,1.66074,1.67495,1.65793,1.66933,22844.510869511
2010-07-15,1.66933,1.66933,1.64658,1.66933,25569.152173852
2010-07-16,1.68911,1.74596,1.68911,1.74596,20079.934782561
2010-07-19,1.71467,1.95883,1.70332,1.93046,36687.358695564
2010-07-20,1.93046,1.93046,1.87366,1.87366,13116.760869534
2010-07-21,1.91624,1.91624,1.81973,1.83108,10392.119565193
2010-07-22,1.83108,1.84242,1.82827,1.82827,5334.9239130307
2010-07-23,1.84529,1.84529,1.81686,1.83108,13597.793478228
2010-07-26,1.83108,1.83108,1.78849,1.78849,8713.04347824
2010-07-27,1.83108,1.83108,1.74596,1.78849,6792.5434782446
2010-07-28,1.83108,1.83108,1.81686,1.81686,6151.7717391157
2010-07-29,1.74877,1.81124,1.74877,1.77428,7340.7391304172
2010-07-30,1.80265,1.80265,1.76012,1.78574,12013.108695623
2010-08-02,1.74877,1.80265,1.74596,1.80265,2385.1956521682
2010-08-03,1.79989,1.82265,1.78849,1.80265,5285.9130434656
2010-08-04,1.76012,1.78849,1.76012,1.78849,8124.9130434588
2010-08-05,1.81405,1.81405,1.80265,1.81405,2307.1413043423
2010-08-06,1.81405,1.81405,1.81405,1.81405,4766.7608695538
2010-08-09,1.85664,1.85664,1.81124,1.84529,11060.119565191
2010-08-10,1.85383,1.97299,1.85383,1.90209,25064.52173907
2010-08-11,1.95602,1.95602,1.90782,1.90782,20501.065217342
2010-08-12,1.91624,1.91624,1.84815,1.87366,378868.54347735
