Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-09-08,3.6959,3.6959,3.4041,3.5403,23778
2017-09-11,3.6181,3.6181,3.0248,3.336,11752
2017-09-12,3.3458,3.4333,3.3068,3.3847,9315
2017-09-13,3.3847,3.3944,3.3068,3.3944,1381
2017-09-14,3.3847,3.3847,3.0345,3.1999,40066
2017-09-15,3.1123,3.1901,2.5774,2.9762,18019
2017-09-18,3.0053,3.0832,2.947,2.9664,16210
2017-09-19,2.9859,2.9956,2.4412,2.9567,52696
2017-09-20,2.947,2.9956,2.947,2.9956,19920
2017-09-21,2.9956,2.9956,2.9275,2.9859,4561
2017-09-22,2.9859,2.9859,2.9859,2.9859,1250
2017-09-25,2.6941,2.9762,2.6941,2.9178,1567
2017-09-26,2.9081,3.2971,2.7914,2.8497,13433
2017-09-27,2.8497,2.8497,2.8497,2.8497,969
2017-09-28,2.8886,2.9859,2.8886,2.9859,605
2017-09-29,2.9859,2.9859,2.9859,2.9859,335
2017-10-03,2.8984,2.8984,2.7233,2.7233,1981
2017-10-04,2.7136,2.7233,2.7136,2.7233,1043
2017-10-05,2.7427,2.9567,2.7427,2.9567,3006
2017-10-09,2.8692,2.8692,2.6358,2.7038,3033
2017-10-10,2.8205,2.8205,2.626,2.7136,3629
2017-10-11,2.5871,2.6163,2.5288,2.6163,555
2017-10-12,2.5288,2.6747,2.4412,2.5579,2134
2017-10-13,2.5579,2.6747,2.5579,2.5579,4791
2017-10-16,2.4315,2.9081,2.3342,2.8984,19383
2017-10-17,2.8886,2.8886,2.6455,2.6455,1574
2017-10-18,2.7136,2.8595,2.7136,2.7719,1439
2017-10-19,2.7233,2.8011,2.7233,2.8011,514
2017-10-20,2.8205,2.8886,2.5871,2.8886,1821
2017-10-23,2.8692,2.8692,2.7233,2.7233,1191
2017-10-24,2.7136,2.7136,2.5871,2.5871,2032
2017-10-25,2.6066,2.8984,2.4607,2.8789,3118
2017-10-27,2.7525,2.9081,2.519,2.9081,40580
2017-10-30,2.7719,3.2096,2.5482,3.2096,113454
2017-10-31,3.2679,3.3263,2.9664,3.229,25774
2017-11-02,3.2485,3.2485,2.9178,2.9567,17627
2017-11-03,2.9567,3.3847,2.7233,3.1804,30492
2017-11-06,3.2582,3.2582,2.7914,2.9762,14085
2017-11-07,2.9664,3.0151,2.8692,3.0151,2815
2017-11-08,2.9178,2.9664,2.8789,2.9664,1131
2017-11-09,2.8789,3.0053,2.8011,3.0053,4624
2017-11-10,3.0053,3.0053,2.8692,3.0053,2479
2017-11-13,2.8595,2.9956,2.7816,2.8886,948
2017-11-14,2.9664,2.9956,2.8984,2.9664,7343
2017-11-15,2.8886,2.8886,2.8692,2.8692,4401
2017-11-16,2.8886,3.0151,2.8692,2.8692,4998
2017-11-17,2.8595,2.947,2.4704,2.733,15276
2017-11-20,2.9081,2.9567,2.626,2.8984,8198
2017-11-21,2.7233,2.9373,2.7038,2.8984,3398
2017-11-22,2.7719,2.9664,2.7622,2.8692,4425
2017-11-23,2.7719,2.8692,2.7719,2.8205,3301
2017-11-24,2.7525,2.9178,2.7525,2.8984,3397
2017-11-27,2.7622,2.8692,2.5968,2.8108,2490
2017-11-28,2.7233,2.7719,2.7233,2.7719,1825
2017-11-29,2.7719,2.9081,2.7719,2.8692,1218
2017-11-30,2.7233,2.7719,2.626,2.7622,4166
2017-12-01,2.626,2.7622,2.626,2.626,215
2017-12-04,2.5871,2.8886,2.4315,2.8886,33771
2017-12-05,2.6747,2.7719,2.6747,2.7719,1081
2017-12-06,2.7719,2.7719,2.5871,2.7719,327
2017-12-07,2.6747,2.6747,2.5871,2.5871,1616
2017-12-08,2.5871,2.6455,2.4607,2.4801,2815
2017-12-11,2.5288,2.7233,2.4607,2.7233,4093
2017-12-12,2.5871,2.7719,2.5871,2.7719,20799
2017-12-13,2.7525,2.7719,2.5871,2.5871,25
2017-12-18,2.6163,2.6163,2.6163,2.6163,596
2017-12-19,2.5968,2.5968,2.344,2.451,4413
2017-12-20,2.4412,2.4412,2.1592,2.4315,5495
2017-12-21,2.5093,2.6844,2.3342,2.5774,974
2017-12-22,2.4121,2.5288,2.4121,2.5288,1029
2017-12-27,2.5774,2.5774,2.4023,2.5288,677
2017-12-28,2.5288,2.9081,2.5288,2.7038,5163
2017-12-29,2.8789,2.9081,2.8205,2.8205,1563
2018-01-03,2.9178,3.5014,2.6163,2.8205,53059
2018-01-04,2.8205,2.9081,2.733,2.8984,15503
2018-01-05,2.8984,2.9081,2.84,2.8984,12716
2018-01-08,2.9081,2.9081,2.8692,2.8692,8330
2018-01-09,2.8692,2.8692,2.8205,2.8692,6899
2018-01-10,2.84,2.8692,2.84,2.8692,1758
2018-01-11,2.8497,2.8692,2.733,2.8692,5143
2018-01-12,2.7233,2.8692,2.6747,2.7719,11955
