Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-07-04,21,22,19,21.94,5320
2012-07-05,21.94,22,20.5,22,3850
2012-07-06,21.98,22,21.5,22,1065
2012-07-09,22,22,22,22,5
2012-07-11,20.5,21.49,20.05,21.49,616
2012-07-12,20.11,20.11,20.11,20.11,83
2012-07-13,20.01,22.5,20.01,22.5,157
2012-07-16,21.1,21.5,20.1,21.5,160
2012-07-18,21.45,21.5,21.45,21.5,92
2012-07-20,22.5,22.5,22.5,22.5,5
2012-07-23,22.5,22.5,21,21.5,139
2012-07-25,21.98,21.98,21.98,21.98,10
2012-07-26,21.9,21.9,21.9,21.9,2
2012-07-27,21.9,21.9,20.5,20.5,52
2012-07-30,20.1,20.1,20.1,20.1,2
2012-07-31,20.1,22.3,20.1,21,173
2012-08-01,20.1,20.1,20.1,20.1,2
2012-08-02,20.1,20.1,20.1,20.1,1
2012-08-03,20.1,20.1,20.1,20.1,1
2012-08-06,21.4,21.4,21.4,21.4,2
2012-08-07,21,21,21,21,2
2012-08-08,20,20,20,20,175
2012-08-10,19.5,21.5,19.5,20,326
2012-08-13,20.9,20.9,20.8,20.8,98
2012-08-14,20,20,20,20,2
2012-08-16,19.9,19.9,19.2,19.2,35
2012-08-17,20.5,20.5,19.2,19.2,40
2012-08-20,20,20,20,20,1
2012-08-22,19.1,19.1,19.1,19.1,4
2012-08-23,19.1,19.1,18.01,18.01,125
2012-08-27,19.35,21.3,19.35,21.3,105
2012-09-14,19,19,19,19,3
2012-09-17,20.1,20.1,20.1,20.1,2
2012-09-18,20.15,20.15,20.15,20.15,2
2012-09-19,20.16,20.17,20.16,20.17,4
2012-09-20,20.17,20.18,20.17,20.18,22
2012-09-21,20.19,20.19,20.19,20.19,8
2012-09-24,20.2,20.2,20.2,20.2,1
2012-09-25,20.21,20.21,20.2,20.2,35
2012-09-26,20.21,20.22,20.21,20.22,16
2012-09-27,20.2,20.3,20.2,20.2,59
2012-10-04,20.5,20.5,20.5,20.5,2
2012-10-08,21,21,21,21,10
2012-10-09,20.9,20.9,20.9,20.9,2
2012-10-10,20.1,20.9,20.1,20.9,48
2012-10-11,20.9,20.9,20.9,20.9,3
2012-10-12,20.9,20.9,20.9,20.9,5
2012-10-15,20.9,20.9,20.9,20.9,2
2012-10-17,20.7,20.7,20.7,20.7,25
2012-10-18,20.9,20.9,20.9,20.9,2
2012-10-22,20.9,20.9,20.9,20.9,10
2012-10-23,20.8,20.8,20.8,20.8,9
2012-10-24,20.9,20.9,20.9,20.9,1
2012-10-26,20.9,20.9,19.55,20.9,14
2012-10-29,20.9,20.9,20.9,20.9,2
