Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-06-01,16.77,16.77,9.36,9.44,36664
2022-06-02,9.7,10.66,9,9.518,7458
2022-06-03,9.52,9.52,8.93,8.99,1716
2022-06-06,9.31,10.4,9,9.35,4497
2022-06-07,9.56,9.88,9.41,9.5,857
2022-06-08,9.88,9.88,9.03,9.5,1057
2022-06-09,9.509,9.509,8.85,9.5,1416
2022-06-10,9.39,9.39,8.8,9.29,276
2022-06-13,9.29,9.29,7.67,7.978,2267
2022-06-14,7.978,7.978,6.383,6.759,5881
2022-06-15,6.35,6.798,5.9,6.329,2388
2022-06-17,6.329,6.329,5.9,6.299,726
2022-06-20,6.3,6.3,5.74,6.3,579
2022-06-21,6.3,7.54,6.02,7.54,520
2022-06-22,7.54,7.54,6.04,6.5,818
2022-06-23,6.5,7,5.88,7,880
2022-06-24,6.99,8,6.52,8,1157
2022-06-27,8.19,8.19,6.71,7.9,995
2022-06-28,7.89,7.89,6.8,7.88,552
2022-06-29,7.76,7.76,7.76,7.76,2
2022-06-30,7.73,7.73,6.62,7.69,1099
2022-07-01,7.68,7.68,7,7.3,1091
2022-07-04,7.379,7.379,7,7.35,584
2022-07-05,7.36,7.36,7.36,7.36,2
2022-07-06,6.98,6.98,6.25,6.98,1411
2022-07-07,6.98,6.98,6.5,6.97,990
2022-07-08,7,7.29,7,7.29,322
2022-07-11,7.66,7.66,6.8,7.4,563
2022-07-12,7.79,7.79,7.6,7.78,524
2022-07-13,7.77,8,6.9,8,2860
2022-07-14,8.95,8.95,7.16,7.5,2509
2022-07-15,7.599,7.6,6,6.498,7797
2022-07-18,6.498,6.5,6.498,6.5,1067
2022-07-19,6.79,6.79,4.65,5.13,16412
2022-07-20,5.09,5.09,4.121,4.896,13578
2022-07-21,4.5,4.88,4.5,4.8795,1676
2022-07-22,4.8795,5.77,4.59,5.77,3263
2022-07-25,5.76,5.79,4.9,5.79,1184
2022-07-26,5.79,5.94,5.3,5.94,1937
2022-07-27,5.9,7.9,5.4,7.9,4016
2022-07-28,7.79,7.79,6.24,7.78,2546
2022-07-29,7.78,7.78,7.21,7.76,1264
2022-08-01,7.74,8.76,7.2,8.76,3736
2022-08-02,8,8,6.4,6.98,10597
2022-08-03,7.08,7.08,6,6.39,7358
