Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1996-05-20,0.184424,0.184424,0.184424,0.184424,17044515.216187
1996-05-21,0.169245,0.169245,0.169245,0.169245,16830318.253769
1996-05-22,0.161655,0.161655,0.161655,0.161655,9256012.5627239
1996-05-23,0.151787,0.151787,0.151787,0.151787,8602455.5142135
1996-05-24,0.14951,0.14951,0.14951,0.14951,8889729.5661005
1996-05-27,0.151031,0.151031,0.151031,0.151031,6360944.6960464
1996-05-28,0.146476,0.146476,0.146476,0.146476,8019724.5585659
1996-05-29,0.146476,0.146476,0.146476,0.146476,6825393.421525
1996-05-30,0.144197,0.144197,0.144197,0.144197,4291794.4235168
1996-05-31,0.14951,0.14951,0.14951,0.14951,5811654.8982615
1996-06-03,0.159378,0.159378,0.159378,0.159378,3745153.2379639
1996-06-04,0.169245,0.169245,0.169245,0.169245,5653466.0470212
1996-06-05,0.164689,0.164689,0.164689,0.164689,15348192.40855
1996-06-07,0.164689,0.164689,0.164689,0.164689,14475138.582827
1996-06-10,0.173044,0.173044,0.173044,0.173044,8679862.3399617
1996-06-11,0.172279,0.172279,0.172279,0.172279,8326625.5394325
1996-06-12,0.174557,0.174557,0.174557,0.174557,6747946.4456648
1996-06-13,0.167731,0.167731,0.167731,0.167731,2643931.5059866
1996-06-14,0.163176,0.163176,0.163176,0.163176,4762788.9124283
1996-06-17,0.164689,0.164689,0.164689,0.164689,3300097.0166168
1996-06-18,0.161655,0.161655,0.161655,0.161655,3931650.5085459
1996-06-19,0.159378,0.159378,0.159378,0.159378,4062055.4822313
1996-06-20,0.157864,0.157864,0.157864,0.157864,3297848.6103407
1996-06-21,0.159378,0.159378,0.159378,0.159378,2057668.6356415
1996-06-24,0.160899,0.160899,0.160899,0.160899,1266761.9392218
1996-06-25,0.160899,0.160899,0.160899,0.160899,3890495.3485055
1996-06-26,0.161655,0.161655,0.161655,0.161655,3273798.6932086
1996-06-27,0.164689,0.164689,0.164689,0.164689,6500020.7987748
1996-06-28,0.165454,0.165454,0.165454,0.165454,2233965.187427
1996-07-01,0.167731,0.167731,0.167731,0.167731,1772566.5753012
1996-07-02,0.166968,0.166968,0.166968,0.166968,4365630.4796203
1996-07-03,0.166968,0.166968,0.166968,0.166968,3490605.4129116
1996-07-04,0.165454,0.165454,0.165454,0.165454,2744104.7404455
1996-07-05,0.164689,0.164689,0.164689,0.164689,2615747.4224758
1996-07-08,0.161655,0.161655,0.161655,0.161655,1151889.8782493
1996-07-09,0.160899,0.160899,0.160899,0.160899,1381829.5700951
1996-07-10,0.159378,0.159378,0.159378,0.159378,1141694.3401125
1996-07-11,0.1571,0.1571,0.1571,0.1571,802993.1753187
1996-07-12,0.1571,0.1571,0.1571,0.1571,1755744.9735072
1996-07-15,0.1571,0.1571,0.1571,0.1571,2883746.8302376
1996-07-16,0.154065,0.154065,0.154065,0.154065,1272542.2601955
1996-07-17,0.14951,0.14951,0.14951,0.14951,2221679.2531325
1996-07-18,0.14951,0.14951,0.14951,0.14951,2790397.8196664
1996-07-19,0.14192,0.14192,0.14192,0.14192,1031846.2238087
1996-07-22,0.138129,0.138129,0.138129,0.138129,1656534.0465732
1996-07-23,0.135851,0.135851,0.135851,0.135851,1237532.6576322
1996-07-24,0.138129,0.138129,0.138129,0.138129,582332.04485663
1996-07-25,0.143441,0.143441,0.143441,0.143441,1794566.2463878
1996-07-26,0.14192,0.14192,0.14192,0.14192,1739881.7937434
1996-07-29,0.144197,0.144197,0.144197,0.144197,1678612.722719
1996-07-30,0.14192,0.14192,0.14192,0.14192,1489750.4810193
1996-07-31,0.138129,0.138129,0.138129,0.138129,1320160.2931148
1996-08-01,0.133573,0.133573,0.133573,0.133573,1527131.5305248
1996-08-02,0.129783,0.129783,0.129783,0.129783,1490155.8676347
1996-08-05,0.133573,0.133573,0.133573,0.133573,1917504.5943923
1996-08-06,0.132061,0.132061,0.132061,0.132061,1431697.3044555
1996-08-07,0.13054,0.13054,0.13054,0.13054,1961629.5675613
1996-08-08,0.132061,0.132061,0.132061,0.132061,1549173.9420532
1996-08-09,0.138129,0.138129,0.138129,0.138129,1772367.1199057
1996-08-12,0.13965,0.13965,0.13965,0.13965,1111379.7103319
1996-08-13,0.138129,0.138129,0.138129,0.138129,2220833.5104492
1996-08-14,0.13965,0.13965,0.13965,0.13965,4437896.7958581
1996-08-16,0.143441,0.143441,0.143441,0.143441,1714228.4624581
1996-08-19,0.14951,0.14951,0.14951,0.14951,3907921.7923104
1996-08-20,0.14951,0.14951,0.14951,0.14951,3673688.6288026
1996-08-21,0.14951,0.14951,0.14951,0.14951,1401861.88569
1996-08-22,0.159378,0.159378,0.159378,0.159378,3186876.290899
1996-08-23,0.161655,0.161655,0.161655,0.161655,7032284.3587107
1996-08-26,0.157864,0.157864,0.157864,0.157864,635369.04774102
1996-08-27,0.1571,0.1571,0.1571,0.1571,2138126.8699073
1996-08-28,0.159378,0.159378,0.159378,0.159378,2195743.5758979
1996-08-29,0.159378,0.159378,0.159378,0.159378,2481086.5369106
1996-08-30,0.164689,0.164689,0.164689,0.164689,8221635.5866896
1996-09-02,0.165454,0.165454,0.165454,0.165454,2934333.3811206
1996-09-03,0.166968,0.166968,0.166968,0.166968,5635921.7432098
1996-09-04,0.163176,0.163176,0.163176,0.163176,888871.67471443
1996-09-05,0.146476,0.146476,0.146476,0.146476,4341576.6769934
1996-09-06,0.14951,0.14951,0.14951,0.14951,3305718.0323072
1996-09-09,0.151031,0.151031,0.151031,0.151031,1337182.6454692
1996-09-10,0.154065,0.154065,0.154065,0.154065,3254126.4334574
1996-09-11,0.151787,0.151787,0.151787,0.151787,1731091.5095291
1996-09-12,0.154065,0.154065,0.154065,0.154065,2687414.0773623
1996-09-13,0.159378,0.159378,0.159378,0.159378,4240762.3359063
1996-09-16,0.159378,0.159378,0.159378,0.159378,5533177.6064134
1996-09-17,0.157864,0.157864,0.157864,0.157864,1014781.1310125
1996-09-18,0.157864,0.157864,0.157864,0.157864,1567961.6041738
1996-09-19,0.155586,0.155586,0.155586,0.155586,2309487.5482376
1996-09-20,0.154065,0.154065,0.154065,0.154065,5533619.2576462
1996-09-23,0.1571,0.1571,0.1571,0.1571,2746836.2432314
1996-09-24,0.153309,0.153309,0.153309,0.153309,780226.76660804
1996-09-25,0.14951,0.14951,0.14951,0.14951,3867732.8252896
1996-09-26,0.14951,0.14951,0.14951,0.14951,4533495.5078703
1996-09-27,0.154065,0.154065,0.154065,0.154065,4319293.3647926
1996-09-30,0.155586,0.155586,0.155586,0.155586,1927100.4711779
1996-10-01,0.157864,0.157864,0.157864,0.157864,2816856.7435229
1996-10-02,0.151787,0.151787,0.151787,0.151787,2580016.41306
1996-10-03,0.151787,0.151787,0.151787,0.151787,2336505.9833333
1996-10-04,0.153309,0.153309,0.153309,0.153309,2036870.8775873
1996-10-07,0.159378,0.159378,0.159378,0.159378,6841090.8201809
1996-10-08,0.165454,0.165454,0.165454,0.165454,12615490.299933
1996-10-09,0.167731,0.167731,0.167731,0.167731,10138578.079513
1996-10-10,0.165454,0.165454,0.165454,0.165454,4292754.1407119
1996-10-11,0.163176,0.163176,0.163176,0.163176,6188019.4585102
1996-10-14,0.160899,0.160899,0.160899,0.160899,6106517.3213304
1996-10-15,0.163176,0.163176,0.163176,0.163176,3699186.5402991
1996-10-16,0.159378,0.159378,0.159378,0.159378,2167476.6018331
1996-10-17,0.159378,0.159378,0.159378,0.159378,642996.2738701
1996-10-18,0.154065,0.154065,0.154065,0.154065,2875315.3067022
1996-10-21,0.154065,0.154065,0.154065,0.154065,2823362.3568437
1996-10-22,0.153309,0.153309,0.153309,0.153309,1282899.6939456
1996-10-23,0.153309,0.153309,0.153309,0.153309,2993312.6005918
1996-10-24,0.151787,0.151787,0.151787,0.151787,3116614.889935
1996-10-25,0.151787,0.151787,0.151787,0.151787,1645532.915865
1996-10-28,0.14951,0.14951,0.14951,0.14951,2174866.8127845
1996-10-29,0.148754,0.148754,0.148754,0.148754,1430531.6560405
1996-10-30,0.151787,0.151787,0.151787,0.151787,4340776.2650818
1996-10-31,0.145719,0.145719,0.145719,0.145719,3301262.6650319
1996-11-04,0.146476,0.146476,0.146476,0.146476,3215420.4302535
1996-11-05,0.146476,0.146476,0.146476,0.146476,864302.39645517
1996-11-06,0.151787,0.151787,0.151787,0.151787,7332323.5559073
1996-11-07,0.153309,0.153309,0.153309,0.153309,4181382.9104792
1996-11-08,0.151787,0.151787,0.151787,0.151787,1336177.5975025
1996-11-12,0.151787,0.151787,0.151787,0.151787,1438239.1823936
1996-11-13,0.14951,0.14951,0.14951,0.14951,3703842.6581348
1996-11-14,0.146476,0.146476,0.146476,0.146476,4569630.6087367
1996-11-15,0.154065,0.154065,0.154065,0.154065,4050493.5451191
1996-11-18,0.154065,0.154065,0.154065,0.154065,3364137.7405392
1996-11-19,0.154065,0.154065,0.154065,0.154065,1411780.2585371
1996-11-20,0.146476,0.146476,0.146476,0.146476,1160242.3967256
1996-11-21,0.14951,0.14951,0.14951,0.14951,2017597.5286271
1996-11-22,0.14951,0.14951,0.14951,0.14951,2703475.4173567
1996-11-25,0.151031,0.151031,0.151031,0.151031,1688854.8867925
1996-11-26,0.146476,0.146476,0.146476,0.146476,3208554.7610889
1996-11-27,0.144197,0.144197,0.144197,0.144197,2284312.1328025
1996-11-28,0.14192,0.14192,0.14192,0.14192,1211554.2399557
1996-11-29,0.144197,0.144197,0.144197,0.144197,2194294.2863685
1996-12-02,0.145719,0.145719,0.145719,0.145719,960942.42105154
1996-12-03,0.14192,0.14192,0.14192,0.14192,785365.98095346
1996-12-04,0.13965,0.13965,0.13965,0.13965,1882093.4907083
1996-12-05,0.141164,0.141164,0.141164,0.141164,1584704.2009086
1996-12-06,0.13965,0.13965,0.13965,0.13965,720526.14028433
1996-12-09,0.13054,0.13054,0.13054,0.13054,2164344.8930914
1996-12-10,0.133573,0.133573,0.133573,0.133573,2232559.9335045
1996-12-11,0.133573,0.133573,0.133573,0.133573,1159561.1399852
1996-12-12,0.136608,0.136608,0.136608,0.136608,2029360.2162997
1996-12-13,0.135851,0.135851,0.135851,0.135851,902522.71281948
1996-12-16,0.134331,0.134331,0.134331,0.134331,1840258.3690924
1996-12-17,0.134331,0.134331,0.134331,0.134331,2487027.4583326
1996-12-18,0.136608,0.136608,0.136608,0.136608,1149684.212415
1996-12-19,0.136608,0.136608,0.136608,0.136608,2255603.5075049
1996-12-20,0.14192,0.14192,0.14192,0.14192,1722219.6299257
1996-12-23,0.148754,0.148754,0.148754,0.148754,1096526.7591945
1996-12-24,0.143441,0.143441,0.143441,0.143441,1166106.9034181
1996-12-30,0.141164,0.141164,0.141164,0.141164,3929685.7433841
1996-12-31,0.144197,0.144197,0.144197,0.144197,4447653.273092
1997-01-02,0.144197,0.144197,0.144197,0.144197,2173699.8692045
1997-01-03,0.146476,0.146476,0.146476,0.146476,1405238.380599
1997-01-06,0.143441,0.143441,0.143441,0.143441,1686364.284679
1997-01-07,0.145719,0.145719,0.145719,0.145719,1722740.2862178
1997-01-08,0.14951,0.14951,0.14951,0.14951,5667719.3368073
1997-01-09,0.151787,0.151787,0.151787,0.151787,4492139.5972696
1997-01-10,0.151787,0.151787,0.151787,0.151787,3636552.3654643
1997-01-13,0.14951,0.14951,0.14951,0.14951,1221190.2668533
1997-01-14,0.14951,0.14951,0.14951,0.14951,2051042.5719844
1997-01-15,0.146476,0.146476,0.146476,0.146476,1463051.9516552
1997-01-16,0.151031,0.151031,0.151031,0.151031,3082606.4498437
1997-01-17,0.144197,0.144197,0.144197,0.144197,5582805.7352663
1997-01-20,0.143441,0.143441,0.143441,0.143441,4130150.0723083
1997-01-21,0.14192,0.14192,0.14192,0.14192,3645183.3443951
1997-01-22,0.143441,0.143441,0.143441,0.143441,3019891.9747847
1997-01-23,0.146476,0.146476,0.146476,0.146476,2364774.252563
1997-01-24,0.14951,0.14951,0.14951,0.14951,5828317.1947721
1997-01-27,0.148754,0.148754,0.148754,0.148754,6423858.6265009
1997-01-28,0.146476,0.146476,0.146476,0.146476,1449399.6183853
1997-01-29,0.14192,0.14192,0.14192,0.14192,905173.91538123
1997-01-30,0.14192,0.14192,0.14192,0.14192,1584904.9514689
1997-01-31,0.13965,0.13965,0.13965,0.13965,759912.10506367
1997-02-03,0.144197,0.144197,0.144197,0.144197,1952152.8459469
1997-02-04,0.145719,0.145719,0.145719,0.145719,2573589.8047985
1997-02-05,0.145719,0.145719,0.145719,0.145719,1355531.2466869
1997-02-06,0.145719,0.145719,0.145719,0.145719,1705436.8830789
1997-02-07,0.14951,0.14951,0.14951,0.14951,12151880.841313
1997-02-10,0.153309,0.153309,0.153309,0.153309,13862980.18536
1997-02-11,0.1571,0.1571,0.1571,0.1571,7144141.275783
1997-02-12,0.164689,0.164689,0.164689,0.164689,18444530.196722
1997-02-13,0.166968,0.166968,0.166968,0.166968,9351165.7380087
1997-02-14,0.172279,0.172279,0.172279,0.172279,19562817.021495
1997-02-17,0.172279,0.172279,0.172279,0.172279,10433077.856408
1997-02-18,0.173044,0.173044,0.173044,0.173044,12665797.095196
1997-02-19,0.175314,0.175314,0.175314,0.175314,12013566.295549
