Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-06-15,28.323,33.919,22.727,24.127,6432
2012-06-18,20.282,24.127,16.434,19.931,1467
2012-06-19,19.581,19.581,16.084,16.084,268
2012-06-20,16.434,16.434,12.938,14.685,208
2012-06-21,14.685,17.483,12.588,17.483,572
2012-06-22,20.979,24.824,20.979,24.824,459
2012-06-25,28.674,29.02,23.078,23.078,1764
2012-06-26,22.727,25.176,19.232,21.331,493
2012-06-27,21.678,30.421,18.183,25.176,2070
2012-06-28,26.224,26.224,20.979,22.727,295
2012-06-29,19.232,22.727,18.532,22.727,139
2012-07-02,22.727,26.576,22.727,22.727,223
2012-07-03,22.029,22.029,18.183,19.232,709
2012-07-04,19.232,19.232,15.735,15.735,332
2012-07-05,14.685,17.483,12.588,17.483,277
2012-07-06,17.483,17.483,13.987,16.784,657
2012-07-09,16.784,16.784,13.987,15.735,431
2012-07-10,13.987,13.987,12.588,13.987,281
2012-07-11,13.987,13.987,12.588,12.588,47
2012-07-12,12.238,12.238,12.238,12.238,72
2012-07-13,12.238,17.483,12.238,17.483,835
2012-07-16,18.532,22.029,17.483,20.282,977
2012-07-17,20.979,20.979,16.784,17.833,392
2012-07-18,16.084,17.833,14.336,16.434,194
2012-07-19,14.685,14.685,13.287,13.987,644
2012-07-20,12.238,13.987,11.189,13.987,744
2012-07-23,13.637,16.434,11.189,11.889,1898
2012-07-24,12.938,12.938,10.49,12.238,1631
2012-07-25,10.49,11.539,9.0908,9.79,2332
2012-07-26,9.4405,10.14,7.6927,7.6927,6591
2012-07-27,7.6927,7.6927,6.2939,7.6927,504
2012-07-30,8.742,8.742,6.9931,7.6927,900
2012-07-31,8.0421,8.3918,7.3429,7.6927,60
2012-08-01,6.9931,9.79,6.2939,9.79,1269
2012-08-02,11.189,13.287,9.0908,9.4405,975
2012-08-03,9.4405,9.4405,7.6927,8.742,448
2012-08-06,8.3918,8.3918,6.9931,6.9931,555
2012-08-07,6.2939,8.3918,6.2939,8.3918,448
2012-08-08,8.3918,8.3918,7.3429,7.3429,54
2012-08-09,7.3429,7.3429,5.9441,5.9441,409
2012-08-10,5.5947,6.6437,5.2449,6.6437,223
2012-08-13,6.6437,6.9931,6.6437,6.9931,84
2012-08-14,6.6437,6.6437,5.5947,6.6437,231
2012-08-16,5.9441,6.9931,5.9441,6.9931,47
2012-08-17,6.9931,6.9931,5.5947,6.6437,20
2012-08-20,6.6437,6.6437,5.9441,6.2939,17
2012-08-21,6.2939,7.3429,5.2449,6.9931,510
2012-08-22,5.9441,8.0421,5.9441,7.3429,256
2012-08-23,7.6927,7.6927,6.9931,7.3429,25
2012-08-24,7.6927,8.742,7.6927,8.742,260
2012-08-27,8.0421,10.49,7.6927,10.49,7019
2012-08-28,11.539,12.588,8.3918,10.14,1826
2012-08-29,9.79,10.49,8.742,9.79,1489
2012-08-30,9.4405,14.336,9.4405,14.336,2417
2012-08-31,14.685,20.979,14.685,20.979,3708
2012-09-03,22.029,25.176,17.483,25.176,2154
2012-09-04,25.874,36.715,25.527,34.266,3041
2012-09-05,37.763,40.911,30.421,30.421,2842
2012-09-06,28.674,43.359,27.972,43.359,1562
2012-09-07,44.756,60.143,44.756,60.143,1376
2012-09-10,60.49,72.38,59.441,69.584,964
2012-09-11,69.931,83.918,69.931,70.98,1826
2012-09-12,71.682,90.908,57.694,89.16,3425
2012-09-13,96.154,96.154,61.539,73.429,2028
2012-09-14,78.674,78.674,53.849,53.849,1473
2012-09-17,55.245,62.939,53.147,57.694,1074
2012-09-18,54.196,72.38,52.449,55.947,1782
