Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-04-14,0.5025,0.5988,0.4606,0.492,2598398
2011-04-15,0.5025,0.5046,0.44594,0.47734,729479
2011-04-18,0.47734,0.48991,0.44803,0.45641,248981
2011-04-19,0.44803,0.4606,0.44385,0.4585,183563
2011-04-20,0.45641,0.45641,0.39779,0.43338,274955
2011-04-21,0.425,0.43966,0.39779,0.42919,108554
2011-04-26,0.40826,0.41872,0.40407,0.40407,62371
2011-04-27,0.39779,0.5443,0.39779,0.5234,1296078
2011-04-28,0.536,0.5422,0.44385,0.46688,568485
2011-04-29,0.46897,0.46897,0.41872,0.45013,348383
2011-05-02,0.44385,0.5067,0.42919,0.46478,257607
2011-05-04,0.45013,0.47106,0.43547,0.44803,200194
2011-05-05,0.43966,0.43966,0.41035,0.42919,262216
2011-05-06,0.41663,0.45641,0.40826,0.43547,131433
2011-05-09,0.44175,0.45222,0.4271,0.4271,58043
2011-05-10,0.41872,0.42291,0.41035,0.42291,47530
2011-05-11,0.41035,0.41035,0.35801,0.40826,58129
2011-05-12,0.39779,0.40616,0.38732,0.40616,19421
2011-05-13,0.38732,0.38732,0.37057,0.38523,52459
2011-05-16,0.37685,0.37685,0.37685,0.37685,24274
2011-05-17,0.36638,0.37685,0.36638,0.36638,12763
2011-05-18,0.35591,0.35591,0.30357,0.33289,110483
2011-05-19,0.33707,0.34754,0.33707,0.34754,37089
2011-05-23,0.33498,0.33498,0.29729,0.32242,30588
2011-05-24,0.30357,0.36429,0.30357,0.3601,56008
2011-05-25,0.32032,0.38104,0.32032,0.38104,96283
2011-05-26,0.36638,0.36638,0.33289,0.35591,50224
2011-05-27,0.35591,0.37057,0.34545,0.36848,71579
2011-05-30,0.35591,0.36429,0.31823,0.36429,50348
2011-05-31,0.33707,0.33917,0.33498,0.33498,11941
2011-06-01,0.34126,0.38523,0.33917,0.3601,42864
2011-06-02,0.35591,0.35591,0.32451,0.33917,41502
2011-06-03,0.34126,0.34126,0.32451,0.33707,34591
2011-06-06,0.32242,0.34126,0.32242,0.34126,6281
2011-06-07,0.30776,0.34126,0.30776,0.34126,26743
2011-06-08,0.3266,0.34545,0.3266,0.34545,4848
2011-06-09,0.3266,0.33289,0.32451,0.33289,19158
2011-06-10,0.3266,0.3266,0.31404,0.32451,29012
2011-06-13,0.31404,0.31404,0.31404,0.31404,7728
2011-06-15,0.31614,0.34126,0.31614,0.33498,52474
2011-06-16,0.32451,0.32451,0.31404,0.32451,12997
2011-06-17,0.3287,0.34335,0.32451,0.34335,8602
2011-06-20,0.34545,0.34545,0.33917,0.33917,13852
2011-06-22,0.33917,0.40616,0.33917,0.40616,171679
2011-06-24,0.38732,0.38732,0.34335,0.34754,45433
2011-06-29,0.34754,0.34754,0.32032,0.32032,37270
2011-06-30,0.31823,0.38104,0.31823,0.38104,24742
2011-07-01,0.34545,0.34545,0.34545,0.34545,6759
2011-07-04,0.3287,0.3287,0.31823,0.31823,12419
