Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2008-02-06,25,29,21,26,162873
2008-02-07,25,26,21,23,54022
2008-02-08,24,25,21,23,38583
2008-02-11,22,23,20,21,16601
2008-02-12,22,22,18,20,25416
2008-02-13,20,21,19,20,10693
2008-02-14,20,23,20,23,21778
2008-02-15,22,22,20,21,7587
2008-02-18,21,23,20,22,15025
2008-02-19,22,26,21,26,50831
2008-02-20,26,31,25,31,76819
2008-02-21,31,34,25,29,67432
2008-02-22,27,29,26,26,14231
2008-02-25,26,29,26,27,8469
2008-02-26,28,31,27,28,24782
2008-02-27,28,33,28,33,80089
2008-02-28,33,35,30,30,48273
2008-02-29,30,30,27,28,27431
2008-03-03,27,30,27,30,24592
2008-03-04,30,31,28,30,10514
2008-03-05,30,32,30,31,14515
2008-03-06,32,33,31,31,21577
2008-03-07,30,31,30,31,4161
2008-03-10,30,31,29,30,2873
2008-03-11,29,30,28,29,11503
2008-03-12,28,29,27,28,7822
2008-03-13,28,29,27,27,9761
2008-03-14,27,28,26,28,5879
2008-03-17,27,27,26,27,7466
2008-03-18,27,28,25,27,5582
2008-03-19,28,28,26,27,716
2008-03-20,26,26,25,26,8482
2008-03-25,26,27,26,27,2560
2008-03-26,26,26,25,25,7541
2008-03-27,26,26,24,25,4828
2008-03-28,25,27,24,26,9979
2008-03-31,26,27,25,26,9041
2008-04-01,26,26,25,26,1960
2008-04-02,26,26,24,25,5146
2008-04-03,25,25,24,25,928
2008-04-04,24,25,24,25,1289
2008-04-07,25,25,24,24,2689
2008-04-08,24,26,23,25,9515
2008-04-09,24,25,24,25,4286
2008-04-10,24,25,24,24,2982
2008-04-11,25,25,24,24,1306
2008-04-14,24,25,23,25,5227
2008-04-15,25,25,24,24,1827
2008-04-16,25,27,24,26,12886
2008-04-17,25,25,25,25,2200
2008-04-18,24,25,24,25,828
2008-04-21,24,25,24,25,6031
2008-04-22,25,25,23,24,3355
2008-04-23,23,23,22,22,8182
2008-04-24,23,23,22,23,2429
2008-04-25,23,24,23,23,4621
2008-04-28,23,24,23,24,1681
2008-04-29,23,23,21,23,4351
2008-04-30,22,25,22,25,6000
2008-05-05,25,26,25,26,2698
2008-05-06,26,26,25,25,1483
2008-05-07,25,26,24,24,1738
2008-05-08,24,25,24,25,739
2008-05-09,25,25,24,25,1443
2008-05-12,25,25,23,24,1262
2008-05-13,24,24,22,23,5775
2008-05-14,23,24,22,24,1274
2008-05-15,23,24,23,23,1176
2008-05-16,23,24,22,24,3136
2008-05-19,23,23,22,23,354
2008-05-20,22,23,22,23,3077
2008-05-21,22,23,22,23,507
2008-05-23,22,23,22,23,210
2008-05-26,22,23,22,23,1414
2008-05-27,22,23,22,23,404
2008-05-28,22,22,22,22,669
2008-05-29,22,22,21,21,605
2008-05-30,21,21,21,21,171
2008-06-02,21,21,20,20,3166
2008-06-03,20,21,19,21,6602
2008-06-04,20,21,20,21,531
2008-06-05,20,20,20,20,844
2008-06-06,19,20,19,19,2381
2008-06-09,18,20,18,20,3596
2008-06-10,18,19,18,19,620
2008-06-11,18,19,18,18,2335
2008-06-12,18,18,17,18,2461
2008-06-13,18,19,18,19,1923
2008-06-16,20,21,18,20,1903
2008-06-17,19,20,19,20,204
2008-06-18,19,20,18,20,1306
2008-06-19,19,20,19,20,66
2008-06-20,20,20,19,20,2194
2008-06-23,20,21,20,20,739
2008-06-24,20,20,20,20,150
2008-06-25,20,20,20,20,14
2008-06-26,20,20,19,20,774
2008-06-27,19,19,18,19,671
2008-06-30,18,19,18,19,465
2008-07-01,18,18,18,18,314
2008-07-02,17,19,17,19,436
2008-07-03,18,19,18,19,262
2008-07-04,18,18,16,18,1628
2008-07-07,18,18,18,18,24
2008-07-08,17,18,17,18,665
2008-07-09,18,18,17,18,811
2008-07-10,18,18,17,18,481
2008-07-11,18,18,17,17,140
2008-07-14,19,19,18,18,103
2008-07-15,18,18,16,18,1242
2008-07-16,17,17,16,17,816
2008-07-17,17,17,16,16,1867
2008-07-18,17,17,16,17,1580
2008-07-21,17,18,16,18,1186
2008-07-22,17,17,16,16,702
2008-07-23,17,17,16,17,1995
2008-07-24,17,17,16,17,607
2008-07-25,17,20,16,18,7358
2008-07-28,19,19,17,18,4756
2008-07-29,17,18,17,18,1044
2008-07-30,17,18,17,18,1928
2008-07-31,18,18,17,18,1031
2008-08-01,17,18,17,18,1447
2008-08-04,17,17,16,17,220
2008-08-05,17,17,16,17,598
2008-08-06,18,18,17,18,730
2008-08-07,18,18,17,17,788
2008-08-08,17,18,17,18,842
2008-08-11,17,18,17,18,707
2008-08-12,17,20,16,19,9193
2008-08-13,20,20,19,19,594
2008-08-14,19,21,19,19,1440
2008-08-18,19,19,19,19,345
2008-08-19,19,19,18,18,1458
2008-08-20,19,19,18,19,75
2008-08-21,19,20,19,20,1606
2008-08-22,20,22,19,21,3196
2008-08-25,21,22,20,21,1394
2008-08-26,21,21,20,21,736
2008-08-27,20,21,20,21,700
2008-08-28,20,21,20,21,2006
