Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-04-04,1.8604,1.8604,1.7227,1.8604,140048
2013-04-05,1.8742,1.8742,1.6194,1.8604,50921
2013-04-08,1.8261,1.8261,1.6537,1.7571,10156
2013-04-09,1.7915,1.7915,1.6882,1.7571,10956
2013-04-10,1.7915,1.7915,1.6194,1.7915,26311
2013-04-11,1.7846,1.7915,1.6882,1.7915,6574
2013-04-12,1.7846,1.7846,1.7846,1.7846,725
2013-04-15,1.7915,1.7915,1.4814,1.7846,1196
2013-04-17,1.4332,1.6951,1.4332,1.578,14100
2013-04-18,1.3092,1.5091,1.3092,1.5022,14826
2013-04-19,1.2748,1.5022,1.2748,1.5022,3396
2013-04-22,1.2748,1.2748,1.1024,1.1024,9891
2013-04-23,1.0336,1.1024,0.8269,0.9165,34438
2013-04-24,0.8406,1.1713,0.8406,1.1713,16366
2013-04-26,0.9578,0.9992,0.9578,0.9992,3365
2013-04-29,0.9992,0.9992,0.9992,0.9992,1303
2013-04-30,1.0336,1.2404,1.0336,1.2404,4432
2013-05-02,1.1024,1.1024,1.1024,1.1024,4078
2013-05-07,1.1713,1.2265,1.1713,1.2265,1451
2013-05-08,1.2265,1.2404,1.2265,1.2404,435
2013-05-09,1.137,1.2404,1.137,1.2404,3229
2013-05-13,1.1024,1.1024,1.1024,1.1024,606
2013-05-14,1.1024,1.1024,1.1024,1.1024,1160
2013-05-15,1.1024,1.1024,1.1024,1.1024,925
2013-05-16,1.137,1.2404,1.137,1.2404,6357
2013-05-17,1.1162,1.137,1.1162,1.137,2992
2013-05-20,1.1784,1.1784,1.1784,1.1784,552
2013-05-22,1.2472,1.447,1.2472,1.447,6180
2013-05-23,1.2816,1.2816,1.2748,1.2748,5885
2013-05-27,1.3781,1.4814,1.3781,1.4814,13236
2013-05-28,1.4814,1.5159,1.4814,1.5159,12207
2013-05-29,1.3781,1.5848,1.3781,1.5848,334
2013-05-31,1.5848,1.6537,1.5848,1.6469,3264
2013-06-04,1.5159,1.5159,1.5159,1.5159,4481
2013-06-06,1.4814,1.4814,1.4814,1.4814,4455
2013-06-07,1.6399,1.6399,1.4814,1.4814,1332
2013-06-10,1.4814,1.4814,1.4814,1.4814,1136
2013-06-11,1.4814,1.6469,1.4814,1.6469,2179
2013-06-12,1.4814,1.4884,1.4814,1.4884,2177
2013-06-14,1.5848,1.5848,1.5848,1.5848,2547
2013-06-17,1.4884,1.5985,1.4884,1.5985,4990
2013-06-18,1.447,1.447,1.447,1.447,2903
2013-06-19,1.4609,1.4609,1.4609,1.4609,30
2013-06-20,1.4609,1.5297,1.4609,1.5297,2942
2013-06-24,1.4746,1.5022,1.4677,1.5022,10250
2013-06-25,1.5503,1.6056,1.5503,1.6056,7258
2013-06-26,1.5022,1.5022,1.447,1.4539,21555
2013-06-28,1.4814,1.5848,1.4814,1.5848,3190
2013-07-01,1.447,1.578,1.447,1.578,1455
2013-07-02,1.3919,1.5159,1.3781,1.5159,3380
2013-07-10,1.4401,1.4401,1.4401,1.4401,72
2013-07-11,1.3919,1.5159,1.3919,1.5159,1556
2013-07-12,1.5159,1.5159,1.5159,1.5159,3432
2013-07-16,1.3781,1.5159,1.3781,1.5159,4697
2013-07-18,1.3781,1.5159,1.3092,1.5159,4696
2013-07-19,1.3092,1.5091,1.3092,1.5091,21074
2013-07-22,1.3092,1.3092,1.3092,1.3092,695
2013-07-23,1.3092,1.3092,1.3092,1.3092,71
2013-07-25,1.3161,1.3161,1.3092,1.3092,12336
2013-07-26,1.3161,1.3161,1.3161,1.3161,1451
2013-07-29,1.2472,1.3092,1.2472,1.3092,1764
2013-07-30,1.3092,1.3092,1.3092,1.3092,146
2013-07-31,1.3781,1.3781,1.3781,1.3781,289
2013-08-02,1.3229,1.3781,1.2472,1.3781,8308
2013-08-05,1.3092,1.3092,1.3092,1.3092,1888
2013-08-06,1.261,1.261,1.261,1.261,2870
2013-08-07,1.2404,1.2404,1.1989,1.1989,5491
2013-08-08,1.0956,1.137,1.0956,1.137,4095
2013-08-12,1.1989,1.2127,1.1921,1.2127,1613
2013-08-13,1.2265,1.2404,1.2265,1.2404,3302
2013-08-14,1.261,1.3713,1.2541,1.3713,14174
2013-08-16,1.2885,1.2885,1.2885,1.2885,1165
2013-08-19,1.2885,1.2885,1.261,1.261,3950
2013-08-20,1.2404,1.4401,1.2404,1.3781,19612
2013-08-21,1.4194,1.4194,1.2541,1.2541,2614
2013-08-22,1.2541,1.2541,1.2541,1.2541,1745
2013-08-23,1.2541,1.2541,1.2541,1.2541,2439
2013-08-26,1.2748,1.2955,1.2748,1.2955,3192
2013-08-27,1.2748,1.2748,1.2748,1.2748,1916
2013-08-28,1.2748,1.2748,1.2748,1.2748,1931
2013-08-29,1.2748,1.2748,1.2748,1.2748,2482
2013-08-30,1.2748,1.3643,1.2748,1.3643,4015
2013-09-02,1.3643,1.4332,1.3438,1.4332,8267
2013-09-05,1.2404,1.2404,1.2404,1.2404,7473
2013-09-06,1.4126,1.4126,1.4126,1.4126,12
2013-09-09,1.3229,1.3781,1.3229,1.3781,1264
2013-09-10,1.3781,1.3781,1.2404,1.2404,4108
2013-09-11,1.3781,1.3781,1.3781,1.3781,4
2013-09-12,1.3781,1.3919,1.3781,1.3919,15420
2013-09-13,1.3919,1.447,1.3919,1.447,7621
2013-09-16,1.3781,1.4746,1.3781,1.4746,4406
2013-09-17,1.4746,1.5366,1.4746,1.5228,11026
2013-09-18,1.5159,1.5848,1.5159,1.5848,22102
2013-09-19,1.5848,1.5985,1.5848,1.5985,5038
