Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2009-05-19,128.8,137.6,81,81,2989
2009-05-20,82.2,96,66,75,2481
2009-05-21,83.2,88,66.6,76,799
2009-05-22,76,78,68.2,78,10
2009-05-25,70,78.4,70,72,128
2009-05-26,71,75.8,71,75.8,22
2009-05-27,75,75,70,70,33
2009-05-28,74.4,77.8,70,77.8,81
2009-06-01,74,76.6,74,76.6,28
2009-06-02,77.8,77.8,77.8,77.8,13
2009-06-03,77,89,74,77.8,36
2009-06-04,70,77.8,68,77.8,93
2009-06-05,77.8,77.8,76,76,8
2009-06-09,78,78,78,78,3
2009-06-10,80,80,67,71,37
2009-06-12,79,79,79,79,1
2009-06-15,72,77,72,77,105
2009-06-16,77,77,77,77,5
2009-06-17,72,76.8,72,76.8,21
2009-06-18,77.8,77.8,77.8,77.8,10
2009-06-19,72,76,68.6,75.8,18
2009-06-22,69,75.4,69,74.6,45
2009-06-23,69,74,66,72.8,43
2009-06-24,72.8,76.8,72.8,76.8,13
2009-06-25,75.8,75.8,75.8,75.8,15
2009-06-26,75.8,75.8,75.8,75.8
2009-06-29,75.8,75.8,75.8,75.8
2009-06-30,75.8,75.8,75.8,75.8,3
2009-07-01,75.8,75.8,75.8,75.8,3
2009-07-02,72,73,72,73,15
2009-07-03,75.6,75.6,75.6,75.6,3
2009-07-07,75.6,75.6,62,62,118
2009-07-08,56.4,71,56.4,70.8,29
2009-07-09,62,69.6,57,69.6,156
2009-07-16,68,68,56,66,28
2009-07-17,67.2,70,67.2,70,34
2009-07-21,70,72,70,72,16
2009-07-22,70,77.8,70,77.8,146
2009-07-23,70,76.8,66.2,66.2,62
2009-07-24,65.8,67,65.8,67,63
2009-07-27,73.2,73.2,66,66,16
2009-07-28,64.4,69,62.4,69,109
2009-07-29,72.8,73.2,72.8,73.2,3
2009-07-30,68,68,68,68,62
2009-08-04,68,68,68,68
2009-08-05,63.2,66,62,66,61
2009-08-06,68,68,68,68,23
2009-08-07,66,68,66,68,173
2009-08-10,68,75.6,68,75.6,44
2009-08-11,72,75.6,72,75.6,2
2009-08-14,75.8,75.8,75.8,75.8,3
2009-08-24,64.2,64.2,64.2,64.2,50
2009-08-25,73.6,73.6,67,73.2,103
2009-08-27,73.2,73.2,64,68,58
2009-08-31,68,75,66.6,73,535
2009-09-01,68,75,67.2,73.8,1092
2009-09-02,66.4,74.2,66.4,68,691
2009-09-04,66,74.8,65.6,73,416
2009-09-07,68,72.8,67,72.8,269
2009-09-08,67,72.4,65.8,71.8,898
2009-09-09,69.4,69.4,63.4,67.8,487
2009-09-10,61.8,67.4,61.8,67.4,340
2009-09-11,64,72.6,63,68,362
2009-09-14,63,67.8,60.6,67.8,197
2009-09-15,60.2,71,60.2,70.8,454
2009-09-16,63,68.4,62.6,68.4,220
2009-09-17,66.8,66.8,60,60,111
2009-09-18,60,63.8,60,63.8,49
2009-09-21,62.6,62.6,62.6,62.6,5
2009-09-22,62.2,62.4,62.2,62.4,56
