Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-05-26,21.0637,21.8308,20.9661,21.5419,534916.93850193
2004-05-27,21.7332,22.2134,21.7332,22.0221,226259.47301643
2004-05-28,22.0221,22.1187,21.7332,22.0221,54320.702633102
2004-05-31,22.0221,22.1187,21.8308,22.0221,22996.235883814
2004-06-01,22.0221,22.0221,21.7332,22.0221,13702.383939325
2004-06-02,21.9265,22.0221,21.9265,22.0221,19530.238393338
2004-06-03,22.0221,22.0221,21.8308,21.8308,8009.0338767766
2004-06-04,22.0221,22.0221,21.8308,22.0221,37302.88582061
2004-06-07,22.0221,22.4067,22.0221,22.4067,54104.893348291
2004-06-08,22.4067,23.2604,22.4067,23.0692,36945.545795528
2004-06-09,23.1628,23.9319,22.9725,23.9319,37368.130488111
2004-06-11,23.8363,25.8517,23.8363,25.1782,50679.046422431
2004-06-14,25.1782,25.1782,23.644,24.6034,23741.028857441
2004-06-15,24.4121,24.5078,23.9319,24.1222,7748.0552067726
2004-06-16,23.9319,24.6034,23.9319,24.3145,9517.6913422228
2004-06-17,24.3145,24.5078,23.4527,23.4527,28313.174403088
2004-06-18,23.7396,23.9319,23.4527,23.4527,9691.342534187
2004-06-21,23.2604,24.2198,23.2604,23.8363,19534.253449799
2004-06-22,24.0286,24.1222,23.8363,23.8363,6921.9573397984
2004-06-23,24.2198,24.5078,24.0286,24.0286,20001.00376346
2004-06-24,24.4121,24.4121,24.0286,24.1222,7767.1267249652
2004-06-25,24.2198,24.5078,23.9319,24.5078,9924.2158089598
2004-06-28,24.7,26.3299,24.7,26.1386,34124.968631254
2004-06-29,26.4265,26.5242,25.6594,25.8517,7776.1606020038
2004-06-30,26.2352,26.2352,25.6594,25.6594,10835.633625743
2004-07-01,25.6594,25.7541,25.1782,25.5618,2216.3111668032
2004-07-02,25.3715,25.5618,24.9879,25.3715,12082.30865707
2004-07-05,25.5618,25.8517,25.4681,25.7541,4518.9460475308
2004-07-06,25.5618,25.8517,25.3715,25.7541,4361.355081413
2004-07-07,25.7541,26.1386,25.4681,26.043,7195.9849433026
2004-07-08,25.8517,27.2813,25.8517,27.088,15551.317439892
2004-07-09,27.2813,28.2407,27.088,28.2407,19321.455457335
2004-07-12,28.2407,29.2947,28.2407,28.3363,50147.051441269
2004-07-13,28.3363,28.7209,28.0484,28.6233,24724.717690533
2004-07-14,28.2407,30.4474,28.2407,30.1585,61471.518191211
2004-07-15,30.1585,31.3022,29.5836,30.0628,45557.84190566
2004-07-16,30.4474,31.0143,29.1044,30.7263,51010.288580513
2004-07-19,31.1089,33.4122,31.1089,32.1649,45211.543285847
2004-07-20,32.7398,32.7398,30.544,31.9727,61847.929734486
2004-07-21,31.9727,32.0693,31.1089,31.4935,107766.12295757
2004-07-22,31.5871,31.5871,31.2045,31.4935,24923.462985382
2004-07-23,31.4935,33.0287,31.2045,32.7398,25710.414051856
2004-07-26,32.933,33.0287,31.4935,31.6857,31048.431617553
2004-07-27,31.9727,32.4528,30.7263,31.3988,19884.567126074
2004-07-28,32.2616,32.2616,30.2561,30.6387,18940.025093483
2004-07-29,30.2561,30.9186,29.6793,30.0628,20019.071517538
2004-07-30,30.0628,30.6387,29.9672,30.6387,5506.6499370844
2004-08-02,30.7263,31.5871,30.7263,31.3022,14660.978669532
2004-08-03,31.3022,31.5871,31.2045,31.4935,16278.042659442
2004-08-04,31.3988,31.877,31.3022,31.7814,23821.329986673
2004-08-05,32.0693,32.0693,31.3988,31.3988,9745.5457964186
2004-08-06,31.1089,31.4935,30.1585,30.1585,13110.163111239
2004-08-09,30.1585,31.1089,28.5276,29.2001,14106.900877832
2004-08-10,29.2001,30.0628,28.9112,29.6793,18618.820576555
2004-08-11,29.2947,29.6793,29.2947,29.2947,22111.919698147
2004-08-12,29.2001,29.5836,29.2001,29.2947,3478.042659861
2004-08-13,29.2947,29.489,29.2001,29.489,2582.6850689242
2004-08-16,29.7759,29.7759,29.5836,29.5836,2011.5432872616
2004-08-17,29.489,30.0628,29.3914,29.6793,4121.4554578324
2004-08-18,29.6793,30.2561,29.6793,30.2561,4155.583437756
2004-08-19,30.544,30.544,29.8716,29.8716,3420.8281052832
2004-08-20,29.5836,29.9672,29.0078,29.3914,6502.3839395612
2004-08-23,29.3914,29.9672,29.2947,29.8716,19093.601003139
2004-08-24,30.1585,31.5871,30.1585,31.5871,22350.815557612
2004-08-25,31.5871,31.6857,30.9186,31.3022,14524.466749838
2004-08-26,31.5871,31.5871,30.7263,30.7263,10138.01756554
2004-08-27,31.5871,31.5871,31.1089,31.3988,1126.2233374788
2004-08-30,31.3988,31.3988,30.544,30.544,1715.4328732186
2004-08-31,30.3518,30.6387,30.3518,30.4474,17939.272270429
2004-09-01,30.6387,31.1089,30.4474,31.1089,10233.375156503
2004-09-02,31.0143,31.5871,30.3518,31.3988,20174.654955425
2004-09-03,31.5871,31.6857,31.1089,31.4935,4692.597239495
2004-09-06,31.5871,31.5871,31.1089,31.3022,1842.9109158744
2004-09-07,30.7263,31.4935,30.7263,31.3022,5628.1053950478
2004-09-08,31.2045,33.22,31.1089,32.8364,39862.48431488
2004-09-09,32.6451,34.4683,32.2616,34.4683,47489.084063689
2004-09-10,35.322,35.8979,34.7462,34.7462,53737.515682054
2004-09-13,35.4177,36.1858,35.0331,35.8022,19006.273525099
2004-09-14,36.3791,37.0485,35.61,35.61,27902.634879889
2004-09-15,35.61,35.61,34.7462,35.322,8483.8143033608
2004-09-16,35.1298,35.322,35.0331,35.2264,4781.9322457656
2004-09-17,35.0331,35.1298,34.4683,34.8419,9718.4441653028
2004-09-20,34.4683,35.1298,34.0837,34.9395,2646.9259723098
2004-09-21,35.0331,35.0331,34.6585,34.8419,1390.213299829
2004-09-22,34.6585,35.322,34.4683,34.6585,5095.1066497704
2004-09-23,34.4683,36.2804,34.4683,35.5133,23227.101630356
2004-09-24,35.61,36.7626,35.4177,35.4177,19454.956084683
2004-09-27,35.61,35.61,35.1298,35.1298,4868.25595969
2004-09-28,34.7462,35.1298,34.7462,35.1298,4362.3588455284
2004-09-29,34.8419,35.4177,34.8419,35.4177,9443.4127976832
2004-09-30,35.322,35.4177,35.0331,35.0331,4990.7151817688
2004-10-01,34.9395,35.322,34.8419,35.322,3326.4742784356
2004-10-04,35.8979,36.4747,35.4177,35.61,15660.727728471
2004-10-05,35.8979,35.8979,35.4177,35.4177,7749.058970888
2004-10-06,35.4177,35.4177,35.1298,35.322,5277.7917187732
2004-10-07,35.2264,35.2264,34.3716,34.9395,13557.841906708
2004-10-08,34.4683,34.8419,34.1803,34.8419,6192.2208279026
2004-10-11,34.4683,34.9395,34.3716,34.5649,3709.9121705184
2004-10-12,34.1803,34.1803,33.5089,33.6035,15141.781680809
2004-10-13,33.0287,33.5089,32.933,33.22,12267.001254303
2004-10-14,33.4122,34.1803,33.4122,33.7968,16720.702634333
2004-10-15,34.1803,34.1803,33.7968,33.7968,131941.78167698
2004-10-18,33.9881,33.9881,33.6992,33.6992,43284.316184279
