Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-25,22,32.9,18,32,130417
2018-05-28,32.3,36,28,31,58601
2018-05-29,30.8,34,26.5,32,32841
2018-05-30,32.99,35,28.3,35,31045
2018-06-01,32.02,37.99,30.6,30.9,10845
2018-06-04,32.4,32.58,28.85,31,3203
2018-06-05,31,33.79,28.9,32.35,4888
2018-06-06,33.2,33.7,30,33.7,4299
2018-06-07,33.5,35,31.4,34,8170
2018-06-08,34,34,31.5,33.45,1575
2018-06-11,33.65,33.66,31.18,31.2,3304
2018-06-12,32.9,32.9,31,31,298
2018-06-13,31.94,31.94,30.5,30.6,484
2018-06-14,31,31.92,30.5,31.8,1486
2018-06-15,31.91,32.9,31,31,2131
2018-06-18,32.37,32.37,30.7,32.34,1004
2018-06-19,32,32.79,31.5,32.79,268
2018-06-20,32.9,35.6,32.8,35.6,10694
2018-06-21,35.59,36.4,32.5,36.4,12015
2018-06-22,36.4,36.4,33.8,35.5,2283
2018-06-25,35.9,35.9,33.71,34.25,1119
2018-06-26,34.77,34.77,31.36,33.4,3806
2018-06-27,33.4,34,31.5,34,5014
2018-06-28,34.3,36,32.3,36,8107
2018-06-29,35.5,38,34.5,38,6895
2018-07-02,38,38.9,36,36,7177
2018-07-03,37.22,37.22,34.5,36.68,600
2018-07-04,36.7,37.9,36.7,37.9,775
2018-07-05,35.61,38.9,35.61,38.9,2072
2018-07-06,38.9,39,37.6,38.31,2002
2018-07-09,38.95,39.89,36.51,39.7,4437
2018-07-10,39.8,41.2,39.7,41,3952
2018-07-11,41.5,49,41.5,43.48,15815
2018-07-12,45,45,43.52,43.52,14350
2018-07-13,43.5,44.95,43.5,43.94,4819
2018-07-16,45.57,45.57,43.01,43.96,3611
2018-07-17,44.9,44.9,42.6,43.7,3770
2018-07-18,43.6,43.6,43,43.4,2722
2018-07-19,44.4,44.4,42.9,43.75,3035
2018-07-20,43.98,44.1,43,43,4623
2018-07-23,42.7,43,42,43,2627
2018-07-24,43,43,42.1,42.85,3093
2018-07-25,43,43,42.2,42.2,3058
2018-07-26,44.2,44.2,40.4,42.99,3651
2018-07-27,43.21,44.9,42.71,43.78,12048
2018-07-30,44,47.7,44,44.1,32431
2018-07-31,44.5,46.5,43.42,46.5,7769
2018-08-01,46.4,46.4,45,45.85,7641
2018-08-02,46.09,49.5,46,49.5,17882
2018-08-03,51.5,55.55,50.5,53,39897
2018-08-06,54,54.85,48.6,50.6,10553
2018-08-07,50,50,46.7,48.5,9281
2018-08-08,50.79,51.8,48,48.11,9175
2018-08-09,49.6,49.6,45.5,46.95,8968
2018-08-10,47.2,47.39,44,46.14,19301
2018-08-13,46.15,48.6,45.01,46,34826
2018-08-14,46.5,47.75,45.51,46.9,19317
2018-08-16,35,40,29,30.8,101551
2018-08-17,32.8,32.87,27.5,31.35,73518
2018-08-20,32,32.99,30,30,22624
2018-08-21,29.1,31.59,28,31.5,14179
2018-08-22,30.91,31.6,29.5,30,14075
2018-08-23,30.19,30.19,26,27.3,21253
2018-08-24,27.5,29.51,27,28.6,7353
2018-08-27,30,30,27.04,27.04,11887
2018-08-28,27.95,27.95,24.9,25.9,7945
2018-08-29,24.51,28,23.9,27.7,13473
2018-08-30,28,28.65,26.22,27.45,4643
2018-08-31,27.4,27.4,24.5,24.75,7175
2018-09-03,25.5,25.5,22.65,24.4,8149
2018-09-04,24.9,24.9,19.92,20.25,22665
2018-09-05,21,21.8,18.15,20.98,22513
2018-09-06,20.11,20.98,18.5,20.95,11216
2018-09-07,20.5,20.5,18.5,19.13,8276
2018-09-10,19.49,19.7,17,17.99,5890
2018-09-11,19.05,19.8,17.6,18.89,6576
2018-09-12,19.35,19.5,18.17,19.35,1903
2018-09-13,19.39,21.7,19,20.88,4985
2018-09-14,20.9,23.8,20.9,22.99,16356
2018-09-17,23,23.49,21.12,21.12,3537
2018-09-18,22,22,21.01,21.01,1483
2018-09-19,21.94,21.94,19.91,20,3427
2018-09-20,21,21,18.5,18.75,4867
2018-09-21,20,20.49,19.1,19.6,2111
2018-09-24,20.44,20.44,19.7,19.7,973
2018-09-25,20.08,20.08,18.4,19.5,322
2018-09-26,19.85,20.3,16.2,17.42,16616
2018-09-27,17.42,17.42,16.3,16.46,15334
2018-09-28,16.5,17.19,16.4,16.42,6921
2018-10-01,16.5,17,14.11,16.79,50917
2018-10-02,17.29,17.3,16.3,16.3,9255
2018-10-03,16.86,16.86,16.13,16.32,2841
2018-10-04,16.31,17,16,16.36,3226
2018-10-05,16.7,16.7,15.95,16.49,1874
2018-10-08,16.5,16.5,15,15.5,4520
2018-10-09,15.48,16.49,14.75,15.5,5165
2018-10-10,15.5,16.1,15,15.1,12749
2018-10-11,14.6,16,14.22,16,3240
2018-10-12,16.65,16.65,15.8,16.49,2210
2018-10-15,16.65,18.9,16.65,17.5,31768
2018-10-16,18.7,18.7,16.33,17.17,5766
2018-10-17,17.09,17.09,15,16.45,6885
2018-10-18,16.45,16.6,15.55,16.5,4910
2018-10-19,16.97,16.97,16.03,16.6,2008
2018-10-22,16.62,16.65,14.51,14.99,16914
2018-10-23,15,18,13.56,14.78,34798
2018-10-24,14.75,15.35,13.5,14,12927
2018-10-25,13.85,13.85,12,13.19,27155
2018-10-26,13,13,11.95,12.18,11427
2018-10-29,12.18,13.45,12,13.2,12121
2018-10-30,13.3,14.3,13,13.74,10651
2018-10-31,14.05,14.05,13.01,13.65,3069
2018-11-02,13.1,14.87,12.71,14.81,12180
2018-11-05,16.1,16.5,15,15.47,23063
2018-11-06,15.78,15.8,15,15.3,3070
2018-11-07,15.45,15.45,14.02,14.7,4148
2018-11-08,15.41,15.41,13.5,14.49,1806
2018-11-09,14,14,12,12.9,11259
2018-11-13,13.08,13.08,11.65,12,8246
2018-11-14,12,13.5,11,13.35,9710
2018-11-15,13.5,13.5,11.75,11.99,8769
2018-11-16,11.99,12,11.11,12,4004
2018-11-19,12,12.48,11.23,11.5,1408
2018-11-20,11.97,11.97,10.75,11.48,1316
2018-11-21,11.5,11.5,10.31,11,4155
2018-11-22,11.28,11.4,10.6,11.1,2846
2018-11-23,12,12.15,10.91,12,1738
2018-11-26,12.19,13.35,11.7,12,7408
2018-11-27,12.4,12.4,11.25,11.9,3133
2018-11-28,12,12,11.87,11.99,1255
2018-11-29,12.45,12.45,11.55,11.92,1971
2018-11-30,11.51,12.12,11.2,11.98,16381
2018-12-03,12.42,12.42,11.56,11.92,19805
2018-12-04,12,12,11.4,11.99,11046
2018-12-05,11.98,12.2,11.7,12.2,5890
2018-12-06,12,13.9,12,13.08,13410
2018-12-07,13.55,14.5,13.11,14.1,17627
2018-12-10,14.3,15.4,14,14.38,13910
2018-12-11,14.5,14.51,13.3,13.8,10361
2018-12-12,13.6,13.8,12.8,13,6856
2018-12-13,13.5,13.5,12.32,12.98,12220
2018-12-14,12.98,13,12.07,12.89,13848
2018-12-17,13,13.42,12.3,12.7,6015
2018-12-18,12.9,12.9,11.7,12.4,16259
2018-12-19,12.9,12.9,11.96,12.3,6043
2018-12-20,12,12.92,10.5,11.87,15560
2018-12-21,12.31,12.5,10.84,11.52,9878
2018-12-27,12,12,11.4,11.94,1631
2018-12-28,11.95,12.19,11.25,11.98,2402
2019-01-02,11.31,13,11.31,12.47,5153
2019-01-03,12.59,12.59,11.92,12.1,6028
2019-01-04,12.55,12.55,11.73,12.35,2747
2019-01-07,12.34,13.2,12.31,12.99,6438
2019-01-08,12.81,13.49,12.6,12.73,3649
2019-01-09,13.1,13.3,12.9,13,3770
2019-01-10,13.3,13.85,12.9,13.48,6916
2019-01-11,13.58,14.4,13.58,13.74,11508
2019-01-14,14.2,14.2,13.75,13.94,4588
2019-01-15,13.74,14.2,13.7,14.1,19735
2019-01-16,14.4,14.5,14,14.2,19269
2019-01-17,14.25,14.25,13.65,13.65,6917
2019-01-18,14,14.19,13.73,14,6358
2019-01-21,14.2,14.2,11.36,12.75,48378
2019-01-22,12.75,13.99,12.5,13.99,14635
2019-01-23,14,14.48,13.7,14,15853
2019-01-24,14.2,14.37,13.71,14.27,7008
2019-01-25,14.26,15.5,13.5,13.54,28716
2019-01-28,14,14.25,12.84,13.57,7943
2019-01-29,11.98,12.39,10.5,11.48,65611
2019-01-30,9.9,10.5,8.05,8.05,129916
2019-01-31,7.82,9.49,7.82,9.12,110982
2019-02-01,9.49,9.49,8.4,8.64,17387
2019-02-04,9,9.46,8.5,9.2,35806
2019-02-05,9.3,10.28,9.02,9.9,9390
2019-02-06,10.26,10.4,9.6,9.61,17137
2019-02-07,9.9,9.9,9.4,9.68,4588
2019-02-08,9.68,9.68,9.03,9.4,8654
2019-02-11,9.4,9.58,8.65,9.39,12468
2019-02-12,9.54,9.55,9.12,9.38,2933
2019-02-13,9.38,9.89,9.07,9.2,8122
2019-02-14,9.2,9.99,9.2,9.6,2017
2019-02-15,9.9,9.9,9.01,9.35,8259
2019-02-18,9.76,9.78,8.99,9.4,8277
2019-02-19,9.35,9.51,9.25,9.5,2145
2019-02-20,9.49,10.38,9.4,9.86,17392
2019-02-21,9.91,11.5,9.9,11.5,26098
2019-02-22,13.5,14.35,11.16,12.74,104396
2019-02-25,12.69,13,11.7,12.58,13505
2019-02-26,12.88,12.88,12.1,12.4,3825
2019-02-27,12.4,12.5,12.2,12.25,9627
2019-02-28,12.66,13.8,11.7,12.86,35821
2019-03-01,12.86,14.19,12.86,14.12,24992
2019-03-04,13.97,14.198,13.6,14.1,13700
2019-03-05,13.72,14.9,13.7,14.89,16522
2019-03-06,14.8,16.78,14.8,15.5,26974
2019-03-07,15.5,16.25,14.51,14.81,30210
2019-03-08,15.26,15.26,13.4,15,20383
2019-03-11,15.49,15.698,14.6,15.45,32331
2019-03-12,15.45,16,15.45,15.88,13940
2019-03-13,15.878,15.878,15.06,15.49,5615
2019-03-14,15.5,15.6,15.02,15.46,5110
2019-03-15,15.82,15.82,15.01,15.03,6655
2019-03-18,15.1,15.298,14.12,14.4,15834
2019-03-19,14.94,14.94,13.5,13.8,7969
2019-03-20,13.794,13.794,12.9,13.13,31306
2019-03-21,13.13,14.3,13.05,13.42,7900
2019-03-22,13.8,14,12.95,13.8,13258
2019-03-25,13.01,13.35,12.5,13.33,21381
2019-03-26,13.32,13.32,12.862,12.96,7804
2019-03-27,13.1,13.36,13,13.35,1229
2019-03-28,13.6,14.9,12.77,14.6,30512
2019-03-29,15.8,15.8,14.5,15.1,19881
2019-04-01,14.64,15.5,14.64,14.8,9653
2019-04-02,14.8,14.9,14.2,14.32,10507
2019-04-03,14.58,14.7,14.2,14.3,4422
2019-04-04,14.56,14.56,13.8,14.5,8574
2019-04-05,14.54,14.54,13.8,13.8,1600
2019-04-08,14.4,14.4,13.8,13.88,1163
2019-04-09,14,14,13.4,13.8,1238
2019-04-10,14.16,14.16,13.12,13.5,2523
2019-04-11,13.78,13.78,13.4,13.48,1376
2019-04-12,13.96,13.96,13.7,13.7,261
2019-04-15,14,14,13.4,13.7,766
2019-04-16,13.7,13.7,12.92,13.5,2937
2019-04-17,13.66,13.66,12.98,13.06,2165
2019-04-18,13.18,13.4,12.9,13.22,8115
2019-04-23,13.56,13.56,12.5,12.92,7820
2019-04-24,13.36,13.36,12.8,12.8,2149
2019-04-25,12.8,12.98,12.12,12.78,4882
2019-04-26,12.5,12.9,12.28,12.9,5532
2019-04-29,13.36,13.36,12.56,12.96,1013
2019-04-30,12.98,13.5,12.58,13.5,2089
2019-05-02,13,13.48,12.98,13.02,3529
2019-05-06,13.02,13.5,12.96,13.06,3789
2019-05-07,13.28,13.28,12.96,12.96,5382
2019-05-08,13.28,13.28,12.52,13.1,4943
2019-05-09,13.26,14.18,13.2,13.98,5182
2019-05-10,14.08,14.08,13.3,13.76,500
2019-05-13,13.76,13.76,13.02,13.02,1578
2019-05-14,13,13.76,12.94,13.46,1498
2019-05-15,13.64,13.64,12.92,13.1,1926
2019-05-16,13.38,13.38,12.94,12.94,1294
2019-05-17,13.46,13.46,12.84,12.94,470
2019-05-20,12.98,13.74,12.94,13.34,1275
2019-05-21,13.62,13.62,12.7,13,1243
2019-05-22,13.14,13.14,12.64,12.8,606
2019-05-23,13.18,13.5,12.64,13.3,3104
2019-05-24,13.46,13.46,11.86,12.2,28943
2019-05-27,12.62,12.62,12.04,12.04,1171
2019-05-28,12.46,12.5,12,12,2876
2019-05-29,12.62,12.62,11.32,12.28,917
2019-05-30,12,12.54,12,12.54,3476
2019-05-31,12.54,12.78,12.02,12.56,1794
2019-06-03,13.18,13.18,12,12.48,5161
2019-06-04,12.42,12.42,12,12.36,868
2019-06-05,12,12.3,12,12,527
2019-06-06,12.28,12.3,11.6,12.3,901
2019-06-07,12.3,12.98,12.3,12.98,2139
2019-06-10,12.8,12.8,11.86,12.22,4496
2019-06-11,12.22,12.58,12.22,12.58,471
2019-06-12,12.6,12.7,12.2,12.2,3189
2019-06-13,12.26,12.7,12.22,12.22,330
2019-06-14,12.56,12.56,12.26,12.5,865
2019-06-17,11.6,12.3,11.6,12.3,852
2019-06-18,11.98,12.14,11.84,12,1151
2019-06-19,12.16,13.18,11.68,12.9,4962
2019-06-21,12.9,13.1,12.22,12.3,2633
2019-06-24,12.8,12.8,11.8,12.54,1477
2019-06-25,12.76,12.76,11.86,12.5,248
2019-06-26,12.6,12.6,11.74,12.32,914
2019-06-27,12.64,12.64,12,12.46,368
2019-06-28,12.36,12.36,12.1,12.1,394
2019-07-01,12.34,12.36,11.98,12.32,851
2019-07-02,12.28,12.3,11.82,12.26,269
2019-07-03,11.98,12.3,11.98,12.2,495
2019-07-04,12.3,12.68,12.1,12.5,1129
2019-07-05,12.5,12.5,12,12.5,1348
2019-07-08,12.58,12.58,12.02,12.44,1798
2019-07-09,12.54,12.54,12.2,12.2,536
2019-07-10,12.42,12.44,12.02,12.4,876
2019-07-11,12.42,12.44,12.06,12.36,1966
2019-07-12,12.4,12.44,12.08,12.08,567
2019-07-15,12.4,12.4,12.2,12.4,1790
2019-07-16,12.4,12.8,12.08,12.7,1654
2019-07-17,12.8,12.9,12.4,12.78,3352
2019-07-18,12.88,12.9,12.5,12.66,2899
2019-07-19,12.9,13.9,12.8,13.84,10604
2019-07-22,13.6,14,13.4,13.8,2201
2019-07-23,13.78,13.78,13.04,13.74,2535
2019-07-24,13.76,14,13.6,13.88,774
2019-07-25,13.98,14.8,13.18,14.5,8995
2019-07-26,14.74,14.76,14.12,14.76,3561
2019-07-29,14.7,15.38,14.7,15.04,9628
2019-07-30,15.08,15.3,14.24,14.96,2262
2019-07-31,14.56,15.2,14,14.22,3644
2019-08-01,14.8,14.8,13.6,14.12,2959
2019-08-02,14.1,14.4,13.66,14,1520
2019-08-05,14,14,13.66,13.8,1115
2019-08-06,13.8,13.8,13.3,13.66,1838
2019-08-07,14.4,14.4,13.5,13.98,475
2019-08-08,13.98,13.98,13,13.12,7292
2019-08-09,13.12,13.9,13,13.44,1288
2019-08-12,13.46,14.2,13.2,13.2,106
2019-08-13,13.1,14,13.1,13.8,776
2019-08-14,13.5,13.5,12.3,12.7,5566
2019-08-16,12.88,12.96,12.5,12.9,1131
2019-08-19,12.5,12.9,12.1,12.56,7034
2019-08-20,12.8,12.8,12.12,12.5,877
2019-08-21,12.7,12.7,12.3,12.62,482
2019-08-22,12.64,12.64,12.06,12.06,3419
2019-08-23,12.06,12.54,12.06,12.28,1766
2019-08-26,12.52,12.52,12.04,12.1,2209
2019-08-27,12,12.42,11.62,12.1,2755
2019-08-28,12.36,12.36,11.5,12.1,2132
2019-08-29,12,12.1,11.52,11.98,3738
2019-08-30,12,12.7,11.8,12,4644
2019-09-02,11.7,14,11.7,13.3,6168
2019-09-03,13.16,13.16,11.6,11.96,12001
2019-09-04,11.62,12.18,11.62,12.18,3605
2019-09-05,12,12,11.62,11.7,5046
2019-09-06,11.94,12.1,11.6,11.9,3554
2019-09-09,11.96,12,11.32,11.84,3811
2019-09-10,11.8,11.86,11.4,11.5,1435
2019-09-11,11.82,11.86,11.3,11.86,2523
2019-09-12,11.98,12,11.92,11.98,1288
2019-09-13,12.18,12.78,11.66,12.2,972
2019-09-16,12.14,12.14,11.7,11.74,2403
2019-09-17,12.08,12.28,11.9,12.28,3526
2019-09-18,12.36,12.36,11.9,12.36,1908
2019-09-19,12.4,12.4,12.1,12.38,244
2019-09-20,12.38,12.44,12.1,12.4,3238
2019-09-23,12.5,13.18,12.2,13,9828
2019-09-24,13.16,13.16,12.4,12.76,169
2019-09-25,12.6,13.24,12.6,13.18,5421
2019-09-26,13.18,13.18,12.74,13.16,1032
2019-09-27,13.18,13.4,13.16,13.18,6303
2019-09-30,13.3,13.38,13.16,13.3,2772
2019-10-01,13.28,13.28,12.5,12.86,2522
2019-10-02,12.88,12.88,12.56,12.78,888
2019-10-03,12.78,13,12.4,12.98,1734
2019-10-04,13.18,13.18,12.36,12.8,2315
2019-10-07,12.6,13.18,12.6,13,1898
2019-10-08,13,13,12.7,12.98,704
2019-10-09,13.18,13.18,12.8,13.06,1604
2019-10-10,13.18,13.2,12.6,13.2,4739
2019-10-11,13.2,13.2,13,13.1,1775
2019-10-14,13.2,13.3,13.2,13.3,778
2019-10-15,13.3,14,13.2,13.9,6323
2019-10-16,13.9,14.32,13.62,14.3,7952
2019-10-17,14.32,14.32,14.02,14.2,2441
2019-10-18,14,14.1,13,13.4,2168
2019-10-21,13.5,13.5,12.88,13,3880
2019-10-22,13,13.88,12.1,13.32,8556
2019-10-23,13.2,13.3,12.68,13.22,12452
2019-10-24,13.22,13.22,12.96,13.16,2757
2019-10-25,13.18,13.28,13.18,13.28,5950
2019-10-28,13.5,13.5,12.76,13.26,458
2019-10-29,13.24,13.24,12.5,13,718
2019-10-30,13.08,13.08,12.32,12.94,1236
2019-10-31,12.94,12.94,12,12.62,2139
2019-11-04,12.6,12.8,12.2,12.66,1395
2019-11-05,12.66,12.66,12.1,12.66,1292
2019-11-06,12.5,12.84,12,12.68,1223
2019-11-07,12.7,12.9,12.26,12.4,2432
2019-11-08,12.26,12.58,11.8,12.46,1225
2019-11-12,12.4,12.6,12.4,12.52,1111
2019-11-13,12.08,12.52,12.08,12.52,1248
2019-11-14,12.52,12.52,11.9,12.5,470
2019-11-15,12.5,12.5,12.3,12.4,91
2019-11-18,12.3,12.52,12,12.48,1395
2019-11-19,12.48,12.52,12.48,12.52,332
2019-11-20,12.52,13.14,12.1,12.76,4738
2019-11-21,12.76,13.26,12.7,13.2,8686
2019-11-22,13.4,13.68,13.02,13.5,6588
2019-11-25,13.6,13.7,13.12,13.12,1697
2019-11-26,13.04,13.48,13.02,13.48,622
2019-11-27,13.48,13.48,13.04,13.3,1222
2019-11-28,13.4,13.4,13.1,13.38,176
2019-11-29,13.36,13.36,13.1,13.3,2354
2019-12-02,13.32,13.32,13.06,13.1,257
2019-12-03,12.8,13.2,12.54,13.2,1840
2019-12-04,12.98,13.1,12.8,13.1,1448
2019-12-05,13.3,13.3,12.94,13.3,449
2019-12-06,13.3,13.3,12.9,13.26,951
2019-12-09,13.26,13.26,13.2,13.24,151
2019-12-10,13.2,13.2,12.8,13.18,1567
2019-12-11,13.18,13.18,12.6,13.12,1057
2019-12-12,13.08,13.08,12.64,13,1586
2019-12-13,13.04,13.04,12.6,12.96,6139
2019-12-16,12.7,12.7,12.22,12.3,3486
2019-12-17,12.26,12.26,11.5,11.7,14374
2019-12-18,11.96,12.4,11.72,12.3,8867
2019-12-19,12.48,12.64,12,12.36,954
2019-12-20,12.48,12.68,12,12.68,1958
2019-12-23,12.68,13,12.08,13,2182
2019-12-27,13,13.7,12.6,12.96,7920
2019-12-30,13.5,13.5,12.96,12.96,3548
2020-01-02,13.44,13.5,13.04,13.5,3790
2020-01-03,13.2,13.5,13.2,13.5,724
2020-01-07,13.5,13.5,12.78,13.38,4895
2020-01-08,13.34,13.34,12.64,13.32,1233
2020-01-09,12.84,13.46,12.82,13.44,2774
2020-01-10,13.48,13.66,12.72,13.58,2524
2020-01-13,13.86,14.6,13.4,13.84,9034
