Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-12-06,3.41598,3.48297,3.38252,3.4629,9701.008071542
2011-12-07,3.48297,3.54997,3.44951,3.44951,902.56532135594
2011-12-08,3.48297,3.48297,3.46967,3.47628,1570.3883407737
2011-12-09,3.44282,3.44282,3.41598,3.41598,5.0212257099079
2011-12-12,3.95187,3.95187,3.41598,3.91833,64.020627801325
2011-12-13,3.93179,3.93179,3.51651,3.82464,2810.6310911209
2011-12-14,3.82464,3.82464,3.42936,3.79779,10.042451419816
2011-12-15,3.79779,3.79779,3.79779,3.79779,2.5106128549539
2011-12-16,3.75096,3.75096,3.75096,3.75096,5.0212257099079
2011-12-19,3.80449,3.80449,3.75096,3.75096,146.87085201481
2011-12-20,3.80449,3.80449,3.80449,3.80449,5.0212257099079
2011-12-21,3.80449,3.80449,3.40267,3.40267,645.22750372316
2011-12-22,3.80449,3.80449,3.80449,3.80449,5.0212257099079
2011-12-23,3.80449,4.55474,3.80449,4.55474,5.0212257099079
2011-12-27,3.65042,3.65042,3.34915,3.34915,170.72167413687
2011-12-28,3.34915,4.01886,3.34915,4.01886,16.318983557201
2011-12-29,3.34915,4.01886,3.34915,3.41598,839.79999998209
2011-12-30,3.41598,4.01216,3.01416,3.01416,665.31240656279
2012-01-09,3.41598,3.41598,3.41598,3.41598,81.594917786003
2012-01-12,3.34915,3.34915,3.34915,3.34915,45.191031389171
2012-01-16,3.34915,3.34915,3.34915,3.34915,12.55306427477
2012-02-01,3.65042,3.65042,3.65042,3.65042,224.69985051838
2012-02-03,3.65042,3.65042,3.65042,3.65042,3.7659192824309
2012-02-06,3.61696,3.61696,3.61696,3.61696,7.5318385648618
2012-02-08,3.52329,3.52329,3.52329,3.52329,178.25351270173
2012-02-15,3.51651,3.51651,3.51651,3.51651,418.01704034983
2012-02-20,3.54997,3.54997,3.54997,3.54997,661.54648728036
2012-02-21,3.48297,3.48297,3.48297,3.48297,7.5318385648618
2012-02-28,3.38252,3.38252,3.38252,3.38252,268.63557548007
2012-03-27,3.51651,3.51651,3.51651,3.51651,715.52466366187
2012-03-30,3.88487,3.88487,3.88487,3.88487,2.5106128549539
2012-04-05,3.69065,3.69065,3.69065,3.69065,146.87085201481
2012-04-17,3.67719,3.68396,3.67719,3.68396,5.0212257099079
2012-04-18,3.68396,3.68396,3.68396,3.68396,5.0212257099079
2012-04-19,3.68396,3.68396,3.68396,3.68396,5.0212257099079
2012-04-20,3.68396,3.69065,3.68396,3.69065,5.0212257099079
2012-04-23,3.69065,3.7175,3.69065,3.7175,5.0212257099079
2012-04-25,3.68396,3.68396,3.68396,3.68396,2.5106128549539
2012-04-26,3.68396,3.68396,3.68396,3.68396,5.0212257099079
2012-04-27,3.68396,3.68396,3.68396,3.68396,5.0212257099079
2012-04-30,3.68396,3.68396,3.68396,3.68396,5.0212257099079
2012-05-17,3.88487,3.88487,3.88487,3.88487,1.255306427477
2012-05-18,3.88487,3.88487,3.88487,3.88487,1.255306427477
2012-05-21,3.88487,3.88487,3.88487,3.88487,1.255306427477
2012-05-22,3.68396,3.68396,3.68396,3.68396,1.255306427477
2012-05-23,3.68396,3.68396,3.68396,3.68396,1.255306427477
2012-05-24,3.88487,3.88487,3.88487,3.88487,1.255306427477
2012-05-25,3.88487,3.88487,3.88487,3.88487,1.255306427477
2012-05-28,3.88487,3.88487,3.88487,3.88487,1.255306427477
2012-05-29,3.88487,3.88487,3.88487,3.88487,1.255306427477
2012-05-30,3.88487,3.88487,3.88487,3.88487,1.255306427477
2012-05-31,3.81795,3.81795,3.81795,3.81795,1.255306427477
2012-06-01,3.83125,3.83125,3.83125,3.83125,1.255306427477
