Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-11-24,80,99.8,80,82.1,10575
2017-11-27,85,104.5,85,95.1,7488
2017-11-28,113.8,113.8,95.15,100,2765
2017-11-29,103.8,110,103.5,110,3548
2017-11-30,110,114.9,108,114,2989
2017-12-01,113.95,118.45,108,108.1,445
2017-12-04,110,114,108,108,2848
2017-12-05,108,108,93.6,101,453
2017-12-06,104,104,99,99,137
2017-12-07,99.1,103.95,99,99.65,450
2017-12-08,105.9,105.9,98,98,557
2017-12-11,100,105,96,105,2922
2017-12-12,105.5,118.95,105.5,110.9,1020
2017-12-13,110.2,111.5,110.2,111,628
2017-12-14,112,116,110,112,611
2017-12-15,110.2,118.45,88.2,103.9,2897
2017-12-18,109,109,103,107.9,630
2017-12-19,113,117.4,113,115.95,1890
2017-12-20,112,114.75,107,112.8,226
2017-12-21,112.65,118.35,106,117.95,639
2017-12-22,118,118,111,115.95,1005
2017-12-27,108.2,118.8,108.2,116.85,451
2017-12-28,116.4,116.4,110,110,916
2017-12-29,112.3,129.35,111.55,117,2412
2018-01-03,114.5,114.5,114.5,114.5,2
2018-01-04,114.5,116,110,116,219
2018-01-05,111,111,111,111,10
2018-01-08,111,111,111,111,33
2018-01-09,114,118,114,118,184
2018-01-10,111.1,111.1,111.1,111.1,23
2018-01-11,116.8,116.8,116.7,116.7,6
2018-01-15,112.5,113,112.5,113,20
2018-01-16,113,115.9,111,111.1,207
2018-01-17,115,115,110,115,48
2018-01-18,114.9,114.9,114.9,114.9,4
2018-01-19,114,114,114,114,2
2018-01-22,112,112,110,110.5,137
2018-01-23,110.5,113,110,111,62
2018-01-24,110.5,110.5,110,110,230
2018-01-25,110,121,110,120,1400
2018-01-26,126,138.5,124,138.5,1409
2018-01-29,135,143,135,137.5,1437
2018-01-30,128,138,128,138,1685
2018-01-31,133,141,133,137.5,6418
2018-02-01,136,141,132,132,17
2018-02-02,132,133,128,129,127
2018-02-05,130,130,120.5,129.5,376
2018-02-06,123,123.5,116,117.5,553
2018-02-07,125,127.5,120,125,304
2018-02-08,128,129,128,128,67
2018-02-09,126,126,126,126,99
2018-02-12,126,126,126,126,1
2018-02-13,124,127,124,127,10
2018-02-14,127,127,127,127,6
2018-02-15,138.5,138.5,138.5,138.5,73
2018-02-16,139,139,135,135,22
2018-02-19,135,135,135,135,145
2018-02-21,136.5,137,122,127.5,837
2018-02-22,127.5,136.5,127.5,135,752
2018-02-23,138,144,138,141,688
2018-02-26,141,144,141,142,459
2018-02-27,142,142.5,141.5,141.5,130
2018-02-28,139.5,142,136,136,1085
2018-03-01,132,132,124.5,132,496
2018-03-02,130.5,131,120,120,1055
2018-03-05,124.5,126,120,120,568
2018-03-06,120,121,120,120,245
2018-03-07,120,120.5,120,120,97
2018-03-08,120,125,119,119.5,88
2018-03-09,119.5,122,116,116,166
2018-03-12,118.5,120,118.5,120,671
2018-03-13,120.5,121.5,119.5,119.5,557
2018-03-14,121,121,118,121,219
2018-03-15,121,121,120,120,72
2018-03-16,120,120,116,116,382
2018-03-19,116.5,120.5,116,117,297
2018-03-20,119,119,103,110.5,1017
2018-03-21,112,113,109.5,111,837
2018-03-22,108,110,90,110,387
2018-03-23,111,112,110,112,213
2018-03-26,112.5,114,110,113,259
2018-03-28,112,112,109,109,63
2018-03-29,109,109,109,109,30
2018-04-03,111,111,111,111,3
2018-04-04,111,111,108,108,57
2018-04-05,108,112,108,112,1539
2018-04-06,111,111,110,110,440
2018-04-10,113.5,115,110,110,332
2018-04-11,110,112,110,110,187
2018-04-12,110.5,112.5,110,110.5,1042
2018-04-13,110.5,110.5,110,110,70
2018-04-16,109,112,105,112,5847
2018-04-17,111,111,109.5,110,104
2018-04-18,110,111,110,110.5,730
2018-04-19,108,111,108,111,2149
2018-04-20,112,112.5,110,110,1137
2018-04-23,110,110.5,106.5,110.5,708
2018-04-24,109,109,109,109,86
2018-04-25,108.5,110,108,110,190
2018-04-26,108,108,108,108,53
2018-04-27,107,110,106.5,110,140
2018-04-30,112,122,110,110,440
2018-05-02,110,114.5,110,114.5,30
2018-05-04,115,119.5,115,119,261
2018-05-07,118.5,118.5,111,115,71
2018-05-08,113,115,113,115,95
2018-05-09,113,115,111,115,1100
2018-05-10,110,116,110,113.5,4584
2018-05-11,111.5,115.5,110,111,4411
2018-05-14,115,121.5,115,119.5,209
2018-05-15,119.5,132,119.5,125,589
2018-05-16,128,136,128,136,697
2018-05-17,136,137,128,134,500
2018-05-18,129,136,129,133,126
2018-05-21,133.5,133.5,125,133,245
2018-05-22,133,133,124,132,538
2018-05-25,125,132,124,131.5,170
2018-05-28,130,130,124,129,604
2018-05-29,129,130,123,123,1256
2018-05-30,131,131,108,123,1445
2018-06-01,123.5,123.5,121,122,1155
2018-06-04,123,123,120,120,52
2018-06-05,123,123,119,120,330
2018-06-06,122,122,119,120,188
2018-06-07,130,134.5,115,122.5,1203
2018-06-08,124.5,124.5,120,123,109
2018-06-11,123,123,123,123,55
2018-06-12,124,124,123.5,124,46
2018-06-13,124.5,124.5,124.5,124.5,8
2018-06-14,124.5,132,124,132,221
2018-06-15,132,134.5,130,133.5,317
2018-06-18,134.5,134.5,128,128,241
2018-06-19,127,127,120.5,126,311
2018-06-20,127,127,125,125,151
2018-06-21,127,127,122,126,164
2018-06-22,127,127,125,125,142
2018-06-25,126.5,126.5,125,125,135
2018-06-26,127,127,124,124,107
2018-06-27,127,128,124,125,184
2018-06-28,129,129,123,125,70
2018-06-29,125,125,123,125,1433
2018-07-02,127,127,119.5,127,348
2018-07-03,127,127,124,126.5,157
2018-07-04,127,127,121,125.5,84
