Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-10,17.1046,17.3344,16.176,16.2368,2418794.4324015
2005-02-11,16.4115,16.4115,16.1219,16.3507,254365.89941795
2005-02-14,16.2899,16.5785,16.2368,16.4656,184230.00286825
2005-02-15,16.5264,16.5785,16.4656,16.5264,63616.854883222
2005-02-16,16.5264,16.7542,16.4656,16.7011,301230.8994166
2005-02-17,16.7011,16.7011,16.4656,16.6403,139936.15516838
2005-02-18,16.5264,16.6403,16.2899,16.6403,118311.3347667
2005-02-21,16.3507,16.7542,16.176,16.6403,213028.56608581
2005-02-22,16.5785,16.87,16.4115,16.815,159468.41809885
2005-02-23,16.6403,17.2195,16.6403,17.2195,216595.23706272
2005-02-24,17.2726,18.0275,17.2726,17.9666,601615.45256885
2005-02-25,18.2022,18.3711,17.9126,18.0883,426217.69970035
2005-02-28,18.2562,18.3711,17.9126,17.9126,168661.16809858
2005-03-01,17.623,17.9666,17.5091,17.9126,80171.885055158
2005-03-02,17.9126,17.9666,17.7987,17.9126,338500.17671437
2005-03-03,17.8518,18.0883,17.8518,17.9126,51494.524423802
2005-03-04,17.9126,17.9126,17.4483,17.623,36156.699711601
2005-03-07,17.5091,17.677,17.1046,17.4483,64196.969825734
2005-03-08,17.3344,17.4483,17.1046,17.4483,88597.018675605
2005-03-09,17.4483,17.4483,17.2195,17.2726,65222.530170532
2005-03-10,17.2726,17.2726,16.87,17.0438,99974.522985622
2005-03-11,17.1046,17.1046,16.7011,16.87,91969.972698496
2005-03-14,16.87,16.9839,16.6403,16.815,38369.423849468
2005-03-15,16.7542,16.9289,16.5785,16.9289,19884.475574139
2005-03-16,16.87,17.1596,16.7011,16.9289,69602.397986498
2005-03-17,16.7542,16.87,16.6403,16.7542,33304.81321743
2005-03-18,16.7542,16.87,16.7542,16.7542,52891.979883532
2005-03-21,16.7542,16.9289,16.7542,16.7542,30827.929596812
2005-03-22,16.7542,16.7542,16.5785,16.6403,54722.449711065
2005-03-23,16.5785,16.6403,16.4656,16.5264,88882.9324687
2005-03-24,16.4656,16.5264,16.3507,16.5264,177755.505742
2005-03-29,16.4656,16.4656,16.2368,16.3507,5649.9051722508
2005-03-30,16.3507,16.7011,16.3507,16.7011,10348.836206598
2005-03-31,16.7542,16.7542,16.5785,16.6403,14096.793103042
2005-04-01,16.5264,16.6403,16.4115,16.6403,83849.399422868
2005-04-04,16.6403,16.6403,16.4656,16.4656,96578.778732846
2005-04-05,16.4115,16.7011,16.4115,16.7011,6542.8678159032
2005-04-06,16.7011,16.815,16.5264,16.815,5761.7844825924
2005-04-07,16.7542,16.87,16.5264,16.7542,6358.4741377476
2005-04-11,16.4656,16.7542,16.4656,16.6403,7711.3850572488
2005-04-12,16.7542,16.7542,16.4656,16.4656,16876.165229398
2005-04-13,16.4115,16.7542,16.4115,16.5785,13595.408045585
2005-04-14,16.4656,16.7542,16.4656,16.7542,17064.702585715
2005-04-15,16.5785,16.815,16.5264,16.7542,14907.918103018
2005-04-18,16.4656,16.7011,16.176,16.7011,38803.474136812
2005-04-19,16.4656,16.4656,16.2368,16.2899,2508.9971263644
2005-04-20,16.2899,16.4656,15.9472,16.1219,19464.928160358
2005-04-21,16.176,16.176,15.5977,15.5977,6865.0387929054
2005-04-22,15.6576,15.6576,15.0784,15.3149,9304.6293100764
2005-04-25,15.0243,15.0243,14.3863,14.6218,67066.466952088
2005-04-26,14.6749,14.7347,14.1565,14.3863,15903.43678115
2005-04-27,14.4461,14.4461,13.8061,13.8061,37573.837642594
2005-04-28,13.753,13.8669,13.1728,13.8669,45684.05172282
2005-04-29,13.8669,14.561,13.753,14.4461,41640.857757419
2005-05-02,14.7347,14.8496,14.6218,14.8496,4689.6077584854
2005-05-04,14.9645,14.9645,14.6218,14.7347,8713.1192526222
2005-05-05,14.561,14.6749,14.2115,14.6218,8459.3189652732
2005-05-06,14.2714,14.561,14.2714,14.4461,6977.9540227872
2005-05-09,14.6218,14.6218,14.4461,14.561,22271.23419476
2005-05-10,14.6749,14.6749,14.3863,14.4461,15304.675286915
2005-05-11,14.3322,14.4461,14.3322,14.4461,12034.277298503
2005-05-12,14.3863,14.5002,14.3322,14.4461,10062.922413503
2005-05-13,14.3863,14.4461,14.2714,14.4461,5373.3146550174
2005-05-16,14.4461,14.561,14.1565,14.3863,14762.88936739
2005-05-17,14.3863,14.5002,14.3863,14.5002,17302.964079961
2005-05-18,14.3863,14.4461,14.3322,14.4461,6061.1652297102
2005-05-19,14.4461,14.561,14.1565,14.561,8522.5100572254
2005-05-20,14.5002,14.561,14.4461,14.5002,37554.15517133
2005-05-23,14.4461,14.5002,14.3322,14.4461,14058.464080054
2005-05-24,14.4461,14.6749,14.4461,14.4461,18083.011493731
2005-05-25,14.5002,14.9037,14.5002,14.7347,41860.472699942
2005-05-27,14.8496,14.9645,14.6218,14.7347,6788.3807469306
2005-05-30,14.4461,14.6749,14.4461,14.5002,6408.1982756772
2005-05-31,14.6218,15.0784,14.6218,15.0243,19457.676723577
2005-06-01,15.0784,15.4829,15.0243,15.3149,197553.9999943
2005-06-02,15.368,15.368,15.1392,15.2541,37537.580458687
2005-06-03,15.368,15.368,15.2541,15.2541,18761.538792562
2005-06-06,15.2541,15.3149,14.9645,15.0243,34016.489941547
2005-06-07,15.2541,15.2541,15.0243,15.1933,9272.5158043302
2005-06-08,15.0784,15.1933,14.9037,14.9645,18645.51580406
2005-06-09,15.1392,15.1933,14.8496,15.0243,15893.077585748
2005-06-10,15.0243,15.0243,14.9037,15.0243,16656.550286876
2005-06-13,15.0243,15.0784,14.7888,15.0243,34293.080458781
