Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-05-18,1.55,1.86,1.55,1.86,183841
2012-05-21,1.89,2.71,1.89,2.69,11817
2012-05-22,3.1,3.4,2.62,3.35,10338
2012-05-23,3.29,3.29,3.1,3.1,236
2012-05-24,3.1,3.1,2.5,2.9,1628
2012-05-25,2.9,2.9,2.51,2.88,1450
2012-05-28,2.52,2.88,2.52,2.87,501
2012-05-29,2.7,2.89,2.7,2.89,414
2012-05-30,2.91,3.46,2.8,3.4,8004
2012-05-31,3.33,3.33,2.7,2.92,6928
2012-06-01,2.8,2.8,2.7,2.7,1955
2012-06-04,2.78,2.78,2.65,2.65,531
2012-06-05,2.7,2.78,2.65,2.65,35588
2012-06-06,2.78,2.78,2.78,2.78,100
2012-06-08,2.65,2.65,2.65,2.65,665
2012-06-11,2.65,2.65,2.3,2.3,3502
2012-06-12,2.2,2.2,2.2,2.2,430
2012-06-13,2.2,2.31,2.2,2.31,843
2012-06-14,2.21,2.31,2.21,2.31,405
2012-06-15,2.2,2.2,2.2,2.2,300
2012-06-18,2.2,2.2,1.85,1.85,1300
2012-06-19,1.89,2.08,1.89,2.08,2586
2012-06-20,1.9,1.9,1.9,1.9,1001
2012-06-21,1.99,1.99,1.9,1.95,332
2012-06-22,1.85,1.85,1.85,1.85,75
2012-06-25,1.85,1.85,1.85,1.85,600
2012-06-26,1.94,1.94,1.94,1.94,10
2012-06-28,1.94,1.94,1.94,1.94,29
2012-07-06,2,2,2,2,1250
2012-07-10,1.9,1.9,1.9,1.9,112
2012-07-16,1.9,1.9,1.9,1.9,335
2012-07-19,1.9,1.9,1.83,1.83,1516
2012-08-01,1.83,1.9,1.83,1.9,10236
2012-08-02,1.9,1.9,1.9,1.9,10000
2012-08-29,1.91,1.91,1.91,1.91,3000
2012-08-30,1.83,1.91,1.83,1.91,3200
2012-09-04,1.83,1.92,1.83,1.92,230
2012-09-21,1.92,1.92,1.92,1.92,40
2012-09-25,1.91,1.91,1.91,1.91,2430
2012-09-26,1.91,1.91,1.91,1.91,2420
2012-10-10,1.92,1.92,1.92,1.92,100
2012-10-15,1.83,1.92,1.83,1.92,150
2012-11-06,1.92,1.92,1.92,1.92,960
2012-11-07,1.93,2.03,1.93,2.03,780
2012-11-15,2.03,2.03,2.03,2.03,100
2012-11-26,2.03,2.19,2.03,2.19,4450
2012-11-27,2.3,3.3,2.27,2.88,6174
2012-11-28,2.84,2.84,2.71,2.71,1070
2012-11-29,2.64,2.64,2.28,2.28,2140
2012-12-03,2,2.1,2,2.1,1550
2012-12-04,2.2,2.2,2.2,2.2,100
2012-12-05,2.1,2.1,2.1,2.1,570
2012-12-06,2.1,2.1,2.1,2.1,270
2012-12-13,2.1,2.2,1.7,2.2,4485
2012-12-19,1.97,2.2,1.97,2.2,1000
2013-01-17,2.25,2.25,2.25,2.25,832
2013-02-04,2.26,2.26,2.26,2.26,2500
2013-02-05,2.29,2.29,2.29,2.29,2500
2013-02-18,2.29,2.29,2.29,2.29,5000
2013-02-19,2.29,2.3,2.29,2.3,4501
2013-02-28,2.29,2.75,2.29,2.75,6057
2013-03-05,2.5,2.74,2.5,2.74,22556
2013-03-06,2.55,2.72,2.55,2.72,500
2013-03-08,2.71,2.8,2.71,2.8,7102
2013-03-13,2.91,2.91,2.91,2.91,15
2013-03-19,2.91,2.91,2.91,2.91,5
2013-03-27,2.9,2.9,2.9,2.9,6000
