Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-10-17,18.5606,19.9753,17.8286,18.7138,1849953.3215065
2016-10-18,18.6657,18.7423,17.9544,18.2914,232665.85715265
2016-10-19,18.2914,18.3297,17.9053,18.2334,364358.25001534
2016-10-20,18.1941,18.5124,18.0114,18.3965,835809.32146376
2016-10-21,18.4358,18.983,18.4358,18.7718,161694.75000681
2016-10-24,18.9172,19.542,18.8199,19.0616,309435.6964416
2016-10-25,19.4467,19.4467,18.762,18.8396,58371.053573886
2016-10-26,18.8396,18.8681,18.6284,18.6284,28701.535715494
2016-10-27,18.6745,18.8681,18.6284,18.6284,28593.642858347
2016-10-28,18.6844,18.7521,18.2629,18.3867,30637.50000129
2016-10-31,18.3867,18.6087,18.2432,18.3867,32789.250001381
2016-11-02,18.3867,18.3867,17.6665,17.6744,67722.107145709
2016-11-03,17.8001,18.0497,16.8943,17.0397,152283.64286355
2016-11-04,16.8383,18.2815,16.5966,17.5693,110765.25000466
2016-11-07,17.8001,18.2717,17.8001,18.1175,31225.821429886
2016-11-08,18.1175,18.2334,17.6469,17.6469,22364.357143799
2016-11-09,17.6174,18.0978,17.3384,17.9829,72184.392860182
2016-11-10,18.0684,18.704,18.0015,18.1941,41577.428573179
2016-11-14,17.9446,18.1469,17.6469,18.0978,13264.714286273
2016-11-15,17.7716,18.0978,17.7716,18.0497,3971.6785715958
2016-11-16,18.0497,18.5802,18.0015,18.0015,14841.375000625
2016-11-17,17.9446,18.4358,17.8375,18.0978,215095.60715191
2016-11-18,17.9544,18.4829,17.7324,18.4741,195674.89286538
2016-11-21,18.2914,19.9753,18.2432,19.0616,123794.83929093
2016-11-22,19.1962,19.7248,19.0705,19.6187,215376.53572335
2016-11-23,19.6383,19.8702,19.3976,19.6953,91473.80357528
2016-11-24,19.6953,20.0726,19.542,20.0244,75282.75000317
2016-11-25,20.0912,21.6307,19.936,21.1012,170480.89286432
2016-11-28,21.1012,21.6504,21.1012,21.5639,123157.66071947
2016-11-29,21.6602,21.9491,20.2268,20.2268,103958.83929009
2016-11-30,20.7367,21.1798,20.158,20.6974,172593.96429298
2016-12-01,21.4676,21.5453,20.8428,21.449,15103.982143493
2016-12-02,21.4676,21.5168,21.2741,21.4588,16432.285714978
2016-12-05,21.4676,21.9491,21.4676,21.8901,96030.750004043
2016-12-06,22.0168,23.0081,21.9589,22.6328,54767.83928802
2016-12-07,22.96,24.2588,22.96,23.7302,86216.571432202
2016-12-08,24.0672,24.0672,23.3933,23.6821,61276.017859723
2016-12-09,24.0289,24.0289,23.1054,23.6723,44344.982144724
2016-12-12,23.7784,24.0289,23.0081,23.0573,23406.642858128
2016-12-13,23.4414,23.4886,23.0573,23.3933,29722.446429823
2016-12-14,23.4886,23.5858,23.1231,23.297,16166.625000681
2016-12-15,23.1516,23.7784,23.1418,23.6349,36758.892858691
2016-12-16,23.6448,23.9513,23.4886,23.7686,27365.089286867
2016-12-19,23.7008,23.7784,23.3068,23.4974,23432.089286701
2016-12-20,23.5072,23.5858,23.4601,23.4974,16891.339286426
2016-12-21,23.5367,24.0672,23.3441,23.8265,68616.803574318
2016-12-22,23.8747,23.8747,23.1997,23.6625,39878.625001679
2016-12-23,23.6625,24.0672,23.6625,23.9611,22033.553572356
2016-12-27,23.97,24.0486,23.8747,24.0191,36549.214287253
2016-12-28,24.0387,24.0387,23.6909,23.8364,34658.035715745
2016-12-29,23.9415,23.9611,23.7106,23.8747,26521.285715402
2016-12-30,23.8747,23.8747,23.5956,23.5956,35918.142858655
2017-01-02,24.0574,25.5006,23.5564,23.5564,19439.035715104
2017-01-03,23.7784,24.6361,23.7784,24.6262,176632.82143601
2017-01-04,24.6164,24.6262,24.2215,24.47,54675.214288016
2017-01-05,24.5486,24.9338,24.5486,24.9043,28419.589286911
2017-01-09,24.9043,24.9338,24.7304,24.9338,24181.232143875
2017-01-10,24.8365,24.9338,24.7304,24.7402,39290.303573083
2017-01-11,24.9338,24.9338,24.7884,24.9141,18451.714286491
2017-01-12,24.9141,24.9141,24.5585,24.7019,39391.07143023
2017-01-13,24.5683,24.9141,24.2116,24.4897,15676.017857803
2017-01-16,24.3561,24.3561,23.3736,24.2588,63902.089288405
2017-01-17,24.2509,24.2509,23.9022,24.2509,14193.000000598
2017-01-18,24.2411,24.9338,24.2116,24.8276,38795.625001634
2017-01-19,24.8178,26.4153,24.5978,26.041,51392.625002164
2017-01-20,26.3573,27.8222,25.8867,27.0598,143289.85714889
2017-01-23,27.1954,28.3026,27.0598,27.9067,152778.321435
2017-01-24,28.39,30.8049,28.11,30.7568,229633.66072395
2017-01-25,30.5171,31.4219,30.016,30.3726,141167.62500594
2017-01-26,30.7853,30.7853,28.9864,29.8431,52359.589287919
2017-01-27,29.7478,30.2282,28.7064,30.2282,33396.910715692
2017-01-30,30.2282,32.6352,30.2282,32.144,114790.87500483
2017-01-31,32.2491,32.4417,31.8168,32.4417,28268.946429762
2017-02-01,32.5281,32.6352,31.7677,32.0566,38251.071430182
2017-02-02,32.3464,32.3739,31.2873,31.6429,270870.10715426
2017-02-03,31.5752,31.7481,29.457,29.6987,150430.12500633
2017-02-06,29.3617,29.6495,28.2073,29.3617,91210.178575269
2017-02-07,29.3617,29.6495,28.8793,29.2458,39858.267858821
2017-02-08,29.457,30.9493,29.457,30.2754,51554.464287885
2017-02-09,30.7853,31.0466,29.5149,29.6024,53130.107145094
2017-02-10,29.8431,29.8431,28.8793,29.2742,31566.803572758
2017-02-13,29.2742,29.4481,28.3999,29.0728,92264.678575313
2017-02-14,29.3519,29.8234,28.4195,29.3519,21487.982143762
2017-02-15,29.3519,30.3147,29.3519,30.1791,25603.178572507
2017-02-16,30.3147,31.1419,30.3147,31.0751,66542.410717088
2017-02-17,31.0751,31.0751,29.8431,30.4021,22656.482143811
2017-02-20,30.7853,30.8825,29.7949,30.0838,10505.303571871
2017-02-21,30.0838,30.7106,28.9962,29.3519,41958.107144624
2017-02-22,29.7183,29.7478,28.9864,29.3322,31763.250001337
2017-02-23,29.3322,30.6035,29.0728,30.5072,47308.982144849
2017-02-24,30.4778,30.5171,29.7281,29.8431,28608.91071549
2017-02-27,29.9394,30.9788,29.9394,30.5171,30542.839287
2017-02-28,30.6133,30.9985,30.2655,30.4404,72923.357145928
2017-03-01,30.8049,31.865,30.1408,31.865,119555.46429075
2017-03-02,32.202,32.6637,32.1047,32.538,49922.839287816
2017-03-03,32.6352,32.6352,31.7677,32.4898,27716.250001167
2017-03-06,32.538,33.1156,32.1636,33.0184,44440.660716157
2017-03-07,33.1156,33.1156,31.0938,32.7207,60973.714288282
2017-03-08,31.865,32.7207,31.7284,32.7207,17047.071429289
2017-03-09,32.538,32.7305,31.7677,32.4898,12834.160714826
2017-03-10,32.2491,32.7109,31.7874,32.6264,20509.821429435
2017-03-13,32.6834,33.598,32.5871,33.4526,42277.714287494
2017-03-14,33.5401,33.598,33.2895,33.598,17386.017857875
2017-03-15,33.598,34.5117,33.0017,33.1156,69068.732145765
